model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,20,1,2,19722,0.9861,1,4,1,6984582,6873295,506935,3346
norm,5,coro-no-prefetch,2,10,100,20,1,2,5635,0.28175,0,4,1,8102708,8434178,1483859,4503
norm,6,coro-prefetch,2,10,100,20,1,2,5642,0.2821,1,4,1,8142916,8593960,1544896,4111
norm,0,control,1,10,100,20,1,2,4884,0.2442,1,4,1,7007952,6873295,525089,3344
norm,5,coro-no-prefetch,2,10,100,20,1,2,5625,0.28125,0,4,1,8114143,8433960,1486160,4470
norm,6,coro-prefetch,2,10,100,20,1,2,5665,0.28325,1,4,1,8166257,8593960,1545023,4038
norm,0,control,1,10,100,20,1,2,4919,0.24595,1,4,1,6995365,6873295,525634,3349
norm,5,coro-no-prefetch,2,10,100,20,1,2,5624,0.2812,0,4,1,8108493,8433960,1483768,4547
norm,6,coro-prefetch,2,10,100,20,1,2,5674,0.2837,1,4,1,8147453,8593960,1543662,4043
norm,0,control,1,10,100,20,1,2,4874,0.2437,1,4,1,6987755,6873295,525593,3330
norm,5,coro-no-prefetch,2,10,100,20,1,2,5616,0.2808,0,4,1,8096816,8433960,1484601,4393
norm,6,coro-prefetch,2,10,100,20,1,2,5721,0.28605,1,4,1,8167354,8593960,1546865,4015
norm,0,control,1,10,100,20,1,2,4939,0.24695,1,4,1,6978645,6873295,525687,3367
norm,5,coro-no-prefetch,2,10,100,20,1,2,5747,0.28735,0,4,1,8105225,8433960,1480442,4558
norm,6,coro-prefetch,2,10,100,20,1,2,5652,0.2826,1,4,1,8158419,8593960,1546327,4019
norm,0,control,1,10,100,20,1,2,4862,0.2431,1,4,1,6958680,6873295,525220,3346
norm,5,coro-no-prefetch,2,10,100,20,1,2,5674,0.2837,0,4,1,8124106,8433960,1481994,4716
norm,6,coro-prefetch,2,10,100,20,1,2,5703,0.28515,1,4,1,8146570,8593960,1544794,4452
norm,0,control,1,10,100,20,1,2,4915,0.24575,1,4,1,6956334,6873295,525523,3430
norm,5,coro-no-prefetch,2,10,100,20,1,2,5656,0.2828,0,4,1,8084534,8433960,1483914,4693
norm,6,coro-prefetch,2,10,100,20,1,2,5712,0.2856,1,4,1,8146349,8593960,1545934,3905
norm,0,control,1,10,100,20,1,2,4909,0.24545,1,4,1,6980899,6873295,525231,3348
norm,5,coro-no-prefetch,2,10,100,20,1,2,5668,0.2834,0,4,1,8074828,8433960,1481073,4684
norm,6,coro-prefetch,2,10,100,20,1,2,5660,0.283,1,4,1,8151293,8593960,1547560,4002
norm,0,control,1,10,100,20,1,2,4874,0.2437,1,4,1,6969925,6873295,525905,3349
norm,5,coro-no-prefetch,2,10,100,20,1,2,5665,0.28325,0,4,1,8095919,8433960,1484844,4592
norm,6,coro-prefetch,2,10,100,20,1,2,5800,0.29,1,4,1,8148367,8593960,1545462,4112
