model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,5,1,2,19885,3.977,1,4,1,72933,130326,27106,121
norm,5,coro-no-prefetch,6,10,100,5,1,2,510,0.102,0,4,1,442239,816766,354043,1291
norm,6,coro-prefetch,6,10,100,5,1,2,495,0.099,1,4,1,463799,855620,359840,1202
norm,0,control,1,10,100,5,1,2,235,0.047,1,4,1,69431,130326,27101,120
norm,5,coro-no-prefetch,6,10,100,5,1,2,483,0.0966,0,4,1,440447,815620,348647,1104
norm,6,coro-prefetch,6,10,100,5,1,2,502,0.1004,1,4,1,463485,855620,358929,1285
norm,0,control,1,10,100,5,1,2,238,0.0476,1,4,1,70772,130326,27098,120
norm,5,coro-no-prefetch,6,10,100,5,1,2,481,0.0962,0,4,1,441754,815620,348605,1264
norm,6,coro-prefetch,6,10,100,5,1,2,498,0.0996,1,4,1,460480,855620,357724,1222
norm,0,control,1,10,100,5,1,2,239,0.0478,1,4,1,71492,130326,27102,120
norm,5,coro-no-prefetch,6,10,100,5,1,2,481,0.0962,0,4,1,441097,815620,347540,1345
norm,6,coro-prefetch,6,10,100,5,1,2,499,0.0998,1,4,1,463937,855620,358921,1070
norm,0,control,1,10,100,5,1,2,233,0.0466,1,4,1,69466,130326,27092,121
norm,5,coro-no-prefetch,6,10,100,5,1,2,561,0.1122,0,4,1,439993,815620,348632,1299
norm,6,coro-prefetch,6,10,100,5,1,2,548,0.1096,1,4,1,465995,855620,357722,1281
norm,0,control,1,10,100,5,1,2,240,0.048,1,4,1,69984,130326,27101,120
norm,5,coro-no-prefetch,6,10,100,5,1,2,479,0.0958,0,4,1,437524,815620,348673,1312
norm,6,coro-prefetch,6,10,100,5,1,2,505,0.101,1,4,1,463007,855620,357806,1167
norm,0,control,1,10,100,5,1,2,238,0.0476,1,4,1,71146,130326,27093,120
norm,5,coro-no-prefetch,6,10,100,5,1,2,483,0.0966,0,4,1,439781,815620,347468,1278
norm,6,coro-prefetch,6,10,100,5,1,2,498,0.0996,1,4,1,459977,855620,358721,1057
norm,0,control,1,10,100,5,1,2,238,0.0476,1,4,1,72515,130326,27100,120
norm,5,coro-no-prefetch,6,10,100,5,1,2,480,0.096,0,4,1,436654,815620,348670,1332
norm,6,coro-prefetch,6,10,100,5,1,2,497,0.0994,1,4,1,459479,855620,357900,1357
norm,0,control,1,10,100,5,1,2,237,0.0474,1,4,1,69602,130326,27092,120
norm,5,coro-no-prefetch,6,10,100,5,1,2,488,0.0976,0,4,1,442027,815620,347590,1229
norm,6,coro-prefetch,6,10,100,5,1,2,498,0.0996,1,4,1,459503,855620,357870,1252
norm,0,control,1,10,100,5,1,2,235,0.047,1,4,1,69578,130326,27092,119
norm,5,coro-no-prefetch,6,10,100,5,1,2,480,0.096,0,4,1,437628,815620,347520,1246
norm,6,coro-prefetch,6,10,100,5,1,2,502,0.1004,1,4,1,458477,855620,358909,1221
norm,0,control,1,10,100,5,2,2,225,0.0225,1,4,1,117504,182326,49098,196
norm,5,coro-no-prefetch,6,10,100,5,2,2,518,0.0518,0,4,1,467380,868966,375595,873
norm,6,coro-prefetch,6,10,100,5,2,2,515,0.0515,1,4,1,481429,907620,384279,781
norm,0,control,1,10,100,5,2,2,269,0.0269,1,4,1,116789,182326,49096,194
norm,5,coro-no-prefetch,6,10,100,5,2,2,500,0.05,0,4,1,463797,867620,374871,771
norm,6,coro-prefetch,6,10,100,5,2,2,512,0.0512,1,4,1,479803,907620,383826,886
norm,0,control,1,10,100,5,2,2,275,0.0275,1,4,1,116683,182326,49096,196
norm,5,coro-no-prefetch,6,10,100,5,2,2,504,0.0504,0,4,1,467402,867620,374730,719
norm,6,coro-prefetch,6,10,100,5,2,2,514,0.0514,1,4,1,478818,907620,383808,658
norm,0,control,1,10,100,5,2,2,267,0.0267,1,4,1,117243,182326,49092,195
norm,5,coro-no-prefetch,6,10,100,5,2,2,509,0.0509,0,4,1,462758,867620,374708,877
norm,6,coro-prefetch,6,10,100,5,2,2,515,0.0515,1,4,1,481591,907620,383699,755
norm,0,control,1,10,100,5,2,2,267,0.0267,1,4,1,117337,182326,49092,196
norm,5,coro-no-prefetch,6,10,100,5,2,2,553,0.0553,0,4,1,466045,867620,374895,844
norm,6,coro-prefetch,6,10,100,5,2,2,515,0.0515,1,4,1,475304,907620,383579,909
norm,0,control,1,10,100,5,2,2,266,0.0266,1,4,1,116089,182326,49092,194
norm,5,coro-no-prefetch,6,10,100,5,2,2,505,0.0505,0,4,1,467765,867620,374788,781
norm,6,coro-prefetch,6,10,100,5,2,2,514,0.0514,1,4,1,480402,907620,383609,747
norm,0,control,1,10,100,5,2,2,274,0.0274,1,4,1,119347,182326,49092,196
norm,5,coro-no-prefetch,6,10,100,5,2,2,501,0.0501,0,4,1,461847,867620,374761,761
norm,6,coro-prefetch,6,10,100,5,2,2,606,0.0606,1,4,1,482645,907620,383708,787
norm,0,control,1,10,100,5,2,2,268,0.0268,1,4,1,117591,182326,49095,194
norm,5,coro-no-prefetch,6,10,100,5,2,2,507,0.0507,0,4,1,464012,867620,374626,889
norm,6,coro-prefetch,6,10,100,5,2,2,517,0.0517,1,4,1,479995,907620,383633,813
norm,0,control,1,10,100,5,2,2,266,0.0266,1,4,1,115441,182326,49092,194
norm,5,coro-no-prefetch,6,10,100,5,2,2,503,0.0503,0,4,1,465956,867620,374717,933
norm,6,coro-prefetch,6,10,100,5,2,2,514,0.0514,1,4,1,479297,907620,383631,722
norm,0,control,1,10,100,5,2,2,268,0.0268,1,4,1,117149,182326,49099,194
norm,5,coro-no-prefetch,6,10,100,5,2,2,504,0.0504,0,4,1,464391,867620,374740,755
norm,6,coro-prefetch,6,10,100,5,2,2,511,0.0511,1,4,1,478667,907620,383621,928
norm,0,control,1,10,100,5,3,2,17359,1.15727,1,4,1,136315,233326,72100,417
norm,5,coro-no-prefetch,6,10,100,5,3,2,541,0.0360667,0,4,1,487880,920115,396778,1762
norm,6,coro-prefetch,6,10,100,5,3,2,535,0.0356667,1,4,1,508282,958620,405032,1520
norm,0,control,1,10,100,5,3,2,286,0.0190667,1,4,1,137014,233326,72102,417
norm,5,coro-no-prefetch,6,10,100,5,3,2,511,0.0340667,0,4,1,478536,918620,395592,1699
norm,6,coro-prefetch,6,10,100,5,3,2,535,0.0356667,1,4,1,508132,958620,404766,1644
norm,0,control,1,10,100,5,3,2,283,0.0188667,1,4,1,135589,233326,72099,418
norm,5,coro-no-prefetch,6,10,100,5,3,2,513,0.0342,0,4,1,479898,918620,395649,1573
norm,6,coro-prefetch,6,10,100,5,3,2,529,0.0352667,1,4,1,505269,958620,404546,1359
norm,0,control,1,10,100,5,3,2,286,0.0190667,1,4,1,136624,233326,72099,417
norm,5,coro-no-prefetch,6,10,100,5,3,2,514,0.0342667,0,4,1,482106,918620,395497,1594
norm,6,coro-prefetch,6,10,100,5,3,2,531,0.0354,1,4,1,503362,958620,404532,1353
norm,0,control,1,10,100,5,3,2,280,0.0186667,1,4,1,136250,233326,72099,418
norm,5,coro-no-prefetch,6,10,100,5,3,2,518,0.0345333,0,4,1,479501,918620,395430,1559
norm,6,coro-prefetch,6,10,100,5,3,2,531,0.0354,1,4,1,503620,958620,404504,1471
norm,0,control,1,10,100,5,3,2,279,0.0186,1,4,1,136154,233326,72099,418
norm,5,coro-no-prefetch,6,10,100,5,3,2,515,0.0343333,0,4,1,481438,918620,395520,1549
norm,6,coro-prefetch,6,10,100,5,3,2,527,0.0351333,1,4,1,503852,958620,404517,1453
norm,0,control,1,10,100,5,3,2,282,0.0188,1,4,1,135814,233326,72109,417
norm,5,coro-no-prefetch,6,10,100,5,3,2,509,0.0339333,0,4,1,479843,918620,395424,1731
norm,6,coro-prefetch,6,10,100,5,3,2,530,0.0353333,1,4,1,506740,958620,404548,1388
norm,0,control,1,10,100,5,3,2,290,0.0193333,1,4,1,137304,233326,72098,417
norm,5,coro-no-prefetch,6,10,100,5,3,2,513,0.0342,0,4,1,482305,918620,395368,1512
norm,6,coro-prefetch,6,10,100,5,3,2,525,0.035,1,4,1,504703,958620,404519,1457
norm,0,control,1,10,100,5,3,2,284,0.0189333,1,4,1,135978,233326,72092,417
norm,5,coro-no-prefetch,6,10,100,5,3,2,524,0.0349333,0,4,1,483901,918620,395452,1727
norm,6,coro-prefetch,6,10,100,5,3,2,533,0.0355333,1,4,1,511324,958620,404480,1421
norm,0,control,1,10,100,5,3,2,273,0.0182,1,4,1,135062,233326,72099,417
norm,5,coro-no-prefetch,6,10,100,5,3,2,510,0.034,0,4,1,480610,918620,395467,1563
norm,6,coro-prefetch,6,10,100,5,3,2,534,0.0356,1,4,1,506260,958620,404440,1431
norm,0,control,1,10,100,5,4,2,252,0.0126,1,4,1,161601,285326,94097,298
norm,5,coro-no-prefetch,6,10,100,5,4,2,550,0.0275,0,4,1,511806,971925,419847,1563
norm,6,coro-prefetch,6,10,100,5,4,2,552,0.0276,1,4,1,531390,1010620,426931,1520
norm,0,control,1,10,100,5,4,2,394,0.0197,1,4,1,160310,285326,94093,288
norm,5,coro-no-prefetch,6,10,100,5,4,2,527,0.02635,0,4,1,502949,970620,419018,1541
norm,6,coro-prefetch,6,10,100,5,4,2,543,0.02715,1,4,1,528095,1010620,426568,1337
norm,0,control,1,10,100,5,4,2,302,0.0151,1,4,1,161182,285326,94096,289
norm,5,coro-no-prefetch,6,10,100,5,4,2,530,0.0265,0,4,1,507915,970620,418926,1675
norm,6,coro-prefetch,6,10,100,5,4,2,590,0.0295,1,4,1,528857,1010620,426426,1474
norm,0,control,1,10,100,5,4,2,298,0.0149,1,4,1,161523,285326,94095,300
norm,5,coro-no-prefetch,6,10,100,5,4,2,532,0.0266,0,4,1,505802,970620,418940,1487
norm,6,coro-prefetch,6,10,100,5,4,2,541,0.02705,1,4,1,526352,1010620,426336,1263
norm,0,control,1,10,100,5,4,2,298,0.0149,1,4,1,159480,285326,94096,298
norm,5,coro-no-prefetch,6,10,100,5,4,2,528,0.0264,0,4,1,501583,970620,418846,1490
norm,6,coro-prefetch,6,10,100,5,4,2,552,0.0276,1,4,1,528666,1010620,426365,1500
norm,0,control,1,10,100,5,4,2,298,0.0149,1,4,1,160135,285326,94099,287
norm,5,coro-no-prefetch,6,10,100,5,4,2,527,0.02635,0,4,1,503444,970620,418703,1567
norm,6,coro-prefetch,6,10,100,5,4,2,545,0.02725,1,4,1,527359,1010620,426494,1405
norm,0,control,1,10,100,5,4,2,300,0.015,1,4,1,161498,285326,94094,291
norm,5,coro-no-prefetch,6,10,100,5,4,2,529,0.02645,0,4,1,504818,970620,418804,1623
norm,6,coro-prefetch,6,10,100,5,4,2,541,0.02705,1,4,1,526026,1010620,426319,1412
norm,0,control,1,10,100,5,4,2,299,0.01495,1,4,1,161220,285326,94095,299
norm,5,coro-no-prefetch,6,10,100,5,4,2,529,0.02645,0,4,1,503411,970620,418662,1669
norm,6,coro-prefetch,6,10,100,5,4,2,539,0.02695,1,4,1,525551,1010620,426371,1456
norm,0,control,1,10,100,5,4,2,296,0.0148,1,4,1,161882,285326,94092,299
norm,5,coro-no-prefetch,6,10,100,5,4,2,528,0.0264,0,4,1,503387,970620,418651,1665
norm,6,coro-prefetch,6,10,100,5,4,2,547,0.02735,1,4,1,524445,1010620,426349,1515
norm,0,control,1,10,100,5,4,2,421,0.02105,1,4,1,162926,285326,94095,287
norm,5,coro-no-prefetch,6,10,100,5,4,2,587,0.02935,0,4,1,504248,970620,418671,1663
norm,6,coro-prefetch,6,10,100,5,4,2,540,0.027,1,4,1,529453,1010620,426322,1525
norm,0,control,1,10,100,5,5,2,15939,0.63756,1,4,1,181189,346326,117093,3926
norm,5,coro-no-prefetch,6,10,100,5,5,2,580,0.0232,0,4,1,551992,1032987,440735,5364
norm,6,coro-prefetch,6,10,100,5,5,2,573,0.02292,1,4,1,568232,1071620,450239,4908
norm,0,control,1,10,100,5,5,2,318,0.01272,1,4,1,183169,346326,117110,4003
norm,5,coro-no-prefetch,6,10,100,5,5,2,556,0.02224,0,4,1,547661,1031620,439770,5491
norm,6,coro-prefetch,6,10,100,5,5,2,571,0.02284,1,4,1,559637,1071620,449723,4681
norm,0,control,1,10,100,5,5,2,364,0.01456,1,4,1,184838,346326,117135,4055
norm,5,coro-no-prefetch,6,10,100,5,5,2,602,0.02408,0,4,1,549746,1031620,439734,5468
norm,6,coro-prefetch,6,10,100,5,5,2,567,0.02268,1,4,1,559564,1071620,449767,4595
norm,0,control,1,10,100,5,5,2,318,0.01272,1,4,1,181614,346326,117099,4003
norm,5,coro-no-prefetch,6,10,100,5,5,2,556,0.02224,0,4,1,546694,1031620,439555,5579
norm,6,coro-prefetch,6,10,100,5,5,2,568,0.02272,1,4,1,561902,1071620,449806,4839
norm,0,control,1,10,100,5,5,2,314,0.01256,1,4,1,181320,346326,117099,4006
norm,5,coro-no-prefetch,6,10,100,5,5,2,552,0.02208,0,4,1,544643,1031620,439606,5378
norm,6,coro-prefetch,6,10,100,5,5,2,570,0.0228,1,4,1,561517,1071620,449651,4625
norm,0,control,1,10,100,5,5,2,312,0.01248,1,4,1,179736,346326,117092,4004
norm,5,coro-no-prefetch,6,10,100,5,5,2,555,0.0222,0,4,1,545074,1031620,439534,5531
norm,6,coro-prefetch,6,10,100,5,5,2,568,0.02272,1,4,1,560277,1071620,449734,4709
norm,0,control,1,10,100,5,5,2,316,0.01264,1,4,1,181328,346326,117096,4007
norm,5,coro-no-prefetch,6,10,100,5,5,2,557,0.02228,0,4,1,545683,1031620,439450,5535
norm,6,coro-prefetch,6,10,100,5,5,2,566,0.02264,1,4,1,561422,1071620,449559,4715
norm,0,control,1,10,100,5,5,2,317,0.01268,1,4,1,181186,346326,117096,4003
norm,5,coro-no-prefetch,6,10,100,5,5,2,554,0.02216,0,4,1,545238,1031620,439517,5424
norm,6,coro-prefetch,6,10,100,5,5,2,562,0.02248,1,4,1,556909,1071620,449672,4721
norm,0,control,1,10,100,5,5,2,319,0.01276,1,4,1,181321,346326,117092,4003
norm,5,coro-no-prefetch,6,10,100,5,5,2,559,0.02236,0,4,1,545760,1031620,439474,5352
norm,6,coro-prefetch,6,10,100,5,5,2,565,0.0226,1,4,1,557698,1071620,449742,4773
norm,0,control,1,10,100,5,5,2,314,0.01256,1,4,1,180152,346326,117092,4004
norm,5,coro-no-prefetch,6,10,100,5,5,2,552,0.02208,0,4,1,542701,1031620,439465,5442
norm,6,coro-prefetch,6,10,100,5,5,2,576,0.02304,1,4,1,562472,1071620,449605,4841
norm,0,control,1,10,100,5,6,2,299,0.00996667,1,4,1,229344,397326,139100,2596
norm,5,coro-no-prefetch,6,10,100,5,6,2,615,0.0205,0,4,1,612037,1084079,462470,4337
norm,6,coro-prefetch,6,10,100,5,6,2,607,0.0202333,1,4,1,618712,1122620,473278,3488
norm,0,control,1,10,100,5,6,2,344,0.0114667,1,4,1,225915,397326,139095,2603
norm,5,coro-no-prefetch,6,10,100,5,6,2,594,0.0198,0,4,1,603278,1082620,461257,4141
norm,6,coro-prefetch,6,10,100,5,6,2,606,0.0202,1,4,1,621247,1122620,472810,3587
norm,0,control,1,10,100,5,6,2,362,0.0120667,1,4,1,255934,397326,139096,2586
norm,5,coro-no-prefetch,6,10,100,5,6,2,591,0.0197,0,4,1,601175,1082620,461019,4004
norm,6,coro-prefetch,6,10,100,5,6,2,608,0.0202667,1,4,1,623339,1122620,472850,3652
norm,0,control,1,10,100,5,6,2,344,0.0114667,1,4,1,228791,397326,139095,2601
norm,5,coro-no-prefetch,6,10,100,5,6,2,595,0.0198333,0,4,1,599326,1082620,461081,3989
