model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,100,1,2,15465,0.15465,1,8,1,789927,2606246,15176,4859
norm,5,coro-no-prefetch,4,10,100,100,1,2,814,0.00814,0,8,1,2869237,10376306,26029,7565
norm,6,coro-prefetch,4,10,100,100,1,2,1045,0.01045,1,8,1,3777992,12674486,24101,7461
norm,0,control,1,10,100,100,1,2,246,0.00246,1,8,1,780805,2606246,15088,4754
norm,5,coro-no-prefetch,4,10,100,100,1,2,791,0.00791,0,8,1,2850518,10374485,21035,7445
norm,6,coro-prefetch,4,10,100,100,1,2,1037,0.01037,1,8,1,3778947,12674485,20751,7459
norm,0,control,1,10,100,100,1,2,238,0.00238,1,8,1,779983,2606246,15439,4689
norm,5,coro-no-prefetch,4,10,100,100,1,2,794,0.00794,0,8,1,2863093,10374485,22603,7529
norm,6,coro-prefetch,4,10,100,100,1,2,1037,0.01037,1,8,1,3781026,12674485,22656,7441
norm,0,control,1,10,100,100,1,2,238,0.00238,1,8,1,777069,2606246,14703,4755
norm,5,coro-no-prefetch,4,10,100,100,1,2,794,0.00794,0,8,1,2862478,10374485,22274,7373
norm,6,coro-prefetch,4,10,100,100,1,2,1040,0.0104,1,8,1,3787773,12674485,23076,7408
norm,0,control,1,10,100,100,1,2,243,0.00243,1,8,1,775565,2606246,14558,4823
norm,5,coro-no-prefetch,4,10,100,100,1,2,797,0.00797,0,8,1,2871365,10374485,22751,7403
norm,6,coro-prefetch,4,10,100,100,1,2,1036,0.01036,1,8,1,3776745,12674485,20340,7387
norm,0,control,1,10,100,100,1,2,244,0.00244,1,8,1,780413,2606246,14603,4817
norm,5,coro-no-prefetch,4,10,100,100,1,2,781,0.00781,0,8,1,2860854,10374486,23918,7519
norm,6,coro-prefetch,4,10,100,100,1,2,1035,0.01035,1,8,1,3778196,12674485,21049,7396
norm,0,control,1,10,100,100,1,2,245,0.00245,1,8,1,782078,2606246,14120,4803
norm,5,coro-no-prefetch,4,10,100,100,1,2,774,0.00774,0,8,1,2863161,10374485,21866,7426
norm,6,coro-prefetch,4,10,100,100,1,2,1042,0.01042,1,8,1,3780785,12674486,23838,7373
norm,0,control,1,10,100,100,1,2,244,0.00244,1,8,1,778593,2606246,14422,4823
norm,5,coro-no-prefetch,4,10,100,100,1,2,775,0.00775,0,8,1,2864177,10374485,22833,7477
norm,6,coro-prefetch,4,10,100,100,1,2,1041,0.01041,1,8,1,3766439,12674486,24704,7409
norm,0,control,1,10,100,100,1,2,244,0.00244,1,8,1,779428,2606246,14307,4729
norm,5,coro-no-prefetch,4,10,100,100,1,2,801,0.00801,0,8,1,2865824,10374485,22004,7538
norm,6,coro-prefetch,4,10,100,100,1,2,1037,0.01037,1,8,1,3782806,12674485,21892,7446
norm,0,control,1,10,100,100,1,2,240,0.0024,1,8,1,779897,2606246,14659,4723
