model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,200,1,2,12890,0.06445,1,8,1,1376952,5149996,92953,9940
norm,5,coro-no-prefetch,4,10,100,200,1,2,1574,0.00787,0,8,1,5659114,20370105,103738,12970
norm,6,coro-prefetch,4,10,100,200,1,2,1686,0.00843,1,8,1,6121388,24968236,99985,12735
norm,0,control,1,10,100,200,1,2,402,0.00201,1,8,1,1397797,5149996,89810,9007
norm,5,coro-no-prefetch,4,10,100,200,1,2,1519,0.007595,0,8,1,5636350,20368235,100394,11928
norm,6,coro-prefetch,4,10,100,200,1,2,1643,0.008215,1,8,1,6104126,24968235,96138,11931
norm,0,control,1,10,100,200,1,2,402,0.00201,1,8,1,1398908,5149996,89758,9052
norm,5,coro-no-prefetch,4,10,100,200,1,2,1516,0.00758,0,8,1,5601816,20368236,101955,11887
norm,6,coro-prefetch,4,10,100,200,1,2,1642,0.00821,1,8,1,6079827,24968236,98902,11766
norm,0,control,1,10,100,200,1,2,380,0.0019,1,8,1,1321893,5149996,90321,9046
norm,5,coro-no-prefetch,4,10,100,200,1,2,1508,0.00754,0,8,1,5593848,20368235,100288,11956
norm,6,coro-prefetch,4,10,100,200,1,2,1641,0.008205,1,8,1,6080533,24968236,97726,11845
norm,0,control,1,10,100,200,1,2,380,0.0019,1,8,1,1322244,5149996,90180,9055
norm,5,coro-no-prefetch,4,10,100,200,1,2,1511,0.007555,0,8,1,5608215,20368235,100385,11786
norm,6,coro-prefetch,4,10,100,200,1,2,1644,0.00822,1,8,1,6089574,24968236,98653,11849
norm,0,control,1,10,100,200,1,2,381,0.001905,1,8,1,1324070,5149996,90005,8993
norm,5,coro-no-prefetch,4,10,100,200,1,2,1515,0.007575,0,8,1,5622424,20368235,100480,11815
norm,6,coro-prefetch,4,10,100,200,1,2,1638,0.00819,1,8,1,6086654,24968235,96087,11805
norm,0,control,1,10,100,200,1,2,383,0.001915,1,8,1,1327305,5149996,90239,8959
norm,5,coro-no-prefetch,4,10,100,200,1,2,1511,0.007555,0,8,1,5605046,20368235,100061,11877
norm,6,coro-prefetch,4,10,100,200,1,2,1634,0.00817,1,8,1,6072601,24968235,97101,11717
norm,0,control,1,10,100,200,1,2,389,0.001945,1,8,1,1327308,5149997,91237,9090
norm,5,coro-no-prefetch,4,10,100,200,1,2,1503,0.007515,0,8,1,5582984,20368235,99308,11842
norm,6,coro-prefetch,4,10,100,200,1,2,1635,0.008175,1,8,1,6077846,24968235,97975,11768
norm,0,control,1,10,100,200,1,2,382,0.00191,1,8,1,1327110,5149996,89737,9114
norm,5,coro-no-prefetch,4,10,100,200,1,2,1512,0.00756,0,8,1,5607636,20368235,98477,11875
norm,6,coro-prefetch,4,10,100,200,1,2,1636,0.00818,1,8,1,6078715,24968235,95861,11742
norm,0,control,1,10,100,200,1,2,382,0.00191,1,8,1,1325912,5149996,89371,9016
norm,5,coro-no-prefetch,4,10,100,200,1,2,1556,0.00778,0,8,1,5620513,20368236,98738,11801
norm,6,coro-prefetch,4,10,100,200,1,2,1637,0.008185,1,8,1,6083216,24968235,96311,11765
norm,0,control,1,10,100,200,2,2,505,0.0012625,1,8,1,1658790,5458497,223254,15414
norm,5,coro-no-prefetch,4,10,100,200,2,2,2013,0.0050325,0,8,1,7487345,22478716,234213,19364
norm,6,coro-prefetch,4,10,100,200,2,2,1840,0.0046,1,8,1,6844438,27076735,229958,19022
norm,0,control,1,10,100,200,2,2,465,0.0011625,1,8,1,1638003,5458496,222531,15514
norm,5,coro-no-prefetch,4,10,100,200,2,2,2016,0.00504,0,8,1,7483219,22476736,235382,19723
norm,6,coro-prefetch,4,10,100,200,2,2,1846,0.004615,1,8,1,6843617,27076736,230580,19257
norm,0,control,1,10,100,200,2,2,466,0.001165,1,8,1,1642098,5458496,222484,15429
norm,5,coro-no-prefetch,4,10,100,200,2,2,2005,0.0050125,0,8,1,7475372,22476735,233602,19200
norm,6,coro-prefetch,4,10,100,200,2,2,1841,0.0046025,1,8,1,6856321,27076735,228669,18965
norm,0,control,1,10,100,200,2,2,468,0.00117,1,8,1,1646702,5458496,222472,15424
norm,5,coro-no-prefetch,4,10,100,200,2,2,2012,0.00503,0,8,1,7472661,22476736,234691,19512
norm,6,coro-prefetch,4,10,100,200,2,2,1843,0.0046075,1,8,1,6845625,27076736,230570,19022
norm,0,control,1,10,100,200,2,2,465,0.0011625,1,8,1,1636640,5458496,222284,15440
norm,5,coro-no-prefetch,4,10,100,200,2,2,2006,0.005015,0,8,1,7481021,22476735,238520,18639
norm,6,coro-prefetch,4,10,100,200,2,2,1837,0.0045925,1,8,1,6839877,27076735,233199,18608
norm,0,control,1,10,100,200,2,2,468,0.00117,1,8,1,1648379,5458496,234386,14004
norm,5,coro-no-prefetch,4,10,100,200,2,2,2015,0.0050375,0,8,1,7486205,22476736,239355,18417
norm,6,coro-prefetch,4,10,100,200,2,2,1845,0.0046125,1,8,1,6847170,27076736,234406,18440
norm,0,control,1,10,100,200,2,2,469,0.0011725,1,8,1,1649397,5458496,234819,13895
