model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,200,2,2,16263,0.0406575,1,2,1,127549,93226,6807,4703
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1331,0.0033275,0,2,1,4831453,18028067,15209,7725
cnn,6,coro-prefetch,2,10,100,200,2,2,1714,0.004285,1,2,1,6322855,22427476,21270,7698
cnn,0,control,1,10,100,200,2,2,75,0.0001875,1,2,1,129693,93226,6789,4521
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1318,0.003295,0,2,1,4842635,18027475,13896,7332
cnn,6,coro-prefetch,2,10,100,200,2,2,1712,0.00428,1,2,1,6330574,22427475,19152,7577
cnn,0,control,1,10,100,200,2,2,72,0.00018,1,2,1,131111,93226,6845,4485
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1327,0.0033175,0,2,1,4843093,18027476,15174,7389
cnn,6,coro-prefetch,2,10,100,200,2,2,1720,0.0043,1,2,1,6342412,22427476,19736,7613
cnn,0,control,1,10,100,200,2,2,72,0.00018,1,2,1,130056,93226,6906,4495
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1321,0.0033025,0,2,1,4857227,18027475,14610,7210
cnn,6,coro-prefetch,2,10,100,200,2,2,1710,0.004275,1,2,1,6336423,22427475,18582,7325
cnn,0,control,1,10,100,200,2,2,76,0.00019,1,2,1,129483,93226,6754,4577
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1327,0.0033175,0,2,1,4851935,18027476,16013,7596
cnn,6,coro-prefetch,2,10,100,200,2,2,1721,0.0043025,1,2,1,6338767,22427476,21552,7447
cnn,0,control,1,10,100,200,2,2,74,0.000185,1,2,1,129751,93226,7078,4522
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1319,0.0032975,0,2,1,4851084,18027475,13757,7251
cnn,6,coro-prefetch,2,10,100,200,2,2,1705,0.0042625,1,2,1,6318178,22427475,19931,7511
cnn,0,control,1,10,100,200,2,2,72,0.00018,1,2,1,128587,93226,6759,4465
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1327,0.0033175,0,2,1,4850915,18027476,15413,7557
cnn,6,coro-prefetch,2,10,100,200,2,2,1714,0.004285,1,2,1,6320870,22427476,21488,7530
cnn,0,control,1,10,100,200,2,2,75,0.0001875,1,2,1,129654,93226,6946,4521
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1283,0.0032075,0,2,1,4847643,18027475,13770,7232
cnn,6,coro-prefetch,2,10,100,200,2,2,1706,0.004265,1,2,1,6317331,22427475,18917,7462
cnn,0,control,1,10,100,200,2,2,73,0.0001825,1,2,1,129660,93226,6853,4564
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1316,0.00329,0,2,1,4844431,18027475,13597,7201
cnn,6,coro-prefetch,2,10,100,200,2,2,1706,0.004265,1,2,1,6321222,22427475,18390,7375
cnn,0,control,1,10,100,200,2,2,71,0.0001775,1,2,1,130230,93226,6742,4537
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1328,0.00332,0,2,1,4859256,18027476,14902,7647
cnn,6,coro-prefetch,2,10,100,200,2,2,1711,0.0042775,1,2,1,6309961,22427476,20348,7400
cnn,0,control,1,10,100,200,3,2,1118,0.00186333,1,2,1,4106299,16010476,53089,6842
cnn,5,coro-no-prefetch,2,10,100,200,3,2,2343,0.003905,0,2,1,8701238,32303077,65212,9626
cnn,6,coro-prefetch,2,10,100,200,3,2,2550,0.00425,1,2,1,9489337,36702726,61770,9633
cnn,0,control,1,10,100,200,3,2,1125,0.001875,1,2,1,4108084,16010476,54128,6925
cnn,5,coro-no-prefetch,2,10,100,200,3,2,2286,0.00381,0,2,1,8709149,32302726,65134,9666
cnn,6,coro-prefetch,2,10,100,200,3,2,2547,0.004245,1,2,1,9469151,36702726,62443,9580
cnn,0,control,1,10,100,200,3,2,1141,0.00190167,1,2,1,4110357,16010477,54578,7078
cnn,5,coro-no-prefetch,2,10,100,200,3,2,2351,0.00391833,0,2,1,8699314,32302726,64164,9564
cnn,6,coro-prefetch,2,10,100,200,3,2,2548,0.00424667,1,2,1,9484418,36702726,61367,9459
cnn,0,control,1,10,100,200,3,2,1102,0.00183667,1,2,1,4111769,16010477,56922,6914
cnn,5,coro-no-prefetch,2,10,100,200,3,2,2342,0.00390333,0,2,1,8700984,32302726,64511,9655
cnn,6,coro-prefetch,2,10,100,200,3,2,2547,0.004245,1,2,1,9481965,36702726,62021,9488
cnn,0,control,1,10,100,200,3,2,1130,0.00188333,1,2,1,4109502,16010477,55827,7050
cnn,5,coro-no-prefetch,2,10,100,200,3,2,2343,0.003905,0,2,1,8712150,32302726,65802,9655
cnn,6,coro-prefetch,2,10,100,200,3,2,2565,0.004275,1,2,1,9548240,36702726,63101,9467
cnn,0,control,1,10,100,200,3,2,1127,0.00187833,1,2,1,4109860,16010476,53627,6824
cnn,5,coro-no-prefetch,2,10,100,200,3,2,2270,0.00378333,0,2,1,8684763,32302725,63879,9509
cnn,6,coro-prefetch,2,10,100,200,3,2,2546,0.00424333,1,2,1,9535829,36702726,65214,9610
cnn,0,control,1,10,100,200,3,2,1122,0.00187,1,2,1,4108530,16010476,53690,6889
cnn,5,coro-no-prefetch,2,10,100,200,3,2,2265,0.003775,0,2,1,8664585,32302725,63467,9522
cnn,6,coro-prefetch,2,10,100,200,3,2,2475,0.004125,1,2,1,9481972,36702725,59526,9501
cnn,0,control,1,10,100,200,3,2,1122,0.00187,1,2,1,4105827,16010476,53871,6911
cnn,5,coro-no-prefetch,2,10,100,200,3,2,2334,0.00389,0,2,1,8698952,32302725,62931,9628
cnn,6,coro-prefetch,2,10,100,200,3,2,2551,0.00425167,1,2,1,9493226,36702725,60043,9328
cnn,0,control,1,10,100,200,3,2,1093,0.00182167,1,2,1,4109638,16010476,53929,6834
cnn,5,coro-no-prefetch,2,10,100,200,3,2,2273,0.00378833,0,2,1,8688933,32302725,64241,9615
cnn,6,coro-prefetch,2,10,100,200,3,2,2544,0.00424,1,2,1,9501332,36702725,61020,9499
