model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,200,2,2,20808,0.05202,1,2,1,131506,93226,9115,4718
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1307,0.0032675,0,2,1,4780866,18028067,15663,7865
cnn,6,coro-prefetch,2,10,100,200,2,2,1453,0.0036325,1,2,1,5375851,22427475,23281,8029
cnn,0,control,1,10,100,200,2,2,69,0.0001725,1,2,1,136376,93226,9735,4572
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1295,0.0032375,0,2,1,4790524,18027475,14176,7615
cnn,6,coro-prefetch,2,10,100,200,2,2,1461,0.0036525,1,2,1,5392432,22427476,22637,7956
cnn,0,control,1,10,100,200,2,2,68,0.00017,1,2,1,136762,93226,9881,4534
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1294,0.003235,0,2,1,4786082,18027475,15859,7326
cnn,6,coro-prefetch,2,10,100,200,2,2,1454,0.003635,1,2,1,5388360,22427475,22479,7491
cnn,0,control,1,10,100,200,2,2,61,0.0001525,1,2,1,106559,93226,8389,4268
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1285,0.0032125,0,2,1,4749942,18027475,13096,6934
cnn,6,coro-prefetch,2,10,100,200,2,2,1447,0.0036175,1,2,1,5364498,22427475,20697,7401
cnn,0,control,1,10,100,200,2,2,61,0.0001525,1,2,1,110112,93226,8495,4346
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1284,0.00321,0,2,1,4746594,18027475,12779,6979
cnn,6,coro-prefetch,2,10,100,200,2,2,1453,0.0036325,1,2,1,5384777,22427475,20189,7456
cnn,0,control,1,10,100,200,2,2,60,0.00015,1,2,1,106796,93226,7857,4412
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1284,0.00321,0,2,1,4747980,18027475,14251,7031
cnn,6,coro-prefetch,2,10,100,200,2,2,1455,0.0036375,1,2,1,5373183,22427476,22754,7373
cnn,0,control,1,10,100,200,2,2,60,0.00015,1,2,1,106209,93226,8516,4374
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1285,0.0032125,0,2,1,4749577,18027475,13475,6967
cnn,6,coro-prefetch,2,10,100,200,2,2,1450,0.003625,1,2,1,5356843,22427476,23634,7470
cnn,0,control,1,10,100,200,2,2,59,0.0001475,1,2,1,107084,93226,8429,4258
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1288,0.00322,0,2,1,4745328,18027476,15188,7024
cnn,6,coro-prefetch,2,10,100,200,2,2,1443,0.0036075,1,2,1,5350759,22427475,19862,7227
cnn,0,control,1,10,100,200,2,2,60,0.00015,1,2,1,109752,93226,8776,4369
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1292,0.00323,0,2,1,4750534,18027475,13737,6692
cnn,6,coro-prefetch,2,10,100,200,2,2,1442,0.003605,1,2,1,5340874,22427475,22215,7114
cnn,0,control,1,10,100,200,2,2,61,0.0001525,1,2,1,106473,93226,7871,4264
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1285,0.0032125,0,2,1,4752405,18027475,14191,6804
cnn,6,coro-prefetch,2,10,100,200,2,2,1448,0.00362,1,2,1,5363722,22427475,20848,7252
cnn,0,control,1,10,100,200,3,2,1099,0.00183167,1,2,1,4046652,16010476,53851,7035
cnn,5,coro-no-prefetch,2,10,100,200,3,2,2316,0.00386,0,2,1,8612698,32303077,62818,9734
cnn,6,coro-prefetch,2,10,100,200,3,2,2465,0.00410833,1,2,1,9185395,36702726,60681,9288
cnn,0,control,1,10,100,200,3,2,1109,0.00184833,1,2,1,4045001,16010478,55215,6984
cnn,5,coro-no-prefetch,2,10,100,200,3,2,2340,0.0039,0,2,1,8607725,32302726,62576,9278
cnn,6,coro-prefetch,2,10,100,200,3,2,2493,0.004155,1,2,1,9171287,36702726,59135,9229
cnn,0,control,1,10,100,200,3,2,1100,0.00183333,1,2,1,4043382,16010476,52356,6843
cnn,5,coro-no-prefetch,2,10,100,200,3,2,2292,0.00382,0,2,1,8570716,32302725,61956,9195
