model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,40,2,2,12427,0.155337,1,2,1,93983,69215,27466,290
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2077,0.0259625,0,2,1,2806611,3934122,2596704,1675
cnn,6,coro-prefetch,2,10,100,40,2,2,2134,0.026675,1,2,1,2848548,4173650,2596660,1720
cnn,0,control,1,10,100,40,2,2,255,0.0031875,1,2,1,96907,69215,27494,284
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2099,0.0262375,0,2,1,2798923,3933650,2596174,1606
cnn,6,coro-prefetch,2,10,100,40,2,2,2096,0.0262,1,2,1,2845193,4173650,2596599,1673
cnn,0,control,1,10,100,40,2,2,251,0.0031375,1,2,1,93793,69215,27462,283
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2056,0.0257,0,2,1,2800883,3933650,2596261,1742
cnn,6,coro-prefetch,2,10,100,40,2,2,2092,0.02615,1,2,1,2850879,4173650,2596524,1633
cnn,0,control,1,10,100,40,2,2,260,0.00325,1,2,1,96032,69215,27526,286
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2096,0.0262,0,2,1,2802210,3933650,2596379,1556
cnn,6,coro-prefetch,2,10,100,40,2,2,2083,0.0260375,1,2,1,2840096,4173650,2596166,1699
cnn,0,control,1,10,100,40,2,2,254,0.003175,1,2,1,94361,69215,27494,284
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2204,0.02755,0,2,1,2818009,3933650,2596300,1812
cnn,6,coro-prefetch,2,10,100,40,2,2,2093,0.0261625,1,2,1,2852956,4173650,2596478,1924
cnn,0,control,1,10,100,40,2,2,257,0.0032125,1,2,1,95508,69215,27487,284
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2055,0.0256875,0,2,1,2801267,3933650,2596098,1640
