model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,200,2,2,14758,0.036895,1,4,1,273005,135876,41086,8803
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1383,0.0034575,0,4,1,5034578,17468979,49509,11933
cnn,6,coro-prefetch,2,10,100,200,2,2,1654,0.004135,1,4,1,6087878,22068226,116987,12239
cnn,0,control,1,10,100,200,2,2,114,0.000285,1,4,1,277726,135876,42967,8677
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1330,0.003325,0,4,1,5021094,17468225,49364,11417
cnn,6,coro-prefetch,2,10,100,200,2,2,1662,0.004155,1,4,1,6144580,22068225,115202,12832
cnn,0,control,1,10,100,200,2,2,114,0.000285,1,4,1,276720,135876,42762,8703
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1340,0.00335,0,4,1,5019315,17468226,50663,12032
cnn,6,coro-prefetch,2,10,100,200,2,2,1649,0.0041225,1,4,1,6076536,22068226,116047,12327
cnn,0,control,1,10,100,200,2,2,113,0.0002825,1,4,1,278713,135876,42911,8500
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1328,0.00332,0,4,1,5016785,17468225,48997,11613
cnn,6,coro-prefetch,2,10,100,200,2,2,1644,0.00411,1,4,1,6077979,22068225,113461,12077
cnn,0,control,1,10,100,200,2,2,113,0.0002825,1,4,1,280574,135876,41360,8321
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1374,0.003435,0,4,1,5029575,17468226,48804,11387
cnn,6,coro-prefetch,2,10,100,200,2,2,1656,0.00414,1,4,1,6092066,22068226,115592,12356
cnn,0,control,1,10,100,200,2,2,113,0.0002825,1,4,1,279227,135876,41309,8320
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1361,0.0034025,0,4,1,5008752,17468225,49678,11579
cnn,6,coro-prefetch,2,10,100,200,2,2,1598,0.003995,1,4,1,6067299,22068225,115665,12552
cnn,0,control,1,10,100,200,2,2,113,0.0002825,1,4,1,279985,135876,42658,8672
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1363,0.0034075,0,4,1,5018916,17468225,49413,11691
cnn,6,coro-prefetch,2,10,100,200,2,2,1604,0.00401,1,4,1,6085493,22068225,115838,12752
cnn,0,control,1,10,100,200,2,2,112,0.00028,1,4,1,277544,135876,42276,8593
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1373,0.0034325,0,4,1,5028328,17468226,52305,11935
cnn,6,coro-prefetch,2,10,100,200,2,2,1651,0.0041275,1,4,1,6079820,22068226,116726,12919
cnn,0,control,1,10,100,200,2,2,113,0.0002825,1,4,1,277205,135876,42652,8511
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1363,0.0034075,0,4,1,5015709,17468225,49064,11851
cnn,6,coro-prefetch,2,10,100,200,2,2,1655,0.0041375,1,4,1,6090734,22068226,117097,12914
cnn,0,control,1,10,100,200,2,2,112,0.00028,1,4,1,279946,135876,42834,8641
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1367,0.0034175,0,4,1,5035107,17468225,49513,11590
cnn,6,coro-prefetch,2,10,100,200,2,2,1646,0.004115,1,4,1,6082430,22068225,115855,12642
