model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,200,2,2,21509,0.0537725,1,4,1,287913,135876,45459,8573
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1284,0.00321,0,4,1,4726063,17468978,51615,11754
cnn,6,coro-prefetch,2,10,100,200,2,2,1442,0.003605,1,4,1,5337640,22068225,127996,12685
cnn,0,control,1,10,100,200,2,2,93,0.0002325,1,4,1,227396,135876,43670,8439
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1277,0.0031925,0,4,1,4712075,17468225,50709,11563
cnn,6,coro-prefetch,2,10,100,200,2,2,1480,0.0037,1,4,1,5327874,22068226,127634,13000
cnn,0,control,1,10,100,200,2,2,94,0.000235,1,4,1,229324,135876,42544,8358
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1276,0.00319,0,4,1,4712445,17468225,51113,11528
cnn,6,coro-prefetch,2,10,100,200,2,2,1449,0.0036225,1,4,1,5338483,22068226,128022,12501
cnn,0,control,1,10,100,200,2,2,93,0.0002325,1,4,1,226864,135876,43439,8476
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1283,0.0032075,0,4,1,4712846,17468226,52316,11860
cnn,6,coro-prefetch,2,10,100,200,2,2,1439,0.0035975,1,4,1,5329045,22068225,128318,12490
cnn,0,control,1,10,100,200,2,2,93,0.0002325,1,4,1,228340,135876,43624,8467
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1277,0.0031925,0,4,1,4715228,17468225,49558,11122
cnn,6,coro-prefetch,2,10,100,200,2,2,1440,0.0036,1,4,1,5338266,22068225,126877,12020
cnn,0,control,1,10,100,200,2,2,93,0.0002325,1,4,1,226415,135876,42227,8259
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1278,0.003195,0,4,1,4714074,17468225,48450,10975
cnn,6,coro-prefetch,2,10,100,200,2,2,1441,0.0036025,1,4,1,5335093,22068225,126403,11655
cnn,0,control,1,10,100,200,2,2,92,0.00023,1,4,1,225133,135876,40720,8121
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1273,0.0031825,0,4,1,4699340,17468225,48992,10780
cnn,6,coro-prefetch,2,10,100,200,2,2,1450,0.003625,1,4,1,5344674,22068226,126616,11871
cnn,0,control,1,10,100,200,2,2,92,0.00023,1,4,1,228434,135876,41379,8093
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1280,0.0032,0,4,1,4707359,17468226,49954,11552
cnn,6,coro-prefetch,2,10,100,200,2,2,1447,0.0036175,1,4,1,5333312,22068226,126088,11837
cnn,0,control,1,10,100,200,2,2,92,0.00023,1,4,1,225886,135876,40426,8105
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1284,0.00321,0,4,1,4711243,17468226,50362,11055
cnn,6,coro-prefetch,2,10,100,200,2,2,1436,0.00359,1,4,1,5317548,22068225,125979,11591
cnn,0,control,1,10,100,200,2,2,92,0.00023,1,4,1,226768,135876,40402,8195
cnn,5,coro-no-prefetch,2,10,100,200,2,2,1278,0.003195,0,4,1,4697322,17468226,50193,11117
cnn,6,coro-prefetch,2,10,100,200,2,2,1437,0.0035925,1,4,1,5323438,22068225,125538,11659
cnn,0,control,1,10,100,200,3,2,884,0.00147333,1,4,1,3232377,12162376,155238,11860
cnn,5,coro-no-prefetch,2,10,100,200,3,2,2292,0.00382,0,4,1,8507579,31435479,163519,14419
cnn,6,coro-prefetch,2,10,100,200,3,2,2454,0.00409,1,4,1,9142561,36034726,159726,13763
cnn,0,control,1,10,100,200,3,2,886,0.00147667,1,4,1,3230841,12162376,161235,11204
cnn,5,coro-no-prefetch,2,10,100,200,3,2,2282,0.00380333,0,4,1,8525163,31434725,164291,13814
