model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,40,2,2,14419,0.180237,1,4,1,1544881,1637190,1410421,1103
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2248,0.0281,0,4,1,3059368,4667286,3038059,2087
cnn,6,coro-prefetch,2,10,100,40,2,2,2333,0.0291625,1,4,1,3217076,4987979,3118584,2615
cnn,0,control,1,10,100,40,2,2,1262,0.015775,1,4,1,1544815,1637190,1410442,1105
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2272,0.0284,0,4,1,3059943,4667979,3037594,2220
cnn,6,coro-prefetch,2,10,100,40,2,2,2456,0.0307,1,4,1,3221079,4987979,3118023,2714
cnn,0,control,1,10,100,40,2,2,1306,0.016325,1,4,1,1551717,1637190,1410405,1162
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2311,0.0288875,0,4,1,3065356,4667979,3037521,2216
cnn,6,coro-prefetch,2,10,100,40,2,2,2418,0.030225,1,4,1,3210923,4987979,3117887,2605
cnn,0,control,1,10,100,40,2,2,1218,0.015225,1,4,1,1543697,1637190,1410391,1100
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2326,0.029075,0,4,1,3066540,4667979,3037476,2246
cnn,6,coro-prefetch,2,10,100,40,2,2,2389,0.0298625,1,4,1,3216050,4987979,3118035,2570
cnn,0,control,1,10,100,40,2,2,1294,0.016175,1,4,1,1543773,1637190,1410330,1099
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2269,0.0283625,0,4,1,3052106,4667979,3037428,2180
cnn,6,coro-prefetch,2,10,100,40,2,2,2379,0.0297375,1,4,1,3217130,4987979,3117923,2661
cnn,0,control,1,10,100,40,2,2,1215,0.0151875,1,4,1,1545614,1637190,1410413,1099
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2226,0.027825,0,4,1,3054639,4667979,3037558,2099
cnn,6,coro-prefetch,2,10,100,40,2,2,2418,0.030225,1,4,1,3217253,4987979,3117978,2591
cnn,0,control,1,10,100,40,2,2,1221,0.0152625,1,4,1,1545843,1637190,1410332,1098
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2227,0.0278375,0,4,1,3057947,4667979,3037313,2112
cnn,6,coro-prefetch,2,10,100,40,2,2,2332,0.02915,1,4,1,3209918,4987979,3117910,2499
cnn,0,control,1,10,100,40,2,2,1271,0.0158875,1,4,1,1549834,1637190,1410275,1147
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2224,0.0278,0,4,1,3051637,4667979,3037435,2134
cnn,6,coro-prefetch,2,10,100,40,2,2,2331,0.0291375,1,4,1,3211229,4987979,3117840,2502
cnn,0,control,1,10,100,40,2,2,1263,0.0157875,1,4,1,1548409,1637190,1410400,1143
cnn,5,coro-no-prefetch,2,10,100,40,2,2,2332,0.02915,0,4,1,3065050,4667979,3037539,2274
