model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,400,2,2,16392,0.02049,1,4,1,353073,46478,45076,6515
cnn,5,coro-no-prefetch,2,10,100,400,2,2,2644,0.003305,0,4,1,9842510,35579479,50346,9338
cnn,6,coro-prefetch,2,10,100,400,2,2,2991,0.00373875,1,4,1,11191906,44778726,227721,20154
cnn,0,control,1,10,100,400,2,2,128,0.00016,1,4,1,355846,46478,45140,5978
cnn,5,coro-no-prefetch,2,10,100,400,2,2,2656,0.00332,0,4,1,9814040,35578726,50195,8983
cnn,6,coro-prefetch,2,10,100,400,2,2,2984,0.00373,1,4,1,11161792,44778726,227671,19689
cnn,0,control,1,10,100,400,2,2,124,0.000155,1,4,1,346218,46478,45883,6112
cnn,5,coro-no-prefetch,2,10,100,400,2,2,2737,0.00342125,0,4,1,9920666,35578725,50066,9151
cnn,6,coro-prefetch,2,10,100,400,2,2,2979,0.00372375,1,4,1,11167435,44778725,234239,18645
cnn,0,control,1,10,100,400,2,2,125,0.00015625,1,4,1,346822,46478,45476,5877
cnn,5,coro-no-prefetch,2,10,100,400,2,2,2614,0.0032675,0,4,1,9763125,35578726,50561,8515
cnn,6,coro-prefetch,2,10,100,400,2,2,2988,0.003735,1,4,1,11177507,44778726,235812,18508
cnn,0,control,1,10,100,400,2,2,125,0.00015625,1,4,1,345897,46478,45339,5936
cnn,5,coro-no-prefetch,2,10,100,400,2,2,2661,0.00332625,0,4,1,9833656,35578726,50053,8260
cnn,6,coro-prefetch,2,10,100,400,2,2,3043,0.00380375,1,4,1,11182876,44778726,234913,18485
cnn,0,control,1,10,100,400,2,2,123,0.00015375,1,4,1,345455,46478,45595,5924
cnn,5,coro-no-prefetch,2,10,100,400,2,2,2649,0.00331125,0,4,1,9898383,35578726,50868,8364
cnn,6,coro-prefetch,2,10,100,400,2,2,3033,0.00379125,1,4,1,11143110,44778726,235882,18419
cnn,0,control,1,10,100,400,2,2,124,0.000155,1,4,1,345465,46478,45630,5857
cnn,5,coro-no-prefetch,2,10,100,400,2,2,2621,0.00327625,0,4,1,9814534,35578725,49977,8264
cnn,6,coro-prefetch,2,10,100,400,2,2,3015,0.00376875,1,4,1,11227970,44778726,234552,18369
cnn,0,control,1,10,100,400,2,2,124,0.000155,1,4,1,345749,46478,45316,5874
cnn,5,coro-no-prefetch,2,10,100,400,2,2,2618,0.0032725,0,4,1,9800706,35578725,50167,8540
cnn,6,coro-prefetch,2,10,100,400,2,2,2992,0.00374,1,4,1,11148411,44778726,235058,18420
cnn,0,control,1,10,100,400,2,2,125,0.00015625,1,4,1,346910,46478,45769,6022
cnn,5,coro-no-prefetch,2,10,100,400,2,2,2660,0.003325,0,4,1,9797217,35578726,51169,8484
cnn,6,coro-prefetch,2,10,100,400,2,2,3105,0.00388125,1,4,1,11136113,44778726,235199,18739
cnn,0,control,1,10,100,400,2,2,152,0.00019,1,4,1,349500,46478,45659,6062
cnn,5,coro-no-prefetch,2,10,100,400,2,2,2785,0.00348125,0,4,1,9829216,35578726,50844,8573
cnn,6,coro-prefetch,2,10,100,400,2,2,3147,0.00393375,1,4,1,11208613,44778726,236970,18582
cnn,0,control,1,10,100,400,3,2,2267,0.00188917,1,4,1,8477029,25175478,352959,26121
cnn,5,coro-no-prefetch,2,10,100,400,3,2,4621,0.00385083,0,4,1,17348267,57867479,355681,28930
cnn,6,coro-prefetch,2,10,100,400,3,2,4939,0.00411583,1,4,1,18518493,67066727,358069,30050
cnn,0,control,1,10,100,400,3,2,2266,0.00188833,1,4,1,8459309,25175478,380017,22297
cnn,5,coro-no-prefetch,2,10,100,400,3,2,4651,0.00387583,0,4,1,17361732,57866726,382014,26416
cnn,6,coro-prefetch,2,10,100,400,3,2,4929,0.0041075,1,4,1,18541076,67066726,382258,26680
cnn,0,control,1,10,100,400,3,2,2265,0.0018875,1,4,1,8455522,25175478,380217,22584
cnn,5,coro-no-prefetch,2,10,100,400,3,2,4659,0.0038825,0,4,1,17366681,57866726,382105,26570
cnn,6,coro-prefetch,2,10,100,400,3,2,4969,0.00414083,1,4,1,18551610,67066726,382105,26589
cnn,0,control,1,10,100,400,3,2,2479,0.00206583,1,4,1,8503864,25175478,380689,23400
cnn,5,coro-no-prefetch,2,10,100,400,3,2,4654,0.00387833,0,4,1,17354709,57866726,382821,27093
cnn,6,coro-prefetch,2,10,100,400,3,2,5214,0.004345,1,4,1,18579657,67066726,383847,26861
cnn,0,control,1,10,100,400,3,2,2397,0.0019975,1,4,1,8468296,25175479,381511,22318
cnn,5,coro-no-prefetch,2,10,100,400,3,2,4768,0.00397333,0,4,1,17354985,57866727,383837,26587
cnn,6,coro-prefetch,2,10,100,400,3,2,4979,0.00414917,1,4,1,18593643,67066726,383950,26663
cnn,0,control,1,10,100,400,3,2,2269,0.00189083,1,4,1,8482367,25175478,381662,22342
cnn,5,coro-no-prefetch,2,10,100,400,3,2,4654,0.00387833,0,4,1,17353626,57866726,383439,26330
cnn,6,coro-prefetch,2,10,100,400,3,2,4966,0.00413833,1,4,1,18542243,67066726,383732,26555
cnn,0,control,1,10,100,400,3,2,2265,0.0018875,1,4,1,8467134,25175478,381716,22431
cnn,5,coro-no-prefetch,2,10,100,400,3,2,4619,0.00384917,0,4,1,17358152,57866727,383785,27268
cnn,6,coro-prefetch,2,10,100,400,3,2,4925,0.00410417,1,4,1,18530258,67066726,383728,26595
cnn,0,control,1,10,100,400,3,2,2267,0.00188917,1,4,1,8463464,25175479,381641,22667
cnn,5,coro-no-prefetch,2,10,100,400,3,2,4618,0.00384833,0,4,1,17359953,57866726,383356,26422
cnn,6,coro-prefetch,2,10,100,400,3,2,4930,0.00410833,1,4,1,18545610,67066726,384592,26551
cnn,0,control,1,10,100,400,3,2,2270,0.00189167,1,4,1,8461298,25175479,381469,22387
cnn,5,coro-no-prefetch,2,10,100,400,3,2,4616,0.00384667,0,4,1,17353401,57866726,383380,26341
cnn,6,coro-prefetch,2,10,100,400,3,2,4928,0.00410667,1,4,1,18543488,67066726,384878,26753
cnn,0,control,1,10,100,400,3,2,2275,0.00189583,1,4,1,8480281,25175479,381899,22341
cnn,5,coro-no-prefetch,2,10,100,400,3,2,4646,0.00387167,0,4,1,17360597,57866726,383438,26467
cnn,6,coro-prefetch,2,10,100,400,3,2,4926,0.004105,1,4,1,18535692,67066726,384192,26658
cnn,0,control,1,10,100,400,4,2,3569,0.00223062,1,4,1,13284166,37513479,475063,35883
cnn,5,coro-no-prefetch,2,10,100,400,4,2,6044,0.0037775,0,4,1,22489840,70205480,527562,35521
cnn,6,coro-prefetch,2,10,100,400,4,2,6204,0.0038775,1,4,1,23357136,79404727,520885,35999
cnn,0,control,1,10,100,400,4,2,3556,0.0022225,1,4,1,13330345,37513479,527438,31559
cnn,5,coro-no-prefetch,2,10,100,400,4,2,5969,0.00373063,0,4,1,22478348,70204726,526333,35604
cnn,6,coro-prefetch,2,10,100,400,4,2,6194,0.00387125,1,4,1,23335396,79404726,520295,35456
cnn,0,control,1,10,100,400,4,2,3554,0.00222125,1,4,1,13329593,37513479,527060,30900
cnn,5,coro-no-prefetch,2,10,100,400,4,2,5964,0.0037275,0,4,1,22452140,70204727,526196,36100
cnn,6,coro-prefetch,2,10,100,400,4,2,6197,0.00387312,1,4,1,23333808,79404727,520282,35639
cnn,0,control,1,10,100,400,4,2,3559,0.00222437,1,4,1,13337182,37513479,527512,30615
cnn,5,coro-no-prefetch,2,10,100,400,4,2,5960,0.003725,0,4,1,22444442,70204726,526824,35861
cnn,6,coro-prefetch,2,10,100,400,4,2,6196,0.0038725,1,4,1,23341884,79404726,520720,35257
cnn,0,control,1,10,100,400,4,2,3555,0.00222187,1,4,1,13329225,37513479,527906,31086
cnn,5,coro-no-prefetch,2,10,100,400,4,2,5963,0.00372688,0,4,1,22451242,70204727,526543,36082
cnn,6,coro-prefetch,2,10,100,400,4,2,6199,0.00387438,1,4,1,23348550,79404727,520487,35223
cnn,0,control,1,10,100,400,4,2,3553,0.00222062,1,4,1,13325366,37513479,527884,31651
cnn,5,coro-no-prefetch,2,10,100,400,4,2,5997,0.00374813,0,4,1,22461451,70204726,526115,35339
cnn,6,coro-prefetch,2,10,100,400,4,2,6194,0.00387125,1,4,1,23337277,79404726,520758,35303
cnn,0,control,1,10,100,400,4,2,3581,0.00223813,1,4,1,13331706,37513479,527337,31052
cnn,5,coro-no-prefetch,2,10,100,400,4,2,5992,0.003745,0,4,1,22473797,70204727,526325,35449
cnn,6,coro-prefetch,2,10,100,400,4,2,6199,0.00387438,1,4,1,23354354,79404727,521101,35155
cnn,0,control,1,10,100,400,4,2,3553,0.00222062,1,4,1,13327992,37513479,527277,30724
cnn,5,coro-no-prefetch,2,10,100,400,4,2,5968,0.00373,0,4,1,22482584,70204726,526443,35189
cnn,6,coro-prefetch,2,10,100,400,4,2,6199,0.00387438,1,4,1,23357032,79404726,520233,35462
cnn,0,control,1,10,100,400,4,2,3553,0.00222062,1,4,1,13327872,37513479,527682,31117
cnn,5,coro-no-prefetch,2,10,100,400,4,2,6004,0.0037525,0,4,1,22473266,70204727,526415,35253
cnn,6,coro-prefetch,2,10,100,400,4,2,6196,0.0038725,1,4,1,23340324,79404727,520499,35151
cnn,0,control,1,10,100,400,4,2,3553,0.00222062,1,4,1,13327517,37513479,527429,31040
cnn,5,coro-no-prefetch,2,10,100,400,4,2,6008,0.003755,0,4,1,22476977,70204727,526453,35001
cnn,6,coro-prefetch,2,10,100,400,4,2,6203,0.00387688,1,4,1,23365915,79404727,521876,35959
cnn,0,control,1,10,100,400,5,2,17831,0.0089155,1,4,1,18378324,49851479,595851,51307
cnn,5,coro-no-prefetch,2,10,100,400,5,2,7355,0.0036775,0,4,1,27704263,82543480,604210,50950
cnn,6,coro-prefetch,2,10,100,400,5,2,7731,0.0038655,1,4,1,29152686,91742727,600581,50036
cnn,0,control,1,10,100,400,5,2,4877,0.0024385,1,4,1,18346156,49851479,594810,47089
cnn,5,coro-no-prefetch,2,10,100,400,5,2,7355,0.0036775,0,4,1,27733471,82542727,603852,50535
