model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,40,2,2,18945,0.236813,1,4,1,197256,75356,44290,1118
cnn,5,coro-no-prefetch,2,10,100,40,2,2,1401,0.0175125,0,4,1,1793088,3213338,1638912,2347
cnn,6,coro-prefetch,2,10,100,40,2,2,1494,0.018675,1,4,1,1966700,3532890,1718702,2983
cnn,0,control,1,10,100,40,2,2,314,0.003925,1,4,1,194513,75356,44267,1108
cnn,5,coro-no-prefetch,2,10,100,40,2,2,1376,0.0172,0,4,1,1786613,3212890,1638667,2372
cnn,6,coro-prefetch,2,10,100,40,2,2,1607,0.0200875,1,4,1,1964353,3532890,1718390,2988
cnn,0,control,1,10,100,40,2,2,313,0.0039125,1,4,1,195421,75356,44292,1123
cnn,5,coro-no-prefetch,2,10,100,40,2,2,1378,0.017225,0,4,1,1786629,3212890,1638315,2283
cnn,6,coro-prefetch,2,10,100,40,2,2,1587,0.0198375,1,4,1,1965776,3532890,1718693,2891
cnn,0,control,1,10,100,40,2,2,319,0.0039875,1,4,1,195035,75356,44269,1110
cnn,5,coro-no-prefetch,2,10,100,40,2,2,1469,0.0183625,0,4,1,1795314,3212890,1638311,2348
cnn,6,coro-prefetch,2,10,100,40,2,2,1494,0.018675,1,4,1,1963017,3532890,1718301,2955
cnn,0,control,1,10,100,40,2,2,313,0.0039125,1,4,1,193953,75356,44299,1110
cnn,5,coro-no-prefetch,2,10,100,40,2,2,1380,0.01725,0,4,1,1785178,3212890,1638275,2324
cnn,6,coro-prefetch,2,10,100,40,2,2,1495,0.0186875,1,4,1,1961854,3532890,1718178,2921
cnn,0,control,1,10,100,40,2,2,314,0.003925,1,4,1,195795,75356,44288,1110
cnn,5,coro-no-prefetch,2,10,100,40,2,2,1385,0.0173125,0,4,1,1791251,3212890,1638274,2308
cnn,6,coro-prefetch,2,10,100,40,2,2,1500,0.01875,1,4,1,1960945,3532890,1718151,2877
cnn,0,control,1,10,100,40,2,2,316,0.00395,1,4,1,194479,75356,44277,1116
cnn,5,coro-no-prefetch,2,10,100,40,2,2,1375,0.0171875,0,4,1,1786547,3212890,1638220,2253
cnn,6,coro-prefetch,2,10,100,40,2,2,1491,0.0186375,1,4,1,1956357,3532890,1718121,2971
