model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,400,2,2,14966,0.0187075,1,8,1,634448,46478,96785,17943
cnn,5,coro-no-prefetch,2,10,100,400,2,2,3047,0.00380875,0,8,1,11346973,35579479,100961,14292
cnn,6,coro-prefetch,2,10,100,400,2,2,3622,0.0045275,1,8,1,13578825,44778725,507294,38682
cnn,0,control,1,10,100,400,2,2,197,0.00024625,1,8,1,600066,46478,94941,11024
cnn,5,coro-no-prefetch,2,10,100,400,2,2,3001,0.00375125,0,8,1,11200551,35578726,100765,14094
cnn,6,coro-prefetch,2,10,100,400,2,2,3632,0.00454,1,8,1,13590232,44778726,507053,38430
cnn,0,control,1,10,100,400,2,2,196,0.000245,1,8,1,599473,46478,94965,10894
cnn,5,coro-no-prefetch,2,10,100,400,2,2,2999,0.00374875,0,8,1,11205417,35578725,100196,14006
cnn,6,coro-prefetch,2,10,100,400,2,2,3638,0.0045475,1,8,1,13609224,44778726,507227,38639
cnn,0,control,1,10,100,400,2,2,196,0.000245,1,8,1,599208,46478,94996,10984
cnn,5,coro-no-prefetch,2,10,100,400,2,2,2994,0.0037425,0,8,1,11209554,35578725,99726,13906
cnn,6,coro-prefetch,2,10,100,400,2,2,3636,0.004545,1,8,1,13605526,44778726,507970,38780
cnn,0,control,1,10,100,400,2,2,198,0.0002475,1,8,1,599078,46478,95255,11113
cnn,5,coro-no-prefetch,2,10,100,400,2,2,2993,0.00374125,0,8,1,11197479,35578725,99981,13996
cnn,6,coro-prefetch,2,10,100,400,2,2,3574,0.0044675,1,8,1,13732650,44778726,507226,38342
cnn,0,control,1,10,100,400,2,2,191,0.00023875,1,8,1,600498,46478,94853,10884
cnn,5,coro-no-prefetch,2,10,100,400,2,2,3043,0.00380375,0,8,1,11384239,35578725,99820,13836
cnn,6,coro-prefetch,2,10,100,400,2,2,3632,0.00454,1,8,1,13595479,44778726,506602,38724
cnn,0,control,1,10,100,400,2,2,197,0.00024625,1,8,1,601258,46478,94886,10946
cnn,5,coro-no-prefetch,2,10,100,400,2,2,2983,0.00372875,0,8,1,11159158,35578725,100047,13878
cnn,6,coro-prefetch,2,10,100,400,2,2,3660,0.004575,1,8,1,13702279,44778726,506940,38938
cnn,0,control,1,10,100,400,2,2,198,0.0002475,1,8,1,597816,46478,94860,10839
