model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,2,10,80,1,1,19140,11.9625,1,2,1,30481,47907,10365,64
svm,5,coro-no-prefetch,2,2,10,80,1,1,275,0.171875,0,2,1,89221,152617,71756,108
svm,6,coro-prefetch,2,2,10,80,1,1,258,0.16125,1,2,1,91811,165144,74885,83
svm,0,control,1,2,10,80,1,1,210,0.13125,1,2,1,31411,47907,10361,64
svm,5,coro-no-prefetch,2,2,10,80,1,1,253,0.158125,0,2,1,87301,152344,71645,112
svm,6,coro-prefetch,2,2,10,80,1,1,260,0.1625,1,2,1,92048,165144,74743,84
svm,0,control,1,2,10,80,1,1,212,0.1325,1,2,1,30562,47907,10360,64
svm,5,coro-no-prefetch,2,2,10,80,1,1,253,0.158125,0,2,1,86720,152344,71557,105
svm,6,coro-prefetch,2,2,10,80,1,1,254,0.15875,1,2,1,90778,165144,74679,87
svm,0,control,1,2,10,80,1,1,222,0.13875,1,2,1,32016,47907,10359,66
svm,5,coro-no-prefetch,2,2,10,80,1,1,296,0.185,0,2,1,85830,152344,71453,130
svm,6,coro-prefetch,2,2,10,80,1,1,253,0.158125,1,2,1,89772,165144,74761,84
svm,0,control,1,2,10,80,1,1,214,0.13375,1,2,1,31028,47907,10359,62
svm,5,coro-no-prefetch,2,2,10,80,1,1,252,0.1575,0,2,1,84668,152344,71447,103
svm,6,coro-prefetch,2,2,10,80,1,1,256,0.16,1,2,1,91257,165144,74700,85
svm,0,control,1,2,10,80,1,1,214,0.13375,1,2,1,31322,47907,10360,65
svm,5,coro-no-prefetch,2,2,10,80,1,1,255,0.159375,0,2,1,86235,152344,71542,106
svm,6,coro-prefetch,2,2,10,80,1,1,259,0.161875,1,2,1,90321,165144,74795,84
svm,0,control,1,2,10,80,1,1,216,0.135,1,2,1,32069,47907,10361,63
svm,5,coro-no-prefetch,2,2,10,80,1,1,249,0.155625,0,2,1,85268,152344,71468,108
svm,6,coro-prefetch,2,2,10,80,1,1,256,0.16,1,2,1,90915,165144,74697,86
svm,0,control,1,2,10,80,1,1,218,0.13625,1,2,1,31720,47907,10360,66
svm,5,coro-no-prefetch,2,2,10,80,1,1,251,0.156875,0,2,1,84923,152344,71418,108
svm,6,coro-prefetch,2,2,10,80,1,1,254,0.15875,1,2,1,91463,165144,74805,87
svm,0,control,1,2,10,80,1,1,216,0.135,1,2,1,31725,47907,10362,64
svm,5,coro-no-prefetch,2,2,10,80,1,1,259,0.161875,0,2,1,84705,152344,71398,104
svm,6,coro-prefetch,2,2,10,80,1,1,257,0.160625,1,2,1,90290,165144,74727,85
svm,0,control,1,2,10,80,1,1,213,0.133125,1,2,1,31451,47907,10362,65
svm,5,coro-no-prefetch,2,2,10,80,1,1,253,0.158125,0,2,1,86530,152344,71382,113
svm,6,coro-prefetch,2,2,10,80,1,1,258,0.16125,1,2,1,90479,165144,74615,85
svm,0,control,1,2,10,80,2,1,194,0.060625,1,2,1,64755,57595,13573,84
svm,5,coro-no-prefetch,2,2,10,80,2,1,288,0.09,0,2,1,123510,162626,78045,133
svm,6,coro-prefetch,2,2,10,80,2,1,264,0.0825,1,2,1,99443,174832,78189,78
svm,0,control,1,2,10,80,2,1,228,0.07125,1,2,1,63897,57595,13572,84
svm,5,coro-no-prefetch,2,2,10,80,2,1,273,0.0853125,0,2,1,122524,162032,77798,128
svm,6,coro-prefetch,2,2,10,80,2,1,258,0.080625,1,2,1,97761,174832,78054,80
svm,0,control,1,2,10,80,2,1,237,0.0740625,1,2,1,62957,57595,13568,83
svm,5,coro-no-prefetch,2,2,10,80,2,1,271,0.0846875,0,2,1,122600,162032,77771,126
svm,6,coro-prefetch,2,2,10,80,2,1,255,0.0796875,1,2,1,96175,174832,77929,79
svm,0,control,1,2,10,80,2,1,233,0.0728125,1,2,1,64495,57595,13564,83
svm,5,coro-no-prefetch,2,2,10,80,2,1,276,0.08625,0,2,1,120701,162032,77764,124
svm,6,coro-prefetch,2,2,10,80,2,1,254,0.079375,1,2,1,94601,174832,77840,79
svm,0,control,1,2,10,80,2,1,232,0.0725,1,2,1,62917,57595,13566,85
svm,5,coro-no-prefetch,2,2,10,80,2,1,268,0.08375,0,2,1,120407,162032,77735,123
svm,6,coro-prefetch,2,2,10,80,2,1,254,0.079375,1,2,1,95953,174832,77885,78
svm,0,control,1,2,10,80,2,1,230,0.071875,1,2,1,62433,57595,13565,82
svm,5,coro-no-prefetch,2,2,10,80,2,1,267,0.0834375,0,2,1,121242,162032,77713,126
svm,6,coro-prefetch,2,2,10,80,2,1,252,0.07875,1,2,1,95579,174832,77874,78
svm,0,control,1,2,10,80,2,1,236,0.07375,1,2,1,62858,57595,13567,83
svm,5,coro-no-prefetch,2,2,10,80,2,1,269,0.0840625,0,2,1,121435,162032,77786,128
svm,6,coro-prefetch,2,2,10,80,2,1,326,0.101875,1,2,1,97073,174832,77924,84
svm,0,control,1,2,10,80,2,1,227,0.0709375,1,2,1,62233,57595,13565,85
svm,5,coro-no-prefetch,2,2,10,80,2,1,275,0.0859375,0,2,1,124521,162032,77688,124
svm,6,coro-prefetch,2,2,10,80,2,1,249,0.0778125,1,2,1,94575,174832,77934,87
