model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,200,82,2,68458,0.00417427,1,4,16,203359277,762978389,5690118,2034235
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54468,0.00332122,0,4,16,211206392,782251191,5724267,1807792
cnn,6,coro-prefetch,2,10,100,200,82,2,54535,0.0033253,1,4,16,211490365,794650924,5275634,1782791
cnn,0,control,1,10,100,200,82,2,52096,0.00317659,1,4,16,202227281,762978389,5656607,1720500
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54351,0.00331409,0,4,16,210770740,782250924,5703860,1770482
cnn,6,coro-prefetch,2,10,100,200,82,2,54529,0.00332494,1,4,16,211346619,794650762,5277961,1786604
cnn,0,control,1,10,100,200,82,2,52188,0.0031822,1,4,16,202417265,762978390,5660321,1818887
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54344,0.00331366,0,4,16,210594576,782250923,5704532,1805451
cnn,6,coro-prefetch,2,10,100,200,82,2,54531,0.00332506,1,4,16,211500508,794650923,5276862,1772034
cnn,0,control,1,10,100,200,82,2,52097,0.00317665,1,4,16,202246317,762978389,5658034,1735814
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54315,0.00331189,0,4,16,210642278,782250762,5705437,1803440
cnn,6,coro-prefetch,2,10,100,200,82,2,54442,0.00331963,1,4,16,211115598,794650924,5247291,1752501
cnn,0,control,1,10,100,200,82,2,52100,0.00317683,1,4,16,202253417,762978389,5657144,1710014
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54273,0.00330933,0,4,16,210453166,782250924,5701985,1771470
cnn,6,coro-prefetch,2,10,100,200,82,2,54540,0.00332561,1,4,16,211516969,794650762,5259050,1782653
cnn,0,control,1,10,100,200,82,2,52117,0.00317787,1,4,16,202316987,762978389,5658608,1732561
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54253,0.00330811,0,4,16,210388974,782250922,5702503,1748832
cnn,6,coro-prefetch,2,10,100,200,82,2,54453,0.0033203,1,4,16,211204246,794650924,5250362,1762053
cnn,0,control,1,10,100,200,82,2,52141,0.00317933,1,4,16,202404315,762978389,5658591,1752231
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54289,0.0033103,0,4,16,210451928,782250923,5703250,1764946
cnn,6,coro-prefetch,2,10,100,200,82,2,54391,0.00331652,1,4,16,210957263,794650761,5223421,1760907
cnn,0,control,1,10,100,200,82,2,52127,0.00317848,1,4,16,202289543,762978389,5657186,1720088
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54252,0.00330805,0,4,16,210366228,782250924,5703008,1777939
cnn,6,coro-prefetch,2,10,100,200,82,2,54544,0.00332585,1,4,16,211541221,794650924,5221513,1746596
cnn,0,control,1,10,100,200,82,2,52127,0.00317848,1,4,16,202374600,762978389,5658435,1754875
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54309,0.00331152,0,4,16,210540605,782250762,5702702,1765727
cnn,6,coro-prefetch,2,10,100,200,82,2,54513,0.00332396,1,4,16,211410417,794650924,5217602,1794994
cnn,0,control,1,10,100,200,82,2,52098,0.00317671,1,4,16,202240601,762978389,5658372,1740127
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54278,0.00330963,0,4,16,210482790,782250923,5701932,1759748
cnn,6,coro-prefetch,2,10,100,200,82,2,54414,0.00331793,1,4,16,211039713,794650761,5198309,1760514
cnn,0,control,1,10,100,200,82,2,52098,0.00317671,1,4,16,202223866,762978389,5658760,1744209
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54264,0.00330878,0,4,16,210403643,782250923,5701693,1746006
cnn,6,coro-prefetch,2,10,100,200,82,2,54605,0.00332957,1,4,16,211784564,794650923,5274878,1756740
cnn,0,control,1,10,100,200,82,2,52105,0.00317713,1,4,16,202256155,762978389,5657492,1707678
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54271,0.00330921,0,4,16,210435301,782250925,5702329,1778957
cnn,6,coro-prefetch,2,10,100,200,82,2,54530,0.003325,1,4,16,211488523,794650762,5260228,1770526
cnn,0,control,1,10,100,200,82,2,52103,0.00317701,1,4,16,202259207,762978389,5658144,1734812
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54298,0.00331085,0,4,16,210555552,782250924,5702847,1761841
cnn,6,coro-prefetch,2,10,100,200,82,2,54357,0.00331445,1,4,16,210746755,794650924,5186939,1778663
cnn,0,control,1,10,100,200,82,2,52113,0.00317762,1,4,16,202244571,762978389,5657658,1727318
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54299,0.00331091,0,4,16,210595826,782250761,5701795,1758952
cnn,6,coro-prefetch,2,10,100,200,82,2,54392,0.00331659,1,4,16,210941706,794650923,5179742,1758756
cnn,0,control,1,10,100,200,82,2,52108,0.00317732,1,4,16,202275048,762978389,5658851,1757200
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54335,0.00331311,0,4,16,210703127,782250924,5703259,1835068
cnn,6,coro-prefetch,2,10,100,200,82,2,54415,0.00331799,1,4,16,211032844,794650761,5201496,1769569
cnn,0,control,1,10,100,200,82,2,52087,0.00317604,1,4,16,202206662,762978389,5656633,1728717
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54285,0.00331006,0,4,16,210513754,782250924,5702320,1767983
cnn,6,coro-prefetch,2,10,100,200,82,2,54450,0.00332012,1,4,16,211147616,794650924,5232518,1791082
cnn,0,control,1,10,100,200,82,2,52125,0.00317835,1,4,16,202337057,762978389,5657691,1725262
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54283,0.00330994,0,4,16,210501209,782250762,5702510,1746378
cnn,6,coro-prefetch,2,10,100,200,82,2,54369,0.00331518,1,4,16,210835407,794650924,5237317,1757999
cnn,0,control,1,10,100,200,82,2,52124,0.00317829,1,4,16,202335225,762978389,5658463,1741177
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54263,0.00330872,0,4,16,210408478,782250923,5702187,1758718
cnn,6,coro-prefetch,2,10,100,200,82,2,54382,0.00331598,1,4,16,210913443,794650923,5267501,1742775
cnn,0,control,1,10,100,200,82,2,52119,0.00317799,1,4,16,202324040,762978389,5657729,1727315
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54285,0.00331006,0,4,16,210505623,782250762,5702647,1783254
cnn,6,coro-prefetch,2,10,100,200,82,2,54604,0.00332951,1,4,16,211747239,794650924,5265459,1761079
cnn,0,control,1,10,100,200,82,2,52135,0.00317896,1,4,16,202282074,762978389,5659084,1738385
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54259,0.00330848,0,4,16,210424255,782250923,5704507,1785328
cnn,6,coro-prefetch,2,10,100,200,82,2,54429,0.00331884,1,4,16,211085283,794650762,5279590,1787726
cnn,0,control,1,10,100,200,82,2,52135,0.00317896,1,4,16,202384248,762978389,5657922,1737128
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54252,0.00330805,0,4,16,210377013,782250923,5702764,1747795
cnn,6,coro-prefetch,2,10,100,200,82,2,54505,0.00332348,1,4,16,211348284,794650924,5240558,1763441
cnn,0,control,1,10,100,200,82,2,52117,0.00317787,1,4,16,202295643,762978389,5658343,1746075
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54259,0.00330848,0,4,16,210412822,782250760,5702973,1754422
cnn,6,coro-prefetch,2,10,100,200,82,2,54565,0.00332713,1,4,16,211631806,794650923,5226991,1761562
cnn,0,control,1,10,100,200,82,2,52091,0.00317628,1,4,16,202194614,762978389,5657731,1715936
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54275,0.00330945,0,4,16,210463691,782250924,5703320,1772140
cnn,6,coro-prefetch,2,10,100,200,82,2,54657,0.00333274,1,4,16,211959406,794650924,5274543,1748580
cnn,0,control,1,10,100,200,82,2,52109,0.00317738,1,4,16,202262520,762978389,5656428,1719489
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54253,0.00330811,0,4,16,210385477,782250762,5701564,1739531
cnn,6,coro-prefetch,2,10,100,200,82,2,54361,0.0033147,1,4,16,210821168,794650924,5246714,1777558
cnn,0,control,1,10,100,200,82,2,52112,0.00317756,1,4,16,202279345,762978389,5656850,1721176
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54327,0.00331262,0,4,16,210607641,782250923,5703712,1758655
cnn,6,coro-prefetch,2,10,100,200,82,2,54582,0.00332817,1,4,16,211706748,794650761,5205464,1757378
cnn,0,control,1,10,100,200,82,2,52116,0.0031778,1,4,16,202261830,762978389,5657623,1748467
cnn,5,coro-no-prefetch,2,10,100,200,82,2,55302,0.00337207,0,4,16,214345019,782250924,5708815,2064306
cnn,6,coro-prefetch,2,10,100,200,82,2,54507,0.0033236,1,4,16,211369601,794650924,5276233,1828837
cnn,0,control,1,10,100,200,82,2,52129,0.0031786,1,4,16,202269396,762978389,5659327,1749950
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54298,0.00331085,0,4,16,210447107,782250762,5704019,1788050
cnn,6,coro-prefetch,2,10,100,200,82,2,54468,0.00332122,1,4,16,211238060,794650924,5281403,1780419
cnn,0,control,1,10,100,200,82,2,52107,0.00317726,1,4,16,202269481,762978389,5658374,1734154
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54250,0.00330793,0,4,16,210395055,782250923,5702443,1752870
cnn,6,coro-prefetch,2,10,100,200,82,2,54639,0.00333165,1,4,16,211929259,794650761,5204370,1791579
cnn,0,control,1,10,100,200,82,2,52110,0.00317744,1,4,16,202293369,762978389,5658127,1742738
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54256,0.00330829,0,4,16,210385278,782250924,5703421,1747906
cnn,6,coro-prefetch,2,10,100,200,82,2,54545,0.00332591,1,4,16,211549084,794650924,5278047,1762388
cnn,0,control,1,10,100,200,82,2,52108,0.00317732,1,4,16,202266698,762978389,5657604,1716467
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54301,0.00331104,0,4,16,210578906,782250924,5703693,1772242
cnn,6,coro-prefetch,2,10,100,200,82,2,54390,0.00331646,1,4,16,210937600,794650762,5231190,1753138
cnn,0,control,1,10,100,200,82,2,52103,0.00317701,1,4,16,202257848,762978389,5657522,1716743
cnn,5,coro-no-prefetch,2,10,100,200,82,2,54300,0.00331098,0,4,16,210577945,782250923,5703100,1781565
cnn,6,coro-prefetch,2,10,100,200,82,2,54759,0.00333896,1,4,16,212329942,794650924,5256517,1812872
