model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,400,170,2,64866,0.000953912,1,4,32,251679348,563669494,23232705,16353741
cnn,5,coro-no-prefetch,2,10,100,400,170,2,68256,0.00100376,0,4,32,264277403,596361194,23364380,16369915
cnn,6,coro-prefetch,2,10,100,400,170,2,66547,0.000978632,1,4,32,257563226,628760927,21077713,15012741
cnn,0,control,1,10,100,400,170,2,64841,0.000953544,1,4,32,251569530,563669494,23229938,16360472
cnn,5,coro-no-prefetch,2,10,100,400,170,2,67973,0.000999603,0,4,32,263274744,596360927,23360138,16370081
cnn,6,coro-prefetch,2,10,100,400,170,2,66339,0.000975574,1,4,32,256825185,628760765,21082070,15013766
cnn,0,control,1,10,100,400,170,2,65120,0.000957647,1,4,32,252585012,563669494,23232130,16366813
cnn,5,coro-no-prefetch,2,10,100,400,170,2,68221,0.00100325,0,4,32,264111476,596360927,23364649,16380532
cnn,6,coro-prefetch,2,10,100,400,170,2,66587,0.000979221,1,4,32,257874891,628760927,21058516,15023740
cnn,0,control,1,10,100,400,170,2,65139,0.000957926,1,4,32,252709483,563669494,23230896,16363287
cnn,5,coro-no-prefetch,2,10,100,400,170,2,69581,0.00102325,0,4,32,269446148,596360928,23373240,16375838
cnn,6,coro-prefetch,2,10,100,400,170,2,66397,0.000976426,1,4,32,257144474,628760764,21066270,15002488
cnn,0,control,1,10,100,400,170,2,64932,0.000954882,1,4,32,251908032,563669495,23231240,16363702
cnn,5,coro-no-prefetch,2,10,100,400,170,2,68949,0.00101396,0,4,32,267075579,596360927,23367123,16380305
cnn,6,coro-prefetch,2,10,100,400,170,2,66466,0.000977441,1,4,32,257321597,628760927,21093691,14999576
cnn,0,control,1,10,100,400,170,2,64900,0.000954412,1,4,32,251765975,563669494,23231498,16363826
cnn,5,coro-no-prefetch,2,10,100,400,170,2,69205,0.00101772,0,4,32,268073854,596360765,23368418,16370663
cnn,6,coro-prefetch,2,10,100,400,170,2,66422,0.000976794,1,4,32,257067480,628760927,21074316,14997003
cnn,0,control,1,10,100,400,170,2,65741,0.000966779,1,4,32,255035437,563669495,23234679,16386400
cnn,5,coro-no-prefetch,2,10,100,400,170,2,68080,0.00100118,0,4,32,263657560,596360927,23359253,16358048
cnn,6,coro-prefetch,2,10,100,400,170,2,66471,0.000977515,1,4,32,257300255,628760766,21064310,15005271
cnn,0,control,1,10,100,400,170,2,65148,0.000958059,1,4,32,252743930,563669495,23231363,16368251
cnn,5,coro-no-prefetch,2,10,100,400,170,2,67929,0.000998956,0,4,32,263048590,596360927,23359368,16364121
cnn,6,coro-prefetch,2,10,100,400,170,2,66278,0.000974676,1,4,32,256702512,628760925,21069509,14992993
cnn,0,control,1,10,100,400,170,2,64975,0.000955515,1,4,32,252049310,563669495,23233617,16369578
cnn,5,coro-no-prefetch,2,10,100,400,170,2,68003,0.00100004,0,4,32,263401679,596360764,23364851,16373418
cnn,6,coro-prefetch,2,10,100,400,170,2,66285,0.000974779,1,4,32,256724520,628760926,21076514,14995523
cnn,0,control,1,10,100,400,170,2,64864,0.000953882,1,4,32,251646759,563669494,23230602,16358239
cnn,5,coro-no-prefetch,2,10,100,400,170,2,68026,0.00100038,0,4,32,263506628,596360927,23362226,16366541
cnn,6,coro-prefetch,2,10,100,400,170,2,66323,0.000975338,1,4,32,256871278,628760926,21083033,14992933
cnn,0,control,1,10,100,400,170,2,64861,0.000953838,1,4,32,251572335,563669494,23232620,16357871
cnn,5,coro-no-prefetch,2,10,100,400,170,2,68031,0.00100046,0,4,32,263544098,596360765,23363257,16380590
cnn,6,coro-prefetch,2,10,100,400,170,2,66308,0.000975118,1,4,32,256819976,628760927,21067484,15008442
cnn,0,control,1,10,100,400,170,2,64933,0.000954897,1,4,32,251922496,563669494,23229608,16353559
cnn,5,coro-no-prefetch,2,10,100,400,170,2,68069,0.00100101,0,4,32,263649586,596360927,23362446,16383223
cnn,6,coro-prefetch,2,10,100,400,170,2,66389,0.000976309,1,4,32,257088087,628760768,21075187,15017819
cnn,0,control,1,10,100,400,170,2,64918,0.000954676,1,4,32,251878346,563669494,23232393,16359576
cnn,5,coro-no-prefetch,2,10,100,400,170,2,68072,0.00100106,0,4,32,263668523,596360927,23364838,16381133
cnn,6,coro-prefetch,2,10,100,400,170,2,66375,0.000976103,1,4,32,257020460,628760927,21082563,15004264
cnn,0,control,1,10,100,400,170,2,65140,0.000957941,1,4,32,252709809,563669494,23229902,16361188
cnn,5,coro-no-prefetch,2,10,100,400,170,2,68021,0.00100031,0,4,32,263484748,596360765,23362125,16383854
cnn,6,coro-prefetch,2,10,100,400,170,2,66267,0.000974515,1,4,32,256533290,628760927,21090000,15001484
cnn,0,control,1,10,100,400,170,2,64902,0.000954441,1,4,32,251791751,563669494,23230205,16365598
cnn,5,coro-no-prefetch,2,10,100,400,170,2,67907,0.000998632,0,4,32,263029496,596360927,23361409,16380808
cnn,6,coro-prefetch,2,10,100,400,170,2,66218,0.000973794,1,4,32,256445195,628760927,21073313,15000652
cnn,0,control,1,10,100,400,170,2,64856,0.000953765,1,4,32,251543657,563669494,23231782,16351248
cnn,5,coro-no-prefetch,2,10,100,400,170,2,68032,0.00100047,0,4,32,263521983,596360764,23360570,16385509
cnn,6,coro-prefetch,2,10,100,400,170,2,66299,0.000974985,1,4,32,256758850,628760927,21058190,15007396
cnn,0,control,1,10,100,400,170,2,64821,0.00095325,1,4,32,251465792,563669494,23232722,16354488
cnn,5,coro-no-prefetch,2,10,100,400,170,2,68061,0.0010009,0,4,32,263584989,596360928,23364131,16370623
cnn,6,coro-prefetch,2,10,100,400,170,2,66338,0.000975559,1,4,32,256894235,628760765,21082348,15008522
cnn,0,control,1,10,100,400,170,2,65150,0.000958088,1,4,32,252753666,563669494,23230092,16358115
cnn,5,coro-no-prefetch,2,10,100,400,170,2,68056,0.00100082,0,4,32,263582983,596360927,23362529,16368708
cnn,6,coro-prefetch,2,10,100,400,170,2,66349,0.000975721,1,4,32,256956317,628760927,21055109,15009676
cnn,0,control,1,10,100,400,170,2,64975,0.000955515,1,4,32,252090384,563669494,23230847,16363913
