model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
leaf,0,control,1,10,100,800,164,1,38582,0.00029407,1,2,6,95735268,87345192,8556484,5951503
leaf,5,coro-no-prefetch,8,10,100,800,164,1,40101,0.000305648,0,2,6,102320539,156838935,15428581,6036374
leaf,6,coro-prefetch,8,10,100,800,164,1,24760,0.00018872,1,2,6,76962745,195237132,18141298,5747462
leaf,0,control,1,10,100,800,164,1,36767,0.000280236,1,2,6,102635541,87345191,8549185,5936091
leaf,5,coro-no-prefetch,8,10,100,800,164,1,39445,0.000300648,0,2,6,103209228,156837444,15424390,6031814
leaf,6,coro-prefetch,8,10,100,800,164,1,24703,0.000188285,1,2,6,77190249,195237441,18145226,5749890
leaf,0,control,1,10,100,800,164,1,36708,0.000279787,1,2,6,102519824,87345191,8540939,5936732
leaf,5,coro-no-prefetch,8,10,100,800,164,1,39362,0.000300015,0,2,6,103144829,156837137,15405909,6031453
leaf,6,coro-prefetch,8,10,100,800,164,1,24736,0.000188537,1,2,6,76989541,195237440,18144601,5749156
leaf,0,control,1,10,100,800,164,1,36550,0.000278582,1,2,6,103010010,87345191,8543008,5936888
leaf,5,coro-no-prefetch,8,10,100,800,164,1,39394,0.000300259,0,2,6,103175292,156837445,15416123,6030820
leaf,6,coro-prefetch,8,10,100,800,164,1,24600,0.0001875,1,2,6,77270896,195237132,18130797,5744184
leaf,0,control,1,10,100,800,164,1,36618,0.000279101,1,2,6,103201837,87345191,8539148,5939606
leaf,5,coro-no-prefetch,8,10,100,800,164,1,39338,0.000299832,0,2,6,103067636,156837445,15404000,6028451
leaf,6,coro-prefetch,8,10,100,800,164,1,24723,0.000188437,1,2,6,77148674,195237441,18139958,5748489
leaf,0,control,1,10,100,800,164,1,36678,0.000279558,1,2,6,102879393,87345191,8543453,5937297
leaf,5,coro-no-prefetch,8,10,100,800,164,1,39397,0.000300282,0,2,6,103007100,156837136,15408216,6029427
leaf,6,coro-prefetch,8,10,100,800,164,1,24709,0.000188331,1,2,6,77034268,195237441,18139183,5745936
leaf,0,control,1,10,100,800,164,1,36525,0.000278392,1,2,6,103341550,87345192,8546301,5941304
leaf,5,coro-no-prefetch,8,10,100,800,164,1,39305,0.000299581,0,2,6,103147897,156837443,15405522,6030130
leaf,6,coro-prefetch,8,10,100,800,164,1,24674,0.000188064,1,2,6,76967875,195237134,18137103,5745188
leaf,0,control,1,10,100,800,164,1,36673,0.00027952,1,2,6,103020690,87345191,8546301,5937702
leaf,5,coro-no-prefetch,8,10,100,800,164,1,39387,0.000300206,0,2,6,103153527,156837444,15408790,6028037
leaf,6,coro-prefetch,8,10,100,800,164,1,24718,0.000188399,1,2,6,76966567,195237441,18134029,5742025
leaf,0,control,1,10,100,800,164,1,36636,0.000279238,1,2,6,102978003,87345191,8543669,5937519
leaf,5,coro-no-prefetch,8,10,100,800,164,1,39377,0.00030013,0,2,6,103172468,156837137,15411885,6031184
leaf,6,coro-prefetch,8,10,100,800,164,1,24675,0.000188072,1,2,6,77038019,195237440,18125489,5746299
leaf,0,control,1,10,100,800,164,1,36655,0.000279383,1,2,6,102941123,87345191,8542294,5938076
leaf,5,coro-no-prefetch,8,10,100,800,164,1,39447,0.000300663,0,2,6,102980991,156837137,15405207,6028934
leaf,6,coro-prefetch,8,10,100,800,164,1,24686,0.000188155,1,2,6,76967118,195237440,18119326,5746770
leaf,0,control,1,10,100,800,164,1,36672,0.000279512,1,2,6,102969826,87345192,8542785,5938087
leaf,5,coro-no-prefetch,8,10,100,800,164,1,39424,0.000300488,0,2,6,103161534,156837444,15397213,6028499
leaf,6,coro-prefetch,8,10,100,800,164,1,24756,0.000188689,1,2,6,77054001,195237132,18124909,5749485
leaf,0,control,1,10,100,800,164,1,36523,0.000278377,1,2,6,103312477,87345191,8531702,5934109
leaf,5,coro-no-prefetch,8,10,100,800,164,1,39350,0.000299924,0,2,6,103273889,156837445,15401904,6026635
leaf,6,coro-prefetch,8,10,100,800,164,1,24546,0.000187088,1,2,6,77310992,195237440,18126345,5749253
leaf,0,control,1,10,100,800,164,1,36540,0.000278506,1,2,6,103341845,87345191,8540117,5939119
leaf,5,coro-no-prefetch,8,10,100,800,164,1,39229,0.000299002,0,2,6,103349070,156837137,15408344,6026167
leaf,6,coro-prefetch,8,10,100,800,164,1,24571,0.000187279,1,2,6,77261479,195237441,18117093,5744288
leaf,0,control,1,10,100,800,164,1,36583,0.000278834,1,2,6,103290452,87345191,8530510,5932704
leaf,5,coro-no-prefetch,8,10,100,800,164,1,39323,0.000299718,0,2,6,103215642,156837444,15403216,6029921
leaf,6,coro-prefetch,8,10,100,800,164,1,24660,0.000187957,1,2,6,77107911,195237133,18124907,5745281
leaf,0,control,1,10,100,800,164,1,36595,0.000278925,1,2,6,103145349,87345191,8545328,5939767
leaf,5,coro-no-prefetch,8,10,100,800,164,1,39322,0.00029971,0,2,6,103064720,156837444,15409050,6028854
leaf,6,coro-prefetch,8,10,100,800,164,1,24551,0.000187127,1,2,6,77314004,195237441,18122615,5749507
leaf,0,control,1,10,100,800,164,1,36682,0.000279588,1,2,6,102784887,87345191,8540643,5936091
