model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,100,80,2,35221,0.00440263,1,8,10,25348191,24658497,5360647,1572602
norm,5,coro-no-prefetch,8,10,100,100,80,2,7544,0.000943,0,8,10,25832673,33926306,5461393,1541632
norm,6,coro-prefetch,8,10,100,100,80,2,6818,0.00085225,1,8,10,23531584,39624508,5143372,1508394
norm,0,control,1,10,100,100,80,2,6606,0.00082575,1,8,10,24797723,24658498,5328771,1254018
norm,5,coro-no-prefetch,8,10,100,100,80,2,7089,0.000886125,0,8,10,26393680,33924816,5481119,1525547
norm,6,coro-prefetch,8,10,100,100,80,2,6380,0.0007975,1,8,10,23692687,39624817,5149117,1487767
norm,0,control,1,10,100,100,80,2,6611,0.000826375,1,8,10,24853961,24658497,5332176,1256328
norm,5,coro-no-prefetch,8,10,100,100,80,2,7084,0.0008855,0,8,10,26379517,33924509,5483693,1526568
norm,6,coro-prefetch,8,10,100,100,80,2,6385,0.000798125,1,8,10,23728469,39624816,5149362,1494618
norm,0,control,1,10,100,100,80,2,6627,0.000828375,1,8,10,24878402,24658498,5330691,1253668
norm,5,coro-no-prefetch,8,10,100,100,80,2,7094,0.00088675,0,8,10,26409760,33924817,5483806,1534850
norm,6,coro-prefetch,8,10,100,100,80,2,6392,0.000799,1,8,10,23773452,39624507,5146237,1496124
norm,0,control,1,10,100,100,80,2,6605,0.000825625,1,8,10,24850922,24658497,5333079,1258426
norm,5,coro-no-prefetch,8,10,100,100,80,2,7084,0.0008855,0,8,10,26367753,33924817,5482189,1519559
norm,6,coro-prefetch,8,10,100,100,80,2,6416,0.000802,1,8,10,23825496,39624816,5156055,1525533
norm,0,control,1,10,100,100,80,2,6620,0.0008275,1,8,10,24859268,24658498,5331278,1257907
norm,5,coro-no-prefetch,8,10,100,100,80,2,7076,0.0008845,0,8,10,26370928,33924508,5482577,1525440
norm,6,coro-prefetch,8,10,100,100,80,2,6381,0.000797625,1,8,10,23723332,39624816,5148524,1494486
norm,0,control,1,10,100,100,80,2,6613,0.000826625,1,8,10,24834646,24658498,5330423,1251462
norm,5,coro-no-prefetch,8,10,100,100,80,2,7090,0.00088625,0,8,10,26386608,33924508,5479660,1519297
norm,6,coro-prefetch,8,10,100,100,80,2,6414,0.00080175,1,8,10,23790253,39624817,5148113,1498294
norm,0,control,1,10,100,100,80,2,6630,0.00082875,1,8,10,24969218,24658497,5334259,1263657
norm,5,coro-no-prefetch,8,10,100,100,80,2,7094,0.00088675,0,8,10,26402052,33924816,5481551,1528845
norm,6,coro-prefetch,8,10,100,100,80,2,6377,0.000797125,1,8,10,23756606,39624509,5152514,1498274
norm,0,control,1,10,100,100,80,2,6639,0.000829875,1,8,10,24897901,24658498,5334318,1259512
norm,5,coro-no-prefetch,8,10,100,100,80,2,7097,0.000887125,0,8,10,26394323,33924816,5479706,1527369
norm,6,coro-prefetch,8,10,100,100,80,2,6384,0.000798,1,8,10,23733606,39624816,5150794,1491394
norm,0,control,1,10,100,100,80,2,6585,0.000823125,1,8,10,24775831,24658497,5330194,1260380
norm,5,coro-no-prefetch,8,10,100,100,80,2,7054,0.00088175,0,8,10,26269072,33924508,5480003,1520384
norm,6,coro-prefetch,8,10,100,100,80,2,6353,0.000794125,1,8,10,23620595,39624817,5154986,1498000
norm,0,control,1,10,100,100,80,2,6610,0.00082625,1,8,10,24888720,24658498,5331613,1254847
norm,5,coro-no-prefetch,8,10,100,100,80,2,7078,0.00088475,0,8,10,26366206,33924816,5477917,1523720
norm,6,coro-prefetch,8,10,100,100,80,2,6367,0.000795875,1,8,10,23706512,39624507,5154790,1490787
norm,0,control,1,10,100,100,80,2,6636,0.0008295,1,8,10,24924814,24658498,5332995,1258625
norm,5,coro-no-prefetch,8,10,100,100,80,2,7094,0.00088675,0,8,10,26403096,33924817,5478651,1521514
norm,6,coro-prefetch,8,10,100,100,80,2,6380,0.0007975,1,8,10,23763903,39624816,5143253,1491569
norm,0,control,1,10,100,100,80,2,6592,0.000824,1,8,10,24747140,24658497,5331650,1263245
norm,5,coro-no-prefetch,8,10,100,100,80,2,7057,0.000882125,0,8,10,26277525,33924509,5476296,1519427
norm,6,coro-prefetch,8,10,100,100,80,2,6360,0.000795,1,8,10,23646029,39624816,5160787,1497224
norm,0,control,1,10,100,100,80,2,6634,0.00082925,1,8,10,24912088,24658498,5333524,1257679
norm,5,coro-no-prefetch,8,10,100,100,80,2,7098,0.00088725,0,8,10,26411106,33924817,5480057,1525290
norm,6,coro-prefetch,8,10,100,100,80,2,6374,0.00079675,1,8,10,23780748,39624508,5149996,1498622
norm,0,control,1,10,100,100,80,2,6617,0.000827125,1,8,10,24907370,24658498,5331056,1262677
norm,5,coro-no-prefetch,8,10,100,100,80,2,7090,0.00088625,0,8,10,26394932,33924816,5477553,1520588
norm,6,coro-prefetch,8,10,100,100,80,2,6385,0.000798125,1,8,10,23718048,39624817,5147993,1492831
norm,0,control,1,10,100,100,80,2,6617,0.000827125,1,8,10,24853780,24658498,5330859,1260124
norm,5,coro-no-prefetch,8,10,100,100,80,2,7094,0.00088675,0,8,10,26429821,33924507,5473837,1534870
norm,6,coro-prefetch,8,10,100,100,80,2,6387,0.000798375,1,8,10,23725813,39624817,5146674,1503889
norm,0,control,1,10,100,100,80,2,6619,0.000827375,1,8,10,24845115,24658498,5330856,1253226
norm,5,coro-no-prefetch,8,10,100,100,80,2,7090,0.00088625,0,8,10,26359066,33924816,5479734,1527607
norm,6,coro-prefetch,8,10,100,100,80,2,6387,0.000798375,1,8,10,23768235,39624508,5146242,1497730
norm,0,control,1,10,100,100,80,2,6606,0.00082575,1,8,10,24846347,24658497,5333331,1260793
norm,5,coro-no-prefetch,8,10,100,100,80,2,7108,0.0008885,0,8,10,26440553,33924816,5477594,1528448
norm,6,coro-prefetch,8,10,100,100,80,2,6386,0.00079825,1,8,10,23724117,39624817,5152832,1490378
norm,0,control,1,10,100,100,80,2,6635,0.000829375,1,8,10,24912737,24658498,5331692,1257928
norm,5,coro-no-prefetch,8,10,100,100,80,2,7104,0.000888,0,8,10,26485717,33924508,5483138,1558077
norm,6,coro-prefetch,8,10,100,100,80,2,6381,0.000797625,1,8,10,23730223,39624815,5147079,1496841
norm,0,control,1,10,100,100,80,2,6688,0.000836,1,8,10,24937334,24658499,5335167,1270937
norm,5,coro-no-prefetch,8,10,100,100,80,2,7094,0.00088675,0,8,10,26407903,33924509,5478442,1528301
norm,6,coro-prefetch,8,10,100,100,80,2,6362,0.00079525,1,8,10,23625093,39624816,5174045,1493560
norm,0,control,1,10,100,100,80,2,6541,0.000817625,1,8,10,24599416,24658497,5324241,1265352
norm,5,coro-no-prefetch,8,10,100,100,80,2,6964,0.0008705,0,8,10,25919769,33924817,5478531,1506684
norm,6,coro-prefetch,8,10,100,100,80,2,6349,0.000793625,1,8,10,23588999,39624508,5186860,1489859
norm,0,control,1,10,100,100,80,2,6581,0.000822625,1,8,10,24683769,24658498,5325286,1265927
norm,5,coro-no-prefetch,8,10,100,100,80,2,6960,0.00087,0,8,10,25897596,33924817,5475539,1494047
norm,6,coro-prefetch,8,10,100,100,80,2,6319,0.000789875,1,8,10,23549571,39624816,5190819,1484839
norm,0,control,1,10,100,100,80,2,6487,0.000810875,1,8,10,24814322,24658498,5322622,1268316
norm,5,coro-no-prefetch,8,10,100,100,80,2,6951,0.000868875,0,8,10,25871469,33924508,5472604,1501173
norm,6,coro-prefetch,8,10,100,100,80,2,6307,0.000788375,1,8,10,23583066,39624817,5192909,1490705
norm,0,control,1,10,100,100,80,2,6424,0.000803,1,8,10,24789267,24658497,5319813,1258409
norm,5,coro-no-prefetch,8,10,100,100,80,2,6971,0.000871375,0,8,10,25938271,33924816,5483642,1505788
norm,6,coro-prefetch,8,10,100,100,80,2,6314,0.00078925,1,8,10,23636214,39624509,5193978,1492502
norm,0,control,1,10,100,100,80,2,6425,0.000803125,1,8,10,24751776,24658498,5322926,1257226
norm,5,coro-no-prefetch,8,10,100,100,80,2,6935,0.000866875,0,8,10,25916446,33924815,5482565,1506531
norm,6,coro-prefetch,8,10,100,100,80,2,6316,0.0007895,1,8,10,23632972,39624817,5187901,1490843
norm,0,control,1,10,100,100,80,2,6432,0.000804,1,8,10,24760201,24658498,5323359,1258228
norm,5,coro-no-prefetch,8,10,100,100,80,2,6935,0.000866875,0,8,10,25919740,33924508,5476197,1501790
norm,6,coro-prefetch,8,10,100,100,80,2,6303,0.000787875,1,8,10,23725734,39624816,5194916,1517425
norm,0,control,1,10,100,100,80,2,6439,0.000804875,1,8,10,24812676,24658498,5323314,1263751
norm,5,coro-no-prefetch,8,10,100,100,80,2,6947,0.000868375,0,8,10,25961912,33924817,5482098,1513785
norm,6,coro-prefetch,8,10,100,100,80,2,6300,0.0007875,1,8,10,23594271,39624508,5188671,1486463
norm,0,control,1,10,100,100,80,2,6407,0.000800875,1,8,10,24708791,24658497,5323042,1258722
norm,5,coro-no-prefetch,8,10,100,100,80,2,6946,0.00086825,0,8,10,25931934,33924817,5479623,1504741
norm,6,coro-prefetch,8,10,100,100,80,2,6282,0.00078525,1,8,10,23576486,39624816,5201286,1489219
norm,0,control,1,10,100,100,80,2,6451,0.000806375,1,8,10,24855901,24658498,5323031,1267351
norm,5,coro-no-prefetch,8,10,100,100,80,2,6922,0.00086525,0,8,10,25922573,33924508,5475901,1503017
norm,6,coro-prefetch,8,10,100,100,80,2,6261,0.000782625,1,8,10,23577200,39624815,5189250,1489375
norm,0,control,1,10,100,100,80,2,6442,0.00080525,1,8,10,24813349,24658498,5325388,1268574
norm,5,coro-no-prefetch,8,10,100,100,80,2,6917,0.000864625,0,8,10,25944482,33924817,5469204,1491987
norm,6,coro-prefetch,8,10,100,100,80,2,6276,0.0007845,1,8,10,23603833,39624508,5187708,1488162
norm,0,control,1,10,100,100,80,2,6445,0.000805625,1,8,10,24829018,24658498,5324769,1264685
norm,5,coro-no-prefetch,8,10,100,100,80,2,6919,0.000864875,0,8,10,25950540,33924816,5483042,1501814
norm,6,coro-prefetch,8,10,100,100,80,2,6271,0.000783875,1,8,10,23545999,39624817,5197843,1488615
norm,0,control,1,10,100,100,80,2,6398,0.00079975,1,8,10,24696999,24658497,5324453,1268081
norm,5,coro-no-prefetch,8,10,100,100,80,2,6910,0.00086375,0,8,10,25919863,33924508,5479740,1494885
norm,6,coro-prefetch,8,10,100,100,80,2,6303,0.000787875,1,8,10,23579557,39624817,5183492,1489504
norm,0,control,1,10,100,100,80,2,6439,0.000804875,1,8,10,24800565,24658498,5321637,1256230
norm,5,coro-no-prefetch,8,10,100,100,80,2,6938,0.00086725,0,8,10,25856397,33924507,5471227,1502768
norm,6,coro-prefetch,8,10,100,100,80,2,6274,0.00078425,1,8,10,23542578,39624817,5194810,1488155
norm,0,control,1,10,100,100,80,2,6453,0.000806625,1,8,10,24850630,24658498,5322906,1260674
norm,5,coro-no-prefetch,8,10,100,100,80,2,6943,0.000867875,0,8,10,25946544,33924816,5487331,1505066
norm,6,coro-prefetch,8,10,100,100,80,2,6276,0.0007845,1,8,10,23625767,39624508,5190199,1492419
norm,0,control,1,10,100,100,80,2,6432,0.000804,1,8,10,24782572,24658498,5323290,1262678
norm,5,coro-no-prefetch,8,10,100,100,80,2,6940,0.0008675,0,8,10,25903888,33924817,5479049,1512548
norm,6,coro-prefetch,8,10,100,100,80,2,6287,0.000785875,1,8,10,23590886,39624816,5186984,1488491
norm,0,control,1,10,100,100,80,2,6428,0.0008035,1,8,10,24812615,24658497,5323916,1261663
norm,5,coro-no-prefetch,8,10,100,100,80,2,6918,0.00086475,0,8,10,25970763,33924509,5477619,1511311
norm,6,coro-prefetch,8,10,100,100,80,2,6282,0.00078525,1,8,10,23584818,39624816,5194100,1487758
norm,0,control,1,10,100,100,80,2,6439,0.000804875,1,8,10,24796859,24658498,5322835,1263270
norm,5,coro-no-prefetch,8,10,100,100,80,2,6922,0.00086525,0,8,10,26013229,33924816,5486505,1520608
norm,6,coro-prefetch,8,10,100,100,80,2,6312,0.000789,1,8,10,23629997,39624508,5183301,1500320
norm,0,control,1,10,100,100,80,2,6459,0.000807375,1,8,10,24883477,24658498,5324814,1270753
