model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,400,198,1,59792,0.000754949,1,4,13,169980126,488142132,10696234,6484223
svm,5,coro-no-prefetch,2,10,100,400,198,1,46731,0.000590038,0,4,13,179553216,519272027,10790061,6420943
svm,6,coro-prefetch,2,10,100,400,198,1,35615,0.000449684,1,4,13,138126509,541271326,9562233,5754955
svm,0,control,1,10,100,400,198,1,37313,0.000471124,1,4,13,144851399,488142131,10569318,6270281
svm,5,coro-no-prefetch,2,10,100,400,198,1,38960,0.000491919,0,4,13,151040800,519271490,10649643,6263725
svm,6,coro-prefetch,2,10,100,400,198,1,35545,0.000448801,1,4,13,137825028,541271488,9773306,5775955
svm,0,control,1,10,100,400,198,1,36386,0.000459419,1,4,13,141240661,488142131,10542808,6217796
svm,5,coro-no-prefetch,2,10,100,400,198,1,39001,0.000492437,0,4,13,151202675,519271489,10650627,6230528
svm,6,coro-prefetch,2,10,100,400,198,1,35539,0.000448725,1,4,13,137785656,541271327,9761104,5766383
svm,0,control,1,10,100,400,198,1,36423,0.000459886,1,4,13,141408223,488142130,10543892,6203059
svm,5,coro-no-prefetch,2,10,100,400,198,1,39020,0.000492677,0,4,13,151266406,519271490,10651569,6212735
svm,6,coro-prefetch,2,10,100,400,198,1,35554,0.000448914,1,4,13,137832191,541271489,9793769,5767147
svm,0,control,1,10,100,400,198,1,36437,0.000460063,1,4,13,141441186,488142130,10544560,6178471
svm,5,coro-no-prefetch,2,10,100,400,198,1,39034,0.000492854,0,4,13,151346928,519271328,10655210,6200155
svm,6,coro-prefetch,2,10,100,400,198,1,35555,0.000448927,1,4,13,137787114,541271489,9766096,5754291
svm,0,control,1,10,100,400,198,1,36452,0.000460253,1,4,13,141512389,488142130,10545654,6208677
svm,5,coro-no-prefetch,2,10,100,400,198,1,39080,0.000493434,0,4,13,151430189,519271489,10660357,6224840
svm,6,coro-prefetch,2,10,100,400,198,1,35548,0.000448838,1,4,13,137822090,541271327,9802404,5762016
svm,0,control,1,10,100,400,198,1,36491,0.000460745,1,4,13,141661339,488142130,10548113,6169795
svm,5,coro-no-prefetch,2,10,100,400,198,1,39065,0.000493245,0,4,13,151472457,519271489,10660499,6195823
svm,6,coro-prefetch,2,10,100,400,198,1,35547,0.000448826,1,4,13,137792462,541271489,9797710,5743160
svm,0,control,1,10,100,400,198,1,36507,0.000460947,1,4,13,141723657,488142130,10550583,6187239
svm,5,coro-no-prefetch,2,10,100,400,198,1,39071,0.000493321,0,4,13,151494139,519271327,10661057,6189127
svm,6,coro-prefetch,2,10,100,400,198,1,35537,0.000448699,1,4,13,137769976,541271489,9791423,5744613
svm,0,control,1,10,100,400,198,1,36507,0.000460947,1,4,13,141720594,488142130,10548993,6153097
svm,5,coro-no-prefetch,2,10,100,400,198,1,39075,0.000493371,0,4,13,151499010,519271490,10656912,6186918
svm,6,coro-prefetch,2,10,100,400,198,1,35548,0.000448838,1,4,13,137772453,541271490,9753278,5736778
svm,0,control,1,10,100,400,198,1,36562,0.000461641,1,4,13,141926109,488142130,10549221,6179056
svm,5,coro-no-prefetch,2,10,100,400,198,1,39126,0.000494015,0,4,13,151601700,519271328,10656794,6184626
svm,6,coro-prefetch,2,10,100,400,198,1,35534,0.000448662,1,4,13,137767871,541271489,9753419,5755418
svm,0,control,1,10,100,400,198,1,36571,0.000461755,1,4,13,141949437,488142130,10549471,6152814
svm,5,coro-no-prefetch,2,10,100,400,198,1,39112,0.000493838,0,4,13,151617997,519271490,10660820,6186273
svm,6,coro-prefetch,2,10,100,400,198,1,35527,0.000448573,1,4,13,137744167,541271327,9787012,5748399
svm,0,control,1,10,100,400,198,1,36547,0.000461452,1,4,13,141876418,488142130,10549673,6174222
svm,5,coro-no-prefetch,2,10,100,400,198,1,39120,0.000493939,0,4,13,151669758,519271490,10664552,6170352
svm,6,coro-prefetch,2,10,100,400,198,1,35543,0.000448775,1,4,13,137755850,541271488,9772174,5733696
svm,0,control,1,10,100,400,198,1,36561,0.000461629,1,4,13,141918120,488142131,10550860,6142273
svm,5,coro-no-prefetch,2,10,100,400,198,1,39131,0.000494078,0,4,13,151741177,519271327,10661162,6173429
svm,6,coro-prefetch,2,10,100,400,198,1,35536,0.000448687,1,4,13,137756767,541271489,9811134,5745108
svm,0,control,1,10,100,400,198,1,36548,0.000461465,1,4,13,141886245,488142130,10551363,6168918
svm,5,coro-no-prefetch,2,10,100,400,198,1,39165,0.000494508,0,4,13,151734705,519271490,10667980,6188556
svm,6,coro-prefetch,2,10,100,400,198,1,35558,0.000448965,1,4,13,137792118,541271489,9820641,5752641
svm,0,control,1,10,100,400,198,1,36566,0.000461692,1,4,13,141902395,488142130,10554091,6164309
svm,5,coro-no-prefetch,2,10,100,400,198,1,39151,0.000494331,0,4,13,151771949,519271328,10665281,6170662
svm,6,coro-prefetch,2,10,100,400,198,1,35543,0.000448775,1,4,13,137784113,541271489,9817675,5750450
svm,0,control,1,10,100,400,198,1,36574,0.000461793,1,4,13,141984015,488142130,10552333,6166771
svm,5,coro-no-prefetch,2,10,100,400,198,1,39151,0.000494331,0,4,13,151719131,519271490,10669199,6174675
svm,6,coro-prefetch,2,10,100,400,198,1,35530,0.000448611,1,4,13,137779271,541271327,9799938,5739859
svm,0,control,1,10,100,400,198,1,36600,0.000462121,1,4,13,142025492,488142130,10553087,6155807
svm,5,coro-no-prefetch,2,10,100,400,198,1,39157,0.000494407,0,4,13,151784639,519271490,10664842,6183474
svm,6,coro-prefetch,2,10,100,400,198,1,35519,0.000448472,1,4,13,137715111,541271489,9766492,5739935
svm,0,control,1,10,100,400,198,1,36587,0.000461957,1,4,13,142041870,488142130,10553993,6172251
