model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,200,324,1,87237,0.00134625,1,4,21,252892561,264300230,9115704,5069949
svm,5,coro-no-prefetch,2,10,100,200,324,1,66931,0.00103289,0,4,21,259665976,278615016,9130703,4946453
svm,6,coro-prefetch,2,10,100,200,324,1,67563,0.00104264,1,4,21,262308058,291614445,7342746,4017462
svm,0,control,1,10,100,200,324,1,65040,0.0010037,1,4,21,252619133,264300230,8988932,4859600
svm,5,coro-no-prefetch,2,10,100,200,324,1,66794,0.00103077,0,4,21,259197857,278614607,9021450,4857287
svm,6,coro-prefetch,2,10,100,200,324,1,67463,0.0010411,1,4,21,261929615,291614606,7363508,4018531
svm,0,control,1,10,100,200,324,1,65092,0.00100451,1,4,21,252825598,264300231,8981441,4861678
svm,5,coro-no-prefetch,2,10,100,200,324,1,66830,0.00103133,0,4,21,259435047,278614444,9018900,4830689
svm,6,coro-prefetch,2,10,100,200,324,1,67457,0.001041,1,4,21,261872672,291614610,7383139,4030743
svm,0,control,1,10,100,200,324,1,65116,0.00100488,1,4,21,252904849,264300231,8976794,4869025
svm,5,coro-no-prefetch,2,10,100,200,324,1,66847,0.00103159,0,4,21,259492114,278614606,9018836,4828287
svm,6,coro-prefetch,2,10,100,200,324,1,67398,0.00104009,1,4,21,261664835,291614445,7383901,4000735
svm,0,control,1,10,100,200,324,1,65115,0.00100486,1,4,21,252940251,264300230,8977701,4797800
svm,5,coro-no-prefetch,2,10,100,200,324,1,66890,0.00103225,0,4,21,259683277,278614606,9018420,4847257
svm,6,coro-prefetch,2,10,100,200,324,1,67441,0.00104076,1,4,21,261830096,291614607,7399005,4069541
svm,0,control,1,10,100,200,324,1,65138,0.00100522,1,4,21,253019180,264300230,8978474,4802642
svm,5,coro-no-prefetch,2,10,100,200,324,1,66929,0.00103285,0,4,21,259694913,278614607,9025689,4813425
svm,6,coro-prefetch,2,10,100,200,324,1,67359,0.00103949,1,4,21,261538749,291614445,7398009,3996086
