model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,200,96,2,156873,0.00817047,1,4,6,594311228,281648435,5905492,1744132
norm,5,coro-no-prefetch,8,10,100,200,96,2,153286,0.00798365,0,4,6,580368771,296872035,6111054,1540008
norm,6,coro-prefetch,8,10,100,200,96,2,153376,0.00798833,1,4,6,580932472,311670853,5790501,1518993
norm,0,control,1,10,100,200,96,2,157138,0.00818427,1,4,6,594353400,281648436,5904293,1533612
norm,5,coro-no-prefetch,8,10,100,200,96,2,153308,0.00798479,0,4,6,580527125,296870546,6110986,1471576
norm,6,coro-prefetch,8,10,100,200,96,2,153435,0.00799141,1,4,6,581157252,311670853,6107418,1325197
norm,0,control,1,10,100,200,96,2,156870,0.00817031,1,4,6,594324041,281648436,6703749,1223789
norm,5,coro-no-prefetch,8,10,100,200,96,2,153310,0.0079849,0,4,6,580535869,296870852,6848457,1193787
norm,6,coro-prefetch,8,10,100,200,96,2,153507,0.00799516,1,4,6,581439541,311670545,6283849,1224018
norm,0,control,1,10,100,200,96,2,157002,0.00817719,1,4,6,594297705,281648435,6755348,1237727
norm,5,coro-no-prefetch,8,10,100,200,96,2,153243,0.00798141,0,4,6,580417411,296870852,6885288,1213623
norm,6,coro-prefetch,8,10,100,200,96,2,153548,0.00799729,1,4,6,581475412,311670853,6325139,1213640
norm,0,control,1,10,100,200,96,2,156836,0.00816854,1,4,6,594085725,281648435,6755202,1240587
norm,5,coro-no-prefetch,8,10,100,200,96,2,153186,0.00797844,0,4,6,580215284,296870545,6890110,1205568
norm,6,coro-prefetch,8,10,100,200,96,2,153415,0.00799036,1,4,6,581030661,311670853,6340349,1222689
norm,0,control,1,10,100,200,96,2,156943,0.00817411,1,4,6,594462779,281648436,6754463,1211586
norm,5,coro-no-prefetch,8,10,100,200,96,2,153520,0.00799583,0,4,6,580577112,296870852,6893203,1258768
norm,6,coro-prefetch,8,10,100,200,96,2,153459,0.00799266,1,4,6,581231608,311670546,6346841,1239482
norm,0,control,1,10,100,200,96,2,156791,0.0081662,1,4,6,594018505,281648435,6754419,1210760
norm,5,coro-no-prefetch,8,10,100,200,96,2,153289,0.0079838,0,4,6,580428065,296870853,6893651,1201339
norm,6,coro-prefetch,8,10,100,200,96,2,153513,0.00799547,1,4,6,581234348,311670852,6342345,1219763
norm,0,control,1,10,100,200,96,2,156873,0.00817047,1,4,6,594337718,281648435,6754841,1204612
norm,5,coro-no-prefetch,8,10,100,200,96,2,153290,0.00798385,0,4,6,580536446,296870546,6895963,1221765
norm,6,coro-prefetch,8,10,100,200,96,2,153501,0.00799484,1,4,6,581238254,311670853,6120895,1367873
norm,0,control,1,10,100,200,96,2,156852,0.00816937,1,4,6,594240363,281648435,5900389,1468289
norm,5,coro-no-prefetch,8,10,100,200,96,2,153213,0.00797984,0,4,6,580180866,296870853,6108646,1443296
norm,6,coro-prefetch,8,10,100,200,96,2,153482,0.00799385,1,4,6,581265938,311670544,5788991,1509686
norm,0,control,1,10,100,200,96,2,156905,0.00817214,1,4,6,594330506,281648436,5901524,1497284
norm,5,coro-no-prefetch,8,10,100,200,96,2,153280,0.00798333,0,4,6,580547917,296870854,6111012,1479738
norm,6,coro-prefetch,8,10,100,200,96,2,153664,0.00800333,1,4,6,581262057,311670853,6151815,1335970
norm,0,control,1,10,100,200,96,2,156894,0.00817156,1,4,6,594207386,281648436,6702704,1222895
norm,5,coro-no-prefetch,8,10,100,200,96,2,153257,0.00798214,0,4,6,580352594,296870544,6823285,1195301
norm,6,coro-prefetch,8,10,100,200,96,2,153515,0.00799557,1,4,6,581280150,311670854,6255926,1227446
norm,0,control,1,10,100,200,96,2,156840,0.00816875,1,4,6,594095538,281648435,6703547,1208397
norm,5,coro-no-prefetch,8,10,100,200,96,2,153351,0.00798703,0,4,6,580445402,296870852,6824340,1202443
norm,6,coro-prefetch,8,10,100,200,96,2,153494,0.00799448,1,4,6,581262062,311670545,6281341,1233714
norm,0,control,1,10,100,200,96,2,156896,0.00817167,1,4,6,594141223,281648435,6754280,1216349
norm,5,coro-no-prefetch,8,10,100,200,96,2,153211,0.00797974,0,4,6,580252739,296870853,6873778,1193110
norm,6,coro-prefetch,8,10,100,200,96,2,153500,0.00799479,1,4,6,581391327,311670853,6324612,1209459
norm,0,control,1,10,100,200,96,2,156826,0.00816802,1,4,6,594144992,281648435,6755271,1207869
norm,5,coro-no-prefetch,8,10,100,200,96,2,153282,0.00798344,0,4,6,580363494,296870544,6879636,1204495
norm,6,coro-prefetch,8,10,100,200,96,2,153459,0.00799266,1,4,6,581111861,311670854,6335898,1220351
norm,0,control,1,10,100,200,96,2,157061,0.00818026,1,4,6,594344813,281648435,6755621,1251165
norm,5,coro-no-prefetch,8,10,100,200,96,2,153268,0.00798271,0,4,6,580502280,296870546,6885756,1211040
norm,6,coro-prefetch,8,10,100,200,96,2,153462,0.00799281,1,4,6,581203178,311670852,6336933,1217940
norm,0,control,1,10,100,200,96,2,156936,0.00817375,1,4,6,594405594,281648436,6754346,1195326
norm,5,coro-no-prefetch,8,10,100,200,96,2,153254,0.00798198,0,4,6,580234267,296870853,6886438,1232166
norm,6,coro-prefetch,8,10,100,200,96,2,153523,0.00799599,1,4,6,581228112,311670545,6341072,1218264
norm,0,control,1,10,100,200,96,2,156854,0.00816948,1,4,6,594068174,281648435,6755515,1212703
norm,5,coro-no-prefetch,8,10,100,200,96,2,153316,0.00798521,0,4,6,580581990,296870853,6886119,1207916
norm,6,coro-prefetch,8,10,100,200,96,2,153608,0.00800042,1,4,6,581658514,311670852,6338353,1213161
norm,0,control,1,10,100,200,96,2,156924,0.00817312,1,4,6,594476003,281648435,6754151,1204666
norm,5,coro-no-prefetch,8,10,100,200,96,2,153376,0.00798833,0,4,6,580718648,296870546,6888315,1212879
norm,6,coro-prefetch,8,10,100,200,96,2,153452,0.00799229,1,4,6,581166793,311670853,6338571,1219835
norm,0,control,1,10,100,200,96,2,157054,0.0081799,1,4,6,594212402,281648435,6756121,1220648
norm,5,coro-no-prefetch,8,10,100,200,96,2,153319,0.00798536,0,4,6,580278110,296870852,6894192,1226424
norm,6,coro-prefetch,8,10,100,200,96,2,153409,0.00799005,1,4,6,580998877,311670546,5850433,1467292
norm,0,control,1,10,100,200,96,2,156924,0.00817312,1,4,6,594354266,281648435,5900525,1458984
norm,5,coro-no-prefetch,8,10,100,200,96,2,153294,0.00798406,0,4,6,580449113,296870852,6109641,1444636
norm,6,coro-prefetch,8,10,100,200,96,2,153494,0.00799448,1,4,6,581216509,311670853,6263235,1229517
norm,0,control,1,10,100,200,96,2,157006,0.0081774,1,4,6,594324960,281648436,6755487,1246337
norm,5,coro-no-prefetch,8,10,100,200,96,2,153348,0.00798687,0,4,6,580595101,296870544,6870953,1206105
norm,6,coro-prefetch,8,10,100,200,96,2,153458,0.0079926,1,4,6,581228149,311670854,6316606,1216779
norm,0,control,1,10,100,200,96,2,156898,0.00817177,1,4,6,594295976,281648435,6754352,1199539
norm,5,coro-no-prefetch,8,10,100,200,96,2,153252,0.00798187,0,4,6,580469777,296870852,6872090,1191392
norm,6,coro-prefetch,8,10,100,200,96,2,153451,0.00799224,1,4,6,581146567,311670545,6322198,1232365
norm,0,control,1,10,100,200,96,2,156854,0.00816948,1,4,6,594089828,281648435,6754393,1212052
norm,5,coro-no-prefetch,8,10,100,200,96,2,153549,0.00799734,0,4,6,580623915,296870854,6881557,1218891
norm,6,coro-prefetch,8,10,100,200,96,2,153500,0.00799479,1,4,6,581364300,311670852,6328091,1240190
norm,0,control,1,10,100,200,96,2,156810,0.00816719,1,4,6,594085565,281648435,6754925,1219377
norm,5,coro-no-prefetch,8,10,100,200,96,2,153269,0.00798276,0,4,6,580521072,296870545,6884611,1194017
norm,6,coro-prefetch,8,10,100,200,96,2,153450,0.00799219,1,4,6,581212950,311670853,6328670,1212896
