model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,200,140,2,25777,0.000920607,1,4,9,45807928,47249523,8932892,3029164
norm,5,coro-no-prefetch,4,10,100,200,140,2,12609,0.000450321,0,4,9,47299344,65485736,9424677,3034461
norm,6,coro-prefetch,4,10,100,200,140,2,10818,0.000386357,1,4,9,40470194,75084922,8436226,2904279
norm,0,control,1,10,100,200,140,2,11505,0.000410893,1,4,9,43391028,47249522,9058717,2570505
norm,5,coro-no-prefetch,4,10,100,200,140,2,12609,0.000450321,0,4,9,47293020,65484923,9399028,3035154
norm,6,coro-prefetch,4,10,100,200,140,2,10774,0.000384786,1,4,9,40365306,75084760,8442083,2878109
norm,0,control,1,10,100,200,140,2,11535,0.000411964,1,4,9,43501073,47249522,8893752,2666891
norm,5,coro-no-prefetch,4,10,100,200,140,2,12687,0.000453107,0,4,9,47468253,65484923,9443928,3020399
norm,6,coro-prefetch,4,10,100,200,140,2,10812,0.000386143,1,4,9,40520449,75084921,8464034,2874624
norm,0,control,1,10,100,200,140,2,11663,0.000416536,1,4,9,43841883,47249522,8901198,2650391
norm,5,coro-no-prefetch,4,10,100,200,140,2,12669,0.000452464,0,4,9,47552943,65484761,9423242,3028820
norm,6,coro-prefetch,4,10,100,200,140,2,10812,0.000386143,1,4,9,40535732,75084921,8459792,2881684
norm,0,control,1,10,100,200,140,2,11644,0.000415857,1,4,9,43922267,47249522,9007429,2560021
norm,5,coro-no-prefetch,4,10,100,200,140,2,12500,0.000446429,0,4,9,46884168,65484923,9409011,3005692
norm,6,coro-prefetch,4,10,100,200,140,2,10760,0.000384286,1,4,9,40292443,75084760,8491558,2878185
norm,0,control,1,10,100,200,140,2,11379,0.000406393,1,4,9,42910821,47249522,8919223,2611880
norm,5,coro-no-prefetch,4,10,100,200,140,2,12365,0.000441607,0,4,9,46388484,65484923,9349436,3003886
norm,6,coro-prefetch,4,10,100,200,140,2,10738,0.0003835,1,4,9,40241054,75084921,8501097,2861591
norm,0,control,1,10,100,200,140,2,11364,0.000405857,1,4,9,42847400,47249522,8889902,2640131
norm,5,coro-no-prefetch,4,10,100,200,140,2,12377,0.000442036,0,4,9,46442313,65484761,9351468,2989965
norm,6,coro-prefetch,4,10,100,200,140,2,10763,0.000384393,1,4,9,40292349,75084922,8499706,2873782
norm,0,control,1,10,100,200,140,2,11361,0.00040575,1,4,9,42846634,47249522,8932994,2621827
norm,5,coro-no-prefetch,4,10,100,200,140,2,12433,0.000444036,0,4,9,46384129,65484923,9355755,2985589
norm,6,coro-prefetch,4,10,100,200,140,2,10703,0.00038225,1,4,9,40089806,75084760,8487870,2861323
norm,0,control,1,10,100,200,140,2,11322,0.000404357,1,4,9,42700020,47249522,8913031,2627560
norm,5,coro-no-prefetch,4,10,100,200,140,2,12357,0.000441321,0,4,9,46321613,65484923,9368634,2971550
norm,6,coro-prefetch,4,10,100,200,140,2,10729,0.000383179,1,4,9,40180536,75084922,8499922,2858347
norm,0,control,1,10,100,200,140,2,11312,0.000404,1,4,9,42696747,47249521,8815529,2647840
norm,5,coro-no-prefetch,4,10,100,200,140,2,12406,0.000443071,0,4,9,46399881,65484762,9352994,2992674
