model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,200,1022,1,120549,0.00058977,1,4,64,408825086,1232898259,26844191,17506406
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100140,0.000489922,0,4,64,378991130,1248628024,27039440,16231348
svm,6,coro-prefetch,2,10,100,200,1022,1,118326,0.000578894,1,4,64,448070734,1269227457,18799146,13805576
svm,0,control,1,10,100,200,1022,1,97854,0.000478738,1,4,64,370529857,1232898256,27734516,16032934
svm,5,coro-no-prefetch,2,10,100,200,1022,1,99807,0.000488293,0,4,64,377827944,1248627615,27751859,16113260
svm,6,coro-prefetch,2,10,100,200,1022,1,118704,0.000580744,1,4,64,448612697,1269227619,18757737,13837950
svm,0,control,1,10,100,200,1022,1,98125,0.000480064,1,4,64,371572039,1232898256,27604770,16106626
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100164,0.000490039,0,4,64,379260401,1248627454,27641978,16123393
svm,6,coro-prefetch,2,10,100,200,1022,1,118612,0.000580294,1,4,64,448685351,1269227620,18750558,13812264
svm,0,control,1,10,100,200,1022,1,98132,0.000480098,1,4,64,371608604,1232898255,27727310,16074518
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100281,0.000490612,0,4,64,379495932,1248627615,27770154,16103183
svm,6,coro-prefetch,2,10,100,200,1022,1,118453,0.000579516,1,4,64,448569511,1269227458,18787781,13790958
svm,0,control,1,10,100,200,1022,1,98185,0.000480357,1,4,64,371924395,1232898255,27677384,16107654
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100251,0.000490465,0,4,64,379572613,1248627614,27716328,16114366
svm,6,coro-prefetch,2,10,100,200,1022,1,118419,0.000579349,1,4,64,448458093,1269227620,18853624,13741779
svm,0,control,1,10,100,200,1022,1,98138,0.000480127,1,4,64,371596753,1232898256,27765277,16098718
svm,5,coro-no-prefetch,2,10,100,200,1022,1,99806,0.000488288,0,4,64,377707981,1248627615,27809716,16126854
svm,6,coro-prefetch,2,10,100,200,1022,1,118594,0.000580205,1,4,64,448842695,1269227457,18755651,13833716
svm,0,control,1,10,100,200,1022,1,98656,0.000482661,1,4,64,373568822,1232898256,27008531,16171981
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100648,0.000492407,0,4,64,381090699,1248627615,27059692,16202254
svm,6,coro-prefetch,2,10,100,200,1022,1,118483,0.000579662,1,4,64,448622459,1269227620,18802312,13776965
svm,0,control,1,10,100,200,1022,1,98615,0.000482461,1,4,64,373535275,1232898255,27029085,16196965
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100685,0.000492588,0,4,64,381233900,1248627453,27076790,16213156
svm,6,coro-prefetch,2,10,100,200,1022,1,118554,0.00058001,1,4,64,448880603,1269227620,18856276,13752572
svm,0,control,1,10,100,200,1022,1,98210,0.000480479,1,4,64,371959806,1232898256,27748038,16067891
svm,5,coro-no-prefetch,2,10,100,200,1022,1,99869,0.000488596,0,4,64,377948999,1248627615,27795417,16109750
svm,6,coro-prefetch,2,10,100,200,1022,1,118502,0.000579755,1,4,64,448778154,1269227457,18797497,13777328
svm,0,control,1,10,100,200,1022,1,98413,0.000481473,1,4,64,372301888,1232898256,27695889,16104773
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100265,0.000490533,0,4,64,379564192,1248627615,27741995,16153196
svm,6,coro-prefetch,2,10,100,200,1022,1,118744,0.000580939,1,4,64,449156439,1269227620,18750515,13825480
svm,0,control,1,10,100,200,1022,1,98573,0.000482255,1,4,64,373329498,1232898255,27278104,16122957
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100569,0.000492021,0,4,64,380740200,1248627453,27334660,16161153
svm,6,coro-prefetch,2,10,100,200,1022,1,118580,0.000580137,1,4,64,449054456,1269227620,18834573,13750180
svm,0,control,1,10,100,200,1022,1,98336,0.000481096,1,4,64,372485410,1232898256,27665527,16080119
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100331,0.000490856,0,4,64,379812713,1248627615,27704890,16107688
svm,6,coro-prefetch,2,10,100,200,1022,1,118630,0.000580382,1,4,64,449143580,1269227619,18835788,13784966
svm,0,control,1,10,100,200,1022,1,98368,0.000481252,1,4,64,372503487,1232898256,27674780,16104615
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100442,0.000491399,0,4,64,379982780,1248627453,27716243,16149341
svm,6,coro-prefetch,2,10,100,200,1022,1,118629,0.000580377,1,4,64,449006181,1269227620,18849605,13757550
svm,0,control,1,10,100,200,1022,1,98687,0.000482813,1,4,64,373751587,1232898256,27029884,16203269
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100737,0.000492842,0,4,64,381262357,1248627614,27077888,16226636
svm,6,coro-prefetch,2,10,100,200,1022,1,118571,0.000580093,1,4,64,448890061,1269227457,18886965,13723565
svm,0,control,1,10,100,200,1022,1,98611,0.000482441,1,4,64,372550378,1232898256,27676260,16109033
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100207,0.00049025,0,4,64,379300325,1248627615,27755395,16118209
svm,6,coro-prefetch,2,10,100,200,1022,1,118607,0.000580269,1,4,64,449015890,1269227620,18865154,13739145
svm,0,control,1,10,100,200,1022,1,98362,0.000481223,1,4,64,372588314,1232898255,27526178,16101869
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100834,0.000493317,0,4,64,381327778,1248627454,27064917,16196880
svm,6,coro-prefetch,2,10,100,200,1022,1,118554,0.00058001,1,4,64,448880252,1269227619,18805415,13770276
svm,0,control,1,10,100,200,1022,1,98572,0.00048225,1,4,64,373377755,1232898256,23671812,20232878
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100743,0.000492872,0,4,64,381326001,1248627615,23716538,20239915
svm,6,coro-prefetch,2,10,100,200,1022,1,118661,0.000580533,1,4,64,449056243,1269227620,18850721,13752346
svm,0,control,1,10,100,200,1022,1,98656,0.000482661,1,4,64,373699555,1232898255,27033165,16199805
svm,5,coro-no-prefetch,2,10,100,200,1022,1,100788,0.000493092,0,4,64,381486370,1248627454,27073408,16214314
