model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,800,616,1,550036,0.00111614,1,4,39,2031967491,1991252668,59202915,56371680
svm,5,coro-no-prefetch,2,10,100,800,616,1,532001,0.00107955,0,4,39,2014983636,2047567579,60659687,54005586
svm,6,coro-prefetch,2,10,100,800,616,1,568979,0.00115458,1,4,39,2154563155,2125167052,48663821,33683023
svm,0,control,1,10,100,800,616,1,538304,0.00109234,1,4,39,2034666772,1991252669,69411720,44732703
svm,5,coro-no-prefetch,2,10,100,800,616,1,532768,0.0010811,0,4,39,2014268020,2047567044,69437119,44744864
svm,6,coro-prefetch,2,10,100,800,616,1,576890,0.00117064,1,4,39,2162211795,2125166892,48530254,34020244
svm,0,control,1,10,100,800,616,1,537616,0.00109094,1,4,39,2036830870,1991252668,68753237,44936641
svm,5,coro-no-prefetch,2,10,100,800,616,1,531517,0.00107857,0,4,39,2013678701,2047567043,68744236,44787091
svm,6,coro-prefetch,2,10,100,800,616,1,569527,0.0011557,1,4,39,2157333240,2125167053,48506464,33748785
svm,0,control,1,10,100,800,616,1,537534,0.00109078,1,4,39,2036546624,1991252668,68799959,44604641
svm,5,coro-no-prefetch,2,10,100,800,616,1,531717,0.00107897,0,4,39,2014117155,2047566881,68767497,44682941
svm,6,coro-prefetch,2,10,100,800,616,1,570159,0.00115698,1,4,39,2157472344,2125167053,48626180,33696684
svm,0,control,1,10,100,800,616,1,537952,0.00109162,1,4,39,2036788308,1991252668,69406392,45942412
svm,5,coro-no-prefetch,2,10,100,800,616,1,531684,0.0010789,0,4,39,2014434391,2047567043,69431574,45367094
svm,6,coro-prefetch,2,10,100,800,616,1,569482,0.0011556,1,4,39,2157488660,2125166891,48471452,33854126
svm,0,control,1,10,100,800,616,1,537591,0.00109089,1,4,39,2036482482,1991252669,68801687,44632067
svm,5,coro-no-prefetch,2,10,100,800,616,1,531694,0.00107892,0,4,39,2014450264,2047567043,68760734,44668496
svm,6,coro-prefetch,2,10,100,800,616,1,569576,0.0011558,1,4,39,2157179440,2125167051,48682656,33628272
svm,0,control,1,10,100,800,616,1,537631,0.00109097,1,4,39,2036538121,1991252669,59070877,56063665
svm,5,coro-no-prefetch,2,10,100,800,616,1,531802,0.00107914,0,4,39,2014823183,2047566880,59085606,55845389
svm,6,coro-prefetch,2,10,100,800,616,1,569376,0.00115539,1,4,39,2157127147,2125167052,48770379,33557672
svm,0,control,1,10,100,800,616,1,537459,0.00109062,1,4,39,2036394624,1991252669,69279008,44572295
svm,5,coro-no-prefetch,2,10,100,800,616,1,531579,0.00107869,0,4,39,2013891603,2047567042,69425973,44640190
svm,6,coro-prefetch,2,10,100,800,616,1,569432,0.0011555,1,4,39,2157021126,2125167053,48683909,33594313
svm,0,control,1,10,100,800,616,1,537509,0.00109072,1,4,39,2036462990,1991252668,69409566,44584185
svm,5,coro-no-prefetch,2,10,100,800,616,1,531940,0.00107942,0,4,39,2014629347,2047566882,69424462,44605733
svm,6,coro-prefetch,2,10,100,800,616,1,569361,0.00115536,1,4,39,2157050542,2125167052,48637356,33633340
svm,0,control,1,10,100,800,616,1,537454,0.00109061,1,4,39,2036462864,1991252669,68771746,44542875
svm,5,coro-no-prefetch,2,10,100,800,616,1,531595,0.00107872,0,4,39,2013945131,2047567043,68761876,44571793
svm,6,coro-prefetch,2,10,100,800,616,1,569396,0.00115543,1,4,39,2157009062,2125166890,48764657,33592698
svm,0,control,1,10,100,800,616,1,537593,0.00109089,1,4,39,2036390767,1991252668,69426873,44619049
svm,5,coro-no-prefetch,2,10,100,800,616,1,531702,0.00107894,0,4,39,2014302474,2047567043,69438612,44599838
svm,6,coro-prefetch,2,10,100,800,616,1,569472,0.00115558,1,4,39,2157225513,2125167053,48713066,33587465
svm,0,control,1,10,100,800,616,1,537627,0.00109096,1,4,39,2036549055,1991252668,69417243,44655108
svm,5,coro-no-prefetch,2,10,100,800,616,1,531706,0.00107895,0,4,39,2014293393,2047566881,69426546,44608307
svm,6,coro-prefetch,2,10,100,800,616,1,569419,0.00115548,1,4,39,2157129019,2125167052,48553583,33668480
svm,0,control,1,10,100,800,616,1,537612,0.00109093,1,4,39,2036450835,1991252670,68760792,44555353
svm,5,coro-no-prefetch,2,10,100,800,616,1,531746,0.00107903,0,4,39,2014090562,2047567043,68749723,44597050
svm,6,coro-prefetch,2,10,100,800,616,1,569312,0.00115526,1,4,39,2157023463,2125167052,48678920,33598932
svm,0,control,1,10,100,800,616,1,537534,0.00109078,1,4,39,2036448106,1991252668,69431282,44611762
svm,5,coro-no-prefetch,2,10,100,800,616,1,531815,0.00107917,0,4,39,2014332047,2047566881,69443848,44638548
svm,6,coro-prefetch,2,10,100,800,616,1,569344,0.00115532,1,4,39,2157082079,2125167053,48488438,33676157
svm,0,control,1,10,100,800,616,1,537478,0.00109066,1,4,39,2036589647,1991252668,69427145,44573225
svm,5,coro-no-prefetch,2,10,100,800,616,1,531743,0.00107902,0,4,39,2014438957,2047567043,69425411,44586506
svm,6,coro-prefetch,2,10,100,800,616,1,569497,0.00115564,1,4,39,2157149720,2125166891,48578225,33654791
svm,0,control,1,10,100,800,616,1,537461,0.00109063,1,4,39,2036465939,1991252668,68753901,44539063
svm,5,coro-no-prefetch,2,10,100,800,616,1,531602,0.00107874,0,4,39,2013901558,2047567043,68746906,44574473
svm,6,coro-prefetch,2,10,100,800,616,1,569581,0.00115581,1,4,39,2157185794,2125167052,48545923,33669814
svm,0,control,1,10,100,800,616,1,537489,0.00109068,1,4,39,2036571697,1991252670,69424080,44592614
svm,5,coro-no-prefetch,2,10,100,800,616,1,531706,0.00107895,0,4,39,2014526228,2047566881,69434968,44607895
svm,6,coro-prefetch,2,10,100,800,616,1,569388,0.00115541,1,4,39,2157139256,2125167052,48522418,33646140
svm,0,control,1,10,100,800,616,1,537528,0.00109076,1,4,39,2036554899,1991252668,69433159,44585801
svm,5,coro-no-prefetch,2,10,100,800,616,1,531803,0.00107915,0,4,39,2014194193,2047567043,69438172,44614660
svm,6,coro-prefetch,2,10,100,800,616,1,569481,0.0011556,1,4,39,2157228647,2125166891,48673584,33601785
svm,0,control,1,10,100,800,616,1,537505,0.00109072,1,4,39,2036589031,1991252668,69421805,44627106
svm,5,coro-no-prefetch,2,10,100,800,616,1,531996,0.00107954,0,4,39,2014429872,2047567043,69433432,44719206
svm,6,coro-prefetch,2,10,100,800,616,1,569400,0.00115544,1,4,39,2157213246,2125167052,48445664,33682394
svm,0,control,1,10,100,800,616,1,537499,0.0010907,1,4,39,2036653666,1991252669,69419735,44601933
svm,5,coro-no-prefetch,2,10,100,800,616,1,531719,0.00107898,0,4,39,2014198654,2047567043,69449557,44602512
svm,6,coro-prefetch,2,10,100,800,616,1,569498,0.00115564,1,4,39,2157098132,2125166891,48661937,33616461
svm,0,control,1,10,100,800,616,1,537441,0.00109059,1,4,39,2036339149,1991252669,69433901,44588815
svm,5,coro-no-prefetch,2,10,100,800,616,1,531711,0.00107896,0,4,39,2014224220,2047567042,69444336,44612432
svm,6,coro-prefetch,2,10,100,800,616,1,569538,0.00115572,1,4,39,2157076155,2125167053,48794673,33583356
svm,0,control,1,10,100,800,616,1,537465,0.00109064,1,4,39,2036354990,1991252668,69275332,44632853
svm,5,coro-no-prefetch,2,10,100,800,616,1,531579,0.00107869,0,4,39,2014041906,2047566881,69279983,44599515
svm,6,coro-prefetch,2,10,100,800,616,1,569301,0.00115524,1,4,39,2157107593,2125167052,48650224,33590435
svm,0,control,1,10,100,800,616,1,537716,0.00109114,1,4,39,2036625748,1991252669,68769469,44584407
svm,5,coro-no-prefetch,2,10,100,800,616,1,531547,0.00107863,0,4,39,2013852802,2047567043,68756142,44591675
svm,6,coro-prefetch,2,10,100,800,616,1,569406,0.00115545,1,4,39,2157129810,2125166890,48623558,33630782
svm,0,control,1,10,100,800,616,1,537791,0.0010913,1,4,39,2036428357,1991252669,69282460,44602248
svm,5,coro-no-prefetch,2,10,100,800,616,1,531647,0.00107883,0,4,39,2014082207,2047567043,69278421,44606635
svm,6,coro-prefetch,2,10,100,800,616,1,569302,0.00115524,1,4,39,2157067556,2125167052,48570948,33632118
svm,0,control,1,10,100,800,616,1,537513,0.00109073,1,4,39,2036394639,1991252668,59067552,56067295
svm,5,coro-no-prefetch,2,10,100,800,616,1,531766,0.00107907,0,4,39,2014421833,2047567043,67291575,46354866
svm,6,coro-prefetch,2,10,100,800,616,1,569594,0.00115583,1,4,39,2157460377,2125166891,48735182,33591300
svm,0,control,1,10,100,800,616,1,537550,0.00109081,1,4,39,2036631193,1991252668,69433659,44594314
svm,5,coro-no-prefetch,2,10,100,800,616,1,531785,0.00107911,0,4,39,2014297431,2047567043,69451309,44745029
svm,6,coro-prefetch,2,10,100,800,616,1,569571,0.00115579,1,4,39,2157146830,2125167052,48718078,33638296
