model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,40,350,2,102946,0.00735329,1,2,33,133910421,165765545,36230348,394874
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92269,0.00659064,0,2,33,136760405,164476328,35459464,566439
cnn,6,coro-prefetch,2,10,100,40,350,2,95792,0.00684229,1,2,33,141689748,171567980,36898856,502715
cnn,0,control,1,10,100,40,350,2,90114,0.00643671,1,2,33,133958634,165765545,36230178,395028
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92477,0.0066055,0,2,33,136898365,164476141,35445684,567703
cnn,6,coro-prefetch,2,10,100,40,350,2,95545,0.00682464,1,2,33,141643595,171567980,36846168,502518
cnn,0,control,1,10,100,40,350,2,90077,0.00643407,1,2,33,133927695,165765545,36230286,395142
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92296,0.00659257,0,2,33,136817175,164475980,35408009,567943
cnn,6,coro-prefetch,2,10,100,40,350,2,95549,0.00682493,1,2,33,141635262,171568141,36838623,502664
cnn,0,control,1,10,100,40,350,2,90080,0.00643429,1,2,33,133972669,165765545,36230154,394956
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92487,0.00660621,0,2,33,136956342,164475980,35449249,568784
cnn,6,coro-prefetch,2,10,100,40,350,2,96097,0.00686407,1,2,33,141675415,171567980,36853971,502042
cnn,0,control,1,10,100,40,350,2,90285,0.00644893,1,2,33,133996828,165765545,36230032,394644
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92267,0.0065905,0,2,33,136806273,164476141,35426387,567911
cnn,6,coro-prefetch,2,10,100,40,350,2,95732,0.006838,1,2,33,141874373,171567980,36943231,502549
cnn,0,control,1,10,100,40,350,2,90150,0.00643929,1,2,33,134004999,165765545,36230124,394951
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92280,0.00659143,0,2,33,136834195,164475980,35411057,566352
cnn,6,coro-prefetch,2,10,100,40,350,2,95754,0.00683957,1,2,33,141891062,171568141,36934106,502542
cnn,0,control,1,10,100,40,350,2,90164,0.00644029,1,2,33,134019266,165765545,36230423,394946
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92309,0.0065935,0,2,33,136887224,164475980,35420732,568409
cnn,6,coro-prefetch,2,10,100,40,350,2,95581,0.00682721,1,2,33,141718731,171567980,36812941,503063
cnn,0,control,1,10,100,40,350,2,90173,0.00644093,1,2,33,134028554,165765545,36230451,394920
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92416,0.00660114,0,2,33,136893623,164476141,35421033,567520
cnn,6,coro-prefetch,2,10,100,40,350,2,95883,0.00684879,1,2,33,141706247,171567980,36813456,502477
cnn,0,control,1,10,100,40,350,2,90158,0.00643986,1,2,33,134004295,165765545,36230318,394894
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92359,0.00659707,0,2,33,136905647,164475980,35438171,567881
cnn,6,coro-prefetch,2,10,100,40,350,2,95606,0.006829,1,2,33,141713085,171568141,36849157,502665
cnn,0,control,1,10,100,40,350,2,90140,0.00643857,1,2,33,133998486,165765545,36230042,394947
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92305,0.00659321,0,2,33,136836577,164475980,35401603,567556
cnn,6,coro-prefetch,2,10,100,40,350,2,95663,0.00683307,1,2,33,141798331,171567980,36865997,502375
cnn,0,control,1,10,100,40,350,2,90111,0.0064365,1,2,33,133987688,165765545,36230488,395189
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92272,0.00659086,0,2,33,136812982,164476141,35437348,566452
cnn,6,coro-prefetch,2,10,100,40,350,2,95613,0.0068295,1,2,33,141722608,171567980,36904265,502452
cnn,0,control,1,10,100,40,350,2,90215,0.00644393,1,2,33,133974425,165765545,36230060,394952
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92512,0.006608,0,2,33,136928930,164476141,35449436,567469
cnn,6,coro-prefetch,2,10,100,40,350,2,95688,0.00683486,1,2,33,141856557,171567980,36948982,502244
cnn,0,control,1,10,100,40,350,2,90106,0.00643614,1,2,33,133972159,165765545,36230368,394948
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92234,0.00658814,0,2,33,136775887,164475980,35392175,567254
cnn,6,coro-prefetch,2,10,100,40,350,2,95739,0.0068385,1,2,33,141859236,171568141,36983381,502331
cnn,0,control,1,10,100,40,350,2,90146,0.006439,1,2,33,134001107,165765545,36230161,394903
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92375,0.00659821,0,2,33,136971665,164475980,35432083,568386
cnn,6,coro-prefetch,2,10,100,40,350,2,95707,0.00683621,1,2,33,141867275,171567980,36994428,502398
cnn,0,control,1,10,100,40,350,2,90142,0.00643871,1,2,33,133985369,165765545,36230404,395017
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92441,0.00660293,0,2,33,136857888,164476141,35437789,568828
cnn,6,coro-prefetch,2,10,100,40,350,2,95793,0.00684236,1,2,33,141645202,171567980,36860887,502655
cnn,0,control,1,10,100,40,350,2,90318,0.00645129,1,2,33,134022441,165765545,36230427,394918
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92321,0.00659436,0,2,33,136886858,164475980,35432590,566716
cnn,6,coro-prefetch,2,10,100,40,350,2,95642,0.00683157,1,2,33,141725521,171568141,36874285,502485
cnn,0,control,1,10,100,40,350,2,90259,0.00644707,1,2,33,134013227,165765545,36230316,394969
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92306,0.00659329,0,2,33,136827360,164475980,35408891,568858
cnn,6,coro-prefetch,2,10,100,40,350,2,95638,0.00683129,1,2,33,141820810,171567980,36979816,502492
cnn,0,control,1,10,100,40,350,2,90138,0.00643843,1,2,33,134000128,165765545,36230431,395134
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92332,0.00659514,0,2,33,136781060,164476141,35442368,567358
cnn,6,coro-prefetch,2,10,100,40,350,2,95502,0.00682157,1,2,33,141594806,171567980,36814957,502539
cnn,0,control,1,10,100,40,350,2,90276,0.00644829,1,2,33,134009569,165765545,36230339,394972
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92498,0.006607,0,2,33,136919928,164475980,35419260,568672
cnn,6,coro-prefetch,2,10,100,40,350,2,95603,0.00682879,1,2,33,141692847,171568141,36888039,502391
cnn,0,control,1,10,100,40,350,2,90144,0.00643886,1,2,33,134007581,165765545,36230108,395155
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92301,0.00659293,0,2,33,136859923,164475980,35408012,567941
cnn,6,coro-prefetch,2,10,100,40,350,2,95652,0.00683229,1,2,33,141758674,171567980,36890841,502312
cnn,0,control,1,10,100,40,350,2,90192,0.00644229,1,2,33,134014991,165765545,36230348,395111
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92248,0.00658914,0,2,33,136770815,164476141,35403630,567306
cnn,6,coro-prefetch,2,10,100,40,350,2,95669,0.0068335,1,2,33,141855802,171567980,36995073,502610
cnn,0,control,1,10,100,40,350,2,90149,0.00643921,1,2,33,133993495,165765545,36230271,395042
cnn,5,coro-no-prefetch,2,10,100,40,350,2,92626,0.00661614,0,2,33,136789813,164475980,35410148,568232
cnn,6,coro-prefetch,2,10,100,40,350,2,95714,0.00683671,1,2,33,141872590,171568141,36962911,502267
