model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,80,206,1,31449,0.00190831,1,4,13,28612794,41044465,8853224,77705
svm,5,coro-no-prefetch,2,10,100,80,206,1,24645,0.00149545,0,4,13,35894676,45974625,12335285,343973
svm,6,coro-prefetch,2,10,100,80,206,1,24939,0.00151329,1,4,13,36410581,50374150,13256245,147703
svm,0,control,1,10,100,80,206,1,19545,0.00118598,1,4,13,28587108,41044465,8853244,76563
svm,5,coro-no-prefetch,2,10,100,80,206,1,24711,0.00149945,0,4,13,36086646,45974150,12295888,356463
svm,6,coro-prefetch,2,10,100,80,206,1,25309,0.00153574,1,4,13,36438329,50374311,13233620,146855
svm,0,control,1,10,100,80,206,1,19551,0.00118635,1,4,13,28570144,41044465,8853237,77775
svm,5,coro-no-prefetch,2,10,100,80,206,1,24424,0.00148204,0,4,13,35636816,45974150,12289033,336697
svm,6,coro-prefetch,2,10,100,80,206,1,24910,0.00151153,1,4,13,36350517,50374150,13215710,148192
svm,0,control,1,10,100,80,206,1,19525,0.00118477,1,4,13,28571862,41044465,8853232,77626
svm,5,coro-no-prefetch,2,10,100,80,206,1,24202,0.00146857,0,4,13,35276644,45974311,12324380,323737
svm,6,coro-prefetch,2,10,100,80,206,1,24899,0.00151086,1,4,13,36350065,50374150,13265480,147322
svm,0,control,1,10,100,80,206,1,19536,0.00118544,1,4,13,28586018,41044465,8853217,77561
svm,5,coro-no-prefetch,2,10,100,80,206,1,24255,0.00147178,0,4,13,35382115,45974150,12324122,327378
svm,6,coro-prefetch,2,10,100,80,206,1,25001,0.00151705,1,4,13,36487334,50374311,13243803,147219
svm,0,control,1,10,100,80,206,1,19548,0.00118617,1,4,13,28607023,41044465,8853239,77586
svm,5,coro-no-prefetch,2,10,100,80,206,1,24300,0.00147451,0,4,13,35431600,45974150,12343632,325881
svm,6,coro-prefetch,2,10,100,80,206,1,24946,0.00151371,1,4,13,36435969,50374150,13260398,147319
svm,0,control,1,10,100,80,206,1,19505,0.00118356,1,4,13,28578191,41044465,8853209,77544
svm,5,coro-no-prefetch,2,10,100,80,206,1,24624,0.00149417,0,4,13,35711416,45974311,12386862,324055
svm,6,coro-prefetch,2,10,100,80,206,1,24915,0.00151183,1,4,13,36391199,50374150,13217784,148719
svm,0,control,1,10,100,80,206,1,19553,0.00118647,1,4,13,28584661,41044465,8853218,77367
svm,5,coro-no-prefetch,2,10,100,80,206,1,24206,0.00146881,0,4,13,35306176,45974150,12207199,327664
svm,6,coro-prefetch,2,10,100,80,206,1,24911,0.00151159,1,4,13,36382466,50374311,13220304,148780
svm,0,control,1,10,100,80,206,1,19536,0.00118544,1,4,13,28588134,41044465,8853220,77379
svm,5,coro-no-prefetch,2,10,100,80,206,1,24291,0.00147397,0,4,13,35427767,45974150,12324323,332015
svm,6,coro-prefetch,2,10,100,80,206,1,24977,0.00151559,1,4,13,36439730,50374311,13196672,147367
svm,0,control,1,10,100,80,206,1,19506,0.00118362,1,4,13,28580523,41044465,8853216,77976
svm,5,coro-no-prefetch,2,10,100,80,206,1,24441,0.00148307,0,4,13,35660845,45974150,12368011,325882
svm,6,coro-prefetch,2,10,100,80,206,1,24911,0.00151159,1,4,13,36409772,50374150,13195819,147258
svm,0,control,1,10,100,80,206,1,19542,0.0011858,1,4,13,28594316,41044465,8853229,77293
svm,5,coro-no-prefetch,2,10,100,80,206,1,25062,0.00152075,0,4,13,35374498,45974311,12324392,326029
svm,6,coro-prefetch,2,10,100,80,206,1,24919,0.00151208,1,4,13,36364891,50374150,13217630,147909
svm,0,control,1,10,100,80,206,1,19534,0.00118532,1,4,13,28583587,41044465,8853220,77604
svm,5,coro-no-prefetch,2,10,100,80,206,1,24209,0.00146899,0,4,13,35323266,45974150,12324177,329177
svm,6,coro-prefetch,2,10,100,80,206,1,25678,0.00155813,1,4,13,36410210,50374311,13222576,148566
svm,0,control,1,10,100,80,206,1,19553,0.00118647,1,4,13,28578398,41044465,8853238,77269
svm,5,coro-no-prefetch,2,10,100,80,206,1,24472,0.00148495,0,4,13,35690011,45974150,12323973,346028
svm,6,coro-prefetch,2,10,100,80,206,1,25015,0.0015179,1,4,13,36363206,50374150,13193658,148374
svm,0,control,1,10,100,80,206,1,19530,0.00118507,1,4,13,28582270,41044465,8853213,77643
svm,5,coro-no-prefetch,2,10,100,80,206,1,24457,0.00148404,0,4,13,35638280,45974311,12321912,342323
svm,6,coro-prefetch,2,10,100,80,206,1,24940,0.00151335,1,4,13,36406008,50374150,13264739,147594
svm,0,control,1,10,100,80,206,1,19615,0.00119023,1,4,13,28585504,41044465,8853225,76938
