model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,200,314,2,103082,0.00164143,1,2,30,342665896,1099795498,10938585,6860625
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77796,0.00123879,0,2,30,301418087,977290292,10913785,6735947
cnn,6,coro-prefetch,2,10,100,200,314,2,77654,0.00123653,1,2,30,300954740,996889929,9781420,6162856
cnn,0,control,1,10,100,200,314,2,86048,0.00137019,1,2,30,334004619,1099795498,10833190,6641395
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77509,0.00123422,0,2,30,300481071,977289929,10906275,6689031
cnn,6,coro-prefetch,2,10,100,200,314,2,77557,0.00123498,1,2,30,300682592,996889767,9784048,6174265
cnn,0,control,1,10,100,200,314,2,86041,0.00137008,1,2,30,333987351,1099795498,10831280,6636289
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77608,0.0012358,0,2,30,300797829,977289929,10905430,6703308
cnn,6,coro-prefetch,2,10,100,200,314,2,77562,0.00123506,1,2,30,300672202,996889929,9774341,6185707
cnn,0,control,1,10,100,200,314,2,86061,0.0013704,1,2,30,334046519,1099795498,10832975,6639269
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77536,0.00123465,0,2,30,300524121,977289767,10905568,6709857
cnn,6,coro-prefetch,2,10,100,200,314,2,77593,0.00123556,1,2,30,300797856,996889929,9747020,6166315
cnn,0,control,1,10,100,200,314,2,86046,0.00137016,1,2,30,333974376,1099795498,10833285,6645514
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77544,0.00123478,0,2,30,300495477,977289929,10907049,6711663
cnn,6,coro-prefetch,2,10,100,200,314,2,77572,0.00123522,1,2,30,300710007,996889767,9758533,6142751
cnn,0,control,1,10,100,200,314,2,86042,0.0013701,1,2,30,333995398,1099795498,10833972,6639703
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77516,0.00123433,0,2,30,300508977,977289929,10906124,6710703
cnn,6,coro-prefetch,2,10,100,200,314,2,77622,0.00123602,1,2,30,300822252,996889929,9749693,6151185
cnn,0,control,1,10,100,200,314,2,86042,0.0013701,1,2,30,333977137,1099795498,10833191,6653964
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77514,0.0012343,0,2,30,300492154,977289767,10907072,6714774
cnn,6,coro-prefetch,2,10,100,200,314,2,77585,0.00123543,1,2,30,300724890,996889929,9770250,6156103
cnn,0,control,1,10,100,200,314,2,86063,0.00137043,1,2,30,333996654,1099795498,10832498,6657710
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77487,0.00123387,0,2,30,300295871,977289929,10905079,6715290
cnn,6,coro-prefetch,2,10,100,200,314,2,77568,0.00123516,1,2,30,300672723,996889929,9793179,6165598
cnn,0,control,1,10,100,200,314,2,86017,0.0013697,1,2,30,333903276,1099795498,10832636,6663421
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77488,0.00123389,0,2,30,300326256,977289767,10903109,6705926
cnn,6,coro-prefetch,2,10,100,200,314,2,77598,0.00123564,1,2,30,300737561,996889929,9761650,6155290
cnn,0,control,1,10,100,200,314,2,86033,0.00136995,1,2,30,333956158,1099795498,10830969,6651469
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77475,0.00123368,0,2,30,300344409,977289929,10904202,6701430
cnn,6,coro-prefetch,2,10,100,200,314,2,77562,0.00123506,1,2,30,300698992,996889767,9814932,6175921
cnn,0,control,1,10,100,200,314,2,86029,0.00136989,1,2,30,333946861,1099795498,10833803,6654809
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77472,0.00123363,0,2,30,300309542,977289932,10905017,6713293
cnn,6,coro-prefetch,2,10,100,200,314,2,77604,0.00123573,1,2,30,300779003,996889929,9781995,6172754
cnn,0,control,1,10,100,200,314,2,86039,0.00137005,1,2,30,333965471,1099795498,10833151,6643013
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77486,0.00123385,0,2,30,300231927,977289768,10904882,6701014
cnn,6,coro-prefetch,2,10,100,200,314,2,77594,0.00123557,1,2,30,300738892,996889929,9781290,6172750
cnn,0,control,1,10,100,200,314,2,86031,0.00136992,1,2,30,333954909,1099795498,10832526,6636568
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77465,0.00123352,0,2,30,300238238,977289930,10902645,6716846
cnn,6,coro-prefetch,2,10,100,200,314,2,77604,0.00123573,1,2,30,300806202,996889928,9751446,6159119
cnn,0,control,1,10,100,200,314,2,86035,0.00136998,1,2,30,333907271,1099795498,10831535,6642949
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77471,0.00123361,0,2,30,300280749,977289768,10903342,6717778
cnn,6,coro-prefetch,2,10,100,200,314,2,77582,0.00123538,1,2,30,300742713,996889928,9797083,6153309
cnn,0,control,1,10,100,200,314,2,86049,0.00137021,1,2,30,333915956,1099795497,10832171,6636366
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77467,0.00123355,0,2,30,300275926,977289930,10905810,6710649
cnn,6,coro-prefetch,2,10,100,200,314,2,77591,0.00123553,1,2,30,300781538,996889767,9739177,6149103
cnn,0,control,1,10,100,200,314,2,86027,0.00136986,1,2,30,333904763,1099795497,10830638,6707151
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77500,0.00123408,0,2,30,300372572,977289930,10906030,6709307
cnn,6,coro-prefetch,2,10,100,200,314,2,77601,0.00123568,1,2,30,300817601,996889929,9778540,6162722
cnn,0,control,1,10,100,200,314,2,86067,0.00137049,1,2,30,333942408,1099795497,10833326,6655432
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77541,0.00123473,0,2,30,300533851,977289768,10906588,6697905
cnn,6,coro-prefetch,2,10,100,200,314,2,77701,0.00123728,1,2,30,301133104,996889928,9730776,6153226
cnn,0,control,1,10,100,200,314,2,87309,0.00139027,1,2,30,338879506,1099795499,10833478,6662505
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77585,0.00123543,0,2,30,300727574,977289929,10903975,6693223
cnn,6,coro-prefetch,2,10,100,200,314,2,79030,0.00125844,1,2,30,306300657,996889768,9778068,6173280
cnn,0,control,1,10,100,200,314,2,86164,0.00137204,1,2,30,334429849,1099795497,10834568,6636578
cnn,5,coro-no-prefetch,2,10,100,200,314,2,78834,0.00125532,0,2,30,305571764,977289930,10908429,6702294
cnn,6,coro-prefetch,2,10,100,200,314,2,77645,0.00123639,1,2,30,300852532,996889929,9763215,6167594
cnn,0,control,1,10,100,200,314,2,86174,0.0013722,1,2,30,334441320,1099795498,10834764,6635210
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77551,0.00123489,0,2,30,300581585,977289930,10904155,6690616
cnn,6,coro-prefetch,2,10,100,200,314,2,77596,0.00123561,1,2,30,300690756,996889768,9754385,6199650
cnn,0,control,1,10,100,200,314,2,86049,0.00137021,1,2,30,334021344,1099795498,10830474,6642993
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77453,0.00123333,0,2,30,300189222,977289930,10902886,6712139
cnn,6,coro-prefetch,2,10,100,200,314,2,77539,0.0012347,1,2,30,300574527,996889929,9750364,6157590
cnn,0,control,1,10,100,200,314,2,86032,0.00136994,1,2,30,333971696,1099795497,10831082,6636727
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77465,0.00123352,0,2,30,300257561,977289768,10904673,6713356
cnn,6,coro-prefetch,2,10,100,200,314,2,77582,0.00123538,1,2,30,300726955,996889929,9777774,6152115
cnn,0,control,1,10,100,200,314,2,86041,0.00137008,1,2,30,333967066,1099795497,10830136,6640389
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77469,0.00123358,0,2,30,300304669,977289930,10904689,6724837
cnn,6,coro-prefetch,2,10,100,200,314,2,77582,0.00123538,1,2,30,300690341,996889767,9761980,6151946
cnn,0,control,1,10,100,200,314,2,86049,0.00137021,1,2,30,333955161,1099795497,10831630,6661206
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77492,0.00123395,0,2,30,300326504,977289930,10905131,6703862
cnn,6,coro-prefetch,2,10,100,200,314,2,77574,0.00123525,1,2,30,300716358,996889929,9783749,6172844
cnn,0,control,1,10,100,200,314,2,86036,0.00137,1,2,30,333968630,1099795498,10830790,6654607
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77475,0.00123368,0,2,30,300286239,977289930,10903285,6708194
cnn,6,coro-prefetch,2,10,100,200,314,2,77555,0.00123495,1,2,30,300652377,996889767,9750917,6149550
cnn,0,control,1,10,100,200,314,2,86032,0.00136994,1,2,30,333973527,1099795497,10831901,6650508
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77468,0.00123357,0,2,30,300322966,977289930,10902451,6708114
cnn,6,coro-prefetch,2,10,100,200,314,2,77594,0.00123557,1,2,30,300798864,996889929,9744571,6156574
cnn,0,control,1,10,100,200,314,2,86061,0.0013704,1,2,30,334030055,1099795497,10831722,6648940
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77495,0.001234,0,2,30,300375215,977289771,10905425,6720634
cnn,6,coro-prefetch,2,10,100,200,314,2,77627,0.0012361,1,2,30,300898389,996889929,9796079,6169731
cnn,0,control,1,10,100,200,314,2,86022,0.00136978,1,2,30,333896001,1099795497,10833467,6634534
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77503,0.00123412,0,2,30,300332862,977289930,10905424,6703825
cnn,6,coro-prefetch,2,10,100,200,314,2,77576,0.00123529,1,2,30,300696304,996889767,9799195,6198132
cnn,0,control,1,10,100,200,314,2,86063,0.00137043,1,2,30,334024416,1099795497,10831643,6640826
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77456,0.00123338,0,2,30,300253595,977289930,10904253,6706893
cnn,6,coro-prefetch,2,10,100,200,314,2,77578,0.00123532,1,2,30,300716607,996889929,9781476,6171278
cnn,0,control,1,10,100,200,314,2,86035,0.00136998,1,2,30,333985714,1099795497,10833876,6643179
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77484,0.00123382,0,2,30,300307170,977289930,10904155,6708874
cnn,6,coro-prefetch,2,10,100,200,314,2,77616,0.00123592,1,2,30,300908341,996889766,9776305,6179728
cnn,0,control,1,10,100,200,314,2,86039,0.00137005,1,2,30,333999553,1099795497,10831119,6638644
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77456,0.00123338,0,2,30,300252509,977289930,10903053,6718447
cnn,6,coro-prefetch,2,10,100,200,314,2,77613,0.00123588,1,2,30,300767607,996889929,9744840,6158640
cnn,0,control,1,10,100,200,314,2,86040,0.00137006,1,2,30,333994135,1099795497,10831719,6633021
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77477,0.00123371,0,2,30,300280332,977289768,10903372,6706208
cnn,6,coro-prefetch,2,10,100,200,314,2,77566,0.00123513,1,2,30,300655292,996889929,9752759,6165027
cnn,0,control,1,10,100,200,314,2,86466,0.00137685,1,2,30,335577749,1099795497,10833779,6710745
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77546,0.00123481,0,2,30,300506750,977289930,10908326,6716417
cnn,6,coro-prefetch,2,10,100,200,314,2,77574,0.00123525,1,2,30,300683628,996889768,9760384,6149393
cnn,0,control,1,10,100,200,314,2,86023,0.00136979,1,2,30,333949322,1099795497,10832016,6670366
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77505,0.00123416,0,2,30,300462600,977289930,10905541,6707250
cnn,6,coro-prefetch,2,10,100,200,314,2,77556,0.00123497,1,2,30,300601796,996889929,9794544,6150073
cnn,0,control,1,10,100,200,314,2,86053,0.00137027,1,2,30,334003139,1099795497,10829920,6646145
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77535,0.00123463,0,2,30,300489491,977289768,10904705,6706695
cnn,6,coro-prefetch,2,10,100,200,314,2,77560,0.00123503,1,2,30,300650055,996889929,9803971,6199070
cnn,0,control,1,10,100,200,314,2,86081,0.00137072,1,2,30,334009084,1099795497,10832465,6647106
cnn,5,coro-no-prefetch,2,10,100,200,314,2,77541,0.00123473,0,2,30,300566933,977289930,10906263,6698655
