model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,200,96,2,150289,0.00782755,1,4,6,584032081,281648433,6668265,2724351
norm,5,coro-no-prefetch,8,10,100,200,96,2,157583,0.00820745,0,4,6,612152784,296872038,6824209,2768870
norm,6,coro-prefetch,8,10,100,200,96,2,157742,0.00821573,1,4,6,612728683,311670853,6350611,2646023
norm,0,control,1,10,100,200,96,2,150206,0.00782323,1,4,6,583656921,281648434,6668096,2618322
norm,5,coro-no-prefetch,8,10,100,200,96,2,157525,0.00820443,0,4,6,611922520,296870546,6823989,2729598
norm,6,coro-prefetch,8,10,100,200,96,2,157772,0.00821729,1,4,6,612858972,311670854,6345973,2652108
norm,0,control,1,10,100,200,96,2,150216,0.00782375,1,4,6,583755405,281648434,6667573,2600018
norm,5,coro-no-prefetch,8,10,100,200,96,2,157699,0.00821349,0,4,6,612595733,296870853,6824461,2731981
norm,6,coro-prefetch,8,10,100,200,96,2,157857,0.00822172,1,4,6,613198774,311670546,6349427,2628778
norm,0,control,1,10,100,200,96,2,150220,0.00782396,1,4,6,583715083,281648434,6668675,2603707
norm,5,coro-no-prefetch,8,10,100,200,96,2,157719,0.00821453,0,4,6,612679669,296870853,6825356,2768271
norm,6,coro-prefetch,8,10,100,200,96,2,157779,0.00821766,1,4,6,612865489,311670855,6347878,2655940
norm,0,control,1,10,100,200,96,2,150225,0.00782422,1,4,6,583800118,281648434,6667914,2599103
norm,5,coro-no-prefetch,8,10,100,200,96,2,157705,0.0082138,0,4,6,612663819,296870545,6822862,2732140
norm,6,coro-prefetch,8,10,100,200,96,2,157797,0.00821859,1,4,6,613015424,311670855,6352044,2633654
norm,0,control,1,10,100,200,96,2,150273,0.00782672,1,4,6,583985570,281648434,6667716,2609094
norm,5,coro-no-prefetch,8,10,100,200,96,2,157713,0.00821422,0,4,6,612600211,296870853,6824221,2734795
norm,6,coro-prefetch,8,10,100,200,96,2,157830,0.00822031,1,4,6,613079798,311670547,6349869,2630622
norm,0,control,1,10,100,200,96,2,150144,0.00782,1,4,6,583492968,281648433,6669536,2618479
norm,5,coro-no-prefetch,8,10,100,200,96,2,157650,0.00821094,0,4,6,612427699,296870853,6822743,2722779
norm,6,coro-prefetch,8,10,100,200,96,2,157698,0.00821344,1,4,6,612603459,311670857,6349756,2661762
norm,0,control,1,10,100,200,96,2,150182,0.00782198,1,4,6,583630608,281648433,6668731,2597212
norm,5,coro-no-prefetch,8,10,100,200,96,2,157690,0.00821302,0,4,6,612507090,296870547,6824697,2732052
norm,6,coro-prefetch,8,10,100,200,96,2,157691,0.00821307,1,4,6,612538087,311670853,6348922,2643441
norm,0,control,1,10,100,200,96,2,150143,0.00781995,1,4,6,583446044,281648433,6667454,2606722
norm,5,coro-no-prefetch,8,10,100,200,96,2,157680,0.0082125,0,4,6,612551405,296870855,6824078,2729155
norm,6,coro-prefetch,8,10,100,200,96,2,157761,0.00821672,1,4,6,612907241,311670545,6344750,2622997
norm,0,control,1,10,100,200,96,2,150205,0.00782318,1,4,6,583726845,281648433,6668731,2590724
norm,5,coro-no-prefetch,8,10,100,200,96,2,157679,0.00821245,0,4,6,612564599,296870855,6823592,2716643
norm,6,coro-prefetch,8,10,100,200,96,2,157806,0.00821906,1,4,6,612876054,311670854,6350634,2705509
norm,0,control,1,10,100,200,96,2,150175,0.00782161,1,4,6,583567763,281648434,6669355,2647989
norm,5,coro-no-prefetch,8,10,100,200,96,2,157645,0.00821068,0,4,6,612356396,296870545,6824010,2748059
norm,6,coro-prefetch,8,10,100,200,96,2,157660,0.00821146,1,4,6,612475338,311670854,6349559,2621456
norm,0,control,1,10,100,200,96,2,150244,0.00782521,1,4,6,583769510,281648434,6668119,2613255
norm,5,coro-no-prefetch,8,10,100,200,96,2,157588,0.00820771,0,4,6,612168150,296870853,6824540,2723946
norm,6,coro-prefetch,8,10,100,200,96,2,157742,0.00821573,1,4,6,612780424,311670547,6346921,2642748
norm,0,control,1,10,100,200,96,2,150148,0.00782021,1,4,6,583460609,281648434,6668694,2609005
norm,5,coro-no-prefetch,8,10,100,200,96,2,157583,0.00820745,0,4,6,612056459,296870853,6823916,2767235
norm,6,coro-prefetch,8,10,100,200,96,2,157794,0.00821844,1,4,6,613011319,311670855,6350472,2630957
norm,0,control,1,10,100,200,96,2,150220,0.00782396,1,4,6,583776388,281648434,6668100,2598402
norm,5,coro-no-prefetch,8,10,100,200,96,2,157709,0.00821401,0,4,6,612708087,296870545,6821790,2738832
norm,6,coro-prefetch,8,10,100,200,96,2,157785,0.00821797,1,4,6,612969591,311670855,6350982,2623385
norm,0,control,1,10,100,200,96,2,150210,0.00782344,1,4,6,583621278,281648433,6668009,2600806
norm,5,coro-no-prefetch,8,10,100,200,96,2,157708,0.00821396,0,4,6,612674024,296870547,6823021,2722734
norm,6,coro-prefetch,8,10,100,200,96,2,157816,0.00821958,1,4,6,613022280,311670854,6349710,2645230
norm,0,control,1,10,100,200,96,2,150184,0.00782208,1,4,6,583625791,281648433,6667774,2588370
norm,5,coro-no-prefetch,8,10,100,200,96,2,157678,0.0082124,0,4,6,612555513,296870858,6821378,2767175
norm,6,coro-prefetch,8,10,100,200,96,2,157729,0.00821505,1,4,6,612760019,311670545,6353311,2639521
norm,0,control,1,10,100,200,96,2,150189,0.00782234,1,4,6,583630371,281648433,6668935,2623699
norm,5,coro-no-prefetch,8,10,100,200,96,2,157666,0.00821177,0,4,6,612404796,296870855,6824899,2764440
norm,6,coro-prefetch,8,10,100,200,96,2,157717,0.00821443,1,4,6,612685313,311670853,6352128,2647112
norm,0,control,1,10,100,200,96,2,150222,0.00782406,1,4,6,583729790,281648433,6668070,2602873
norm,5,coro-no-prefetch,8,10,100,200,96,2,157589,0.00820776,0,4,6,612210913,296870546,6825877,2723749
norm,6,coro-prefetch,8,10,100,200,96,2,157724,0.00821479,1,4,6,612721671,311670854,6349287,2637314
norm,0,control,1,10,100,200,96,2,150175,0.00782161,1,4,6,583609476,281648434,6667576,2592452
norm,5,coro-no-prefetch,8,10,100,200,96,2,157678,0.0082124,0,4,6,612454256,296870853,6823121,2735873
norm,6,coro-prefetch,8,10,100,200,96,2,157674,0.00821219,1,4,6,612539208,311670546,6345909,2643379
norm,0,control,1,10,100,200,96,2,150233,0.00782464,1,4,6,583817962,281648434,6667215,2592368
norm,5,coro-no-prefetch,8,10,100,200,96,2,157535,0.00820495,0,4,6,611937885,296870853,6823988,2723879
norm,6,coro-prefetch,8,10,100,200,96,2,157773,0.00821734,1,4,6,612820312,311670855,6348304,2659589
