model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,80,950,1,28348,0.000373,1,2,30,58781192,153986362,4931024,2094279
svm,5,coro-no-prefetch,2,10,100,80,950,1,15386,0.000202447,0,2,30,57851163,160633753,4970123,1988417
svm,6,coro-prefetch,2,10,100,80,950,1,14106,0.000185605,1,2,30,53391111,167273502,4023875,1658786
svm,0,control,1,10,100,80,950,1,15508,0.000204053,1,2,30,59579263,153986363,4936523,1944882
svm,5,coro-no-prefetch,2,10,100,80,950,1,15595,0.000205197,0,2,30,58666382,160633664,4979275,1956129
svm,6,coro-prefetch,2,10,100,80,950,1,13897,0.000182855,1,2,30,52917055,167273663,4041867,1596799
svm,0,control,1,10,100,80,950,1,15520,0.000204211,1,2,30,59901279,153986363,4939770,1930317
svm,5,coro-no-prefetch,2,10,100,80,950,1,15655,0.000205987,0,2,30,58880372,160633502,4981781,1933748
svm,6,coro-prefetch,2,10,100,80,950,1,13867,0.000182461,1,2,30,52810306,167273663,4045692,1595732
svm,0,control,1,10,100,80,950,1,15567,0.000204829,1,2,30,60096716,153986363,4944139,1925714
svm,5,coro-no-prefetch,2,10,100,80,950,1,15716,0.000206789,0,2,30,59086824,160633664,4986104,1932733
svm,6,coro-prefetch,2,10,100,80,950,1,13864,0.000182421,1,2,30,52697443,167273502,4055958,1591572
svm,0,control,1,10,100,80,950,1,15660,0.000206053,1,2,30,60174629,153986363,4946375,1918213
svm,5,coro-no-prefetch,2,10,100,80,950,1,15146,0.000199289,0,2,30,57047196,160633663,4962229,1914341
svm,6,coro-prefetch,2,10,100,80,950,1,13664,0.000179789,1,2,30,52071862,167273664,4150019,1639153
svm,0,control,1,10,100,80,950,1,15203,0.000200039,1,2,30,58883063,153986363,4902192,1885972
svm,5,coro-no-prefetch,2,10,100,80,950,1,13755,0.000180987,0,2,30,53088107,160633663,4907888,1859735
svm,6,coro-prefetch,2,10,100,80,950,1,13436,0.000176789,1,2,30,51855358,167273501,4149542,1591315
svm,0,control,1,10,100,80,950,1,15221,0.000200276,1,2,30,58941320,153986363,4911061,1863107
svm,5,coro-no-prefetch,2,10,100,80,950,1,13772,0.000181211,0,2,30,53126025,160633664,4911643,1848107
svm,6,coro-prefetch,2,10,100,80,950,1,13419,0.000176566,1,2,30,51773256,167273663,4152314,1583740
svm,0,control,1,10,100,80,950,1,15236,0.000200474,1,2,30,58986741,153986363,4901202,1863890
svm,5,coro-no-prefetch,2,10,100,80,950,1,13754,0.000180974,0,2,30,53091376,160633501,4909280,1851049
svm,6,coro-prefetch,2,10,100,80,950,1,13436,0.000176789,1,2,30,51815813,167273664,4152666,1592346
