model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,5,928,2,244186,0.0526263,1,2,29,345633434,358106093,24381930,105098
norm,5,coro-no-prefetch,2,10,100,5,928,2,231352,0.0498603,0,2,29,345786334,358839018,24756553,158924
norm,6,coro-prefetch,2,10,100,5,928,2,233006,0.0502168,1,2,29,348228098,359853660,24915695,110471
norm,0,control,1,10,100,5,928,2,231203,0.0498282,1,2,29,345725137,358106093,24381749,105461
norm,5,coro-no-prefetch,2,10,100,5,928,2,231469,0.0498856,0,2,29,345865927,358838821,24764895,159701
norm,6,coro-prefetch,2,10,100,5,928,2,233132,0.050244,1,2,29,348264537,359853660,24907884,108885
norm,0,control,1,10,100,5,928,2,231186,0.0498246,1,2,29,345863087,358106093,24381736,105637
norm,5,coro-no-prefetch,2,10,100,5,928,2,231381,0.0498666,0,2,29,345905968,358838660,24766640,160951
norm,6,coro-prefetch,2,10,100,5,928,2,233197,0.050258,1,2,29,348295680,359853821,24914300,110620
norm,0,control,1,10,100,5,928,2,231161,0.0498192,1,2,29,345789304,358106093,24381767,105849
norm,5,coro-no-prefetch,2,10,100,5,928,2,231435,0.0498782,0,2,29,345833310,358838660,24764419,158977
norm,6,coro-prefetch,2,10,100,5,928,2,233011,0.0502179,1,2,29,348225024,359853660,24908040,108378
norm,0,control,1,10,100,5,928,2,231328,0.0498552,1,2,29,345915557,358106093,24381715,105591
norm,5,coro-no-prefetch,2,10,100,5,928,2,231449,0.0498813,0,2,29,345896086,358838821,24765180,160370
norm,6,coro-prefetch,2,10,100,5,928,2,233032,0.0502224,1,2,29,348259478,359853660,24914268,110588
norm,0,control,1,10,100,5,928,2,231238,0.0498358,1,2,29,345786840,358106093,24381720,105600
norm,5,coro-no-prefetch,2,10,100,5,928,2,231416,0.0498741,0,2,29,345838931,358838660,24764356,156994
norm,6,coro-prefetch,2,10,100,5,928,2,233052,0.0502267,1,2,29,348237714,359853821,24908363,108565
norm,0,control,1,10,100,5,928,2,231104,0.0498069,1,2,29,345723228,358106093,24381881,105397
norm,5,coro-no-prefetch,2,10,100,5,928,2,231341,0.049858,0,2,29,345842459,358838660,24767878,160427
