model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,80,176,1,46274,0.00328651,1,4,11,46087306,99748682,28366428,67666
svm,5,coro-no-prefetch,2,10,100,80,176,1,33169,0.00235575,0,4,11,48677865,105412474,31717485,269842
svm,6,coro-prefetch,2,10,100,80,176,1,34474,0.00244844,1,4,11,50887426,109172160,32338948,108402
svm,0,control,1,10,100,80,176,1,31124,0.00221051,1,4,11,46039382,99748682,28366426,67770
svm,5,coro-no-prefetch,2,10,100,80,176,1,33144,0.00235398,0,4,11,48736930,105412321,31571257,251665
svm,6,coro-prefetch,2,10,100,80,176,1,34480,0.00244886,1,4,11,50826157,109172160,32355295,107544
svm,0,control,1,10,100,80,176,1,31136,0.00221136,1,4,11,46087146,99748682,28366406,67658
svm,5,coro-no-prefetch,2,10,100,80,176,1,33511,0.00238004,0,4,11,49340055,105412321,31749816,261097
svm,6,coro-prefetch,2,10,100,80,176,1,34489,0.0024495,1,4,11,50855489,109172160,32352362,108687
svm,0,control,1,10,100,80,176,1,31145,0.002212,1,4,11,46098976,99748682,28366411,67868
svm,5,coro-no-prefetch,2,10,100,80,176,1,33479,0.00237777,0,4,11,49377624,105412160,31752973,259610
svm,6,coro-prefetch,2,10,100,80,176,1,34506,0.00245071,1,4,11,50831497,109172321,32340858,107917
svm,0,control,1,10,100,80,176,1,31139,0.00221158,1,4,11,46096012,99748682,28366395,67742
svm,5,coro-no-prefetch,2,10,100,80,176,1,33432,0.00237443,0,4,11,49293697,105412160,31729964,261453
svm,6,coro-prefetch,2,10,100,80,176,1,34637,0.00246001,1,4,11,51046902,109172160,32280437,108031
svm,0,control,1,10,100,80,176,1,31433,0.00223246,1,4,11,46112037,99748682,28366425,67630
svm,5,coro-no-prefetch,2,10,100,80,176,1,33435,0.00237464,0,4,11,49086890,105412321,31734677,274419
svm,6,coro-prefetch,2,10,100,80,176,1,34736,0.00246705,1,4,11,51224085,109172160,32271585,107896
svm,0,control,1,10,100,80,176,1,31150,0.00221236,1,4,11,46077099,99748682,28366403,67602
svm,5,coro-no-prefetch,2,10,100,80,176,1,33013,0.00234467,0,4,11,48658391,105412160,31713909,257392
svm,6,coro-prefetch,2,10,100,80,176,1,35089,0.00249212,1,4,11,51617618,109172321,32258523,108234
svm,0,control,1,10,100,80,176,1,31115,0.00220987,1,4,11,46081434,99748682,28366378,67898
svm,5,coro-no-prefetch,2,10,100,80,176,1,33130,0.00235298,0,4,11,48836084,105412160,31677829,264877
svm,6,coro-prefetch,2,10,100,80,176,1,34865,0.00247621,1,4,11,51408688,109172160,32249888,108979
svm,0,control,1,10,100,80,176,1,31114,0.0022098,1,4,11,46080257,99748682,28366383,67658
svm,5,coro-no-prefetch,2,10,100,80,176,1,33067,0.00234851,0,4,11,48654126,105412321,31713800,265387
svm,6,coro-prefetch,2,10,100,80,176,1,34625,0.00245916,1,4,11,51057598,109172160,32231445,108059
svm,0,control,1,10,100,80,176,1,31149,0.00221229,1,4,11,46114332,99748682,28366379,67838
svm,5,coro-no-prefetch,2,10,100,80,176,1,33494,0.00237884,0,4,11,49349620,105412160,31751699,276800
svm,6,coro-prefetch,2,10,100,80,176,1,34636,0.00245994,1,4,11,51065687,109172321,32231691,107374
svm,0,control,1,10,100,80,176,1,31150,0.00221236,1,4,11,46119068,99748682,28366393,67634
svm,5,coro-no-prefetch,2,10,100,80,176,1,33492,0.00237869,0,4,11,49197835,105412160,31666917,267319
svm,6,coro-prefetch,2,10,100,80,176,1,34673,0.00246257,1,4,11,51142185,109172160,32275215,108124
svm,0,control,1,10,100,80,176,1,31135,0.00221129,1,4,11,46065683,99748682,28366385,67902
svm,5,coro-no-prefetch,2,10,100,80,176,1,33086,0.00234986,0,4,11,48657603,105412321,31523128,246980
svm,6,coro-prefetch,2,10,100,80,176,1,34879,0.0024772,1,4,11,51327907,109172160,32267394,108006
svm,0,control,1,10,100,80,176,1,31154,0.00221264,1,4,11,46109500,99748682,28366405,67779
svm,5,coro-no-prefetch,2,10,100,80,176,1,32995,0.00234339,0,4,11,48619949,105412160,31681698,261499
svm,6,coro-prefetch,2,10,100,80,176,1,34829,0.00247365,1,4,11,51318968,109172321,32243230,108495
svm,0,control,1,10,100,80,176,1,31154,0.00221264,1,4,11,46094328,99748682,28366401,67670
svm,5,coro-no-prefetch,2,10,100,80,176,1,33020,0.00234517,0,4,11,48666383,105412160,31715775,266325
svm,6,coro-prefetch,2,10,100,80,176,1,34687,0.00246357,1,4,11,51035345,109172321,32280321,107961
svm,0,control,1,10,100,80,176,1,31132,0.00221108,1,4,11,46083634,99748682,28366384,67679
svm,5,coro-no-prefetch,2,10,100,80,176,1,33145,0.00235405,0,4,11,48802713,105412160,31726573,258080
svm,6,coro-prefetch,2,10,100,80,176,1,34709,0.00246513,1,4,11,51145610,109172160,32303890,108498
svm,0,control,1,10,100,80,176,1,31304,0.0022233,1,4,11,46126843,99748682,28366418,67834
svm,5,coro-no-prefetch,2,10,100,80,176,1,33093,0.00235036,0,4,11,48770417,105412321,31548105,252207
svm,6,coro-prefetch,2,10,100,80,176,1,34859,0.00247578,1,4,11,51208850,109172160,32271199,108120
svm,0,control,1,10,100,80,176,1,31121,0.0022103,1,4,11,46068101,99748682,28366376,67695
svm,5,coro-no-prefetch,2,10,100,80,176,1,33058,0.00234787,0,4,11,48715816,105412160,31522591,260056
svm,6,coro-prefetch,2,10,100,80,176,1,34639,0.00246016,1,4,11,51060903,109172321,32277951,108146
svm,0,control,1,10,100,80,176,1,31201,0.00221598,1,4,11,46084341,99748682,28366382,67717
svm,5,coro-no-prefetch,2,10,100,80,176,1,33106,0.00235128,0,4,11,48752323,105412160,31523279,259311
svm,6,coro-prefetch,2,10,100,80,176,1,34745,0.00246768,1,4,11,51248586,109172160,32268870,107956
svm,0,control,1,10,100,80,176,1,31139,0.00221158,1,4,11,46091767,99748682,28366385,67692
svm,5,coro-no-prefetch,2,10,100,80,176,1,33053,0.00234751,0,4,11,48725685,105412321,31522188,262053
svm,6,coro-prefetch,2,10,100,80,176,1,34862,0.00247599,1,4,11,51365061,109172160,32266696,108767
svm,0,control,1,10,100,80,176,1,31137,0.00221143,1,4,11,46086651,99748682,28366406,67819
svm,5,coro-no-prefetch,2,10,100,80,176,1,33039,0.00234652,0,4,11,48715035,105412160,31562217,255126
svm,6,coro-prefetch,2,10,100,80,176,1,34900,0.00247869,1,4,11,51398441,109172321,32265672,108284
svm,0,control,1,10,100,80,176,1,31154,0.00221264,1,4,11,46115460,99748682,28366356,67512
svm,5,coro-no-prefetch,2,10,100,80,176,1,32957,0.0023407,0,4,11,48605755,105412160,31715329,261835
svm,6,coro-prefetch,2,10,100,80,176,1,34987,0.00248487,1,4,11,51386485,109172160,32265262,108302
svm,0,control,1,10,100,80,176,1,31146,0.00221207,1,4,11,46072167,99748682,28366389,67669
svm,5,coro-no-prefetch,2,10,100,80,176,1,33423,0.00237379,0,4,11,49253388,105412321,31749464,273916
svm,6,coro-prefetch,2,10,100,80,176,1,34712,0.00246534,1,4,11,51160569,109172160,32272930,108226
svm,0,control,1,10,100,80,176,1,31210,0.00221662,1,4,11,46094966,99748682,28366370,67669
svm,5,coro-no-prefetch,2,10,100,80,176,1,33144,0.00235398,0,4,11,48861014,105412160,31729766,253323
