model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,10,166,2,36577,0.0220343,1,8,63,30347266,37723441,20048420,81370
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22803,0.0137367,0,8,63,33428826,40122664,20626471,215982
cnn,6,coro-prefetch,2,10,100,10,166,2,25301,0.0152416,1,8,63,37212986,43281980,21291436,93892
cnn,0,control,1,10,100,10,166,2,20794,0.0125265,1,8,63,30402611,37723441,20048372,81473
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22942,0.0138205,0,8,63,33653182,40121980,20615504,213394
cnn,6,coro-prefetch,2,10,100,10,166,2,25263,0.0152187,1,8,63,37147392,43281980,21270796,88677
cnn,0,control,1,10,100,10,166,2,20823,0.012544,1,8,63,30430645,37723441,20048411,81495
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22941,0.0138199,0,8,63,33538842,40121980,20629566,213677
cnn,6,coro-prefetch,2,10,100,10,166,2,25391,0.0152958,1,8,63,37271638,43281980,21292612,92520
cnn,0,control,1,10,100,10,166,2,20728,0.0124867,1,8,63,30409548,37723441,20048419,81436
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22873,0.0137789,0,8,63,33496652,40121980,20615272,212545
cnn,6,coro-prefetch,2,10,100,10,166,2,25374,0.0152855,1,8,63,37213223,43281980,21285514,91496
cnn,0,control,1,10,100,10,166,2,20761,0.0125066,1,8,63,30486637,37723441,20048292,81719
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22932,0.0138145,0,8,63,33591743,40121980,20625355,216939
cnn,6,coro-prefetch,2,10,100,10,166,2,25349,0.0152705,1,8,63,37245927,43281980,21282269,93950
cnn,0,control,1,10,100,10,166,2,20732,0.0124892,1,8,63,30365198,37723441,20048390,81474
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22832,0.0137542,0,8,63,33407651,40121980,20629520,213082
cnn,6,coro-prefetch,2,10,100,10,166,2,25377,0.0152873,1,8,63,37197554,43281980,21281281,93315
cnn,0,control,1,10,100,10,166,2,20677,0.012456,1,8,63,30384911,37723441,20048408,81292
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22940,0.0138193,0,8,63,33648211,40121980,20640503,217284
cnn,6,coro-prefetch,2,10,100,10,166,2,25325,0.015256,1,8,63,37214074,43281980,21272764,94156
cnn,0,control,1,10,100,10,166,2,20726,0.0124855,1,8,63,30393512,37723441,20048404,81381
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22892,0.0137904,0,8,63,33574957,40121980,20626817,212369
cnn,6,coro-prefetch,2,10,100,10,166,2,25383,0.015291,1,8,63,37238500,43281980,21300290,93610
cnn,0,control,1,10,100,10,166,2,20816,0.0125398,1,8,63,30435460,37723441,20048417,81323
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22830,0.013753,0,8,63,33463692,40121980,20616090,210539
cnn,6,coro-prefetch,2,10,100,10,166,2,25311,0.0152476,1,8,63,37180171,43281980,21277346,89785
cnn,0,control,1,10,100,10,166,2,20755,0.012503,1,8,63,30375790,37723441,20048414,81485
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22909,0.0138006,0,8,63,33553165,40121980,20620743,213933
cnn,6,coro-prefetch,2,10,100,10,166,2,25325,0.015256,1,8,63,37165781,43281980,21288215,92150
cnn,0,control,1,10,100,10,166,2,20771,0.0125127,1,8,63,30458226,37723441,20048405,81478
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22880,0.0137831,0,8,63,33536200,40121980,20614044,213136
cnn,6,coro-prefetch,2,10,100,10,166,2,25441,0.0153259,1,8,63,37264913,43281980,21295395,93588
cnn,0,control,1,10,100,10,166,2,20710,0.0124759,1,8,63,30382401,37723441,20048331,81608
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22879,0.0137825,0,8,63,33431482,40121980,20625169,214184
cnn,6,coro-prefetch,2,10,100,10,166,2,25298,0.0152398,1,8,63,37253002,43281980,21293974,93204
cnn,0,control,1,10,100,10,166,2,20764,0.0125084,1,8,63,30399115,37723441,20048414,81395
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22804,0.0137373,0,8,63,33421682,40121980,20626020,217570
cnn,6,coro-prefetch,2,10,100,10,166,2,25481,0.01535,1,8,63,37183947,43281980,21273230,91024
cnn,0,control,1,10,100,10,166,2,20682,0.012459,1,8,63,30361262,37723441,20048410,81283
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22897,0.0137934,0,8,63,33404236,40121980,20614887,212261
cnn,6,coro-prefetch,2,10,100,10,166,2,25314,0.0152494,1,8,63,37216503,43281980,21281519,90461
cnn,0,control,1,10,100,10,166,2,20721,0.0124825,1,8,63,30415374,37723441,20048419,81397
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22779,0.0137223,0,8,63,33358662,40121980,20614571,210732
cnn,6,coro-prefetch,2,10,100,10,166,2,25339,0.0152645,1,8,63,37247239,43281980,21281883,93174
cnn,0,control,1,10,100,10,166,2,20765,0.012509,1,8,63,30429132,37723441,20048414,81409
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22873,0.0137789,0,8,63,33522916,40121980,20621965,216788
cnn,6,coro-prefetch,2,10,100,10,166,2,25380,0.0152892,1,8,63,37172463,43281980,21298237,93889
cnn,0,control,1,10,100,10,166,2,20760,0.012506,1,8,63,30401529,37723441,20048415,81620
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22905,0.0137982,0,8,63,33531968,40121980,20628831,212697
cnn,6,coro-prefetch,2,10,100,10,166,2,25340,0.0152651,1,8,63,37243648,43281980,21283663,91311
cnn,0,control,1,10,100,10,166,2,20713,0.0124777,1,8,63,30400091,37723441,20048407,81441
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22780,0.0137229,0,8,63,33358469,40121980,20626051,213758
cnn,6,coro-prefetch,2,10,100,10,166,2,25375,0.0152861,1,8,63,37216417,43281980,21282789,93460
cnn,0,control,1,10,100,10,166,2,20748,0.0124988,1,8,63,30385720,37723441,20048329,81435
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22931,0.0138139,0,8,63,33575339,40121980,20619093,213591
cnn,6,coro-prefetch,2,10,100,10,166,2,25266,0.0152205,1,8,63,37192496,43281980,21292628,92994
cnn,0,control,1,10,100,10,166,2,20704,0.0124723,1,8,63,30377554,37723441,20048415,81332
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22837,0.0137572,0,8,63,33528687,40121980,20636311,213527
cnn,6,coro-prefetch,2,10,100,10,166,2,25286,0.0152325,1,8,63,37173922,43281980,21268338,88875
cnn,0,control,1,10,100,10,166,2,20760,0.012506,1,8,63,30370907,37723441,20048412,81346
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22724,0.0136892,0,8,63,33344351,40121980,20613613,210227
cnn,6,coro-prefetch,2,10,100,10,166,2,25301,0.0152416,1,8,63,37182638,43281980,21275118,91256
cnn,0,control,1,10,100,10,166,2,20704,0.0124723,1,8,63,30345340,37723441,20048413,81395
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22906,0.0137988,0,8,63,33603857,40121980,20642329,212726
cnn,6,coro-prefetch,2,10,100,10,166,2,25360,0.0152771,1,8,63,37207019,43281980,21276785,94624
cnn,0,control,1,10,100,10,166,2,20689,0.0124633,1,8,63,30390340,37723441,20048403,81400
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22907,0.0137994,0,8,63,33561922,40121980,20614861,213267
cnn,6,coro-prefetch,2,10,100,10,166,2,25363,0.0152789,1,8,63,37202120,43281980,21276338,88634
cnn,0,control,1,10,100,10,166,2,20727,0.0124861,1,8,63,30372312,37723441,20048335,81645
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22734,0.0136952,0,8,63,33352629,40121980,20614863,208459
cnn,6,coro-prefetch,2,10,100,10,166,2,25308,0.0152458,1,8,63,37142578,43281980,21284376,92401
cnn,0,control,1,10,100,10,166,2,20704,0.0124723,1,8,63,30411210,37723441,20048382,81494
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22858,0.0137699,0,8,63,33466005,40121980,20626215,215333
cnn,6,coro-prefetch,2,10,100,10,166,2,25429,0.0153187,1,8,63,37240678,43281980,21272757,94033
cnn,0,control,1,10,100,10,166,2,20760,0.012506,1,8,63,30405343,37723441,20048347,81389
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22806,0.0137386,0,8,63,33429463,40121980,20626151,217307
cnn,6,coro-prefetch,2,10,100,10,166,2,25457,0.0153355,1,8,63,37236421,43281980,21276108,93565
cnn,0,control,1,10,100,10,166,2,20717,0.0124801,1,8,63,30367063,37723441,20048301,81459
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22868,0.0137759,0,8,63,33301777,40121980,20630587,211000
cnn,6,coro-prefetch,2,10,100,10,166,2,25382,0.0152904,1,8,63,37235116,43281980,21285915,92342
cnn,0,control,1,10,100,10,166,2,20716,0.0124795,1,8,63,30373480,37723441,20048406,81489
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22883,0.0137849,0,8,63,33477805,40121980,20629503,213357
cnn,6,coro-prefetch,2,10,100,10,166,2,25254,0.0152133,1,8,63,37184561,43281980,21280609,92080
cnn,0,control,1,10,100,10,166,2,20850,0.0125602,1,8,63,30478527,37723441,20048409,81508
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22933,0.0138151,0,8,63,33592420,40121980,20639095,213613
cnn,6,coro-prefetch,2,10,100,10,166,2,25339,0.0152645,1,8,63,37238100,43281980,21290989,91726
cnn,0,control,1,10,100,10,166,2,20742,0.0124952,1,8,63,30384945,37723441,20048420,81516
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22959,0.0138307,0,8,63,33557665,40121980,20626059,214709
cnn,6,coro-prefetch,2,10,100,10,166,2,25363,0.0152789,1,8,63,37186748,43281980,21270466,93829
cnn,0,control,1,10,100,10,166,2,20733,0.0124898,1,8,63,30361534,37723441,20048425,81386
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22923,0.013809,0,8,63,33585873,40121980,20625984,217043
cnn,6,coro-prefetch,2,10,100,10,166,2,25371,0.0152837,1,8,63,37238212,43281980,21290041,94085
cnn,0,control,1,10,100,10,166,2,20689,0.0124633,1,8,63,30410662,37723441,20048409,81435
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22862,0.0137723,0,8,63,33531417,40121980,20626036,217684
cnn,6,coro-prefetch,2,10,100,10,166,2,25411,0.0153078,1,8,63,37254159,43281980,21289034,93604
cnn,0,control,1,10,100,10,166,2,20717,0.0124801,1,8,63,30399536,37723441,20048418,81459
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22759,0.0137102,0,8,63,33332171,40121980,20614664,210791
cnn,6,coro-prefetch,2,10,100,10,166,2,25310,0.015247,1,8,63,37154902,43281980,21275543,89447
cnn,0,control,1,10,100,10,166,2,20768,0.0125108,1,8,63,30394286,37723441,20048406,81442
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22992,0.0138506,0,8,63,33624288,40121980,20643542,213493
cnn,6,coro-prefetch,2,10,100,10,166,2,25275,0.0152259,1,8,63,37167245,43281980,21291746,93026
cnn,0,control,1,10,100,10,166,2,20669,0.0124512,1,8,63,30321041,37723441,20048330,81460
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22785,0.0137259,0,8,63,33388773,40121980,20626077,215888
cnn,6,coro-prefetch,2,10,100,10,166,2,25405,0.0153042,1,8,63,37309956,43281980,21298603,93219
cnn,0,control,1,10,100,10,166,2,20791,0.0125247,1,8,63,30412408,37723441,20048383,81482
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22788,0.0137277,0,8,63,33461144,40121980,20614729,211364
cnn,6,coro-prefetch,2,10,100,10,166,2,25369,0.0152825,1,8,63,37275745,43281980,21269859,93107
cnn,0,control,1,10,100,10,166,2,20767,0.0125102,1,8,63,30423053,37723441,20048413,81338
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22930,0.0138133,0,8,63,33587910,40121980,20615144,214712
cnn,6,coro-prefetch,2,10,100,10,166,2,25284,0.0152313,1,8,63,37143459,43281980,21285525,92472
cnn,0,control,1,10,100,10,166,2,20717,0.0124801,1,8,63,30366104,37723441,20048416,81542
cnn,5,coro-no-prefetch,2,10,100,10,166,2,22964,0.0138337,0,8,63,33653687,40121980,20636230,214883
cnn,6,coro-prefetch,2,10,100,10,166,2,25337,0.0152633,1,8,63,37223062,43281980,21282592,91039
