model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,5,180,2,20981,0.0233122,1,4,12,6225067,9315326,4054131,37336
norm,5,coro-no-prefetch,2,10,100,5,180,2,4255,0.00472778,0,4,12,5953570,10012598,4391060,95139
norm,6,coro-prefetch,2,10,100,5,180,2,4132,0.00459111,1,4,12,5819489,10436980,4453092,58902
norm,0,control,1,10,100,5,180,2,4509,0.00501,1,4,12,6239921,9315326,4054135,37059
norm,5,coro-no-prefetch,2,10,100,5,180,2,4266,0.00474,0,4,12,5988385,10011980,4380116,100434
norm,6,coro-prefetch,2,10,100,5,180,2,4159,0.00462111,1,4,12,5803621,10436980,4450527,59620
norm,0,control,1,10,100,5,180,2,4509,0.00501,1,4,12,6262266,9315326,4054133,37133
norm,5,coro-no-prefetch,2,10,100,5,180,2,4266,0.00474,0,4,12,6007990,10011980,4380319,99912
norm,6,coro-prefetch,2,10,100,5,180,2,4135,0.00459444,1,4,12,5828942,10436980,4452714,58806
norm,0,control,1,10,100,5,180,2,4412,0.00490222,1,4,12,6249998,9315326,4054131,37114
norm,5,coro-no-prefetch,2,10,100,5,180,2,4213,0.00468111,0,4,12,5938406,10011980,4392480,92782
norm,6,coro-prefetch,2,10,100,5,180,2,4154,0.00461556,1,4,12,5798921,10436980,4451336,58955
norm,0,control,1,10,100,5,180,2,4434,0.00492667,1,4,12,6234737,9315326,4054132,36990
norm,5,coro-no-prefetch,2,10,100,5,180,2,4223,0.00469222,0,4,12,5923212,10011980,4393217,93817
norm,6,coro-prefetch,2,10,100,5,180,2,4127,0.00458556,1,4,12,5821923,10436980,4451387,59515
norm,0,control,1,10,100,5,180,2,4440,0.00493333,1,4,12,6216491,9315326,4054104,37156
norm,5,coro-no-prefetch,2,10,100,5,180,2,4268,0.00474222,0,4,12,5939493,10011980,4388844,93639
norm,6,coro-prefetch,2,10,100,5,180,2,4126,0.00458444,1,4,12,5805851,10436980,4451275,59069
norm,0,control,1,10,100,5,180,2,4391,0.00487889,1,4,12,6232948,9315326,4054128,37187
norm,5,coro-no-prefetch,2,10,100,5,180,2,4303,0.00478111,0,4,12,5991147,10011980,4378968,99905
norm,6,coro-prefetch,2,10,100,5,180,2,4148,0.00460889,1,4,12,5803229,10436980,4451359,59414
norm,0,control,1,10,100,5,180,2,4494,0.00499333,1,4,12,6260819,9315326,4054130,37060
norm,5,coro-no-prefetch,2,10,100,5,180,2,4204,0.00467111,0,4,12,5933413,10011980,4391691,93213
norm,6,coro-prefetch,2,10,100,5,180,2,4135,0.00459444,1,4,12,5809883,10436980,4451292,59077
norm,0,control,1,10,100,5,180,2,4388,0.00487556,1,4,12,6228329,9315326,4054130,37124
norm,5,coro-no-prefetch,2,10,100,5,180,2,4236,0.00470667,0,4,12,5905353,10011980,4391596,93290
norm,6,coro-prefetch,2,10,100,5,180,2,4119,0.00457667,1,4,12,5811060,10436980,4451349,59284
norm,0,control,1,10,100,5,180,2,4400,0.00488889,1,4,12,6218548,9315326,4054131,36991
norm,5,coro-no-prefetch,2,10,100,5,180,2,4323,0.00480333,0,4,12,5998116,10011980,4391141,95297
norm,6,coro-prefetch,2,10,100,5,180,2,4158,0.00462,1,4,12,5808858,10436980,4452131,59145
norm,0,control,1,10,100,5,180,2,4427,0.00491889,1,4,12,6244083,9315326,4054131,36949
norm,5,coro-no-prefetch,2,10,100,5,180,2,4325,0.00480556,0,4,12,5977777,10011980,4380021,99481
norm,6,coro-prefetch,2,10,100,5,180,2,4118,0.00457556,1,4,12,5805295,10436980,4452878,58909
norm,0,control,1,10,100,5,180,2,4400,0.00488889,1,4,12,6231236,9315326,4054101,37349
norm,5,coro-no-prefetch,2,10,100,5,180,2,4239,0.00471,0,4,12,5979384,10011980,4380031,99585
norm,6,coro-prefetch,2,10,100,5,180,2,4183,0.00464778,1,4,12,5818658,10436980,4452844,59516
norm,0,control,1,10,100,5,180,2,4392,0.00488,1,4,12,6233704,9315326,4054117,37154
norm,5,coro-no-prefetch,2,10,100,5,180,2,4288,0.00476444,0,4,12,6006695,10011980,4380211,99108
norm,6,coro-prefetch,2,10,100,5,180,2,4183,0.00464778,1,4,12,5812573,10436980,4452302,58724
norm,0,control,1,10,100,5,180,2,4390,0.00487778,1,4,12,6224377,9315326,4054129,37248
norm,5,coro-no-prefetch,2,10,100,5,180,2,4297,0.00477444,0,4,12,5988820,10011980,4386071,97450
norm,6,coro-prefetch,2,10,100,5,180,2,4147,0.00460778,1,4,12,5815248,10436980,4452834,59495
norm,0,control,1,10,100,5,180,2,4430,0.00492222,1,4,12,6228824,9315326,4054130,37102
norm,5,coro-no-prefetch,2,10,100,5,180,2,4228,0.00469778,0,4,12,5968431,10011980,4393204,93519
norm,6,coro-prefetch,2,10,100,5,180,2,4128,0.00458667,1,4,12,5819707,10436980,4452899,59389
norm,0,control,1,10,100,5,180,2,4413,0.00490333,1,4,12,6248012,9315326,4054131,36973
norm,5,coro-no-prefetch,2,10,100,5,180,2,4323,0.00480333,0,4,12,5996281,10011980,4393291,93791
norm,6,coro-prefetch,2,10,100,5,180,2,4199,0.00466556,1,4,12,5832059,10436980,4452176,59134
norm,0,control,1,10,100,5,180,2,4392,0.00488,1,4,12,6226527,9315326,4054129,36954
norm,5,coro-no-prefetch,2,10,100,5,180,2,4283,0.00475889,0,4,12,5952428,10011980,4393341,93469
norm,6,coro-prefetch,2,10,100,5,180,2,4184,0.00464889,1,4,12,5823013,10436980,4452684,59470
norm,0,control,1,10,100,5,180,2,4407,0.00489667,1,4,12,6228265,9315326,4054130,37246
norm,5,coro-no-prefetch,2,10,100,5,180,2,4213,0.00468111,0,4,12,5948497,10011980,4393011,93661
norm,6,coro-prefetch,2,10,100,5,180,2,4135,0.00459444,1,4,12,5819943,10436980,4452904,59483
norm,0,control,1,10,100,5,180,2,4471,0.00496778,1,4,12,6254330,9315326,4054121,36906
norm,5,coro-no-prefetch,2,10,100,5,180,2,4227,0.00469667,0,4,12,5916143,10011980,4393594,93779
norm,6,coro-prefetch,2,10,100,5,180,2,4199,0.00466556,1,4,12,5816683,10436980,4452976,59198
norm,0,control,1,10,100,5,180,2,4458,0.00495333,1,4,12,6231224,9315326,4054110,37101
norm,5,coro-no-prefetch,2,10,100,5,180,2,4261,0.00473444,0,4,12,6023907,10011980,4380313,100730
norm,6,coro-prefetch,2,10,100,5,180,2,4122,0.00458,1,4,12,5805727,10436980,4451362,58932
norm,0,control,1,10,100,5,180,2,4412,0.00490222,1,4,12,6256931,9315326,4054117,37187
norm,5,coro-no-prefetch,2,10,100,5,180,2,4222,0.00469111,0,4,12,5953050,10011980,4391753,93552
norm,6,coro-prefetch,2,10,100,5,180,2,4106,0.00456222,1,4,12,5794236,10436980,4451507,59250
norm,0,control,1,10,100,5,180,2,4478,0.00497556,1,4,12,6241234,9315326,4054141,37240
norm,5,coro-no-prefetch,2,10,100,5,180,2,4250,0.00472222,0,4,12,5982545,10011980,4380049,99523
norm,6,coro-prefetch,2,10,100,5,180,2,4199,0.00466556,1,4,12,5823614,10436980,4452006,59184
norm,0,control,1,10,100,5,180,2,4439,0.00493222,1,4,12,6243933,9315326,4054133,36975
norm,5,coro-no-prefetch,2,10,100,5,180,2,4292,0.00476889,0,4,12,6002171,10011980,4393641,93511
norm,6,coro-prefetch,2,10,100,5,180,2,4146,0.00460667,1,4,12,5850648,10436980,4451561,59432
norm,0,control,1,10,100,5,180,2,4429,0.00492111,1,4,12,6251864,9315326,4054136,37210
norm,5,coro-no-prefetch,2,10,100,5,180,2,4324,0.00480444,0,4,12,6016586,10011980,4380033,100915
norm,6,coro-prefetch,2,10,100,5,180,2,4126,0.00458444,1,4,12,5808076,10436980,4451238,59368
norm,0,control,1,10,100,5,180,2,4504,0.00500444,1,4,12,6261925,9315326,4054099,37154
norm,5,coro-no-prefetch,2,10,100,5,180,2,4186,0.00465111,0,4,12,5904187,10011980,4391672,93133
norm,6,coro-prefetch,2,10,100,5,180,2,4189,0.00465444,1,4,12,5820013,10436980,4451377,58749
norm,0,control,1,10,100,5,180,2,4387,0.00487444,1,4,12,6224453,9315326,4054132,37157
norm,5,coro-no-prefetch,2,10,100,5,180,2,4230,0.0047,0,4,12,5952747,10011980,4391357,95542
norm,6,coro-prefetch,2,10,100,5,180,2,4129,0.00458778,1,4,12,5815317,10436980,4452834,59510
norm,0,control,1,10,100,5,180,2,4390,0.00487778,1,4,12,6248317,9315326,4054100,37040
norm,5,coro-no-prefetch,2,10,100,5,180,2,4227,0.00469667,0,4,12,5969414,10011980,4382848,96980
norm,6,coro-prefetch,2,10,100,5,180,2,4153,0.00461444,1,4,12,5833961,10436980,4452909,59119
