model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,20,440,1,22167,0.00251898,1,2,14,8147036,10720551,2318307,17269
svm,5,coro-no-prefetch,2,10,100,20,440,1,7310,0.000830682,0,2,14,10389263,12234362,3220473,111226
svm,6,coro-prefetch,2,10,100,20,440,1,6899,0.000783977,1,2,14,9986732,13433980,3533120,29922
svm,0,control,1,10,100,20,440,1,5792,0.000658182,1,2,14,8227070,10720551,2318327,17116
svm,5,coro-no-prefetch,2,10,100,20,440,1,7354,0.000835682,0,2,14,10550747,12233980,3217261,112745
svm,6,coro-prefetch,2,10,100,20,440,1,6986,0.000793864,1,2,14,10000643,13433980,3513363,28992
svm,0,control,1,10,100,20,440,1,5813,0.000660568,1,2,14,8247466,10720551,2318310,17095
svm,5,coro-no-prefetch,2,10,100,20,440,1,7267,0.000825795,0,2,14,10415212,12233980,3219914,112055
svm,6,coro-prefetch,2,10,100,20,440,1,7036,0.000799545,1,2,14,10040426,13433980,3526073,29965
svm,0,control,1,10,100,20,440,1,5770,0.000655682,1,2,14,8223095,10720551,2318303,17261
svm,5,coro-no-prefetch,2,10,100,20,440,1,7387,0.000839432,0,2,14,10599663,12233980,3217356,112331
svm,6,coro-prefetch,2,10,100,20,440,1,7068,0.000803182,1,2,14,10055405,13433980,3543867,29897
svm,0,control,1,10,100,20,440,1,5826,0.000662045,1,2,14,8215119,10720551,2318314,17098
svm,5,coro-no-prefetch,2,10,100,20,440,1,7221,0.000820568,0,2,14,10326029,12233980,3196181,106678
svm,6,coro-prefetch,2,10,100,20,440,1,7018,0.0007975,1,2,14,10042438,13433980,3545515,30203
svm,0,control,1,10,100,20,440,1,5812,0.000660455,1,2,14,8188733,10720551,2318326,17093
svm,5,coro-no-prefetch,2,10,100,20,440,1,7502,0.0008525,0,2,14,10744289,12233980,3236395,116088
svm,6,coro-prefetch,2,10,100,20,440,1,7039,0.000799886,1,2,14,10039554,13433980,3522829,30080
svm,0,control,1,10,100,20,440,1,5801,0.000659205,1,2,14,8224705,10720551,2318318,17087
svm,5,coro-no-prefetch,2,10,100,20,440,1,7411,0.000842159,0,2,14,10589870,12233980,3219893,114854
svm,6,coro-prefetch,2,10,100,20,440,1,7014,0.000797045,1,2,14,10012854,13433980,3536391,29422
svm,0,control,1,10,100,20,440,1,5719,0.000649886,1,2,14,8204426,10720551,2318308,17070
