model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,400,674,2,947243,0.00351351,1,4,127,3536510038,12843146609,83499915,81106843
cnn,5,coro-no-prefetch,4,10,100,400,674,2,936872,0.00347504,0,4,127,3548594014,12880817115,97330246,69853455
cnn,6,coro-prefetch,4,10,100,400,674,2,1017760,0.00377507,1,4,127,3855317199,12994815989,80277257,57927974
cnn,0,control,1,10,100,400,674,2,932231,0.00345783,1,4,127,3528989457,12843146609,94796172,68466307
cnn,5,coro-no-prefetch,4,10,100,400,674,2,936768,0.00347466,0,4,127,3548165795,12880815969,98664229,69923139
cnn,6,coro-prefetch,4,10,100,400,674,2,1017696,0.00377484,1,4,127,3855153749,12994815990,80572006,57629962
cnn,0,control,1,10,100,400,674,2,931880,0.00345653,1,4,127,3529291916,12843146609,93820602,68400062
cnn,5,coro-no-prefetch,4,10,100,400,674,2,937914,0.00347891,0,4,127,3551655550,12880815970,97724172,69833249
cnn,6,coro-prefetch,4,10,100,400,674,2,1017930,0.0037757,1,4,127,3855914409,12994815990,80526117,57627168
cnn,0,control,1,10,100,400,674,2,932729,0.00345968,1,4,127,3529296272,12843146610,94793690,68803344
cnn,5,coro-no-prefetch,4,10,100,400,674,2,937113,0.00347594,0,4,127,3549643698,12880815970,98481743,69807608
cnn,6,coro-prefetch,4,10,100,400,674,2,1018086,0.00377628,1,4,127,3855697422,12994815991,80216822,57956891
cnn,0,control,1,10,100,400,674,2,932310,0.00345812,1,4,127,3529719408,12843146609,93843767,68375453
cnn,5,coro-no-prefetch,4,10,100,400,674,2,938546,0.00348125,0,4,127,3549409677,12880815970,97293390,69700399
cnn,6,coro-prefetch,4,10,100,400,674,2,1019836,0.00378277,1,4,127,3857018140,12994815990,80427605,57656599
cnn,0,control,1,10,100,400,674,2,941811,0.00349336,1,4,127,3539007272,12843146611,93985755,68623356
cnn,5,coro-no-prefetch,4,10,100,400,674,2,937315,0.00347669,0,4,127,3550303869,12880815969,98242920,69812923
cnn,6,coro-prefetch,4,10,100,400,674,2,1017762,0.00377508,1,4,127,3855741588,12994815990,80448741,57743606
cnn,0,control,1,10,100,400,674,2,931949,0.00345678,1,4,127,3529258007,12843146609,94795677,68430910
cnn,5,coro-no-prefetch,4,10,100,400,674,2,937360,0.00347685,0,4,127,3549742544,12880815970,98724274,69820238
cnn,6,coro-prefetch,4,10,100,400,674,2,1018114,0.00377639,1,4,127,3856507974,12994815990,80459462,57616467
cnn,0,control,1,10,100,400,674,2,931874,0.00345651,1,4,127,3529473143,12843146609,93850537,68360885
cnn,5,coro-no-prefetch,4,10,100,400,674,2,937376,0.00347691,0,4,127,3549999862,12880815969,97311690,69685565
cnn,6,coro-prefetch,4,10,100,400,674,2,1018237,0.00377684,1,4,127,3855833000,12994815990,80360626,57861623
cnn,0,control,1,10,100,400,674,2,931935,0.00345673,1,4,127,3529369204,12843146609,94782914,68422718
cnn,5,coro-no-prefetch,4,10,100,400,674,2,936993,0.00347549,0,4,127,3549347928,12880815970,98406121,69787292
