model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,10,100,400,70,2,72369,0.00258461,1,8,27,219914525,464968492,17500335,14131055
cnn,5,coro-no-prefetch,2,10,100,400,70,2,61105,0.00218232,0,8,27,230928406,497259446,17589624,13999018
cnn,6,coro-prefetch,2,10,100,400,70,2,56449,0.00201604,1,8,27,213460605,528858739,17727706,11607110
cnn,0,control,1,10,100,400,70,2,57646,0.00205879,1,8,27,217975204,464968493,20035833,11934478
cnn,5,coro-no-prefetch,2,10,100,400,70,2,60708,0.00216814,0,8,27,229599684,497258740,20118740,11977526
cnn,6,coro-prefetch,2,10,100,400,70,2,56309,0.00201104,1,8,27,212926703,528858739,17476849,11786470
cnn,0,control,1,10,100,400,70,2,58126,0.00207593,1,8,27,219665573,464968493,19976925,11950620
cnn,5,coro-no-prefetch,2,10,100,400,70,2,60787,0.00217096,0,8,27,229857512,497258741,20058584,11967470
cnn,6,coro-prefetch,2,10,100,400,70,2,56320,0.00201143,1,8,27,212817827,528858739,17702784,11624245
cnn,0,control,1,10,100,400,70,2,58400,0.00208571,1,8,27,220576266,464968492,19845022,11950122
cnn,5,coro-no-prefetch,2,10,100,400,70,2,61087,0.00218168,0,8,27,231013717,497258740,19916261,11977672
cnn,6,coro-prefetch,2,10,100,400,70,2,56336,0.002012,1,8,27,212624213,528858740,17619354,11670150
cnn,0,control,1,10,100,400,70,2,57007,0.00203596,1,8,27,215398530,464968492,19794121,11853172
cnn,5,coro-no-prefetch,2,10,100,400,70,2,59622,0.00212936,0,8,27,225467680,497258740,19917219,11863523
cnn,6,coro-prefetch,2,10,100,400,70,2,56112,0.002004,1,8,27,211746845,528858740,17880726,11499202
cnn,0,control,1,10,100,400,70,2,57080,0.00203857,1,8,27,215605833,464968492,19791188,11868081
cnn,5,coro-no-prefetch,2,10,100,400,70,2,59680,0.00213143,0,8,27,225560148,497258740,19909121,11860556
cnn,6,coro-prefetch,2,10,100,400,70,2,56040,0.00200143,1,8,27,211822349,528858739,17645460,11793986
cnn,0,control,1,10,100,400,70,2,56995,0.00203554,1,8,27,215519227,464968492,19821665,11844356
cnn,5,coro-no-prefetch,2,10,100,400,70,2,59616,0.00212914,0,8,27,225462242,497258740,19935740,11852593
cnn,6,coro-prefetch,2,10,100,400,70,2,56062,0.00200221,1,8,27,211969966,528858739,17521986,12009844
cnn,0,control,1,10,100,400,70,2,57092,0.002039,1,8,27,215744582,464968492,19809822,11842913
cnn,5,coro-no-prefetch,2,10,100,400,70,2,59673,0.00213118,0,8,27,225543182,497258740,19914729,11860756
cnn,6,coro-prefetch,2,10,100,400,70,2,55989,0.00199961,1,8,27,211564976,528858739,17201149,12423325
cnn,0,control,1,10,100,400,70,2,57029,0.00203675,1,8,27,215646905,464968492,19776958,11866201
cnn,5,coro-no-prefetch,2,10,100,400,70,2,59635,0.00212982,0,8,27,225532749,497258740,19908556,11864663
cnn,6,coro-prefetch,2,10,100,400,70,2,56047,0.00200168,1,8,27,211834317,528858739,17775034,11602334
cnn,0,control,1,10,100,400,70,2,57083,0.00203868,1,8,27,215857244,464968492,19780950,11859197
cnn,5,coro-no-prefetch,2,10,100,400,70,2,59736,0.00213343,0,8,27,225929796,497258740,19878590,11888032
cnn,6,coro-prefetch,2,10,100,400,70,2,56014,0.0020005,1,8,27,211825801,528858739,17917266,11469463
cnn,0,control,1,10,100,400,70,2,57050,0.0020375,1,8,27,215741289,464968492,19785153,11859425
cnn,5,coro-no-prefetch,2,10,100,400,70,2,59729,0.00213318,0,8,27,225674016,497258740,19888490,11878788
cnn,6,coro-prefetch,2,10,100,400,70,2,56025,0.00200089,1,8,27,211847756,528858739,17747023,11685858
cnn,0,control,1,10,100,400,70,2,57247,0.00204454,1,8,27,216474626,464968492,19555778,11932274
cnn,5,coro-no-prefetch,2,10,100,400,70,2,59853,0.00213761,0,8,27,226269596,497258740,19755970,11905475
cnn,6,coro-prefetch,2,10,100,400,70,2,55954,0.00199836,1,8,27,211593412,528858739,17875047,11444989
cnn,0,control,1,10,100,400,70,2,57012,0.00203614,1,8,27,215495098,464968492,19811793,11846375
cnn,5,coro-no-prefetch,2,10,100,400,70,2,59673,0.00213118,0,8,27,225606767,497258740,19932997,11856305
cnn,6,coro-prefetch,2,10,100,400,70,2,55960,0.00199857,1,8,27,211484037,528858739,17722616,11661013
cnn,0,control,1,10,100,400,70,2,57095,0.00203911,1,8,27,215836101,464968492,19793972,11854013
cnn,5,coro-no-prefetch,2,10,100,400,70,2,59663,0.00213082,0,8,27,225526707,497258740,19938092,11855204
