model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
leaf,0,control,1,10,100,800,200,1,54434,0.000340213,1,2,7,145928061,100145191,9931363,7238853
leaf,5,coro-no-prefetch,4,10,100,800,200,1,35301,0.000220631,0,2,7,133430129,168868540,14581964,7323801
leaf,6,coro-prefetch,4,10,100,800,200,1,23705,0.000148156,1,2,7,89546651,211267321,14611426,7029096
leaf,0,control,1,10,100,800,200,1,35194,0.000219962,1,2,7,132914725,100145190,10845817,7100211
leaf,5,coro-no-prefetch,4,10,100,800,200,1,33982,0.000212388,0,2,7,128471344,168867324,17014535,7177544
leaf,6,coro-prefetch,4,10,100,800,200,1,23433,0.000146456,1,2,7,88539467,211267321,16505525,7039010
leaf,0,control,1,10,100,800,200,1,35069,0.000219181,1,2,7,132575106,100145191,10872580,7096559
leaf,5,coro-no-prefetch,4,10,100,800,200,1,33988,0.000212425,0,2,7,128485980,168867323,17031611,7182285
leaf,6,coro-prefetch,4,10,100,800,200,1,23462,0.000146638,1,2,7,88523289,211267321,16499761,7037315
leaf,0,control,1,10,100,800,200,1,35147,0.000219669,1,2,7,132764830,100145191,10858130,7102520
leaf,5,coro-no-prefetch,4,10,100,800,200,1,34040,0.00021275,0,2,7,128552798,168867323,17016412,7179789
leaf,6,coro-prefetch,4,10,100,800,200,1,23438,0.000146488,1,2,7,88541786,211267321,16508389,7040026
leaf,0,control,1,10,100,800,200,1,35324,0.000220775,1,2,7,133540328,100145191,10799776,7101627
leaf,5,coro-no-prefetch,4,10,100,800,200,1,34004,0.000212525,0,2,7,128549451,168867324,17023789,7180999
leaf,6,coro-prefetch,4,10,100,800,200,1,23416,0.00014635,1,2,7,88458039,211267321,16516231,7038220
leaf,0,control,1,10,100,800,200,1,35062,0.000219138,1,2,7,132558207,100145191,10870437,7099508
leaf,5,coro-no-prefetch,4,10,100,800,200,1,34085,0.000213031,0,2,7,128618189,168867323,17004740,7179783
leaf,6,coro-prefetch,4,10,100,800,200,1,23434,0.000146462,1,2,7,88530379,211267321,16505234,7041359
leaf,0,control,1,10,100,800,200,1,35154,0.000219713,1,2,7,132894623,100145191,10840588,7100376
leaf,5,coro-no-prefetch,4,10,100,800,200,1,33976,0.00021235,0,2,7,128444341,168867324,17031301,7181428
leaf,6,coro-prefetch,4,10,100,800,200,1,23433,0.000146456,1,2,7,88543766,211267320,16504310,7038688
leaf,0,control,1,10,100,800,200,1,35115,0.000219469,1,2,7,132761424,100145191,10855494,7098268
leaf,5,coro-no-prefetch,4,10,100,800,200,1,34075,0.000212969,0,2,7,128717630,168867323,17016412,7181460
leaf,6,coro-prefetch,4,10,100,800,200,1,23423,0.000146394,1,2,7,88487929,211267321,16504093,7038764
leaf,0,control,1,10,100,800,200,1,35058,0.000219112,1,2,7,132551381,100145190,10870510,7094846
leaf,5,coro-no-prefetch,4,10,100,800,200,1,33997,0.000212481,0,2,7,128525578,168867323,17019603,7181980
leaf,6,coro-prefetch,4,10,100,800,200,1,23421,0.000146381,1,2,7,88498141,211267321,16511350,7040826
leaf,0,control,1,10,100,800,200,1,35048,0.00021905,1,2,7,132313862,100145191,10903256,7100277
leaf,5,coro-no-prefetch,4,10,100,800,200,1,34088,0.00021305,0,2,7,128848287,168867324,17004648,7182555
leaf,6,coro-prefetch,4,10,100,800,200,1,23425,0.000146406,1,2,7,88502709,211267320,16505962,7038932
leaf,0,control,1,10,100,800,200,1,35263,0.000220394,1,2,7,133255686,100145191,10812348,7098065
leaf,5,coro-no-prefetch,4,10,100,800,200,1,34052,0.000212825,0,2,7,128737334,168867323,17007757,7182554
leaf,6,coro-prefetch,4,10,100,800,200,1,23463,0.000146644,1,2,7,88495081,211267321,16512512,7039956
leaf,0,control,1,10,100,800,200,1,35070,0.000219188,1,2,7,132572821,100145191,10875235,7101199
leaf,5,coro-no-prefetch,4,10,100,800,200,1,34003,0.000212519,0,2,7,128552257,168867324,17023016,7179652
leaf,6,coro-prefetch,4,10,100,800,200,1,23444,0.000146525,1,2,7,88590622,211267320,16519479,7041752
leaf,0,control,1,10,100,800,200,1,35250,0.000220312,1,2,7,133120309,100145191,10831049,7097764
leaf,5,coro-no-prefetch,4,10,100,800,200,1,33991,0.000212444,0,2,7,128503042,168867323,17020682,7178688
leaf,6,coro-prefetch,4,10,100,800,200,1,23404,0.000146275,1,2,7,88418622,211267321,16510580,7038035
leaf,0,control,1,10,100,800,200,1,35058,0.000219112,1,2,7,132558119,100145190,10880020,7099309
leaf,5,coro-no-prefetch,4,10,100,800,200,1,34015,0.000212594,0,2,7,128580746,168867324,17009879,7181436
leaf,6,coro-prefetch,4,10,100,800,200,1,23417,0.000146356,1,2,7,88465937,211267321,16496566,7039697
leaf,0,control,1,10,100,800,200,1,35135,0.000219594,1,2,7,132753142,100145191,10857183,7099375
leaf,5,coro-no-prefetch,4,10,100,800,200,1,33991,0.000212444,0,2,7,128522451,168867324,17021306,7181523
leaf,6,coro-prefetch,4,10,100,800,200,1,23463,0.000146644,1,2,7,88527480,211267321,16501569,7043059
leaf,0,control,1,10,100,800,200,1,35194,0.000219962,1,2,7,133051621,100145191,10835146,7091445
leaf,5,coro-no-prefetch,4,10,100,800,200,1,34052,0.000212825,0,2,7,128601274,168867324,17015515,7180119
leaf,6,coro-prefetch,4,10,100,800,200,1,23437,0.000146481,1,2,7,88489748,211267321,16497689,7039156
leaf,0,control,1,10,100,800,200,1,34984,0.00021865,1,2,7,132253946,100145191,10901641,7099221
leaf,5,coro-no-prefetch,4,10,100,800,200,1,33995,0.000212469,0,2,7,128404281,168867324,17024919,7178577
leaf,6,coro-prefetch,4,10,100,800,200,1,23478,0.000146738,1,2,7,88470718,211267321,16508756,7041818
leaf,0,control,1,10,100,800,200,1,35099,0.000219369,1,2,7,132701861,100145191,10866917,7099649
leaf,5,coro-no-prefetch,4,10,100,800,200,1,33985,0.000212406,0,2,7,128491778,168867323,17019499,7178646
leaf,6,coro-prefetch,4,10,100,800,200,1,23422,0.000146388,1,2,7,88491928,211267321,16505117,7039438
leaf,0,control,1,10,100,800,200,1,35273,0.000220456,1,2,7,133294860,100145190,10808813,7093695
leaf,5,coro-no-prefetch,4,10,100,800,200,1,34008,0.00021255,0,2,7,128556157,168867324,17017714,7180350
leaf,6,coro-prefetch,4,10,100,800,200,1,23417,0.000146356,1,2,7,88476919,211267321,16507832,7041188
leaf,0,control,1,10,100,800,200,1,35315,0.000220719,1,2,7,132922238,100145191,10847193,7097346
leaf,5,coro-no-prefetch,4,10,100,800,200,1,34020,0.000212625,0,2,7,128599258,168867324,17026232,7180498
leaf,6,coro-prefetch,4,10,100,800,200,1,23439,0.000146494,1,2,7,88539717,211267321,16516356,7036656
leaf,0,control,1,10,100,800,200,1,35059,0.000219119,1,2,7,132467458,100145191,10864609,7097357
leaf,5,coro-no-prefetch,4,10,100,800,200,1,33962,0.000212262,0,2,7,128389427,168867323,17017679,7177455
leaf,6,coro-prefetch,4,10,100,800,200,1,23424,0.0001464,1,2,7,88495810,211267321,16506389,7041996
leaf,0,control,1,10,100,800,200,1,35186,0.000219913,1,2,7,133030778,100145190,10842157,7099618
leaf,5,coro-no-prefetch,4,10,100,800,200,1,34000,0.0002125,0,2,7,128524599,168867324,17023497,7180101
leaf,6,coro-prefetch,4,10,100,800,200,1,23426,0.000146412,1,2,7,88507955,211267321,16506700,7037422
