model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
leaf,0,control,1,10,100,10,832,1,25264,0.00303654,1,2,26,9110271,4750503,1130257,216291
leaf,5,coro-no-prefetch,2,10,100,10,832,1,6483,0.000779207,0,2,26,9103056,5811130,1677109,214921
leaf,6,coro-prefetch,2,10,100,10,832,1,7581,0.000911178,1,2,26,10753433,6880939,1928226,29126
leaf,0,control,1,10,100,10,832,1,6398,0.00076899,1,2,26,9138249,4750503,1130247,216269
leaf,5,coro-no-prefetch,2,10,100,10,832,1,6370,0.000765625,0,2,26,9101538,5810939,1676792,214941
leaf,6,coro-prefetch,2,10,100,10,832,1,7581,0.000911178,1,2,26,10777843,6880939,1928357,29186
leaf,0,control,1,10,100,10,832,1,6421,0.000771755,1,2,26,9175411,4750503,1130258,216264
leaf,5,coro-no-prefetch,2,10,100,10,832,1,6340,0.000762019,0,2,26,9098201,5810939,1677219,215403
leaf,6,coro-prefetch,2,10,100,10,832,1,7481,0.000899159,1,2,26,10746094,6880939,1931939,29208
leaf,0,control,1,10,100,10,832,1,6396,0.00076875,1,2,26,9138220,4750503,1130259,216302
leaf,5,coro-no-prefetch,2,10,100,10,832,1,6503,0.000781611,0,2,26,9130663,5810939,1679214,214973
leaf,6,coro-prefetch,2,10,100,10,832,1,7594,0.00091274,1,2,26,10774884,6880939,1927992,29026
leaf,0,control,1,10,100,10,832,1,6421,0.000771755,1,2,26,9145350,4750503,1130251,216234
leaf,5,coro-no-prefetch,2,10,100,10,832,1,6496,0.000780769,0,2,26,9132407,5810939,1681434,215164
leaf,6,coro-prefetch,2,10,100,10,832,1,7567,0.000909495,1,2,26,10762915,6880939,1929415,29276
leaf,0,control,1,10,100,10,832,1,6540,0.000786058,1,2,26,9193961,4750503,1130241,216281
leaf,5,coro-no-prefetch,2,10,100,10,832,1,6474,0.000778125,0,2,26,9122761,5810939,1676532,215307
leaf,6,coro-prefetch,2,10,100,10,832,1,7597,0.000913101,1,2,26,10747015,6880939,1931999,29246
leaf,0,control,1,10,100,10,832,1,6525,0.000784255,1,2,26,9212593,4750503,1130246,216259
leaf,5,coro-no-prefetch,2,10,100,10,832,1,6465,0.000777043,0,2,26,9104561,5810939,1666372,215280
leaf,6,coro-prefetch,2,10,100,10,832,1,7559,0.000908534,1,2,26,10758758,6880939,1927799,29117
leaf,0,control,1,10,100,10,832,1,6517,0.000783293,1,2,26,9197212,4750503,1130249,216297
leaf,5,coro-no-prefetch,2,10,100,10,832,1,6478,0.000778606,0,2,26,9139658,5810939,1674148,215172
leaf,6,coro-prefetch,2,10,100,10,832,1,7547,0.000907091,1,2,26,10736476,6880939,1927894,29072
leaf,0,control,1,10,100,10,832,1,6522,0.000783894,1,2,26,9169173,4750503,1130248,216274
leaf,5,coro-no-prefetch,2,10,100,10,832,1,6452,0.000775481,0,2,26,9090119,5810939,1666393,215058
leaf,6,coro-prefetch,2,10,100,10,832,1,7578,0.000910817,1,2,26,10756920,6880939,1934100,29132
leaf,0,control,1,10,100,10,832,1,6498,0.00078101,1,2,26,9163872,4750503,1130246,216291
leaf,5,coro-no-prefetch,2,10,100,10,832,1,6380,0.000766827,0,2,26,9114945,5810939,1676666,215103
