model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,10,816,2,1875203,0.229804,1,4,51,2780220131,2669709615,191437184,573555
norm,5,coro-no-prefetch,2,10,100,10,816,2,1863018,0.228311,0,4,51,2789274402,2670680898,189397613,732903
norm,6,coro-prefetch,2,10,100,10,816,2,1873211,0.22956,1,4,51,2804597459,2674260280,190995210,596729
norm,0,control,1,10,100,10,816,2,1857990,0.227695,1,4,51,2781846916,2669709615,191433652,574365
norm,5,coro-no-prefetch,2,10,100,10,816,2,1863906,0.22842,0,4,51,2790577822,2670680280,189401570,733444
norm,6,coro-prefetch,2,10,100,10,816,2,1872168,0.229432,1,4,51,2802869340,2674260280,191009699,596543
norm,0,control,1,10,100,10,816,2,1858616,0.227772,1,4,51,2782788558,2669709615,191446428,573211
norm,5,coro-no-prefetch,2,10,100,10,816,2,1862656,0.228267,0,4,51,2788572786,2670680280,189409820,734198
norm,6,coro-prefetch,2,10,100,10,816,2,1872379,0.229458,1,4,51,2803450366,2674260280,191012900,596583
norm,0,control,1,10,100,10,816,2,1858807,0.227795,1,4,51,2783043706,2669709615,191443081,573297
norm,5,coro-no-prefetch,2,10,100,10,816,2,1863541,0.228375,0,4,51,2790065271,2670680280,189399177,731499
norm,6,coro-prefetch,2,10,100,10,816,2,1873409,0.229584,1,4,51,2804812825,2674260280,190992858,597232
norm,0,control,1,10,100,10,816,2,1857628,0.22765,1,4,51,2781158574,2669709615,191445018,573297
norm,5,coro-no-prefetch,2,10,100,10,816,2,1865237,0.228583,0,4,51,2792559979,2670680280,189398350,733585
norm,6,coro-prefetch,2,10,100,10,816,2,1873950,0.229651,1,4,51,2805658612,2674260280,191013770,597222
norm,0,control,1,10,100,10,816,2,1859806,0.227917,1,4,51,2784546816,2669709615,191480604,573301
norm,5,coro-no-prefetch,2,10,100,10,816,2,1862112,0.2282,0,4,51,2787928788,2670680280,189408246,734279
norm,6,coro-prefetch,2,10,100,10,816,2,1872994,0.229534,1,4,51,2804213743,2674260280,190993587,597113
norm,0,control,1,10,100,10,816,2,1858468,0.227753,1,4,51,2782729457,2669709615,191429349,573511
norm,5,coro-no-prefetch,2,10,100,10,816,2,1863472,0.228367,0,4,51,2789688428,2670680280,189402303,732999
norm,6,coro-prefetch,2,10,100,10,816,2,1873503,0.229596,1,4,51,2804864234,2674260280,190995235,597227
norm,0,control,1,10,100,10,816,2,1858590,0.227768,1,4,51,2782756822,2669709615,191432617,573257
norm,5,coro-no-prefetch,2,10,100,10,816,2,1863173,0.22833,0,4,51,2789468243,2670680280,189397111,732626
norm,6,coro-prefetch,2,10,100,10,816,2,1872610,0.229487,1,4,51,2803497312,2674260280,190996900,596580
