model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,200,168,2,77591,0.00230926,1,2,6,301287365,339249416,5632280,2145585
norm,5,coro-no-prefetch,4,10,100,200,168,2,77751,0.00231402,0,2,6,301921453,354478970,5715491,2153707
norm,6,coro-prefetch,4,10,100,200,168,2,81878,0.00243685,1,2,6,317786658,369077755,5237423,2119008
norm,0,control,1,10,100,200,168,2,77578,0.00230887,1,2,6,301271698,339249416,5640081,2131346
norm,5,coro-no-prefetch,4,10,100,200,168,2,77740,0.00231369,0,2,6,301922404,354477754,5721450,2163204
norm,6,coro-prefetch,4,10,100,200,168,2,81859,0.00243628,1,2,6,317746453,369077756,5182029,2087838
norm,0,control,1,10,100,200,168,2,77584,0.00230905,1,2,6,301279247,339249416,5643469,2161880
norm,5,coro-no-prefetch,4,10,100,200,168,2,77749,0.00231396,0,2,6,301928650,354477755,5722846,2163540
norm,6,coro-prefetch,4,10,100,200,168,2,81834,0.00243554,1,2,6,317769944,369077756,5245913,2094238
norm,0,control,1,10,100,200,168,2,77586,0.00230911,1,2,6,301314111,339249415,5641925,2136816
norm,5,coro-no-prefetch,4,10,100,200,168,2,77754,0.00231411,0,2,6,301901270,354477755,5721460,2148196
norm,6,coro-prefetch,4,10,100,200,168,2,81826,0.0024353,1,2,6,317816507,369077755,5213225,2092145
norm,0,control,1,10,100,200,168,2,77586,0.00230911,1,2,6,301312165,339249415,5641743,2129544
norm,5,coro-no-prefetch,4,10,100,200,168,2,77749,0.00231396,0,2,6,301953269,354477754,5722019,2173625
norm,6,coro-prefetch,4,10,100,200,168,2,81826,0.0024353,1,2,6,317784784,369077755,5241734,2069225
norm,0,control,1,10,100,200,168,2,77586,0.00230911,1,2,6,301266438,339249415,5640214,2146630
norm,5,coro-no-prefetch,4,10,100,200,168,2,77729,0.00231336,0,2,6,301865531,354477754,5720582,2157867
norm,6,coro-prefetch,4,10,100,200,168,2,81820,0.00243512,1,2,6,317757521,369077756,5183729,2082267
norm,0,control,1,10,100,200,168,2,77581,0.00230896,1,2,6,301306317,339249416,5643300,2173729
norm,5,coro-no-prefetch,4,10,100,200,168,2,77753,0.00231408,0,2,6,301952997,354477755,5719006,2142735
norm,6,coro-prefetch,4,10,100,200,168,2,81830,0.00243542,1,2,6,317711709,369077756,5203087,2084590
norm,0,control,1,10,100,200,168,2,77571,0.00230866,1,2,6,301252157,339249415,5641508,2135501
norm,5,coro-no-prefetch,4,10,100,200,168,2,77715,0.00231295,0,2,6,301836574,354477755,5719657,2155716
norm,6,coro-prefetch,4,10,100,200,168,2,81819,0.00243509,1,2,6,317756330,369077755,5178303,2076564
norm,0,control,1,10,100,200,168,2,77580,0.00230893,1,2,6,301284886,339249415,5640213,2130399
