model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,2,10,200,114,2,695,0.00152412,1,2,11,2507290,8334048,68413,23569
cnn,5,coro-no-prefetch,8,2,10,200,114,2,663,0.00145395,0,2,11,2374647,7702737,70557,23685
cnn,6,coro-prefetch,8,2,10,200,114,2,671,0.00147149,1,2,11,2410119,7938190,68277,23244
cnn,0,control,1,2,10,200,114,2,694,0.00152193,1,2,11,2502199,8334048,68466,23445
cnn,5,coro-no-prefetch,8,2,10,200,114,2,662,0.00145175,0,2,11,2377488,7701827,70498,23673
cnn,6,coro-prefetch,8,2,10,200,114,2,675,0.00148026,1,2,11,2409911,7937794,68827,23512
cnn,0,control,1,2,10,200,114,2,695,0.00152412,1,2,11,2510043,8334048,68441,23497
cnn,5,coro-no-prefetch,8,2,10,200,114,2,663,0.00145395,0,2,11,2382603,7701859,70674,23945
cnn,6,coro-prefetch,8,2,10,200,114,2,670,0.0014693,1,2,11,2410678,7937852,75400,20359
cnn,0,control,1,2,10,200,114,2,696,0.00152632,1,2,11,2506345,8334048,78218,20427
cnn,5,coro-no-prefetch,8,2,10,200,114,2,662,0.00145175,0,2,11,2382618,7702045,79878,20710
cnn,6,coro-prefetch,8,2,10,200,114,2,670,0.0014693,1,2,11,2408048,7937665,75614,20321
cnn,0,control,1,2,10,200,114,2,695,0.00152412,1,2,11,2507300,8334048,78256,20396
cnn,5,coro-no-prefetch,8,2,10,200,114,2,661,0.00144956,0,2,11,2380334,7701665,79487,20537
cnn,6,coro-prefetch,8,2,10,200,114,2,674,0.00147807,1,2,11,2408020,7937666,76812,20644
cnn,0,control,1,2,10,200,114,2,695,0.00152412,1,2,11,2504597,8334048,78513,20234
cnn,5,coro-no-prefetch,8,2,10,200,114,2,659,0.00144518,0,2,11,2369304,7701665,79727,20420
cnn,6,coro-prefetch,8,2,10,200,114,2,668,0.00146491,1,2,11,2404565,7937665,75952,20300
cnn,0,control,1,2,10,200,114,2,694,0.00152193,1,2,11,2499022,8334048,78461,20305
cnn,5,coro-no-prefetch,8,2,10,200,114,2,659,0.00144518,0,2,11,2368912,7701665,79788,20489
cnn,6,coro-prefetch,8,2,10,200,114,2,669,0.00146711,1,2,11,2407590,7937665,76163,20357
cnn,0,control,1,2,10,200,114,2,693,0.00151974,1,2,11,2498537,8334048,78322,20282
cnn,5,coro-no-prefetch,8,2,10,200,114,2,660,0.00144737,0,2,11,2374835,7701665,79674,20423
cnn,6,coro-prefetch,8,2,10,200,114,2,674,0.00147807,1,2,11,2411342,7937666,76336,20695
cnn,0,control,1,2,10,200,114,2,693,0.00151974,1,2,11,2501575,8334048,78559,20307
cnn,5,coro-no-prefetch,8,2,10,200,114,2,659,0.00144518,0,2,11,2370379,7701665,79758,20490
cnn,6,coro-prefetch,8,2,10,200,114,2,669,0.00146711,1,2,11,2407950,7937665,76073,20260
cnn,0,control,1,2,10,200,114,2,695,0.00152412,1,2,11,2501913,8334048,78392,20294
cnn,5,coro-no-prefetch,8,2,10,200,114,2,669,0.00146711,0,2,11,2405222,7701665,79587,20409
cnn,6,coro-prefetch,8,2,10,200,114,2,667,0.00146272,1,2,11,2405374,7937665,76221,20253
cnn,0,control,1,2,10,200,114,2,694,0.00152193,1,2,11,2502322,8334048,78430,20389
cnn,5,coro-no-prefetch,8,2,10,200,114,2,669,0.00146711,0,2,11,2410801,7701665,79919,20638
cnn,6,coro-prefetch,8,2,10,200,114,2,670,0.0014693,1,2,11,2403470,7937665,76507,20441
cnn,0,control,1,2,10,200,114,2,736,0.00161404,1,2,11,2504705,8334049,78698,20534
cnn,5,coro-no-prefetch,8,2,10,200,114,2,676,0.00148246,0,2,11,2410507,7701666,79761,20577
cnn,6,coro-prefetch,8,2,10,200,114,2,668,0.00146491,1,2,11,2405930,7937665,76813,20354
cnn,0,control,1,2,10,200,114,2,695,0.00152412,1,2,11,2504972,8334048,78336,20324
cnn,5,coro-no-prefetch,8,2,10,200,114,2,670,0.0014693,0,2,11,2409940,7701665,79702,20595
cnn,6,coro-prefetch,8,2,10,200,114,2,670,0.0014693,1,2,11,2412086,7937665,76801,20436
cnn,0,control,1,2,10,200,114,2,693,0.00151974,1,2,11,2497545,8334048,78414,20342
cnn,5,coro-no-prefetch,8,2,10,200,114,2,672,0.00147368,0,2,11,2422661,7701665,79862,20649
cnn,6,coro-prefetch,8,2,10,200,114,2,669,0.00146711,1,2,11,2407366,7937665,68631,23065
cnn,0,control,1,2,10,200,114,2,694,0.00152193,1,2,11,2502931,8334048,78313,20332
cnn,5,coro-no-prefetch,8,2,10,200,114,2,677,0.00148465,0,2,11,2415976,7701666,79667,20498
cnn,6,coro-prefetch,8,2,10,200,114,2,675,0.00148026,1,2,11,2407633,7937666,75303,20730
cnn,0,control,1,2,10,200,114,2,693,0.00151974,1,2,11,2500133,8334048,78102,20244
cnn,5,coro-no-prefetch,8,2,10,200,114,2,670,0.0014693,0,2,11,2409127,7701665,79593,20451
cnn,6,coro-prefetch,8,2,10,200,114,2,668,0.00146491,1,2,11,2405565,7937665,75897,20207
