model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,100,152,2,51484,0.00338711,1,2,5,142613837,153649405,2316520,195531
norm,5,coro-no-prefetch,4,10,100,100,152,2,34376,0.00226158,0,2,5,130092866,161428959,2373865,223673
norm,6,coro-prefetch,4,10,100,100,152,2,34050,0.00224013,1,2,5,128538347,167727744,2214817,222599
norm,0,control,1,10,100,100,152,2,37690,0.00247961,1,2,5,142668249,153649405,2317265,225167
norm,5,coro-no-prefetch,4,10,100,100,152,2,34397,0.00226296,0,2,5,130195099,161427744,2374044,220521
norm,6,coro-prefetch,4,10,100,100,152,2,33951,0.00223362,1,2,5,128510536,167727743,2350897,193848
norm,0,control,1,10,100,100,152,2,37696,0.00248,1,2,5,142694889,153649406,2643960,189774
norm,5,coro-no-prefetch,4,10,100,100,152,2,34397,0.00226296,0,2,5,130205415,161427744,2678833,190372
norm,6,coro-prefetch,4,10,100,100,152,2,33957,0.00223401,1,2,5,128532463,167727743,2356237,184837
norm,0,control,1,10,100,100,152,2,37702,0.00248039,1,2,5,142706956,153649406,2643465,189632
norm,5,coro-no-prefetch,4,10,100,100,152,2,34425,0.0022648,0,2,5,130195628,161427743,2678210,191408
norm,6,coro-prefetch,4,10,100,100,152,2,33956,0.00223395,1,2,5,128520434,167727744,2372855,182386
norm,0,control,1,10,100,100,152,2,37684,0.00247921,1,2,5,142657168,153649405,2653362,190162
norm,5,coro-no-prefetch,4,10,100,100,152,2,34380,0.00226184,0,2,5,130134762,161427743,2687008,192215
norm,6,coro-prefetch,4,10,100,100,152,2,33959,0.00223414,1,2,5,128526435,167727744,2378146,184224
norm,0,control,1,10,100,100,152,2,37725,0.00248191,1,2,5,142698098,153649405,2650737,191223
norm,5,coro-no-prefetch,4,10,100,100,152,2,34388,0.00226237,0,2,5,130171579,161427744,2687482,191403
norm,6,coro-prefetch,4,10,100,100,152,2,33960,0.00223421,1,2,5,128545510,167727743,2385979,183751
norm,0,control,1,10,100,100,152,2,37694,0.00247987,1,2,5,142679884,153649406,2650262,190403
norm,5,coro-no-prefetch,4,10,100,100,152,2,34439,0.00226572,0,2,5,130221352,161427744,2687320,192368
norm,6,coro-prefetch,4,10,100,100,152,2,33951,0.00223362,1,2,5,128501554,167727744,2389302,183055
norm,0,control,1,10,100,100,152,2,37695,0.00247993,1,2,5,142686320,153649406,2649888,189540
norm,5,coro-no-prefetch,4,10,100,100,152,2,34422,0.00226461,0,2,5,130146793,161427743,2686937,192187
norm,6,coro-prefetch,4,10,100,100,152,2,33984,0.00223579,1,2,5,128516305,167727744,2387025,184661
norm,0,control,1,10,100,100,152,2,37690,0.00247961,1,2,5,142675156,153649405,2650044,190738
norm,5,coro-no-prefetch,4,10,100,100,152,2,34373,0.00226138,0,2,5,130104814,161427744,2687224,191958
norm,6,coro-prefetch,4,10,100,100,152,2,33959,0.00223414,1,2,5,128535626,167727743,2390010,184960
norm,0,control,1,10,100,100,152,2,37758,0.00248408,1,2,5,142654929,153649405,2650414,191001
norm,5,coro-no-prefetch,4,10,100,100,152,2,34421,0.00226454,0,2,5,130136550,161427744,2687868,189430
norm,6,coro-prefetch,4,10,100,100,152,2,33947,0.00223336,1,2,5,128498557,167727743,2383216,182965
norm,0,control,1,10,100,100,152,2,37715,0.00248125,1,2,5,142633635,153649406,2636453,188607
norm,5,coro-no-prefetch,4,10,100,100,152,2,34392,0.00226263,0,2,5,130037239,161427744,2674873,190368
norm,6,coro-prefetch,4,10,100,100,152,2,33983,0.00223572,1,2,5,128489450,167727743,2371641,185148
norm,0,control,1,10,100,100,152,2,37664,0.00247789,1,2,5,142537820,153649405,2636630,188671
norm,5,coro-no-prefetch,4,10,100,100,152,2,34373,0.00226138,0,2,5,130093558,161427744,2675063,188137
norm,6,coro-prefetch,4,10,100,100,152,2,33952,0.00223368,1,2,5,128506246,167727744,2370804,182988
norm,0,control,1,10,100,100,152,2,37710,0.00248092,1,2,5,142639117,153649405,2637349,188106
norm,5,coro-no-prefetch,4,10,100,100,152,2,34389,0.00226243,0,2,5,130027296,161427743,2675265,189077
norm,6,coro-prefetch,4,10,100,100,152,2,33952,0.00223368,1,2,5,128496723,167727744,2389424,183501
norm,0,control,1,10,100,100,152,2,37667,0.00247809,1,2,5,142592874,153649406,2641752,188522
norm,5,coro-no-prefetch,4,10,100,100,152,2,34368,0.00226105,0,2,5,130047695,161427744,2682967,188000
norm,6,coro-prefetch,4,10,100,100,152,2,33999,0.00223678,1,2,5,128327724,167727743,2396059,187254
norm,0,control,1,10,100,100,152,2,37671,0.00247836,1,2,5,142598845,153649406,2642928,187699
norm,5,coro-no-prefetch,4,10,100,100,152,2,34403,0.00226336,0,2,5,130101206,161427744,2683077,188975
