model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,2,10,200,938,1,13253,0.00353225,1,2,30,2940850,7501737,212878,163558
svm,5,coro-no-prefetch,6,2,10,200,938,1,875,0.000233209,0,2,30,3160452,7833397,216457,191055
svm,6,coro-prefetch,6,2,10,200,938,1,837,0.000223081,1,2,30,3037844,8164691,182121,139679
svm,0,control,1,2,10,200,938,1,858,0.000228678,1,2,30,3123425,7501737,250741,149327
svm,5,coro-no-prefetch,6,2,10,200,938,1,891,0.000237473,0,2,30,3247847,7832691,253315,152421
svm,6,coro-prefetch,6,2,10,200,938,1,823,0.00021935,1,2,30,2992974,8164691,202327,127188
svm,0,control,1,2,10,200,938,1,857,0.000228412,1,2,30,3122725,7501737,250445,149050
svm,5,coro-no-prefetch,6,2,10,200,938,1,891,0.000237473,0,2,30,3255614,7832691,253126,152320
svm,6,coro-prefetch,6,2,10,200,938,1,827,0.000220416,1,2,30,3012367,8164691,203521,126716
svm,0,control,1,2,10,200,938,1,853,0.000227345,1,2,30,3106239,7501737,251380,149070
svm,5,coro-no-prefetch,6,2,10,200,938,1,881,0.000234808,0,2,30,3215428,7832691,254896,152419
svm,6,coro-prefetch,6,2,10,200,938,1,823,0.00021935,1,2,30,2993075,8164691,208592,124084
svm,0,control,1,2,10,200,938,1,850,0.000226546,1,2,30,3093196,7501737,251563,149073
svm,5,coro-no-prefetch,6,2,10,200,938,1,882,0.000235075,0,2,30,3215313,7832691,254032,152673
svm,6,coro-prefetch,6,2,10,200,938,1,821,0.000218817,1,2,30,2985431,8164691,212876,124407
svm,0,control,1,2,10,200,938,1,847,0.000225746,1,2,30,3087784,7501737,251874,149491
svm,5,coro-no-prefetch,6,2,10,200,938,1,874,0.000232942,0,2,30,3188433,7832691,254673,152642
svm,6,coro-prefetch,6,2,10,200,938,1,818,0.000218017,1,2,30,2976417,8164691,214620,124940
