model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,2,10,400,514,1,868,0.000211089,1,2,17,3173138,8442213,228295,200091
svm,5,coro-no-prefetch,2,2,10,400,514,1,878,0.000213521,0,2,17,3185843,9081765,239076,207123
svm,6,coro-prefetch,2,2,10,400,514,1,750,0.000182393,1,2,17,2715334,9457673,230287,182628
svm,0,control,1,2,10,400,514,1,870,0.000211576,1,2,17,3168872,8442213,228899,200709
svm,5,coro-no-prefetch,2,2,10,400,514,1,872,0.000212062,0,2,17,3183307,9081673,239096,207300
svm,6,coro-prefetch,2,2,10,400,514,1,751,0.000182636,1,2,17,2720453,9457673,230228,181553
svm,0,control,1,2,10,400,514,1,910,0.000221304,1,2,17,3200267,8442214,261672,160478
svm,5,coro-no-prefetch,2,2,10,400,514,1,921,0.000223979,0,2,17,3209511,9081674,271195,168830
svm,6,coro-prefetch,2,2,10,400,514,1,751,0.000182636,1,2,17,2722390,9457673,234552,165831
svm,0,control,1,2,10,400,514,1,874,0.000212549,1,2,17,3184769,8442213,261451,159982
svm,5,coro-no-prefetch,2,2,10,400,514,1,876,0.000213035,0,2,17,3198251,9081673,270948,168901
svm,6,coro-prefetch,2,2,10,400,514,1,752,0.000182879,1,2,17,2723421,9457673,234297,165443
svm,0,control,1,2,10,400,514,1,872,0.000212062,1,2,17,3181510,8442213,261475,160241
svm,5,coro-no-prefetch,2,2,10,400,514,1,878,0.000213521,0,2,17,3202013,9081673,272820,168534
svm,6,coro-prefetch,2,2,10,400,514,1,752,0.000182879,1,2,17,2727532,9457673,236777,157521
svm,0,control,1,2,10,400,514,1,912,0.00022179,1,2,17,3198079,8442214,263900,159937
svm,5,coro-no-prefetch,2,2,10,400,514,1,912,0.00022179,0,2,17,3208606,9081674,273073,168644
svm,6,coro-prefetch,2,2,10,400,514,1,753,0.000183123,1,2,17,2728317,9457673,238984,153111
svm,0,control,1,2,10,400,514,1,869,0.000211333,1,2,17,3168307,8442213,265039,159794
svm,5,coro-no-prefetch,2,2,10,400,514,1,875,0.000212792,0,2,17,3186887,9081673,274330,168179
svm,6,coro-prefetch,2,2,10,400,514,1,751,0.000182636,1,2,17,2723574,9457673,238707,153050
svm,0,control,1,2,10,400,514,1,871,0.000211819,1,2,17,3170187,8442213,265441,160076
svm,5,coro-no-prefetch,2,2,10,400,514,1,872,0.000212062,0,2,17,3180292,9081673,276807,168241
svm,6,coro-prefetch,2,2,10,400,514,1,753,0.000183123,1,2,17,2728275,9457673,239625,151554
svm,0,control,1,2,10,400,514,1,870,0.000211576,1,2,17,3175962,8442213,266578,159656
svm,5,coro-no-prefetch,2,2,10,400,514,1,913,0.000222033,0,2,17,3204179,9081674,276720,168475
svm,6,coro-prefetch,2,2,10,400,514,1,788,0.000191634,1,2,17,2738573,9457674,239743,151883
svm,0,control,1,2,10,400,514,1,867,0.000210846,1,2,17,3164570,8442213,267023,160087
svm,5,coro-no-prefetch,2,2,10,400,514,1,872,0.000212062,0,2,17,3184556,9081673,276364,168062
svm,6,coro-prefetch,2,2,10,400,514,1,752,0.000182879,1,2,17,2722468,9457673,240219,151469
svm,0,control,1,2,10,400,514,1,863,0.000209874,1,2,17,3147778,8442213,269247,159831
svm,5,coro-no-prefetch,2,2,10,400,514,1,871,0.000211819,0,2,17,3177758,9081673,278836,167619
svm,6,coro-prefetch,2,2,10,400,514,1,753,0.000183123,1,2,17,2723736,9457673,242461,151603
svm,0,control,1,2,10,400,514,1,901,0.000219115,1,2,17,3167241,8442214,270152,160188
svm,5,coro-no-prefetch,2,2,10,400,514,1,907,0.000220574,0,2,17,3182790,9081674,279284,167993
svm,6,coro-prefetch,2,2,10,400,514,1,752,0.000182879,1,2,17,2727475,9457673,242181,151271
svm,0,control,1,2,10,400,514,1,862,0.00020963,1,2,17,3143344,8442213,270124,160025
svm,5,coro-no-prefetch,2,2,10,400,514,1,868,0.000211089,0,2,17,3167557,9081673,280012,167432
svm,6,coro-prefetch,2,2,10,400,514,1,747,0.000181663,1,2,17,2706272,9457673,249060,152624
svm,0,control,1,2,10,400,514,1,859,0.000208901,1,2,17,3129504,8442213,272368,160064
svm,5,coro-no-prefetch,2,2,10,400,514,1,911,0.000221547,0,2,17,3204047,9081674,239226,208419
svm,6,coro-prefetch,2,2,10,400,514,1,786,0.000191148,1,2,17,2721637,9457674,230226,182444
svm,0,control,1,2,10,400,514,1,867,0.000210846,1,2,17,3161124,8442213,228271,199806
svm,5,coro-no-prefetch,2,2,10,400,514,1,872,0.000212062,0,2,17,3182229,9081673,238934,206785
svm,6,coro-prefetch,2,2,10,400,514,1,752,0.000182879,1,2,17,2719478,9457673,234529,166287
svm,0,control,1,2,10,400,514,1,875,0.000212792,1,2,17,3187375,8442213,261394,159715
svm,5,coro-no-prefetch,2,2,10,400,514,1,875,0.000212792,0,2,17,3194558,9081673,271002,168722
svm,6,coro-prefetch,2,2,10,400,514,1,752,0.000182879,1,2,17,2726557,9457673,234484,166100
svm,0,control,1,2,10,400,514,1,873,0.000212305,1,2,17,3184312,8442213,261548,160054
svm,5,coro-no-prefetch,2,2,10,400,514,1,917,0.000223006,0,2,17,3217330,9081674,271297,168621
svm,6,coro-prefetch,2,2,10,400,514,1,787,0.000191391,1,2,17,2733780,9457674,234707,166203
svm,0,control,1,2,10,400,514,1,874,0.000212549,1,2,17,3189284,8442213,262037,160029
svm,5,coro-no-prefetch,2,2,10,400,514,1,876,0.000213035,0,2,17,3199043,9081673,270904,168233
svm,6,coro-prefetch,2,2,10,400,514,1,752,0.000182879,1,2,17,2727258,9457673,237061,157472
svm,0,control,1,2,10,400,514,1,870,0.000211576,1,2,17,3177070,8442213,263419,159874
svm,5,coro-no-prefetch,2,2,10,400,514,1,875,0.000212792,0,2,17,3190010,9081673,272787,168136
svm,6,coro-prefetch,2,2,10,400,514,1,752,0.000182879,1,2,17,2721743,9457673,236723,156870
svm,0,control,1,2,10,400,514,1,870,0.000211576,1,2,17,3172154,8442213,263397,159671
svm,5,coro-no-prefetch,2,2,10,400,514,1,918,0.000223249,0,2,17,3206662,9081674,273161,168471
svm,6,coro-prefetch,2,2,10,400,514,1,795,0.000193337,1,2,17,2732826,9457674,237087,156753
svm,0,control,1,2,10,400,514,1,875,0.000212792,1,2,17,3192522,8442213,263599,159966
svm,5,coro-no-prefetch,2,2,10,400,514,1,878,0.000213521,0,2,17,3203849,9081673,272876,168380
svm,6,coro-prefetch,2,2,10,400,514,1,749,0.00018215,1,2,17,2721596,9457673,237234,157290
svm,0,control,1,2,10,400,514,1,870,0.000211576,1,2,17,3175148,8442213,265188,159974
svm,5,coro-no-prefetch,2,2,10,400,514,1,871,0.000211819,0,2,17,3178301,9081673,276497,168492
svm,6,coro-prefetch,2,2,10,400,514,1,750,0.000182393,1,2,17,2723318,9457673,239712,152198
svm,0,control,1,2,10,400,514,1,869,0.000211333,1,2,17,3168500,8442213,266663,159799
svm,5,coro-no-prefetch,2,2,10,400,514,1,911,0.000221547,0,2,17,3187803,9081674,276484,168104
svm,6,coro-prefetch,2,2,10,400,514,1,797,0.000193823,1,2,17,2740836,9457674,240545,152327
svm,0,control,1,2,10,400,514,1,916,0.000222763,1,2,17,3194005,8442214,266653,160394
svm,5,coro-no-prefetch,2,2,10,400,514,1,871,0.000211819,0,2,17,3179319,9081673,276507,167920
svm,6,coro-prefetch,2,2,10,400,514,1,752,0.000182879,1,2,17,2725240,9457673,240017,151109
svm,0,control,1,2,10,400,514,1,866,0.000210603,1,2,17,3156635,8442213,268377,160090
svm,5,coro-no-prefetch,2,2,10,400,514,1,871,0.000211819,0,2,17,3183177,9081673,277507,167665
svm,6,coro-prefetch,2,2,10,400,514,1,752,0.000182879,1,2,17,2726157,9457673,240554,150901
svm,0,control,1,2,10,400,514,1,864,0.000210117,1,2,17,3151825,8442213,269287,159636
svm,5,coro-no-prefetch,2,2,10,400,514,1,871,0.000211819,0,2,17,3178769,9081673,278126,167605
svm,6,coro-prefetch,2,2,10,400,514,1,783,0.000190418,1,2,17,2725432,9457674,242031,151781
svm,0,control,1,2,10,400,514,1,910,0.000221304,1,2,17,3174203,8442214,269514,160085
svm,5,coro-no-prefetch,2,2,10,400,514,1,870,0.000211576,0,2,17,3176162,9081673,278083,167395
svm,6,coro-prefetch,2,2,10,400,514,1,749,0.00018215,1,2,17,2717034,9457673,243189,151586
svm,0,control,1,2,10,400,514,1,864,0.000210117,1,2,17,3150451,8442213,271344,159570
svm,5,coro-no-prefetch,2,2,10,400,514,1,866,0.000210603,0,2,17,3159735,9081673,280041,167166
svm,6,coro-prefetch,2,2,10,400,514,1,749,0.00018215,1,2,17,2716281,9457673,241566,158506
svm,0,control,1,2,10,400,514,1,867,0.000210846,1,2,17,3166539,8442213,228586,200554
svm,5,coro-no-prefetch,2,2,10,400,514,1,878,0.000213521,0,2,17,3202613,9081673,270912,168861
svm,6,coro-prefetch,2,2,10,400,514,1,753,0.000183123,1,2,17,2730283,9457673,236909,157647
svm,0,control,1,2,10,400,514,1,908,0.000220817,1,2,17,3195777,8442214,263833,160311
svm,5,coro-no-prefetch,2,2,10,400,514,1,875,0.000212792,0,2,17,3194837,9081673,272521,168052
svm,6,coro-prefetch,2,2,10,400,514,1,754,0.000183366,1,2,17,2727093,9457673,238336,153677
svm,0,control,1,2,10,400,514,1,871,0.000211819,1,2,17,3172337,8442213,266530,160009
svm,5,coro-no-prefetch,2,2,10,400,514,1,872,0.000212062,0,2,17,3181014,9081673,277364,167697
svm,6,coro-prefetch,2,2,10,400,514,1,748,0.000181907,1,2,17,2711495,9457673,243014,151754
svm,0,control,1,2,10,400,514,1,863,0.000209874,1,2,17,3148131,8442213,272005,160152
svm,5,coro-no-prefetch,2,2,10,400,514,1,868,0.000211089,0,2,17,3161679,9081673,280585,167518
svm,6,coro-prefetch,2,2,10,400,514,1,789,0.000191877,1,2,17,2732188,9457674,239049,161070
