model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,2,10,40,130,2,19279,0.185375,1,4,25,4836514,6757084,839565,7255
cnn,5,coro-no-prefetch,2,2,10,40,130,2,3589,0.0345096,0,4,25,4917985,6817676,875429,8387
cnn,6,coro-prefetch,2,2,10,40,130,2,3591,0.0345288,1,4,25,4960421,6920981,897155,7356
cnn,0,control,1,2,10,40,130,2,3519,0.0338365,1,4,25,4840436,6757084,839596,7281
cnn,5,coro-no-prefetch,2,2,10,40,130,2,3551,0.0341442,0,4,25,4911920,6819102,875706,8230
cnn,6,coro-prefetch,2,2,10,40,130,2,3610,0.0347115,1,4,25,4970516,6921318,898352,7372
cnn,0,control,1,2,10,40,130,2,3495,0.0336058,1,4,25,4839618,6757084,839598,7279
cnn,5,coro-no-prefetch,2,2,10,40,130,2,3458,0.03325,0,4,25,4905698,6818741,873562,8239
cnn,6,coro-prefetch,2,2,10,40,130,2,3602,0.0346346,1,4,25,4960666,6921141,896335,7256
cnn,0,control,1,2,10,40,130,2,3419,0.032875,1,4,25,4838382,6757084,839524,7256
cnn,5,coro-no-prefetch,2,2,10,40,130,2,3558,0.0342115,0,4,25,4913187,6818741,873687,8482
cnn,6,coro-prefetch,2,2,10,40,130,2,3500,0.0336538,1,4,25,4961761,6921141,895423,7500
cnn,0,control,1,2,10,40,130,2,3554,0.0341731,1,4,25,4839575,6757084,839555,7295
cnn,5,coro-no-prefetch,2,2,10,40,130,2,3594,0.0345577,0,4,25,4920059,6818741,875413,8377
cnn,6,coro-prefetch,2,2,10,40,130,2,3585,0.0344712,1,4,25,4964376,6921141,898377,7315
cnn,0,control,1,2,10,40,130,2,3522,0.0338654,1,4,25,4841023,6757084,839576,7259
cnn,5,coro-no-prefetch,2,2,10,40,130,2,3544,0.0340769,0,4,25,4916017,6818741,875429,8344
cnn,6,coro-prefetch,2,2,10,40,130,2,3498,0.0336346,1,4,25,4953926,6921141,896616,7310
cnn,0,control,1,2,10,40,130,2,3519,0.0338365,1,4,25,4838992,6757084,839581,7287
cnn,5,coro-no-prefetch,2,2,10,40,130,2,3550,0.0341346,0,4,25,4915188,6818741,873444,8457
cnn,6,coro-prefetch,2,2,10,40,130,2,3586,0.0344808,1,4,25,4960473,6921141,895920,7340
cnn,0,control,1,2,10,40,130,2,3504,0.0336923,1,4,25,4838989,6757084,839565,7281
cnn,5,coro-no-prefetch,2,2,10,40,130,2,3580,0.0344231,0,4,25,4914167,6818741,874194,8353
cnn,6,coro-prefetch,2,2,10,40,130,2,3498,0.0336346,1,4,25,4956557,6921141,895846,7277
cnn,0,control,1,2,10,40,130,2,3509,0.0337404,1,4,25,4840305,6757084,839561,7291
cnn,5,coro-no-prefetch,2,2,10,40,130,2,3551,0.0341442,0,4,25,4919950,6818741,875012,8999
cnn,6,coro-prefetch,2,2,10,40,130,2,3587,0.0344904,1,4,25,4963536,6921141,897461,7313
cnn,0,control,1,2,10,40,130,2,3500,0.0336538,1,4,25,4839750,6757084,839537,7290
cnn,5,coro-no-prefetch,2,2,10,40,130,2,3553,0.0341635,0,4,25,4914403,6818741,875102,8252
cnn,6,coro-prefetch,2,2,10,40,130,2,3603,0.0346442,1,4,25,4956608,6921141,895704,7263
cnn,0,control,1,2,10,40,130,2,3494,0.0335962,1,4,25,4838303,6757084,839543,7278
cnn,5,coro-no-prefetch,2,2,10,40,130,2,3547,0.0341058,0,4,25,4910045,6818741,875095,8320
cnn,6,coro-prefetch,2,2,10,40,130,2,3604,0.0346538,1,4,25,4969708,6921141,897045,7276
cnn,0,control,1,2,10,40,130,2,3502,0.0336731,1,4,25,4837326,6757084,839555,7272
cnn,5,coro-no-prefetch,2,2,10,40,130,2,3567,0.0342981,0,4,25,4909591,6818741,875138,8300
cnn,6,coro-prefetch,2,2,10,40,130,2,3581,0.0344327,1,4,25,4962748,6921141,897323,7270
cnn,0,control,1,2,10,40,130,2,3516,0.0338077,1,4,25,4838554,6757084,839537,7275
