model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,2,10,10,374,2,15390,0.205749,1,2,36,636731,746421,165551,2474
cnn,5,coro-no-prefetch,2,2,10,10,374,2,648,0.0086631,0,2,36,658918,748385,166301,3390
cnn,6,coro-prefetch,2,2,10,10,374,2,644,0.00860963,1,2,36,668942,786244,173941,2127
cnn,0,control,1,2,10,10,374,2,617,0.00824866,1,2,36,637508,746421,165527,2484
cnn,5,coro-no-prefetch,2,2,10,10,374,2,634,0.00847594,0,2,36,655872,748742,165846,3346
cnn,6,coro-prefetch,2,2,10,10,374,2,646,0.00863636,1,2,36,668954,786318,173990,2089
cnn,0,control,1,2,10,10,374,2,616,0.00823529,1,2,36,637630,746421,165549,2485
cnn,5,coro-no-prefetch,2,2,10,10,374,2,631,0.00843583,0,2,36,658598,748519,165874,3377
cnn,6,coro-prefetch,2,2,10,10,374,2,637,0.00851604,1,2,36,666334,786404,173838,2108
cnn,0,control,1,2,10,10,374,2,727,0.00971925,1,2,36,637768,746421,165557,2518
cnn,5,coro-no-prefetch,2,2,10,10,374,2,629,0.00840909,0,2,36,656008,748364,165931,3249
cnn,6,coro-prefetch,2,2,10,10,374,2,632,0.0084492,1,2,36,666066,786404,173706,2105
cnn,0,control,1,2,10,10,374,2,615,0.00822193,1,2,36,639462,746421,165537,2472
cnn,5,coro-no-prefetch,2,2,10,10,374,2,628,0.00839572,0,2,36,647480,748364,165835,3223
cnn,6,coro-prefetch,2,2,10,10,374,2,634,0.00847594,1,2,36,663697,786404,173579,2108
cnn,0,control,1,2,10,10,374,2,615,0.00822193,1,2,36,632822,746421,165532,2499
cnn,5,coro-no-prefetch,2,2,10,10,374,2,640,0.00855615,0,2,36,664524,748364,165530,3246
cnn,6,coro-prefetch,2,2,10,10,374,2,637,0.00851604,1,2,36,664666,786404,173638,2099
cnn,0,control,1,2,10,10,374,2,613,0.00819519,1,2,36,637284,746421,165534,2482
cnn,5,coro-no-prefetch,2,2,10,10,374,2,633,0.00846257,0,2,36,661536,748364,165840,3244
cnn,6,coro-prefetch,2,2,10,10,374,2,635,0.0084893,1,2,36,662476,786404,173558,2077
cnn,0,control,1,2,10,10,374,2,618,0.00826203,1,2,36,635206,746421,165530,2476
cnn,5,coro-no-prefetch,2,2,10,10,374,2,627,0.00838235,0,2,36,652077,748364,165837,3220
cnn,6,coro-prefetch,2,2,10,10,374,2,633,0.00846257,1,2,36,663693,786404,173593,2099
cnn,0,control,1,2,10,10,374,2,613,0.00819519,1,2,36,636341,746421,165503,2480
cnn,5,coro-no-prefetch,2,2,10,10,374,2,639,0.00854278,0,2,36,662093,748364,165796,3198
cnn,6,coro-prefetch,2,2,10,10,374,2,637,0.00851604,1,2,36,666014,786404,173463,2104
cnn,0,control,1,2,10,10,374,2,612,0.00818182,1,2,36,633472,746421,165521,2477
cnn,5,coro-no-prefetch,2,2,10,10,374,2,627,0.00838235,0,2,36,653316,748364,165534,3191
cnn,6,coro-prefetch,2,2,10,10,374,2,642,0.00858289,1,2,36,666022,786404,173766,2086
cnn,0,control,1,2,10,10,374,2,612,0.00818182,1,2,36,633648,746421,165533,2474
cnn,5,coro-no-prefetch,2,2,10,10,374,2,629,0.00840909,0,2,36,657174,748364,165823,3304
cnn,6,coro-prefetch,2,2,10,10,374,2,639,0.00854278,1,2,36,665896,786404,173513,2085
cnn,0,control,1,2,10,10,374,2,619,0.0082754,1,2,36,632228,746421,165558,2466
cnn,5,coro-no-prefetch,2,2,10,10,374,2,721,0.00963904,0,2,36,665853,748364,165954,3202
cnn,6,coro-prefetch,2,2,10,10,374,2,638,0.00852941,1,2,36,663150,786404,173816,2088
cnn,0,control,1,2,10,10,374,2,612,0.00818182,1,2,36,634672,746421,165523,2482
cnn,5,coro-no-prefetch,2,2,10,10,374,2,638,0.00852941,0,2,36,660046,748364,166179,3282
cnn,6,coro-prefetch,2,2,10,10,374,2,637,0.00851604,1,2,36,665519,786404,173707,2111
cnn,0,control,1,2,10,10,374,2,609,0.00814171,1,2,36,634148,746421,165545,2479
cnn,5,coro-no-prefetch,2,2,10,10,374,2,625,0.00835561,0,2,36,652078,748364,165857,3304
cnn,6,coro-prefetch,2,2,10,10,374,2,635,0.0084893,1,2,36,661768,786404,173593,2076
cnn,0,control,1,2,10,10,374,2,612,0.00818182,1,2,36,633540,746421,165529,2481
cnn,5,coro-no-prefetch,2,2,10,10,374,2,634,0.00847594,0,2,36,662928,748364,165798,3287
cnn,6,coro-prefetch,2,2,10,10,374,2,719,0.0096123,1,2,36,666283,786404,173846,2105
cnn,0,control,1,2,10,10,374,2,613,0.00819519,1,2,36,626320,746421,165530,2458
cnn,5,coro-no-prefetch,2,2,10,10,374,2,625,0.00835561,0,2,36,649975,748364,165891,3195
cnn,6,coro-prefetch,2,2,10,10,374,2,635,0.0084893,1,2,36,665722,786404,173583,2095
cnn,0,control,1,2,10,10,374,2,616,0.00823529,1,2,36,635562,746421,165520,2482
cnn,5,coro-no-prefetch,2,2,10,10,374,2,738,0.00986631,0,2,36,659031,748364,166030,3352
cnn,6,coro-prefetch,2,2,10,10,374,2,639,0.00854278,1,2,36,665008,786404,173805,2118
