model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,2,10,10,78,2,13718,0.879359,1,8,30,295140,351557,186328,1005
cnn,5,coro-no-prefetch,2,2,10,10,78,2,419,0.026859,0,8,30,312489,386465,199011,2162
cnn,6,coro-prefetch,2,2,10,10,78,2,413,0.0264744,1,8,30,328458,416484,205137,693
cnn,0,control,1,2,10,10,78,2,387,0.0248077,1,8,30,292000,351557,186329,996
cnn,5,coro-no-prefetch,2,2,10,10,78,2,405,0.0259615,0,8,30,323841,386822,198604,2140
cnn,6,coro-prefetch,2,2,10,10,78,2,409,0.0262179,1,8,30,327659,416558,204988,693
cnn,0,control,1,2,10,10,78,2,387,0.0248077,1,8,30,298022,351557,186327,1005
cnn,5,coro-no-prefetch,2,2,10,10,78,2,397,0.0254487,0,8,30,314230,386599,198727,2146
cnn,6,coro-prefetch,2,2,10,10,78,2,414,0.0265385,1,8,30,330574,416644,204836,683
cnn,0,control,1,2,10,10,78,2,390,0.025,1,8,30,293596,351557,186339,999
cnn,5,coro-no-prefetch,2,2,10,10,78,2,511,0.0327564,0,8,30,307850,386444,198740,2154
cnn,6,coro-prefetch,2,2,10,10,78,2,407,0.0260897,1,8,30,326998,416644,204972,676
cnn,0,control,1,2,10,10,78,2,387,0.0248077,1,8,30,293354,351557,186328,994
cnn,5,coro-no-prefetch,2,2,10,10,78,2,402,0.0257692,0,8,30,306742,386444,198665,2092
cnn,6,coro-prefetch,2,2,10,10,78,2,404,0.0258974,1,8,30,324441,416644,204858,656
cnn,0,control,1,2,10,10,78,2,388,0.0248718,1,8,30,294872,351557,186327,1004
cnn,5,coro-no-prefetch,2,2,10,10,78,2,395,0.0253205,0,8,30,306602,386444,198578,2127
cnn,6,coro-prefetch,2,2,10,10,78,2,416,0.0266667,1,8,30,329155,416644,204869,684
cnn,0,control,1,2,10,10,78,2,388,0.0248718,1,8,30,294862,351557,186329,1002
cnn,5,coro-no-prefetch,2,2,10,10,78,2,398,0.0255128,0,8,30,307163,386444,198408,2095
cnn,6,coro-prefetch,2,2,10,10,78,2,407,0.0260897,1,8,30,328684,416644,205002,672
cnn,0,control,1,2,10,10,78,2,390,0.025,1,8,30,290854,351557,186329,995
cnn,5,coro-no-prefetch,2,2,10,10,78,2,403,0.0258333,0,8,30,317006,386444,198494,2306
cnn,6,coro-prefetch,2,2,10,10,78,2,409,0.0262179,1,8,30,325786,416644,204925,697
cnn,0,control,1,2,10,10,78,2,386,0.0247436,1,8,30,293492,351557,186329,1006
cnn,5,coro-no-prefetch,2,2,10,10,78,2,397,0.0254487,0,8,30,305609,386444,198393,2078
cnn,6,coro-prefetch,2,2,10,10,78,2,411,0.0263462,1,8,30,328994,416644,204918,673
cnn,0,control,1,2,10,10,78,2,390,0.025,1,8,30,295104,351557,186323,1003
cnn,5,coro-no-prefetch,2,2,10,10,78,2,395,0.0253205,0,8,30,306882,386444,198637,2141
cnn,6,coro-prefetch,2,2,10,10,78,2,409,0.0262179,1,8,30,322802,416644,204988,816
cnn,0,control,1,2,10,10,78,2,388,0.0248718,1,8,30,293362,351557,186339,1005
cnn,5,coro-no-prefetch,2,2,10,10,78,2,399,0.0255769,0,8,30,309414,386444,198625,2239
cnn,6,coro-prefetch,2,2,10,10,78,2,409,0.0262179,1,8,30,327208,416644,204924,710
cnn,0,control,1,2,10,10,78,2,387,0.0248077,1,8,30,293184,351557,186330,1008
cnn,5,coro-no-prefetch,2,2,10,10,78,2,401,0.0257051,0,8,30,312262,386444,198645,2227
cnn,6,coro-prefetch,2,2,10,10,78,2,407,0.0260897,1,8,30,325740,416644,204880,696
cnn,0,control,1,2,10,10,78,2,384,0.0246154,1,8,30,292904,351557,186328,1006
cnn,5,coro-no-prefetch,2,2,10,10,78,2,396,0.0253846,0,8,30,306036,386444,198390,2148
cnn,6,coro-prefetch,2,2,10,10,78,2,404,0.0258974,1,8,30,328008,416644,204848,718
cnn,0,control,1,2,10,10,78,2,386,0.0247436,1,8,30,298297,351557,186329,998
cnn,5,coro-no-prefetch,2,2,10,10,78,2,397,0.0254487,0,8,30,308182,386444,198458,2207
cnn,6,coro-prefetch,2,2,10,10,78,2,411,0.0263462,1,8,30,327580,416644,204874,766
cnn,0,control,1,2,10,10,78,2,434,0.0278205,1,8,30,297508,351557,186329,1005
cnn,5,coro-no-prefetch,2,2,10,10,78,2,400,0.025641,0,8,30,316899,386444,198694,2215
cnn,6,coro-prefetch,2,2,10,10,78,2,407,0.0260897,1,8,30,330505,416644,204935,709
cnn,0,control,1,2,10,10,78,2,389,0.0249359,1,8,30,292908,351557,186328,1002
cnn,5,coro-no-prefetch,2,2,10,10,78,2,504,0.0323077,0,8,30,323940,386444,198915,2231
cnn,6,coro-prefetch,2,2,10,10,78,2,456,0.0292308,1,8,30,329404,416644,205014,738
cnn,0,control,1,2,10,10,78,2,466,0.0298718,1,8,30,292330,351557,186350,1052
cnn,5,coro-no-prefetch,2,2,10,10,78,2,395,0.0253205,0,8,30,307268,386444,198754,2183
cnn,6,coro-prefetch,2,2,10,10,78,2,409,0.0262179,1,8,30,328438,416644,204963,694
cnn,0,control,1,2,10,10,78,2,388,0.0248718,1,8,30,294975,351557,186328,1006
cnn,5,coro-no-prefetch,2,2,10,10,78,2,397,0.0254487,0,8,30,309778,386444,198648,2127
cnn,6,coro-prefetch,2,2,10,10,78,2,412,0.0264103,1,8,30,322474,416644,204928,1139
cnn,0,control,1,2,10,10,78,2,382,0.0244872,1,8,30,292425,351557,186327,1004
cnn,5,coro-no-prefetch,2,2,10,10,78,2,391,0.0250641,0,8,30,306200,386444,198282,2147
cnn,6,coro-prefetch,2,2,10,10,78,2,411,0.0263462,1,8,30,331014,416644,204899,715
cnn,0,control,1,2,10,10,78,2,388,0.0248718,1,8,30,294704,351557,186326,1004
cnn,5,coro-no-prefetch,2,2,10,10,78,2,394,0.0252564,0,8,30,305828,386444,198559,2202
cnn,6,coro-prefetch,2,2,10,10,78,2,410,0.0262821,1,8,30,322648,416644,204826,775
cnn,0,control,1,2,10,10,78,2,470,0.0301282,1,8,30,294034,351557,186328,1006
cnn,5,coro-no-prefetch,2,2,10,10,78,2,401,0.0257051,0,8,30,309226,386444,198561,2159
cnn,6,coro-prefetch,2,2,10,10,78,2,408,0.0261538,1,8,30,327940,416644,204776,1029
cnn,0,control,1,2,10,10,78,2,381,0.0244231,1,8,30,292292,351557,186327,1001
cnn,5,coro-no-prefetch,2,2,10,10,78,2,397,0.0254487,0,8,30,310918,386444,198375,2410
cnn,6,coro-prefetch,2,2,10,10,78,2,408,0.0261538,1,8,30,323456,416644,204824,1131
cnn,0,control,1,2,10,10,78,2,386,0.0247436,1,8,30,294060,351557,186328,1004
cnn,5,coro-no-prefetch,2,2,10,10,78,2,396,0.0253846,0,8,30,308026,386444,198595,2135
cnn,6,coro-prefetch,2,2,10,10,78,2,404,0.0258974,1,8,30,321912,416644,204785,1120
cnn,0,control,1,2,10,10,78,2,391,0.0250641,1,8,30,291370,351557,186327,1006
cnn,5,coro-no-prefetch,2,2,10,10,78,2,396,0.0253846,0,8,30,312186,386444,198355,2216
cnn,6,coro-prefetch,2,2,10,10,78,2,407,0.0260897,1,8,30,325494,416644,204846,723
cnn,0,control,1,2,10,10,78,2,389,0.0249359,1,8,30,295272,351557,186330,1007
cnn,5,coro-no-prefetch,2,2,10,10,78,2,396,0.0253846,0,8,30,304726,386444,198623,2128
cnn,6,coro-prefetch,2,2,10,10,78,2,411,0.0263462,1,8,30,327618,416644,204833,680
cnn,0,control,1,2,10,10,78,2,385,0.0246795,1,8,30,295499,351557,186327,1005
cnn,5,coro-no-prefetch,2,2,10,10,78,2,392,0.0251282,0,8,30,305387,386444,198287,2083
cnn,6,coro-prefetch,2,2,10,10,78,2,409,0.0262179,1,8,30,325114,416644,204811,640
cnn,0,control,1,2,10,10,78,2,387,0.0248077,1,8,30,294806,351557,186329,1005
cnn,5,coro-no-prefetch,2,2,10,10,78,2,396,0.0253846,0,8,30,306482,386444,198484,2363
cnn,6,coro-prefetch,2,2,10,10,78,2,500,0.0320513,1,8,30,330792,416644,204923,694
cnn,0,control,1,2,10,10,78,2,384,0.0246154,1,8,30,288356,351557,186327,1008
cnn,5,coro-no-prefetch,2,2,10,10,78,2,403,0.0258333,0,8,30,316031,386444,198453,2106
cnn,6,coro-prefetch,2,2,10,10,78,2,407,0.0260897,1,8,30,323772,416644,204890,662
cnn,0,control,1,2,10,10,78,2,382,0.0244872,1,8,30,292330,351557,186327,1000
cnn,5,coro-no-prefetch,2,2,10,10,78,2,400,0.025641,0,8,30,309104,386444,198670,2161
cnn,6,coro-prefetch,2,2,10,10,78,2,404,0.0258974,1,8,30,326281,416644,204950,679
cnn,0,control,1,2,10,10,78,2,383,0.0245513,1,8,30,292054,351557,186337,1003
cnn,5,coro-no-prefetch,2,2,10,10,78,2,400,0.025641,0,8,30,315082,386444,198598,2078
cnn,6,coro-prefetch,2,2,10,10,78,2,489,0.0313462,1,8,30,326776,416644,204913,661
cnn,0,control,1,2,10,10,78,2,386,0.0247436,1,8,30,294522,351557,186327,1006
cnn,5,coro-no-prefetch,2,2,10,10,78,2,398,0.0255128,0,8,30,309226,386444,198656,2145
cnn,6,coro-prefetch,2,2,10,10,78,2,406,0.0260256,1,8,30,327186,416644,204850,663
cnn,0,control,1,2,10,10,78,2,391,0.0250641,1,8,30,294852,351557,186327,1005
