model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
leaf,0,control,1,10,100,80,128,1,23903,0.00233428,1,2,4,15892611,9499943,1947275,331836
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14572,0.00142305,0,2,4,21162938,15179620,5171936,391855
leaf,6,coro-prefetch,6,10,100,80,128,1,8808,0.000860156,1,2,4,12720945,16698479,5531085,100662
leaf,0,control,1,10,100,80,128,1,11040,0.00107813,1,2,4,15947187,9499943,1947302,331853
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14630,0.00142871,0,2,4,21159943,15178479,5170975,391618
leaf,6,coro-prefetch,6,10,100,80,128,1,8810,0.000860352,1,2,4,12693472,16698479,5531172,99985
leaf,0,control,1,10,100,80,128,1,10983,0.00107256,1,2,4,15931404,9499943,1947317,331849
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14575,0.00142334,0,2,4,21185425,15178479,5170736,393491
leaf,6,coro-prefetch,6,10,100,80,128,1,8815,0.00086084,1,2,4,12684112,16698479,5530308,99192
leaf,0,control,1,10,100,80,128,1,10965,0.0010708,1,2,4,15913067,9499943,1947352,331851
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14544,0.00142031,0,2,4,21140795,15178479,5170840,391233
leaf,6,coro-prefetch,6,10,100,80,128,1,8778,0.000857227,1,2,4,12693178,16698479,5530642,100507
leaf,0,control,1,10,100,80,128,1,11033,0.00107744,1,2,4,15935570,9499943,1947316,331840
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14448,0.00141094,0,2,4,21142436,15178479,5170616,390544
leaf,6,coro-prefetch,6,10,100,80,128,1,8820,0.000861328,1,2,4,12723496,16698479,5530279,101524
leaf,0,control,1,10,100,80,128,1,11000,0.00107422,1,2,4,15915338,9499943,1947326,331852
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14563,0.00142217,0,2,4,21151859,15178479,5170582,392418
leaf,6,coro-prefetch,6,10,100,80,128,1,8793,0.000858691,1,2,4,12710732,16698479,5530309,100729
leaf,0,control,1,10,100,80,128,1,11002,0.00107441,1,2,4,15961382,9499943,1947306,331858
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14495,0.00141553,0,2,4,21070588,15178479,5170588,392087
leaf,6,coro-prefetch,6,10,100,80,128,1,8796,0.000858984,1,2,4,12717125,16698479,5530754,100760
leaf,0,control,1,10,100,80,128,1,11006,0.0010748,1,2,4,15948919,9499943,1947335,331829
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14444,0.00141055,0,2,4,21105102,15178479,5170641,390631
leaf,6,coro-prefetch,6,10,100,80,128,1,8823,0.000861621,1,2,4,12724799,16698479,5530424,101365
leaf,0,control,1,10,100,80,128,1,10935,0.00106787,1,2,4,15927864,9499943,1947301,331837
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14546,0.00142051,0,2,4,21185633,15178479,5170425,391769
leaf,6,coro-prefetch,6,10,100,80,128,1,8851,0.000864355,1,2,4,12715994,16698479,5534740,100041
leaf,0,control,1,10,100,80,128,1,10960,0.00107031,1,2,4,15910174,9499943,1947299,331833
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14552,0.00142109,0,2,4,21141961,15178479,5170563,391124
leaf,6,coro-prefetch,6,10,100,80,128,1,8841,0.000863379,1,2,4,12729692,16698479,5530350,100395
leaf,0,control,1,10,100,80,128,1,10977,0.00107197,1,2,4,15933339,9499943,1947270,331846
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14644,0.00143008,0,2,4,21174105,15178479,5170472,392331
leaf,6,coro-prefetch,6,10,100,80,128,1,8827,0.000862012,1,2,4,12734722,16698479,5530239,100216
leaf,0,control,1,10,100,80,128,1,11021,0.00107627,1,2,4,15937146,9499943,1947263,331842
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14518,0.00141777,0,2,4,21162153,15178479,5170700,391266
leaf,6,coro-prefetch,6,10,100,80,128,1,8810,0.000860352,1,2,4,12706094,16698479,5530810,100873
leaf,0,control,1,10,100,80,128,1,10980,0.00107227,1,2,4,15964814,9499943,1947293,331850
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14482,0.00141426,0,2,4,21088544,15178479,5170592,391100
leaf,6,coro-prefetch,6,10,100,80,128,1,8791,0.000858496,1,2,4,12709119,16698479,5530667,99689
leaf,0,control,1,10,100,80,128,1,10928,0.00106719,1,2,4,15931307,9499943,1947326,331816
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14472,0.00141328,0,2,4,21113963,15178479,5170753,392316
leaf,6,coro-prefetch,6,10,100,80,128,1,8847,0.000863965,1,2,4,12741271,16698479,5529977,101046
leaf,0,control,1,10,100,80,128,1,11098,0.00108379,1,2,4,15989766,9499943,1947275,331840
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14517,0.00141768,0,2,4,21120993,15178479,5170823,391496
leaf,6,coro-prefetch,6,10,100,80,128,1,8883,0.00086748,1,2,4,12731216,16698479,5530367,99968
leaf,0,control,1,10,100,80,128,1,10994,0.00107363,1,2,4,15939908,9499943,1947339,331866
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14621,0.00142783,0,2,4,21193909,15178479,5170756,392357
leaf,6,coro-prefetch,6,10,100,80,128,1,8755,0.00085498,1,2,4,12737674,16698479,5530468,100959
leaf,0,control,1,10,100,80,128,1,11016,0.00107578,1,2,4,15998003,9499943,1947276,331857
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14523,0.00141826,0,2,4,21115158,15178479,5170798,391920
leaf,6,coro-prefetch,6,10,100,80,128,1,8845,0.00086377,1,2,4,12770198,16698479,5530157,101608
leaf,0,control,1,10,100,80,128,1,10964,0.0010707,1,2,4,15949179,9499943,1947310,331828
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14489,0.00141494,0,2,4,21205809,15178479,5171034,392855
leaf,6,coro-prefetch,6,10,100,80,128,1,8820,0.000861328,1,2,4,12732880,16698479,5530096,101859
leaf,0,control,1,10,100,80,128,1,11075,0.00108154,1,2,4,15985133,9499943,1947312,331837
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14553,0.00142119,0,2,4,21181586,15178479,5170717,392136
leaf,6,coro-prefetch,6,10,100,80,128,1,8815,0.00086084,1,2,4,12716165,16698479,5529816,98805
leaf,0,control,1,10,100,80,128,1,11038,0.00107793,1,2,4,15974515,9499943,1947322,331874
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14522,0.00141816,0,2,4,21170847,15178479,5170364,392266
leaf,6,coro-prefetch,6,10,100,80,128,1,8843,0.000863574,1,2,4,12782708,16698479,5530099,102873
leaf,0,control,1,10,100,80,128,1,11015,0.00107568,1,2,4,15962170,9499943,1947279,331843
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14546,0.00142051,0,2,4,21160426,15178479,5170535,392530
leaf,6,coro-prefetch,6,10,100,80,128,1,8881,0.000867285,1,2,4,12726114,16698479,5530300,101189
leaf,0,control,1,10,100,80,128,1,11005,0.00107471,1,2,4,15959557,9499943,1947288,331857
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14611,0.00142686,0,2,4,21229331,15178479,5170672,392308
leaf,6,coro-prefetch,6,10,100,80,128,1,8823,0.000861621,1,2,4,12697434,16698479,5530700,100681
leaf,0,control,1,10,100,80,128,1,11038,0.00107793,1,2,4,15958122,9499943,1947303,331833
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14455,0.00141162,0,2,4,21154205,15178479,5171822,391611
leaf,6,coro-prefetch,6,10,100,80,128,1,8845,0.00086377,1,2,4,12723954,16698479,5530342,100252
leaf,0,control,1,10,100,80,128,1,11009,0.0010751,1,2,4,15965008,9499943,1947286,331862
leaf,5,coro-no-prefetch,6,10,100,80,128,1,14507,0.0014167,0,2,4,21165374,15178479,5170678,391099
leaf,6,coro-prefetch,6,10,100,80,128,1,8838,0.000863086,1,2,4,12734135,16698479,5530575,99349
