model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,5,184,2,229067,0.248986,1,4,12,318108150,301134135,20816796,86647
norm,5,coro-no-prefetch,2,10,100,5,184,2,211434,0.22982,0,4,12,315787454,301810418,21435177,97737
norm,6,coro-prefetch,2,10,100,5,184,2,210912,0.229252,1,4,12,314901144,302234800,21658544,68026
norm,0,control,1,10,100,5,184,2,210256,0.228539,1,4,12,314310869,301134135,21270279,86525
norm,5,coro-no-prefetch,2,10,100,5,184,2,211368,0.229748,0,4,12,315666790,301809800,21433909,97467
norm,6,coro-prefetch,2,10,100,5,184,2,210310,0.228598,1,4,12,314343295,302234800,21660049,67979
norm,0,control,1,10,100,5,184,2,210595,0.228908,1,4,12,314532748,301134135,21271577,86569
norm,5,coro-no-prefetch,2,10,100,5,184,2,211131,0.22949,0,4,12,315618216,301809800,21434888,97786
norm,6,coro-prefetch,2,10,100,5,184,2,210449,0.228749,1,4,12,314434824,302234800,21660833,67900
norm,0,control,1,10,100,5,184,2,210367,0.22866,1,4,12,314470998,301134135,21270664,86541
norm,5,coro-no-prefetch,2,10,100,5,184,2,211630,0.230033,0,4,12,316080499,301809800,21437261,98226
norm,6,coro-prefetch,2,10,100,5,184,2,210447,0.228747,1,4,12,314537414,302234800,21658856,67959
norm,0,control,1,10,100,5,184,2,210558,0.228867,1,4,12,314447773,301134135,21269667,86586
norm,5,coro-no-prefetch,2,10,100,5,184,2,211055,0.229408,0,4,12,315479561,301809800,21438156,97764
norm,6,coro-prefetch,2,10,100,5,184,2,210504,0.228809,1,4,12,314361872,302234800,21656751,67968
norm,0,control,1,10,100,5,184,2,210206,0.228485,1,4,12,313877310,301134135,21534719,86547
norm,5,coro-no-prefetch,2,10,100,5,184,2,211639,0.230042,0,4,12,316051885,301809800,21438987,98451
norm,6,coro-prefetch,2,10,100,5,184,2,210567,0.228877,1,4,12,314505682,302234800,21701751,68103
norm,0,control,1,10,100,5,184,2,210471,0.228773,1,4,12,314402281,301134135,21268955,86553
norm,5,coro-no-prefetch,2,10,100,5,184,2,211135,0.229495,0,4,12,315636301,301809800,21435758,97160
norm,6,coro-prefetch,2,10,100,5,184,2,210636,0.228952,1,4,12,314552924,302234800,21662650,67989
norm,0,control,1,10,100,5,184,2,209882,0.228133,1,4,12,313620105,301134135,21403947,86642
norm,5,coro-no-prefetch,2,10,100,5,184,2,211166,0.229528,0,4,12,315519594,301809800,21439817,98566
norm,6,coro-prefetch,2,10,100,5,184,2,210616,0.22893,1,4,12,314528838,302234800,21660226,68069
norm,0,control,1,10,100,5,184,2,210413,0.22871,1,4,12,314434380,301134135,21269918,86619
norm,5,coro-no-prefetch,2,10,100,5,184,2,210911,0.229251,0,4,12,314992432,301809800,21557860,98215
norm,6,coro-prefetch,2,10,100,5,184,2,210698,0.22902,1,4,12,314725805,302234800,21656873,67988
norm,0,control,1,10,100,5,184,2,210367,0.22866,1,4,12,314423941,301134135,21271244,86612
norm,5,coro-no-prefetch,2,10,100,5,184,2,211082,0.229437,0,4,12,315282141,301809800,21438224,97807
norm,6,coro-prefetch,2,10,100,5,184,2,210266,0.22855,1,4,12,314332678,302234800,21657290,68031
norm,0,control,1,10,100,5,184,2,210269,0.228553,1,4,12,314173222,301134135,21270036,86742
norm,5,coro-no-prefetch,2,10,100,5,184,2,211334,0.229711,0,4,12,315945812,301809800,21438691,97688
norm,6,coro-prefetch,2,10,100,5,184,2,210752,0.229078,1,4,12,314820647,302234800,21658961,68038
norm,0,control,1,10,100,5,184,2,210292,0.228578,1,4,12,314230554,301134135,21268472,86628
norm,5,coro-no-prefetch,2,10,100,5,184,2,211488,0.229878,0,4,12,315958117,301809800,21436197,98073
norm,6,coro-prefetch,2,10,100,5,184,2,210437,0.228736,1,4,12,314563278,302234800,21663802,68045
norm,0,control,1,10,100,5,184,2,210081,0.228349,1,4,12,313865814,301134135,21272840,86507
norm,5,coro-no-prefetch,2,10,100,5,184,2,211494,0.229885,0,4,12,316127898,301809800,21438707,98135
norm,6,coro-prefetch,2,10,100,5,184,2,210634,0.22895,1,4,12,314608242,302234800,21663044,67965
norm,0,control,1,10,100,5,184,2,210343,0.228634,1,4,12,314434469,301134135,21272697,86656
norm,5,coro-no-prefetch,2,10,100,5,184,2,211191,0.229555,0,4,12,315544373,301809800,21439726,98199
norm,6,coro-prefetch,2,10,100,5,184,2,210443,0.228742,1,4,12,314517616,302234800,21658102,68019
norm,0,control,1,10,100,5,184,2,210475,0.228777,1,4,12,314451440,301134135,21270160,86715
norm,5,coro-no-prefetch,2,10,100,5,184,2,211164,0.229526,0,4,12,315603431,301809800,21436943,97624
norm,6,coro-prefetch,2,10,100,5,184,2,210633,0.228949,1,4,12,314587619,302234800,21664958,68039
norm,0,control,1,10,100,5,184,2,210433,0.228732,1,4,12,314425859,301134135,21272412,86594
norm,5,coro-no-prefetch,2,10,100,5,184,2,211495,0.229886,0,4,12,315938130,301809800,21435554,97820
norm,6,coro-prefetch,2,10,100,5,184,2,210556,0.228865,1,4,12,314621988,302234800,21657955,68166
norm,0,control,1,10,100,5,184,2,210581,0.228892,1,4,12,314566287,301134135,21270786,86623
norm,5,coro-no-prefetch,2,10,100,5,184,2,211443,0.229829,0,4,12,315807224,301809800,21437457,98002
norm,6,coro-prefetch,2,10,100,5,184,2,210550,0.228859,1,4,12,314578898,302234800,21658331,68058
norm,0,control,1,10,100,5,184,2,210613,0.228927,1,4,12,314767258,301134135,21269756,86696
norm,5,coro-no-prefetch,2,10,100,5,184,2,211440,0.229826,0,4,12,315932668,301809800,21437784,97927
norm,6,coro-prefetch,2,10,100,5,184,2,210277,0.228562,1,4,12,314200788,302234800,21655788,68007
norm,0,control,1,10,100,5,184,2,210683,0.229003,1,4,12,314700576,301134135,21268851,86703
norm,5,coro-no-prefetch,2,10,100,5,184,2,211247,0.229616,0,4,12,315476648,301809800,21549636,97891
