model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,5,928,2,246982,0.0532289,1,2,29,346250487,358106093,24381898,105922
norm,5,coro-no-prefetch,2,10,100,5,928,2,231456,0.0498828,0,2,29,346089062,358839278,24766174,153402
norm,6,coro-prefetch,2,10,100,5,928,2,232984,0.0502121,1,2,29,348278033,359853660,24912061,110876
norm,0,control,1,10,100,5,928,2,231492,0.0498905,1,2,29,346142154,358106093,24381908,105761
norm,5,coro-no-prefetch,2,10,100,5,928,2,231482,0.0498884,0,2,29,346036538,358838660,24767067,152266
norm,6,coro-prefetch,2,10,100,5,928,2,232930,0.0502004,1,2,29,348243592,359853660,24907070,108793
norm,0,control,1,10,100,5,928,2,231515,0.0498955,1,2,29,346203954,358106093,24381902,106321
norm,5,coro-no-prefetch,2,10,100,5,928,2,231545,0.0499019,0,2,29,346033490,358838660,24764040,154839
norm,6,coro-prefetch,2,10,100,5,928,2,233012,0.0502181,1,2,29,348254714,359853660,24907290,108777
norm,0,control,1,10,100,5,928,2,231574,0.0499082,1,2,29,346139000,358106093,24381895,106161
norm,5,coro-no-prefetch,2,10,100,5,928,2,231430,0.0498772,0,2,29,346067456,358838660,24765410,154710
norm,6,coro-prefetch,2,10,100,5,928,2,233225,0.050264,1,2,29,348436018,359853660,24907588,108846
norm,0,control,1,10,100,5,928,2,231571,0.0499075,1,2,29,346170579,358106093,24382172,106200
norm,5,coro-no-prefetch,2,10,100,5,928,2,231434,0.049878,0,2,29,345992839,358838660,24765361,151104
norm,6,coro-prefetch,2,10,100,5,928,2,233030,0.050222,1,2,29,348378546,359853660,24908376,109594
norm,0,control,1,10,100,5,928,2,231528,0.0498983,1,2,29,346193899,358106093,24382144,106123
norm,5,coro-no-prefetch,2,10,100,5,928,2,231619,0.0499179,0,2,29,346104475,358838660,24765077,154774
norm,6,coro-prefetch,2,10,100,5,928,2,233092,0.0502353,1,2,29,348395213,359853660,24910807,109619
norm,0,control,1,10,100,5,928,2,231534,0.0498996,1,2,29,346181844,358106093,24382150,106388
norm,5,coro-no-prefetch,2,10,100,5,928,2,231552,0.0499034,0,2,29,346042744,358838660,24764129,152321
norm,6,coro-prefetch,2,10,100,5,928,2,233139,0.0502455,1,2,29,348400898,359853660,24907633,109014
norm,0,control,1,10,100,5,928,2,231548,0.0499026,1,2,29,346127595,358106093,24382174,106352
norm,5,coro-no-prefetch,2,10,100,5,928,2,231555,0.0499041,0,2,29,346081805,358838660,24764597,151909
norm,6,coro-prefetch,2,10,100,5,928,2,233042,0.0502246,1,2,29,348388311,359853660,24907214,108784
norm,0,control,1,10,100,5,928,2,231623,0.0499187,1,2,29,346197605,358106093,24382192,106147
norm,5,coro-no-prefetch,2,10,100,5,928,2,231542,0.0499013,0,2,29,346064896,358838660,24765142,152860
norm,6,coro-prefetch,2,10,100,5,928,2,233083,0.0502334,1,2,29,348397414,359853660,24907845,108757
norm,0,control,1,10,100,5,928,2,231524,0.0498974,1,2,29,346140796,358106093,24382184,106040
norm,5,coro-no-prefetch,2,10,100,5,928,2,231602,0.0499142,0,2,29,346067382,358838660,24764900,152441
norm,6,coro-prefetch,2,10,100,5,928,2,232985,0.0502123,1,2,29,348371674,359853660,24907159,108557
norm,0,control,1,10,100,5,928,2,231496,0.0498914,1,2,29,346181073,358106093,24382164,106487
norm,5,coro-no-prefetch,2,10,100,5,928,2,231446,0.0498806,0,2,29,346055987,358838660,24764302,152786
norm,6,coro-prefetch,2,10,100,5,928,2,232962,0.0502073,1,2,29,348334551,359853660,24906939,108355
norm,0,control,1,10,100,5,928,2,231608,0.0499155,1,2,29,346123717,358106093,24382183,106038
norm,5,coro-no-prefetch,2,10,100,5,928,2,231367,0.0498636,0,2,29,346015811,358838660,24764008,153118
norm,6,coro-prefetch,2,10,100,5,928,2,233193,0.0502571,1,2,29,348416040,359853660,24911063,110179
norm,0,control,1,10,100,5,928,2,231667,0.0499282,1,2,29,346221163,358106093,24382170,106184
norm,5,coro-no-prefetch,2,10,100,5,928,2,231550,0.049903,0,2,29,346043594,358838660,24764599,152404
norm,6,coro-prefetch,2,10,100,5,928,2,233012,0.0502181,1,2,29,348362466,359853660,24907863,109008
norm,0,control,1,10,100,5,928,2,231583,0.0499101,1,2,29,346204656,358106093,24382147,106311
norm,5,coro-no-prefetch,2,10,100,5,928,2,231384,0.0498672,0,2,29,345970531,358838660,24764312,152252
norm,6,coro-prefetch,2,10,100,5,928,2,233069,0.0502304,1,2,29,348393478,359853660,24906371,108608
norm,0,control,1,10,100,5,928,2,231508,0.049894,1,2,29,346157376,358106093,24382132,106133
norm,5,coro-no-prefetch,2,10,100,5,928,2,231518,0.0498961,0,2,29,346113942,358838660,24767839,152249
