model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,2,10,80,182,1,16803,0.0577026,1,4,12,811061,734663,157929,1132
svm,5,coro-no-prefetch,2,2,10,80,182,1,789,0.00270948,0,4,12,862751,834656,228181,8132
svm,6,coro-prefetch,2,2,10,80,182,1,750,0.00257555,1,4,12,830424,915892,245615,1486
svm,0,control,1,2,10,80,182,1,754,0.00258929,1,4,12,834802,734663,157927,1133
svm,5,coro-no-prefetch,2,2,10,80,182,1,785,0.00269574,0,4,12,885580,834292,227315,11062
svm,6,coro-prefetch,2,2,10,80,182,1,921,0.00316277,1,4,12,663502,915892,244126,1550
svm,0,control,1,2,10,80,182,1,743,0.00255151,1,4,12,822936,734663,157916,1133
svm,5,coro-no-prefetch,2,2,10,80,182,1,766,0.00263049,0,4,12,859514,834292,225856,9715
svm,6,coro-prefetch,2,2,10,80,182,1,830,0.00285027,1,4,12,831630,915892,245379,1529
svm,0,control,1,2,10,80,182,1,745,0.00255838,1,4,12,822606,734663,157926,1141
svm,5,coro-no-prefetch,2,2,10,80,182,1,818,0.00280907,0,4,12,862977,834292,224851,6763
svm,6,coro-prefetch,2,2,10,80,182,1,734,0.0025206,1,4,12,809030,915892,245434,1541
svm,0,control,1,2,10,80,182,1,868,0.00298077,1,4,12,858511,734663,157918,1166
svm,5,coro-no-prefetch,2,2,10,80,182,1,793,0.00272321,0,4,12,890292,834292,227589,10736
svm,6,coro-prefetch,2,2,10,80,182,1,737,0.00253091,1,4,12,811550,915892,244345,1523
svm,0,control,1,2,10,80,182,1,731,0.0025103,1,4,12,811249,734663,157918,1136
svm,5,coro-no-prefetch,2,2,10,80,182,1,742,0.00254808,0,4,12,824682,834292,227887,6846
svm,6,coro-prefetch,2,2,10,80,182,1,807,0.00277129,1,4,12,835366,915892,245263,1566
svm,0,control,1,2,10,80,182,1,741,0.00254464,1,4,12,822723,734663,157921,1136
svm,5,coro-no-prefetch,2,2,10,80,182,1,766,0.00263049,0,4,12,858274,834292,227883,7591
svm,6,coro-prefetch,2,2,10,80,182,1,744,0.00255495,1,4,12,820965,915892,245503,1634
svm,0,control,1,2,10,80,182,1,755,0.00259272,1,4,12,835024,734663,157921,1129
svm,5,coro-no-prefetch,2,2,10,80,182,1,786,0.00269918,0,4,12,884418,834292,227912,9552
svm,6,coro-prefetch,2,2,10,80,182,1,738,0.00253434,1,4,12,813622,915892,245413,1624
svm,0,control,1,2,10,80,182,1,738,0.00253434,1,4,12,818342,734663,157913,1133
svm,5,coro-no-prefetch,2,2,10,80,182,1,810,0.00278159,0,4,12,855255,834292,227618,8731
svm,6,coro-prefetch,2,2,10,80,182,1,740,0.00254121,1,4,12,814088,915892,245424,1543
svm,0,control,1,2,10,80,182,1,738,0.00253434,1,4,12,816349,734663,157913,1135
svm,5,coro-no-prefetch,2,2,10,80,182,1,774,0.00265797,0,4,12,874634,834292,224951,8560
svm,6,coro-prefetch,2,2,10,80,182,1,798,0.00274038,1,4,12,829004,915892,245512,1594
svm,0,control,1,2,10,80,182,1,751,0.00257898,1,4,12,837288,734663,157907,1131
svm,5,coro-no-prefetch,2,2,10,80,182,1,774,0.00265797,0,4,12,874219,834292,224856,8775
svm,6,coro-prefetch,2,2,10,80,182,1,833,0.00286058,1,4,12,828174,915892,244315,1507
svm,0,control,1,2,10,80,182,1,721,0.00247596,1,4,12,795254,734663,157910,1129
svm,5,coro-no-prefetch,2,2,10,80,182,1,771,0.00264766,0,4,12,862578,834292,224814,7567
