model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,2,10,80,296,1,14335,0.0302682,1,2,10,663739,595217,127176,924
svm,5,coro-no-prefetch,6,2,10,80,296,1,803,0.00169552,0,2,10,760480,697466,191225,14921
svm,6,coro-prefetch,6,2,10,80,296,1,628,0.00132601,1,2,10,650678,766762,208256,1368
svm,0,control,1,2,10,80,296,1,642,0.00135557,1,2,10,677973,595217,127166,926
svm,5,coro-no-prefetch,6,2,10,80,296,1,692,0.00146115,0,2,10,752769,696362,190832,14885
svm,6,coro-prefetch,6,2,10,80,296,1,631,0.00133235,1,2,10,649397,766762,208036,1681
svm,0,control,1,2,10,80,296,1,677,0.00142948,1,2,10,723349,595217,127176,928
svm,5,coro-no-prefetch,6,2,10,80,296,1,693,0.00146326,0,2,10,754359,696362,190808,14680
svm,6,coro-prefetch,6,2,10,80,296,1,626,0.00132179,1,2,10,650199,766762,208034,1346
svm,0,control,1,2,10,80,296,1,652,0.00137669,1,2,10,680519,595217,127170,924
svm,5,coro-no-prefetch,6,2,10,80,296,1,690,0.00145693,0,2,10,747085,696362,190718,14710
svm,6,coro-prefetch,6,2,10,80,296,1,624,0.00131757,1,2,10,644653,766762,208044,1257
svm,0,control,1,2,10,80,296,1,646,0.00136402,1,2,10,681259,595217,127176,924
svm,5,coro-no-prefetch,6,2,10,80,296,1,761,0.00160684,0,2,10,779355,696362,190751,14579
svm,6,coro-prefetch,6,2,10,80,296,1,626,0.00132179,1,2,10,647161,766762,208023,1180
svm,0,control,1,2,10,80,296,1,658,0.00138936,1,2,10,696681,595217,127182,928
svm,5,coro-no-prefetch,6,2,10,80,296,1,688,0.0014527,0,2,10,744787,696362,190750,14644
svm,6,coro-prefetch,6,2,10,80,296,1,621,0.00131123,1,2,10,646580,766762,208043,1359
svm,0,control,1,2,10,80,296,1,653,0.0013788,1,2,10,691015,595217,127170,925
svm,5,coro-no-prefetch,6,2,10,80,296,1,691,0.00145904,0,2,10,750093,696362,190757,14935
svm,6,coro-prefetch,6,2,10,80,296,1,628,0.00132601,1,2,10,649933,766762,207918,1493
svm,0,control,1,2,10,80,296,1,656,0.00138514,1,2,10,686669,595217,127173,924
svm,5,coro-no-prefetch,6,2,10,80,296,1,702,0.00148226,0,2,10,765397,696362,190772,14914
svm,6,coro-prefetch,6,2,10,80,296,1,619,0.00130701,1,2,10,643587,766762,207935,1345
svm,0,control,1,2,10,80,296,1,647,0.00136613,1,2,10,686563,595217,127189,925
svm,5,coro-no-prefetch,6,2,10,80,296,1,696,0.00146959,0,2,10,750701,696362,190673,14616
svm,6,coro-prefetch,6,2,10,80,296,1,630,0.00133024,1,2,10,652897,766762,207955,1277
svm,0,control,1,2,10,80,296,1,646,0.00136402,1,2,10,682763,595217,127174,927
svm,5,coro-no-prefetch,6,2,10,80,296,1,817,0.00172508,0,2,10,775810,696362,190722,14825
svm,6,coro-prefetch,6,2,10,80,296,1,630,0.00133024,1,2,10,647917,766762,207909,1185
svm,0,control,1,2,10,80,296,1,655,0.00138302,1,2,10,692336,595217,127164,924
svm,5,coro-no-prefetch,6,2,10,80,296,1,700,0.00147804,0,2,10,761591,696362,190749,14503
svm,6,coro-prefetch,6,2,10,80,296,1,618,0.0013049,1,2,10,636385,766762,208053,1223
svm,0,control,1,2,10,80,296,1,642,0.00135557,1,2,10,669155,595217,127168,924
svm,5,coro-no-prefetch,6,2,10,80,296,1,690,0.00145693,0,2,10,747536,696362,190729,14714
svm,6,coro-prefetch,6,2,10,80,296,1,615,0.00129856,1,2,10,637550,766762,208030,1395
svm,0,control,1,2,10,80,296,1,649,0.00137035,1,2,10,686772,595217,127165,943
svm,5,coro-no-prefetch,6,2,10,80,296,1,704,0.00148649,0,2,10,760073,696362,190622,14983
svm,6,coro-prefetch,6,2,10,80,296,1,629,0.00132813,1,2,10,654611,766762,208057,1368
svm,0,control,1,2,10,80,296,1,651,0.00137458,1,2,10,690923,595217,127175,920
svm,5,coro-no-prefetch,6,2,10,80,296,1,832,0.00175676,0,2,10,785131,696362,190793,14874
svm,6,coro-prefetch,6,2,10,80,296,1,623,0.00131546,1,2,10,645092,766762,207960,1375
svm,0,control,1,2,10,80,296,1,781,0.00164907,1,2,10,707138,595217,127175,952
svm,5,coro-no-prefetch,6,2,10,80,296,1,686,0.00144848,0,2,10,743335,696362,190770,14612
svm,6,coro-prefetch,6,2,10,80,296,1,620,0.00130912,1,2,10,643275,766762,207885,1189
svm,0,control,1,2,10,80,296,1,667,0.00140836,1,2,10,697015,595217,127177,923
svm,5,coro-no-prefetch,6,2,10,80,296,1,689,0.00145481,0,2,10,745314,696362,190719,14612
svm,6,coro-prefetch,6,2,10,80,296,1,691,0.00145904,1,2,10,641739,766762,207962,1199
svm,0,control,1,2,10,80,296,1,658,0.00138936,1,2,10,699209,595217,127166,937
svm,5,coro-no-prefetch,6,2,10,80,296,1,712,0.00150338,0,2,10,769698,696362,190678,14681
svm,6,coro-prefetch,6,2,10,80,296,1,636,0.00134291,1,2,10,661014,766762,208052,1370
svm,0,control,1,2,10,80,296,1,638,0.00134713,1,2,10,670081,595217,127165,929
svm,5,coro-no-prefetch,6,2,10,80,296,1,836,0.0017652,0,2,10,775511,696362,190733,14868
svm,6,coro-prefetch,6,2,10,80,296,1,741,0.00156461,1,2,10,659228,766762,207998,1739
svm,0,control,1,2,10,80,296,1,711,0.00150127,1,2,10,705391,595217,127173,955
svm,5,coro-no-prefetch,6,2,10,80,296,1,755,0.00159417,0,2,10,774868,696362,190642,14415
svm,6,coro-prefetch,6,2,10,80,296,1,624,0.00131757,1,2,10,646199,766762,207924,1358
svm,0,control,1,2,10,80,296,1,653,0.0013788,1,2,10,683327,595217,127164,924
svm,5,coro-no-prefetch,6,2,10,80,296,1,698,0.00147382,0,2,10,759765,696362,190664,14623
svm,6,coro-prefetch,6,2,10,80,296,1,629,0.00132813,1,2,10,649160,766762,207990,1248
svm,0,control,1,2,10,80,296,1,656,0.00138514,1,2,10,692692,595217,127165,941
svm,5,coro-no-prefetch,6,2,10,80,296,1,699,0.00147593,0,2,10,755131,696362,190670,14511
svm,6,coro-prefetch,6,2,10,80,296,1,622,0.00131334,1,2,10,644378,766762,207964,1183
svm,0,control,1,2,10,80,296,1,642,0.00135557,1,2,10,679009,595217,127171,928
svm,5,coro-no-prefetch,6,2,10,80,296,1,698,0.00147382,0,2,10,759719,696362,190630,14686
svm,6,coro-prefetch,6,2,10,80,296,1,619,0.00130701,1,2,10,638263,766762,207972,1259
svm,0,control,1,2,10,80,296,1,655,0.00138302,1,2,10,693523,595217,127171,923
svm,5,coro-no-prefetch,6,2,10,80,296,1,689,0.00145481,0,2,10,748291,696362,190661,14747
svm,6,coro-prefetch,6,2,10,80,296,1,628,0.00132601,1,2,10,649361,766762,207967,1272
svm,0,control,1,2,10,80,296,1,649,0.00137035,1,2,10,677415,595217,127169,927
svm,5,coro-no-prefetch,6,2,10,80,296,1,688,0.0014527,0,2,10,747550,696362,190623,14540
svm,6,coro-prefetch,6,2,10,80,296,1,619,0.00130701,1,2,10,635443,766762,207959,1267
svm,0,control,1,2,10,80,296,1,644,0.0013598,1,2,10,683763,595217,127167,926
svm,5,coro-no-prefetch,6,2,10,80,296,1,698,0.00147382,0,2,10,750883,696362,190692,14602
svm,6,coro-prefetch,6,2,10,80,296,1,675,0.00142525,1,2,10,656135,766762,207926,1292
svm,0,control,1,2,10,80,296,1,710,0.00149916,1,2,10,708232,595217,127176,940
svm,5,coro-no-prefetch,6,2,10,80,296,1,745,0.00157306,0,2,10,755797,696362,190753,14412
svm,6,coro-prefetch,6,2,10,80,296,1,627,0.0013239,1,2,10,647020,766762,207859,1270
svm,0,control,1,2,10,80,296,1,651,0.00137458,1,2,10,687385,595217,127164,917
svm,5,coro-no-prefetch,6,2,10,80,296,1,693,0.00146326,0,2,10,745868,696362,190792,14756
svm,6,coro-prefetch,6,2,10,80,296,1,626,0.00132179,1,2,10,648922,766762,207964,1225
svm,0,control,1,2,10,80,296,1,653,0.0013788,1,2,10,685539,595217,127166,924
svm,5,coro-no-prefetch,6,2,10,80,296,1,687,0.00145059,0,2,10,747813,696362,190698,14548
svm,6,coro-prefetch,6,2,10,80,296,1,615,0.00129856,1,2,10,636153,766762,207898,1125
svm,0,control,1,2,10,80,296,1,643,0.00135769,1,2,10,682183,595217,127168,927
svm,5,coro-no-prefetch,6,2,10,80,296,1,697,0.00147171,0,2,10,749795,696362,190691,14404
svm,6,coro-prefetch,6,2,10,80,296,1,635,0.00134079,1,2,10,663985,766762,207878,1972
svm,0,control,1,2,10,80,296,1,650,0.00137247,1,2,10,679859,595217,127168,930
svm,5,coro-no-prefetch,6,2,10,80,296,1,688,0.0014527,0,2,10,747355,696362,190653,15428
svm,6,coro-prefetch,6,2,10,80,296,1,672,0.00141892,1,2,10,646979,766762,207981,1230
svm,0,control,1,2,10,80,296,1,641,0.00135346,1,2,10,677627,595217,127164,937
svm,5,coro-no-prefetch,6,2,10,80,296,1,692,0.00146115,0,2,10,748297,696362,190666,14403
svm,6,coro-prefetch,6,2,10,80,296,1,617,0.00130279,1,2,10,636906,766762,207960,1100
svm,0,control,1,2,10,80,296,1,645,0.00136191,1,2,10,675297,595217,127172,927
svm,5,coro-no-prefetch,6,2,10,80,296,1,694,0.00146537,0,2,10,754201,696362,190683,14799
svm,6,coro-prefetch,6,2,10,80,296,1,620,0.00130912,1,2,10,645685,766762,207859,1146
svm,0,control,1,2,10,80,296,1,647,0.00136613,1,2,10,684607,595217,127170,921
svm,5,coro-no-prefetch,6,2,10,80,296,1,702,0.00148226,0,2,10,758313,696362,190720,14943
svm,6,coro-prefetch,6,2,10,80,296,1,618,0.0013049,1,2,10,638359,766762,207993,1168
svm,0,control,1,2,10,80,296,1,648,0.00136824,1,2,10,688538,595217,127170,924
svm,5,coro-no-prefetch,6,2,10,80,296,1,753,0.00158995,0,2,10,768013,696362,190715,14753
svm,6,coro-prefetch,6,2,10,80,296,1,627,0.0013239,1,2,10,644227,766762,207892,1194
svm,0,control,1,2,10,80,296,1,640,0.00135135,1,2,10,672555,595217,127167,923
svm,5,coro-no-prefetch,6,2,10,80,296,1,697,0.00147171,0,2,10,756665,696362,190744,14650
svm,6,coro-prefetch,6,2,10,80,296,1,616,0.00130068,1,2,10,636225,766762,207951,1198
svm,0,control,1,2,10,80,296,1,728,0.00153716,1,2,10,707284,595217,127170,944
svm,5,coro-no-prefetch,6,2,10,80,296,1,696,0.00146959,0,2,10,752443,696362,190681,14641
svm,6,coro-prefetch,6,2,10,80,296,1,612,0.00129223,1,2,10,632750,766762,208017,1196
svm,0,control,1,2,10,80,296,1,658,0.00138936,1,2,10,698911,595217,127166,923
svm,5,coro-no-prefetch,6,2,10,80,296,1,767,0.00161951,0,2,10,767332,696362,190699,14212
svm,6,coro-prefetch,6,2,10,80,296,1,627,0.0013239,1,2,10,647057,766762,207994,1189
svm,0,control,1,2,10,80,296,1,735,0.00155194,1,2,10,692139,595217,127187,948
svm,5,coro-no-prefetch,6,2,10,80,296,1,686,0.00144848,0,2,10,741545,696362,190695,14398
svm,6,coro-prefetch,6,2,10,80,296,1,619,0.00130701,1,2,10,636745,766762,207956,1271
svm,0,control,1,2,10,80,296,1,655,0.00138302,1,2,10,689879,595217,127161,926
svm,5,coro-no-prefetch,6,2,10,80,296,1,683,0.00144215,0,2,10,740038,696362,190740,14732
svm,6,coro-prefetch,6,2,10,80,296,1,624,0.00131757,1,2,10,647941,766762,207914,1274
svm,0,control,1,2,10,80,296,1,662,0.0013978,1,2,10,697023,595217,127169,919
svm,5,coro-no-prefetch,6,2,10,80,296,1,750,0.00158361,0,2,10,765801,696362,190712,14720
svm,6,coro-prefetch,6,2,10,80,296,1,615,0.00129856,1,2,10,637345,766762,207920,1262
svm,0,control,1,2,10,80,296,1,660,0.00139358,1,2,10,697773,595217,127171,925
svm,5,coro-no-prefetch,6,2,10,80,296,1,737,0.00155617,0,2,10,750250,696362,190752,14484
svm,6,coro-prefetch,6,2,10,80,296,1,661,0.00139569,1,2,10,647503,766762,207908,1264
svm,0,control,1,2,10,80,296,1,718,0.00151605,1,2,10,696312,595217,127173,944
svm,5,coro-no-prefetch,6,2,10,80,296,1,773,0.00163218,0,2,10,776106,696362,190794,14650
svm,6,coro-prefetch,6,2,10,80,296,1,629,0.00132813,1,2,10,648312,766762,208073,1275
svm,0,control,1,2,10,80,296,1,749,0.0015815,1,2,10,668300,595217,127186,944
svm,5,coro-no-prefetch,6,2,10,80,296,1,689,0.00145481,0,2,10,745329,696362,190713,14712
svm,6,coro-prefetch,6,2,10,80,296,1,692,0.00146115,1,2,10,660076,766762,207901,1312
svm,0,control,1,2,10,80,296,1,642,0.00135557,1,2,10,669462,595217,127163,1051
svm,5,coro-no-prefetch,6,2,10,80,296,1,690,0.00145693,0,2,10,745379,696362,190655,14886
svm,6,coro-prefetch,6,2,10,80,296,1,621,0.00131123,1,2,10,644425,766762,207944,1390
svm,0,control,1,2,10,80,296,1,651,0.00137458,1,2,10,692091,595217,127169,924
svm,5,coro-no-prefetch,6,2,10,80,296,1,704,0.00148649,0,2,10,761481,696362,190663,14763
svm,6,coro-prefetch,6,2,10,80,296,1,610,0.00128801,1,2,10,628214,766762,207967,1376
svm,0,control,1,2,10,80,296,1,645,0.00136191,1,2,10,680829,595217,127168,926
svm,5,coro-no-prefetch,6,2,10,80,296,1,758,0.00160051,0,2,10,777442,696362,190718,14418
svm,6,coro-prefetch,6,2,10,80,296,1,682,0.00144003,1,2,10,655590,766762,207971,1404
svm,0,control,1,2,10,80,296,1,641,0.00135346,1,2,10,672801,595217,127163,925
svm,5,coro-no-prefetch,6,2,10,80,296,1,664,0.00140203,0,2,10,718001,696362,190739,14871
svm,6,coro-prefetch,6,2,10,80,296,1,624,0.00131757,1,2,10,650918,766762,207875,1176
svm,0,control,1,2,10,80,296,1,663,0.00139992,1,2,10,695385,595217,127166,920
svm,5,coro-no-prefetch,6,2,10,80,296,1,700,0.00147804,0,2,10,761631,696362,190676,14677
svm,6,coro-prefetch,6,2,10,80,296,1,622,0.00131334,1,2,10,643675,766762,208035,1195
svm,0,control,1,2,10,80,296,1,650,0.00137247,1,2,10,686969,595217,127182,928
svm,5,coro-no-prefetch,6,2,10,80,296,1,775,0.0016364,0,2,10,749107,696362,190640,14636
svm,6,coro-prefetch,6,2,10,80,296,1,620,0.00130912,1,2,10,643489,766762,207861,1269
svm,0,control,1,2,10,80,296,1,642,0.00135557,1,2,10,678481,595217,127163,922
svm,5,coro-no-prefetch,6,2,10,80,296,1,778,0.00164274,0,2,10,753285,696362,190676,14681
svm,6,coro-prefetch,6,2,10,80,296,1,626,0.00132179,1,2,10,641589,766762,207893,1265
svm,0,control,1,2,10,80,296,1,659,0.00139147,1,2,10,698091,595217,127167,919
svm,5,coro-no-prefetch,6,2,10,80,296,1,688,0.0014527,0,2,10,747418,696362,190756,14692
svm,6,coro-prefetch,6,2,10,80,296,1,617,0.00130279,1,2,10,634855,766762,208002,1270
svm,0,control,1,2,10,80,296,1,646,0.00136402,1,2,10,679644,595217,127163,926
svm,5,coro-no-prefetch,6,2,10,80,296,1,691,0.00145904,0,2,10,753295,696362,190688,14792
svm,6,coro-prefetch,6,2,10,80,296,1,729,0.00153927,1,2,10,644848,766762,207860,1275
svm,0,control,1,2,10,80,296,1,649,0.00137035,1,2,10,684745,595217,127164,922
svm,5,coro-no-prefetch,6,2,10,80,296,1,701,0.00148015,0,2,10,754047,696362,190714,14680
svm,6,coro-prefetch,6,2,10,80,296,1,624,0.00131757,1,2,10,644435,766762,207918,1271
svm,0,control,1,2,10,80,296,1,652,0.00137669,1,2,10,688633,595217,127167,928
svm,5,coro-no-prefetch,6,2,10,80,296,1,692,0.00146115,0,2,10,750709,696362,190663,14719
svm,6,coro-prefetch,6,2,10,80,296,1,630,0.00133024,1,2,10,646774,766762,207923,1365
svm,0,control,1,2,10,80,296,1,646,0.00136402,1,2,10,683769,595217,127164,928
svm,5,coro-no-prefetch,6,2,10,80,296,1,693,0.00146326,0,2,10,748452,696362,190704,14961
svm,6,coro-prefetch,6,2,10,80,296,1,628,0.00132601,1,2,10,652999,766762,207954,1505
svm,0,control,1,2,10,80,296,1,744,0.00157095,1,2,10,696578,595217,127186,943
svm,5,coro-no-prefetch,6,2,10,80,296,1,684,0.00144426,0,2,10,742521,696362,190744,14778
svm,6,coro-prefetch,6,2,10,80,296,1,732,0.00154561,1,2,10,648854,766762,207945,1382
svm,0,control,1,2,10,80,296,1,643,0.00135769,1,2,10,679319,595217,127174,925
svm,5,coro-no-prefetch,6,2,10,80,296,1,739,0.00156039,0,2,10,741739,696362,190743,14782
svm,6,coro-prefetch,6,2,10,80,296,1,621,0.00131123,1,2,10,638197,766762,207923,1281
svm,0,control,1,2,10,80,296,1,660,0.00139358,1,2,10,697207,595217,127178,927
svm,5,coro-no-prefetch,6,2,10,80,296,1,823,0.00173775,0,2,10,769536,696362,190770,14840
svm,6,coro-prefetch,6,2,10,80,296,1,624,0.00131757,1,2,10,643499,766762,207948,1185
svm,0,control,1,2,10,80,296,1,653,0.0013788,1,2,10,689335,595217,127167,938
svm,5,coro-no-prefetch,6,2,10,80,296,1,690,0.00145693,0,2,10,748033,696362,190669,14711
svm,6,coro-prefetch,6,2,10,80,296,1,629,0.00132813,1,2,10,651137,766762,207915,1167
svm,0,control,1,2,10,80,296,1,641,0.00135346,1,2,10,669121,595217,127176,921
svm,5,coro-no-prefetch,6,2,10,80,296,1,693,0.00146326,0,2,10,751847,696362,190745,14404
svm,6,coro-prefetch,6,2,10,80,296,1,617,0.00130279,1,2,10,640849,766762,207980,1126
svm,0,control,1,2,10,80,296,1,656,0.00138514,1,2,10,691759,595217,127166,921
svm,5,coro-no-prefetch,6,2,10,80,296,1,697,0.00147171,0,2,10,749768,696362,190706,14586
svm,6,coro-prefetch,6,2,10,80,296,1,637,0.00134502,1,2,10,663683,766762,207998,1976
svm,0,control,1,2,10,80,296,1,619,0.00130701,1,2,10,645853,595217,127168,922
svm,5,coro-no-prefetch,6,2,10,80,296,1,703,0.00148438,0,2,10,766317,696362,190851,15467
svm,6,coro-prefetch,6,2,10,80,296,1,622,0.00131334,1,2,10,639793,766762,207875,1223
svm,0,control,1,2,10,80,296,1,650,0.00137247,1,2,10,686099,595217,127169,927
svm,5,coro-no-prefetch,6,2,10,80,296,1,684,0.00144426,0,2,10,744814,696362,190693,14726
svm,6,coro-prefetch,6,2,10,80,296,1,621,0.00131123,1,2,10,641697,766762,207905,1098
svm,0,control,1,2,10,80,296,1,658,0.00138936,1,2,10,694808,595217,127177,934
svm,5,coro-no-prefetch,6,2,10,80,296,1,695,0.00146748,0,2,10,752151,696362,190674,14588
svm,6,coro-prefetch,6,2,10,80,296,1,682,0.00144003,1,2,10,650753,766762,207912,1174
svm,0,control,1,2,10,80,296,1,654,0.00138091,1,2,10,693045,595217,127180,923
svm,5,coro-no-prefetch,6,2,10,80,296,1,706,0.00149071,0,2,10,761345,696362,190681,15162
svm,6,coro-prefetch,6,2,10,80,296,1,620,0.00130912,1,2,10,637828,766762,207935,1356
svm,0,control,1,2,10,80,296,1,654,0.00138091,1,2,10,692975,595217,127172,942
svm,5,coro-no-prefetch,6,2,10,80,296,1,808,0.00170608,0,2,10,772374,696362,190769,14851
svm,6,coro-prefetch,6,2,10,80,296,1,632,0.00133446,1,2,10,650977,766762,207991,1687
svm,0,control,1,2,10,80,296,1,647,0.00136613,1,2,10,680547,595217,127170,924
