model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,2,10,40,120,1,16591,0.172823,1,8,15,531146,684806,194635,850
svm,5,coro-no-prefetch,2,2,10,40,120,1,644,0.00670833,0,8,15,569175,746618,230178,5916
svm,6,coro-prefetch,2,2,10,40,120,1,564,0.005875,1,8,15,556525,796654,238860,1119
svm,0,control,1,2,10,40,120,1,573,0.00596875,1,8,15,568006,684806,194609,849
svm,5,coro-no-prefetch,2,2,10,40,120,1,551,0.00573958,0,8,15,535833,746254,228637,4922
svm,6,coro-prefetch,2,2,10,40,120,1,563,0.00586458,1,8,15,546655,796654,238768,1114
svm,0,control,1,2,10,40,120,1,608,0.00633333,1,8,15,567225,684806,194603,855
svm,5,coro-no-prefetch,2,2,10,40,120,1,558,0.0058125,0,8,15,547191,746254,228281,4232
svm,6,coro-prefetch,2,2,10,40,120,1,568,0.00591667,1,8,15,561966,796654,238750,1145
svm,0,control,1,2,10,40,120,1,561,0.00584375,1,8,15,545974,684806,194610,854
svm,5,coro-no-prefetch,2,2,10,40,120,1,552,0.00575,0,8,15,536134,746254,228242,3098
svm,6,coro-prefetch,2,2,10,40,120,1,551,0.00573958,1,8,15,538632,796654,238640,1119
svm,0,control,1,2,10,40,120,1,580,0.00604167,1,8,15,576326,684806,194616,850
svm,5,coro-no-prefetch,2,2,10,40,120,1,553,0.00576042,0,8,15,534767,746254,229916,2552
svm,6,coro-prefetch,2,2,10,40,120,1,657,0.00684375,1,8,15,572557,796654,238663,1256
svm,0,control,1,2,10,40,120,1,580,0.00604167,1,8,15,577986,684806,194615,848
svm,5,coro-no-prefetch,2,2,10,40,120,1,562,0.00585417,0,8,15,551754,746254,229954,4309
svm,6,coro-prefetch,2,2,10,40,120,1,563,0.00586458,1,8,15,548258,796654,238593,1129
svm,0,control,1,2,10,40,120,1,565,0.00588542,1,8,15,556193,684806,194616,853
svm,5,coro-no-prefetch,2,2,10,40,120,1,559,0.00582292,0,8,15,553818,746254,230121,5204
svm,6,coro-prefetch,2,2,10,40,120,1,568,0.00591667,1,8,15,562771,796654,238816,1122
svm,0,control,1,2,10,40,120,1,575,0.00598958,1,8,15,565429,684806,194611,861
svm,5,coro-no-prefetch,2,2,10,40,120,1,558,0.0058125,0,8,15,548317,746254,228484,4236
svm,6,coro-prefetch,2,2,10,40,120,1,573,0.00596875,1,8,15,568777,796654,238896,1580
svm,0,control,1,2,10,40,120,1,556,0.00579167,1,8,15,549501,684806,194609,846
svm,5,coro-no-prefetch,2,2,10,40,120,1,565,0.00588542,0,8,15,549004,746254,228300,4574
svm,6,coro-prefetch,2,2,10,40,120,1,557,0.00580208,1,8,15,545422,796654,238771,1122
svm,0,control,1,2,10,40,120,1,557,0.00580208,1,8,15,548461,684806,194608,864
svm,5,coro-no-prefetch,2,2,10,40,120,1,563,0.00586458,0,8,15,550440,746254,229947,4617
svm,6,coro-prefetch,2,2,10,40,120,1,575,0.00598958,1,8,15,565394,796654,238733,1155
svm,0,control,1,2,10,40,120,1,553,0.00576042,1,8,15,545303,684806,194617,844
svm,5,coro-no-prefetch,2,2,10,40,120,1,558,0.0058125,0,8,15,551268,746254,228498,7194
svm,6,coro-prefetch,2,2,10,40,120,1,566,0.00589583,1,8,15,559414,796654,239132,1111
svm,0,control,1,2,10,40,120,1,567,0.00590625,1,8,15,556295,684806,194612,850
svm,5,coro-no-prefetch,2,2,10,40,120,1,552,0.00575,0,8,15,538807,746254,228418,3466
svm,6,coro-prefetch,2,2,10,40,120,1,562,0.00585417,1,8,15,558619,796654,239111,1098
svm,0,control,1,2,10,40,120,1,565,0.00588542,1,8,15,561955,684806,194610,846
svm,5,coro-no-prefetch,2,2,10,40,120,1,553,0.00576042,0,8,15,534381,746254,228263,4759
svm,6,coro-prefetch,2,2,10,40,120,1,560,0.00583333,1,8,15,554290,796654,239185,1268
svm,0,control,1,2,10,40,120,1,563,0.00586458,1,8,15,557068,684806,194619,846
svm,5,coro-no-prefetch,2,2,10,40,120,1,561,0.00584375,0,8,15,555080,746254,228439,7188
svm,6,coro-prefetch,2,2,10,40,120,1,554,0.00577083,1,8,15,539412,796654,239164,1123
svm,0,control,1,2,10,40,120,1,559,0.00582292,1,8,15,553238,684806,194616,845
svm,5,coro-no-prefetch,2,2,10,40,120,1,552,0.00575,0,8,15,540547,746254,228424,5810
svm,6,coro-prefetch,2,2,10,40,120,1,558,0.0058125,1,8,15,554109,796654,238962,1109
svm,0,control,1,2,10,40,120,1,572,0.00595833,1,8,15,557652,684806,194609,846
svm,5,coro-no-prefetch,2,2,10,40,120,1,552,0.00575,0,8,15,543604,746254,228450,4664
svm,6,coro-prefetch,2,2,10,40,120,1,573,0.00596875,1,8,15,567488,796654,239057,1208
svm,0,control,1,2,10,40,120,1,561,0.00584375,1,8,15,549419,684806,194609,847
svm,5,coro-no-prefetch,2,2,10,40,120,1,565,0.00588542,0,8,15,549970,746254,230120,5668
svm,6,coro-prefetch,2,2,10,40,120,1,570,0.0059375,1,8,15,563438,796654,238969,1128
svm,0,control,1,2,10,40,120,1,619,0.00644792,1,8,15,553938,684806,194609,846
svm,5,coro-no-prefetch,2,2,10,40,120,1,557,0.00580208,0,8,15,543230,746254,229948,4669
svm,6,coro-prefetch,2,2,10,40,120,1,828,0.008625,1,8,15,559893,796654,239033,1199
svm,0,control,1,2,10,40,120,1,555,0.00578125,1,8,15,546536,684806,194603,846
svm,5,coro-no-prefetch,2,2,10,40,120,1,555,0.00578125,0,8,15,543983,746254,229960,5032
svm,6,coro-prefetch,2,2,10,40,120,1,551,0.00573958,1,8,15,542869,796654,239102,1119
svm,0,control,1,2,10,40,120,1,561,0.00584375,1,8,15,552096,684806,194609,857
svm,5,coro-no-prefetch,2,2,10,40,120,1,604,0.00629167,0,8,15,550183,746254,230166,5194
svm,6,coro-prefetch,2,2,10,40,120,1,559,0.00582292,1,8,15,551718,796654,239125,1132
svm,0,control,1,2,10,40,120,1,567,0.00590625,1,8,15,564875,684806,194607,845
svm,5,coro-no-prefetch,2,2,10,40,120,1,561,0.00584375,0,8,15,542942,746254,229959,4563
svm,6,coro-prefetch,2,2,10,40,120,1,558,0.0058125,1,8,15,550295,796654,239063,1215
svm,0,control,1,2,10,40,120,1,621,0.00646875,1,8,15,575485,684806,194623,883
svm,5,coro-no-prefetch,2,2,10,40,120,1,550,0.00572917,0,8,15,539190,746254,228251,5053
svm,6,coro-prefetch,2,2,10,40,120,1,562,0.00585417,1,8,15,550608,796654,239048,1109
svm,0,control,1,2,10,40,120,1,566,0.00589583,1,8,15,558385,684806,194608,846
svm,5,coro-no-prefetch,2,2,10,40,120,1,546,0.0056875,0,8,15,536906,746254,228399,4739
svm,6,coro-prefetch,2,2,10,40,120,1,558,0.0058125,1,8,15,550945,796654,239059,1135
svm,0,control,1,2,10,40,120,1,651,0.00678125,1,8,15,556434,684806,194630,875
svm,5,coro-no-prefetch,2,2,10,40,120,1,554,0.00577083,0,8,15,544964,746254,228220,4419
svm,6,coro-prefetch,2,2,10,40,120,1,565,0.00588542,1,8,15,562318,796654,239000,1121
svm,0,control,1,2,10,40,120,1,559,0.00582292,1,8,15,550592,684806,194620,841
