model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,2,10,100,206,2,15799,0.0383471,1,4,39,5076791,19219608,135339,51439
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1428,0.00346602,0,4,39,5233532,19416321,135474,44614
cnn,6,coro-prefetch,2,2,10,100,206,2,1391,0.00337621,1,4,39,5255867,19676925,122787,39582
cnn,0,control,1,2,10,100,206,2,1339,0.00325,1,4,39,5023223,19219609,134246,44906
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1430,0.00347087,0,4,39,5240643,19416018,135693,44820
cnn,6,coro-prefetch,2,2,10,100,206,2,1388,0.00336893,1,4,39,5232945,19676017,121460,39254
cnn,0,control,1,2,10,100,206,2,1330,0.00322816,1,4,39,5020913,19219608,134345,44745
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1378,0.00334466,0,4,39,5205496,19416017,135525,44652
cnn,6,coro-prefetch,2,2,10,100,206,2,1393,0.00338107,1,4,39,5236210,19676018,122065,39632
cnn,0,control,1,2,10,100,206,2,1331,0.00323058,1,4,39,5023229,19219608,134296,44532
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1377,0.00334223,0,4,39,5203614,19416017,135504,44708
cnn,6,coro-prefetch,2,2,10,100,206,2,1431,0.0034733,1,4,39,5268855,19676017,121998,39241
cnn,0,control,1,2,10,100,206,2,1339,0.00325,1,4,39,5025187,19219608,134282,44450
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1386,0.00336408,0,4,39,5216424,19416018,135783,45088
cnn,6,coro-prefetch,2,2,10,100,206,2,1397,0.00339078,1,4,39,5241952,19676018,123034,39293
cnn,0,control,1,2,10,100,206,2,1329,0.00322573,1,4,39,5016196,19219608,134248,44668
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1379,0.00334709,0,4,39,5212163,19416017,135393,44642
cnn,6,coro-prefetch,2,2,10,100,206,2,1426,0.00346117,1,4,39,5233892,19676018,122065,39040
cnn,0,control,1,2,10,100,206,2,1339,0.00325,1,4,39,5022574,19219609,134333,44931
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1381,0.00335194,0,4,39,5220657,19416017,135391,44719
cnn,6,coro-prefetch,2,2,10,100,206,2,1445,0.00350728,1,4,39,5279044,19676017,122656,39368
cnn,0,control,1,2,10,100,206,2,1373,0.00333252,1,4,39,5016746,19219608,134256,44488
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1388,0.00336893,0,4,39,5217892,19416018,135773,44874
cnn,6,coro-prefetch,2,2,10,100,206,2,1387,0.0033665,1,4,39,5233203,19676017,122627,39146
cnn,0,control,1,2,10,100,206,2,1330,0.00322816,1,4,39,5019080,19219608,134333,44834
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1381,0.00335194,0,4,39,5218604,19416017,135285,44770
cnn,6,coro-prefetch,2,2,10,100,206,2,1388,0.00336893,1,4,39,5239781,19676017,122355,39761
cnn,0,control,1,2,10,100,206,2,1379,0.00334709,1,4,39,5019515,19219608,134323,44704
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1428,0.00346602,0,4,39,5227436,19416018,136156,46194
cnn,6,coro-prefetch,2,2,10,100,206,2,1394,0.0033835,1,4,39,5234675,19676018,122878,39180
cnn,0,control,1,2,10,100,206,2,1329,0.00322573,1,4,39,5018428,19219608,134304,44560
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1380,0.00334951,0,4,39,5217308,19416017,135392,44553
cnn,6,coro-prefetch,2,2,10,100,206,2,1392,0.00337864,1,4,39,5231248,19676018,122914,39856
cnn,0,control,1,2,10,100,206,2,1340,0.00325243,1,4,39,5022967,19219609,134362,44974
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1381,0.00335194,0,4,39,5220122,19416017,135391,44675
cnn,6,coro-prefetch,2,2,10,100,206,2,1390,0.00337379,1,4,39,5251464,19676017,121669,39049
cnn,0,control,1,2,10,100,206,2,1330,0.00322816,1,4,39,5022647,19219608,134208,44636
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1383,0.0033568,0,4,39,5214908,19416017,135379,44598
cnn,6,coro-prefetch,2,2,10,100,206,2,1397,0.00339078,1,4,39,5247253,19676018,122998,40376
cnn,0,control,1,2,10,100,206,2,1330,0.00322816,1,4,39,5022125,19219608,134348,44699
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1382,0.00335437,0,4,39,5211515,19416017,135274,44755
cnn,6,coro-prefetch,2,2,10,100,206,2,1390,0.00337379,1,4,39,5252027,19676017,121884,39239
cnn,0,control,1,2,10,100,206,2,1371,0.00332767,1,4,39,5019973,19219609,134362,45470
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1432,0.00347573,0,4,39,5245530,19416018,135691,44853
cnn,6,coro-prefetch,2,2,10,100,206,2,1385,0.00336165,1,4,39,5233729,19676017,121723,39264
cnn,0,control,1,2,10,100,206,2,1381,0.00335194,1,4,39,5018052,19219608,134270,44557
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1384,0.00335922,0,4,39,5226968,19416017,135586,44654
cnn,6,coro-prefetch,2,2,10,100,206,2,1452,0.00352427,1,4,39,5266403,19676018,122816,40046
cnn,0,control,1,2,10,100,206,2,1338,0.00324757,1,4,39,5021910,19219609,134478,44547
cnn,5,coro-no-prefetch,2,2,10,100,206,2,1381,0.00335194,0,4,39,5218462,19416017,135384,44674
