model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
leaf,0,control,1,10,100,80,448,1,3666,0.000102288,1,2,14,13784183,19267973,1695916,475272
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4378,0.000122154,0,2,14,16612809,26510657,2098181,439116
leaf,6,coro-prefetch,4,10,100,80,448,1,3071,8.56864e-05,1,2,14,11728788,31310106,2126512,420187
leaf,0,control,1,10,100,80,448,1,3683,0.000102762,1,2,14,13775609,19267973,1695212,470371
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4372,0.000121987,0,2,14,16369503,26510106,2097687,433026
leaf,6,coro-prefetch,4,10,100,80,448,1,3079,8.59096e-05,1,2,14,11777255,31310106,2129084,432581
leaf,0,control,1,10,100,80,448,1,3695,0.000103097,1,2,14,13857395,19267973,1694379,481000
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4315,0.000120396,0,2,14,16284199,26510106,2100316,414444
leaf,6,coro-prefetch,4,10,100,80,448,1,3069,8.56306e-05,1,2,14,11737828,31310106,2126622,419489
leaf,0,control,1,10,100,80,448,1,3698,0.000103181,1,2,14,14003092,19267973,1692871,491197
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4320,0.000120536,0,2,14,16249364,26510106,2099731,414862
leaf,6,coro-prefetch,4,10,100,80,448,1,3056,8.52679e-05,1,2,14,11687952,31310106,2129126,421393
leaf,0,control,1,10,100,80,448,1,3660,0.000102121,1,2,14,13710333,19267973,1698674,460017
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4311,0.000120285,0,2,14,16272550,26510106,2098766,421240
leaf,6,coro-prefetch,4,10,100,80,448,1,3051,8.51283e-05,1,2,14,11667271,31310106,2128140,408219
leaf,0,control,1,10,100,80,448,1,3659,0.000102093,1,2,14,14029051,19267973,1694382,490705
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4356,0.00012154,0,2,14,16408486,26510106,2098965,434950
leaf,6,coro-prefetch,4,10,100,80,448,1,3048,8.50446e-05,1,2,14,11692872,31310105,2129466,411729
leaf,0,control,1,10,100,80,448,1,3634,0.000101395,1,2,14,13640610,19267973,1697510,457554
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4412,0.000123103,0,2,14,16577705,26510106,2095314,443192
leaf,6,coro-prefetch,4,10,100,80,448,1,3036,8.47098e-05,1,2,14,11648987,31310105,2125328,409025
leaf,0,control,1,10,100,80,448,1,3640,0.000101562,1,2,14,13700093,19267973,1696105,451382
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4392,0.000122545,0,2,14,16449688,26510106,2096229,437094
leaf,6,coro-prefetch,4,10,100,80,448,1,3060,8.53795e-05,1,2,14,11704587,31310106,2126390,417166
leaf,0,control,1,10,100,80,448,1,3638,0.000101507,1,2,14,13660665,19267972,1696323,460942
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4381,0.000122238,0,2,14,16432959,26510106,2094770,431225
leaf,6,coro-prefetch,4,10,100,80,448,1,3042,8.48772e-05,1,2,14,11643826,31310106,2130446,412024
leaf,0,control,1,10,100,80,448,1,3652,0.000101897,1,2,14,13733825,19267973,1694562,464460
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4368,0.000121875,0,2,14,16418556,26510106,2097329,430658
leaf,6,coro-prefetch,4,10,100,80,448,1,3065,8.5519e-05,1,2,14,11726004,31310106,2130544,419471
leaf,0,control,1,10,100,80,448,1,3651,0.000101869,1,2,14,13768715,19267973,1694888,466980
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4372,0.000121987,0,2,14,16385711,26510106,2096610,431262
leaf,6,coro-prefetch,4,10,100,80,448,1,3074,8.57701e-05,1,2,14,11746230,31310106,2127195,419445
leaf,0,control,1,10,100,80,448,1,3697,0.000103153,1,2,14,13879540,19267973,1694034,486134
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4325,0.000120675,0,2,14,16243832,26510106,2098772,421479
leaf,6,coro-prefetch,4,10,100,80,448,1,3067,8.55748e-05,1,2,14,11732314,31310106,2129200,420711
leaf,0,control,1,10,100,80,448,1,3668,0.000102344,1,2,14,13791977,19267973,1696350,462895
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4359,0.000121624,0,2,14,16303088,26510106,2097501,423345
leaf,6,coro-prefetch,4,10,100,80,448,1,3051,8.51283e-05,1,2,14,11655596,31310106,2128398,414631
leaf,0,control,1,10,100,80,448,1,3722,0.00010385,1,2,14,13929126,19267973,1695778,478937
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4361,0.00012168,0,2,14,16351215,26510106,2097059,432725
leaf,6,coro-prefetch,4,10,100,80,448,1,3069,8.56306e-05,1,2,14,11735419,31310106,2126305,420906
leaf,0,control,1,10,100,80,448,1,3690,0.000102958,1,2,14,13848177,19267973,1698574,469984
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4362,0.000121708,0,2,14,16385543,26510106,2098224,427877
leaf,6,coro-prefetch,4,10,100,80,448,1,3046,8.49888e-05,1,2,14,11648313,31310105,2126773,404947
leaf,0,control,1,10,100,80,448,1,3685,0.000102818,1,2,14,13776648,19267973,1696412,472997
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4412,0.000123103,0,2,14,16506898,26510106,2097231,444960
leaf,6,coro-prefetch,4,10,100,80,448,1,3044,8.4933e-05,1,2,14,11672836,31310105,2129069,413049
leaf,0,control,1,10,100,80,448,1,3612,0.000100781,1,2,14,13855771,19267973,1694790,462555
leaf,5,coro-no-prefetch,4,10,100,80,448,1,4385,0.000122349,0,2,14,16486156,26510106,2096626,434593
