model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,100,120,2,4246,0.000353833,1,4,8,16009118,20649520,3904541,692754
norm,5,coro-no-prefetch,4,10,100,100,120,2,4634,0.000386167,0,4,8,17781906,29935952,4007171,812831
norm,6,coro-prefetch,4,10,100,100,120,2,4036,0.000336333,1,4,8,15471679,32934736,3829765,806406
norm,0,control,1,10,100,100,120,2,4179,0.00034825,1,4,8,16033553,20649520,3912161,672876
norm,5,coro-no-prefetch,4,10,100,100,120,2,4628,0.000385667,0,4,8,17771397,29934736,4009844,815970
norm,6,coro-prefetch,4,10,100,100,120,2,4031,0.000335917,1,4,8,15459541,32934736,3821263,800034
norm,0,control,1,10,100,100,120,2,4178,0.000348167,1,4,8,16031931,20649520,3917594,679594
norm,5,coro-no-prefetch,4,10,100,100,120,2,4630,0.000385833,0,4,8,17789549,29934736,4005573,812735
norm,6,coro-prefetch,4,10,100,100,120,2,4042,0.000336833,1,4,8,15497243,32934736,3822232,809900
norm,0,control,1,10,100,100,120,2,4165,0.000347083,1,4,8,15988626,20649520,3905151,672377
norm,5,coro-no-prefetch,4,10,100,100,120,2,4626,0.0003855,0,4,8,17775655,29934736,4005324,816534
norm,6,coro-prefetch,4,10,100,100,120,2,4035,0.00033625,1,4,8,15488688,32934736,3823352,815107
norm,0,control,1,10,100,100,120,2,4177,0.000348083,1,4,8,16028476,20649520,3908303,676089
norm,5,coro-no-prefetch,4,10,100,100,120,2,4652,0.000387667,0,4,8,17878639,29934736,4012327,840888
norm,6,coro-prefetch,4,10,100,100,120,2,4039,0.000336583,1,4,8,15490973,32934736,3817046,810144
norm,0,control,1,10,100,100,120,2,4157,0.000346417,1,4,8,15939523,20649521,3904949,668924
norm,5,coro-no-prefetch,4,10,100,100,120,2,4637,0.000386417,0,4,8,17815041,29934736,4007622,812990
norm,6,coro-prefetch,4,10,100,100,120,2,4024,0.000335333,1,4,8,15422898,32934736,3830192,799027
norm,0,control,1,10,100,100,120,2,4170,0.0003475,1,4,8,15999368,20649520,3904927,673425
norm,5,coro-no-prefetch,4,10,100,100,120,2,4646,0.000387167,0,4,8,17837975,29934737,4006631,809774
