model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,2,10,40,618,1,15630,0.0316141,1,2,20,394101,1005257,31938,11986
svm,5,coro-no-prefetch,6,2,10,40,618,1,145,0.000293285,0,2,20,370943,1079592,32079,12518
svm,6,coro-prefetch,6,2,10,40,618,1,130,0.000262945,1,2,20,346920,1127784,28980,11749
svm,0,control,1,2,10,40,618,1,143,0.000289239,1,2,20,399586,1005257,30766,11832
svm,5,coro-no-prefetch,6,2,10,40,618,1,134,0.000271036,0,2,20,362068,1077953,32028,12558
svm,6,coro-prefetch,6,2,10,40,618,1,128,0.0002589,1,2,20,345837,1127553,28982,11659
svm,0,control,1,2,10,40,618,1,142,0.000287217,1,2,20,400186,1005257,30657,11844
svm,5,coro-no-prefetch,6,2,10,40,618,1,134,0.000271036,0,2,20,367268,1077953,32204,12603
svm,6,coro-prefetch,6,2,10,40,618,1,130,0.000262945,1,2,20,344973,1127553,28595,11578
svm,0,control,1,2,10,40,618,1,142,0.000287217,1,2,20,397639,1005257,30654,11877
svm,5,coro-no-prefetch,6,2,10,40,618,1,135,0.000273058,0,2,20,365523,1077953,32248,12473
svm,6,coro-prefetch,6,2,10,40,618,1,129,0.000260922,1,2,20,345841,1127553,29538,11644
svm,0,control,1,2,10,40,618,1,141,0.000285194,1,2,20,398110,1005257,30595,11957
svm,5,coro-no-prefetch,6,2,10,40,618,1,136,0.000275081,0,2,20,369353,1077953,32061,12506
svm,6,coro-prefetch,6,2,10,40,618,1,129,0.000260922,1,2,20,345249,1127553,28904,11470
svm,0,control,1,2,10,40,618,1,143,0.000289239,1,2,20,399040,1005257,30677,11953
svm,5,coro-no-prefetch,6,2,10,40,618,1,136,0.000275081,0,2,20,373079,1077953,31895,12509
svm,6,coro-prefetch,6,2,10,40,618,1,129,0.000260922,1,2,20,345762,1127553,29066,11511
svm,0,control,1,2,10,40,618,1,143,0.000289239,1,2,20,399154,1005257,30604,11867
svm,5,coro-no-prefetch,6,2,10,40,618,1,133,0.000269013,0,2,20,363090,1077953,32097,12516
svm,6,coro-prefetch,6,2,10,40,618,1,129,0.000260922,1,2,20,343524,1127553,28966,11468
svm,0,control,1,2,10,40,618,1,141,0.000285194,1,2,20,400331,1005257,30828,11944
svm,5,coro-no-prefetch,6,2,10,40,618,1,133,0.000269013,0,2,20,361119,1077953,31872,12455
svm,6,coro-prefetch,6,2,10,40,618,1,128,0.0002589,1,2,20,344177,1127553,28831,11506
svm,0,control,1,2,10,40,618,1,145,0.000293285,1,2,20,404253,1005257,30781,11826
svm,5,coro-no-prefetch,6,2,10,40,618,1,132,0.00026699,0,2,20,358162,1077953,32009,12342
svm,6,coro-prefetch,6,2,10,40,618,1,127,0.000256877,1,2,20,340530,1127553,29030,11596
svm,0,control,1,2,10,40,618,1,144,0.000291262,1,2,20,402305,1005257,30730,11870
svm,5,coro-no-prefetch,6,2,10,40,618,1,133,0.000269013,0,2,20,366297,1077953,32071,12492
svm,6,coro-prefetch,6,2,10,40,618,1,129,0.000260922,1,2,20,346129,1127553,28877,11502
svm,0,control,1,2,10,40,618,1,144,0.000291262,1,2,20,402685,1005257,30765,11868
svm,5,coro-no-prefetch,6,2,10,40,618,1,133,0.000269013,0,2,20,364978,1077953,32137,12410
svm,6,coro-prefetch,6,2,10,40,618,1,128,0.0002589,1,2,20,345366,1127553,28744,11499
svm,0,control,1,2,10,40,618,1,142,0.000287217,1,2,20,395688,1005257,30763,11869
