model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,2,10,400,674,2,31258,0.00579711,1,4,127,70391302,256863052,1667156,1221583
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18782,0.00348331,0,4,127,70954225,257648222,1683556,1017992
cnn,6,coro-prefetch,4,2,10,400,674,2,19885,0.00368787,1,4,127,75034816,259928107,1485157,715571
cnn,0,control,1,2,10,400,674,2,18647,0.00345827,1,4,127,70360115,256863053,1892918,862818
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18589,0.00344751,0,4,127,70249517,257647892,1915324,854593
cnn,6,coro-prefetch,4,2,10,400,674,2,19663,0.0036467,1,4,127,74315526,259927496,1497009,723855
cnn,0,control,1,2,10,400,674,2,18490,0.00342915,1,4,127,69861075,256863053,1882708,854417
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18579,0.00344566,0,4,127,70213106,257647496,1912839,855687
cnn,6,coro-prefetch,4,2,10,400,674,2,19633,0.00364114,1,4,127,74209580,259927496,1523988,713028
cnn,0,control,1,2,10,400,674,2,18475,0.00342637,1,4,127,69824913,256863052,1881568,851913
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18585,0.00344677,0,4,127,70242732,257647495,1907666,852770
cnn,6,coro-prefetch,4,2,10,400,674,2,19655,0.00364522,1,4,127,74293376,259927496,1495207,720994
cnn,0,control,1,2,10,400,674,2,18485,0.00342823,1,4,127,69845939,256863053,1882208,853796
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18582,0.00344622,0,4,127,70228080,257647496,1911521,856201
cnn,6,coro-prefetch,4,2,10,400,674,2,19637,0.00364188,1,4,127,74219811,259927496,1552897,707255
cnn,0,control,1,2,10,400,674,2,18483,0.00342786,1,4,127,69857463,256863052,1868187,853131
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18596,0.00344881,0,4,127,70288464,257647495,1898015,856281
cnn,6,coro-prefetch,4,2,10,400,674,2,19656,0.0036454,1,4,127,74297990,259927496,1543317,709306
cnn,0,control,1,2,10,400,674,2,18476,0.00342656,1,4,127,69821041,256863053,1882860,855314
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18583,0.0034464,0,4,127,70227812,257647496,1914678,855497
cnn,6,coro-prefetch,4,2,10,400,674,2,19639,0.00364225,1,4,127,74235518,259927496,1478987,731417
cnn,0,control,1,2,10,400,674,2,18477,0.00342674,1,4,127,69828648,256863052,1882238,852270
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18591,0.00344789,0,4,127,70268760,257647495,1909250,855096
cnn,6,coro-prefetch,4,2,10,400,674,2,19645,0.00364336,1,4,127,74268334,259927496,1502502,718903
cnn,0,control,1,2,10,400,674,2,18485,0.00342823,1,4,127,69852530,256863053,1868514,852821
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18596,0.00344881,0,4,127,70278484,257647496,1895668,854625
cnn,6,coro-prefetch,4,2,10,400,674,2,19749,0.00366265,1,4,127,74277364,259927496,1501348,726879
cnn,0,control,1,2,10,400,674,2,18481,0.00342749,1,4,127,69851257,256863052,1868006,851943
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18593,0.00344826,0,4,127,70278941,257647495,1896676,856730
cnn,6,coro-prefetch,4,2,10,400,674,2,19674,0.00364874,1,4,127,74366538,259927496,1496618,715533
cnn,0,control,1,2,10,400,674,2,18469,0.00342526,1,4,127,69805427,256863053,1881595,853771
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18589,0.00344751,0,4,127,70246121,257647496,1914914,856287
cnn,6,coro-prefetch,4,2,10,400,674,2,19659,0.00364596,1,4,127,74314834,259927496,1472987,734312
cnn,0,control,1,2,10,400,674,2,18483,0.00342786,1,4,127,69855216,256863052,1868428,852092
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18589,0.00344751,0,4,127,70261748,257647495,1896629,853517
cnn,6,coro-prefetch,4,2,10,400,674,2,19651,0.00364447,1,4,127,74279637,259927496,1504668,729619
cnn,0,control,1,2,10,400,674,2,18518,0.00343435,1,4,127,69840763,256863053,1644962,1002718
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18594,0.00344844,0,4,127,70255781,257647496,1897391,854176
cnn,6,coro-prefetch,4,2,10,400,674,2,19659,0.00364596,1,4,127,74314002,259927496,1520144,709758
cnn,0,control,1,2,10,400,674,2,18473,0.003426,1,4,127,69832688,256863052,1882974,862835
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18620,0.00345326,0,4,127,70257216,257647496,1914601,860843
cnn,6,coro-prefetch,4,2,10,400,674,2,19662,0.00364651,1,4,127,74318921,259927496,1487267,724450
cnn,0,control,1,2,10,400,674,2,18481,0.00342749,1,4,127,69837942,256863053,1882088,854937
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18594,0.00344844,0,4,127,70267968,257647496,1912505,856356
cnn,6,coro-prefetch,4,2,10,400,674,2,19633,0.00364114,1,4,127,74204520,259927496,1529826,718370
cnn,0,control,1,2,10,400,674,2,18487,0.0034286,1,4,127,69869126,256863052,1644857,1001242
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18586,0.00344696,0,4,127,70248001,257647495,1677615,1011660
cnn,6,coro-prefetch,4,2,10,400,674,2,19649,0.0036441,1,4,127,74272649,259927496,1453191,750497
cnn,0,control,1,2,10,400,674,2,18484,0.00342804,1,4,127,69849748,256863053,1881931,855221
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18603,0.00345011,0,4,127,70293715,257647496,1908761,855277
cnn,6,coro-prefetch,4,2,10,400,674,2,19668,0.00364763,1,4,127,74337505,259927496,1517717,719139
cnn,0,control,1,2,10,400,674,2,18484,0.00342804,1,4,127,69845785,256863053,1882423,854228
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18585,0.00344677,0,4,127,70233995,257647496,1915097,857913
cnn,6,coro-prefetch,4,2,10,400,674,2,19651,0.00364447,1,4,127,74271248,259927496,1514499,714878
cnn,0,control,1,2,10,400,674,2,18497,0.00343045,1,4,127,69857743,256863052,1882460,851730
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18579,0.00344566,0,4,127,70219412,257647495,1915779,854506
cnn,6,coro-prefetch,4,2,10,400,674,2,19650,0.00364429,1,4,127,74259296,259927496,1497037,728256
cnn,0,control,1,2,10,400,674,2,18486,0.00342841,1,4,127,69856021,256863053,1882068,856807
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18584,0.00344659,0,4,127,70236597,257647496,1913961,858734
cnn,6,coro-prefetch,4,2,10,400,674,2,19682,0.00365022,1,4,127,74329741,259927496,1478108,740003
cnn,0,control,1,2,10,400,674,2,18488,0.00342878,1,4,127,69869738,256863052,1870995,853186
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18596,0.00344881,0,4,127,70272345,257647495,1900627,855899
cnn,6,coro-prefetch,4,2,10,400,674,2,19656,0.0036454,1,4,127,74291896,259927496,1507823,719635
cnn,0,control,1,2,10,400,674,2,18521,0.0034349,1,4,127,69814180,256863053,1882895,856491
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18583,0.0034464,0,4,127,70222317,257647496,1909212,853588
cnn,6,coro-prefetch,4,2,10,400,674,2,19663,0.0036467,1,4,127,74212866,259927496,1557183,706865
cnn,0,control,1,2,10,400,674,2,18491,0.00342934,1,4,127,69873025,256863052,1644674,1000307
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18593,0.00344826,0,4,127,70271103,257647495,1677436,1009510
cnn,6,coro-prefetch,4,2,10,400,674,2,19672,0.00364837,1,4,127,74352748,259927496,1510656,716235
cnn,0,control,1,2,10,400,674,2,18498,0.00343064,1,4,127,69877837,256863053,1867977,853015
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18598,0.00344918,0,4,127,70272294,257647496,1898037,853975
cnn,6,coro-prefetch,4,2,10,400,674,2,19686,0.00365096,1,4,127,74253429,259927496,1487276,731173
cnn,0,control,1,2,10,400,674,2,18487,0.0034286,1,4,127,69846090,256863052,1867930,854436
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18619,0.00345308,0,4,127,70247447,257647495,1896921,855812
cnn,6,coro-prefetch,4,2,10,400,674,2,19678,0.00364948,1,4,127,74376644,259927496,1492909,722344
cnn,0,control,1,2,10,400,674,2,18492,0.00342953,1,4,127,69866346,256863053,1870730,853903
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18589,0.00344751,0,4,127,70248097,257647496,1901118,855445
cnn,6,coro-prefetch,4,2,10,400,674,2,19658,0.00364577,1,4,127,74286880,259927496,1539242,709058
cnn,0,control,1,2,10,400,674,2,18485,0.00342823,1,4,127,69863412,256863052,1868084,852956
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18584,0.00344659,0,4,127,70234963,257647496,1896302,853315
cnn,6,coro-prefetch,4,2,10,400,674,2,19658,0.00364577,1,4,127,74305377,259927496,1505996,713445
cnn,0,control,1,2,10,400,674,2,18481,0.00342749,1,4,127,69832926,256863053,1881943,855165
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18589,0.00344751,0,4,127,70247454,257647496,1912899,854521
cnn,6,coro-prefetch,4,2,10,400,674,2,19655,0.00364522,1,4,127,74297044,259927495,1485611,730075
cnn,0,control,1,2,10,400,674,2,18490,0.00342915,1,4,127,69873467,256863052,1870758,853578
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18594,0.00344844,0,4,127,70273800,257647496,1900750,855985
cnn,6,coro-prefetch,4,2,10,400,674,2,19640,0.00364243,1,4,127,74240711,259927496,1551790,708913
cnn,0,control,1,2,10,400,674,2,18490,0.00342915,1,4,127,69873358,256863053,1644854,1004576
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18639,0.00345679,0,4,127,70299554,257647496,1677186,1009154
cnn,6,coro-prefetch,4,2,10,400,674,2,19652,0.00364466,1,4,127,74291669,259927495,1463862,740662
cnn,0,control,1,2,10,400,674,2,18487,0.0034286,1,4,127,69862525,256863053,1881935,856144
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18592,0.00344807,0,4,127,70268299,257647496,1913552,854915
cnn,6,coro-prefetch,4,2,10,400,674,2,19664,0.00364688,1,4,127,74329757,259927496,1507630,716424
cnn,0,control,1,2,10,400,674,2,18490,0.00342915,1,4,127,69867232,256863053,1867892,852190
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18586,0.00344696,0,4,127,70234585,257647496,1895654,852312
cnn,6,coro-prefetch,4,2,10,400,674,2,19674,0.00364874,1,4,127,74367982,259927496,1494683,719068
cnn,0,control,1,2,10,400,674,2,18480,0.0034273,1,4,127,69833061,256863053,1882115,852704
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18591,0.00344789,0,4,127,70271655,257647496,1911630,860018
cnn,6,coro-prefetch,4,2,10,400,674,2,19633,0.00364114,1,4,127,74211950,259927496,1519152,717274
cnn,0,control,1,2,10,400,674,2,18496,0.00343027,1,4,127,69891800,256863053,1867850,851386
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18588,0.00344733,0,4,127,70254835,257647495,1895518,853945
cnn,6,coro-prefetch,4,2,10,400,674,2,19689,0.00365152,1,4,127,74422435,259927496,1488841,717732
cnn,0,control,1,2,10,400,674,2,18489,0.00342897,1,4,127,69869837,256863053,1870996,855413
cnn,5,coro-no-prefetch,4,2,10,400,674,2,18578,0.00344547,0,4,127,70199508,257647496,1900002,855312
