model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,2,10,200,114,2,14011,0.0307259,1,2,11,2592927,8334048,67144,22280
cnn,5,coro-no-prefetch,8,2,10,200,114,2,677,0.00148465,0,2,11,2385344,7702738,78765,20753
cnn,6,coro-prefetch,8,2,10,200,114,2,663,0.00145395,1,2,11,2388090,7938190,73553,19978
cnn,0,control,1,2,10,200,114,2,690,0.00151316,1,2,11,2491486,8334048,76765,19888
cnn,5,coro-no-prefetch,8,2,10,200,114,2,652,0.00142982,0,2,11,2346312,7701827,78354,20251
cnn,6,coro-prefetch,8,2,10,200,114,2,662,0.00145175,1,2,11,2386949,7937793,73838,19860
cnn,0,control,1,2,10,200,114,2,688,0.00150877,1,2,11,2483603,8334048,76608,19878
cnn,5,coro-no-prefetch,8,2,10,200,114,2,655,0.0014364,0,2,11,2358752,7701859,78346,20219
cnn,6,coro-prefetch,8,2,10,200,114,2,660,0.00144737,1,2,11,2382618,7937852,74317,19851
cnn,0,control,1,2,10,200,114,2,693,0.00151974,1,2,11,2484400,8334049,76966,19832
cnn,5,coro-no-prefetch,8,2,10,200,114,2,655,0.0014364,0,2,11,2351792,7702045,78745,20587
cnn,6,coro-prefetch,8,2,10,200,114,2,663,0.00145395,1,2,11,2386130,7937665,74356,20132
cnn,0,control,1,2,10,200,114,2,695,0.00152412,1,2,11,2489210,8334049,77332,20024
cnn,5,coro-no-prefetch,8,2,10,200,114,2,653,0.00143202,0,2,11,2350256,7701665,79014,20281
cnn,6,coro-prefetch,8,2,10,200,114,2,663,0.00145395,1,2,11,2387216,7937665,75013,20105
cnn,0,control,1,2,10,200,114,2,686,0.00150439,1,2,11,2480881,8334048,77197,19942
cnn,5,coro-no-prefetch,8,2,10,200,114,2,651,0.00142763,0,2,11,2344512,7701665,78991,20162
cnn,6,coro-prefetch,8,2,10,200,114,2,668,0.00146491,1,2,11,2388307,7937666,74975,20330
cnn,0,control,1,2,10,200,114,2,686,0.00150439,1,2,11,2483066,8334048,77266,19838
cnn,5,coro-no-prefetch,8,2,10,200,114,2,651,0.00142763,0,2,11,2347852,7701665,78829,20195
cnn,6,coro-prefetch,8,2,10,200,114,2,661,0.00144956,1,2,11,2383113,7937665,75136,19913
cnn,0,control,1,2,10,200,114,2,687,0.00150658,1,2,11,2482044,8334048,77261,19906
cnn,5,coro-no-prefetch,8,2,10,200,114,2,650,0.00142544,0,2,11,2346711,7701665,79092,20281
cnn,6,coro-prefetch,8,2,10,200,114,2,660,0.00144737,1,2,11,2384922,7937665,74829,19842
cnn,0,control,1,2,10,200,114,2,687,0.00150658,1,2,11,2485059,8334048,77346,19782
cnn,5,coro-no-prefetch,8,2,10,200,114,2,655,0.0014364,0,2,11,2353818,7701666,79305,20444
cnn,6,coro-prefetch,8,2,10,200,114,2,663,0.00145395,1,2,11,2385904,7937665,75170,20013
