model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,2,10,100,774,2,1454,0.000939276,1,4,146,5382370,11952290,519749,180897
cnn,5,coro-no-prefetch,2,2,10,100,774,2,1483,0.00095801,0,4,146,5476619,12121361,523373,178960
cnn,6,coro-prefetch,2,2,10,100,774,2,1762,0.00113824,1,4,146,6421677,12709966,410724,150180
cnn,0,control,1,2,10,100,774,2,1448,0.000935401,1,4,146,5356188,11952290,525810,179032
cnn,5,coro-no-prefetch,2,2,10,100,774,2,1468,0.00094832,0,4,146,5432888,12121057,528524,179208
cnn,6,coro-prefetch,2,2,10,100,774,2,1723,0.00111305,1,4,146,6379476,12709058,426355,147456
cnn,0,control,1,2,10,100,774,2,1454,0.000939276,1,4,146,5382704,11952290,520218,178367
cnn,5,coro-no-prefetch,2,2,10,100,774,2,1486,0.000959948,0,4,146,5488365,12121058,524065,177740
cnn,6,coro-prefetch,2,2,10,100,774,2,1716,0.00110853,1,4,146,6382705,12709057,411140,148292
cnn,0,control,1,2,10,100,774,2,1452,0.000937984,1,4,146,5368686,11952290,525782,178166
cnn,5,coro-no-prefetch,2,2,10,100,774,2,1482,0.000957364,0,4,146,5466617,12121058,529558,179686
cnn,6,coro-prefetch,2,2,10,100,774,2,1711,0.0011053,1,4,146,6357305,12709057,415103,148553
cnn,0,control,1,2,10,100,774,2,1447,0.000934755,1,4,146,5351939,11952290,525810,179185
cnn,5,coro-no-prefetch,2,2,10,100,774,2,1474,0.000952196,0,4,146,5454135,12121057,529054,179483
cnn,6,coro-prefetch,2,2,10,100,774,2,1715,0.00110788,1,4,146,6374249,12709057,418620,147581
cnn,0,control,1,2,10,100,774,2,1451,0.000937339,1,4,146,5349520,11952291,525807,178663
cnn,5,coro-no-prefetch,2,2,10,100,774,2,1461,0.000943798,0,4,146,5412470,12121057,528660,179479
cnn,6,coro-prefetch,2,2,10,100,774,2,1720,0.00111111,1,4,146,6393575,12709057,431107,146210
cnn,0,control,1,2,10,100,774,2,1456,0.000940568,1,4,146,5369710,11952291,458425,211247
cnn,5,coro-no-prefetch,2,2,10,100,774,2,1476,0.000953488,0,4,146,5466104,12121057,461989,211091
cnn,6,coro-prefetch,2,2,10,100,774,2,1714,0.00110724,1,4,146,6347861,12709058,394339,156433
cnn,0,control,1,2,10,100,774,2,1452,0.000937984,1,4,146,5376250,11952290,457970,211190
cnn,5,coro-no-prefetch,2,2,10,100,774,2,1474,0.000952196,0,4,146,5464810,12121057,461765,211532
cnn,6,coro-prefetch,2,2,10,100,774,2,1721,0.00111176,1,4,146,6376172,12709058,394322,158332
cnn,0,control,1,2,10,100,774,2,1454,0.000939276,1,4,146,5383555,11952290,458245,211872
