model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
leaf,0,control,1,10,100,800,168,1,49750,0.000370164,1,2,6,129128230,100145190,8125110,5579050
leaf,5,coro-no-prefetch,4,10,100,800,168,1,32652,0.000242946,0,2,6,123410380,169668539,12422448,5960496
leaf,6,coro-prefetch,4,10,100,800,168,1,20844,0.000155089,1,2,6,78737198,208067320,12248571,5718786
leaf,0,control,1,10,100,800,168,1,33798,0.000251473,1,2,6,127655856,100145191,8308254,5538424
leaf,5,coro-no-prefetch,4,10,100,800,168,1,32754,0.000243705,0,2,6,123595659,169667323,12430476,5963444
leaf,6,coro-prefetch,4,10,100,800,168,1,20834,0.000155015,1,2,6,78671545,208067321,12245204,5717077
leaf,0,control,1,10,100,800,168,1,33944,0.00025256,1,2,6,128353001,100145190,8240814,5521746
leaf,5,coro-no-prefetch,4,10,100,800,168,1,32663,0.000243028,0,2,6,123481590,169667323,12436611,5960143
leaf,6,coro-prefetch,4,10,100,800,168,1,20833,0.000155007,1,2,6,78695327,208067320,12257257,5719107
leaf,0,control,1,10,100,800,168,1,33733,0.00025099,1,2,6,127527953,100145191,8321335,5524126
leaf,5,coro-no-prefetch,4,10,100,800,168,1,32740,0.000243601,0,2,6,123653318,169667323,12414405,5960776
leaf,6,coro-prefetch,4,10,100,800,168,1,20831,0.000154993,1,2,6,78661447,208067321,12245205,5719028
leaf,0,control,1,10,100,800,168,1,33815,0.0002516,1,2,6,127862693,100145190,8288567,5528299
leaf,5,coro-no-prefetch,4,10,100,800,168,1,32737,0.000243579,0,2,6,123758167,169667324,12421702,5959301
leaf,6,coro-prefetch,4,10,100,800,168,1,20841,0.000155067,1,2,6,78728643,208067320,12251377,5719828
leaf,0,control,1,10,100,800,168,1,34152,0.000254107,1,2,6,129067333,100145191,8215357,5539331
leaf,5,coro-no-prefetch,4,10,100,800,168,1,32686,0.000243199,0,2,6,123549814,169667323,12437688,5961045
leaf,6,coro-prefetch,4,10,100,800,168,1,20819,0.000154903,1,2,6,78621062,208067321,12250669,5718256
leaf,0,control,1,10,100,800,168,1,34144,0.000254048,1,2,6,129103070,100145190,8147888,5535763
leaf,5,coro-no-prefetch,4,10,100,800,168,1,32697,0.000243281,0,2,6,123469317,169667323,12431457,5961330
leaf,6,coro-prefetch,4,10,100,800,168,1,20836,0.00015503,1,2,6,78705597,208067320,12248856,5719635
leaf,0,control,1,10,100,800,168,1,30833,0.000229412,1,2,6,116540271,100145190,8767187,5505996
leaf,5,coro-no-prefetch,4,10,100,800,168,1,30905,0.000229948,0,2,6,116816599,169667323,14559277,5887375
