model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,40,852,2,301271,0.00884011,1,4,54,1055050785,494848465,10654439,6968136
norm,5,coro-no-prefetch,6,10,100,40,852,2,270277,0.00793066,0,4,54,1023842851,498154083,11004568,7039637
norm,6,coro-prefetch,6,10,100,40,852,2,277274,0.00813597,1,4,54,1050018076,506472574,10029959,4915038
norm,0,control,1,10,100,40,852,2,278379,0.0081684,1,4,54,1054439134,494848465,12071157,5815278
norm,5,coro-no-prefetch,6,10,100,40,852,2,269783,0.00791617,0,4,54,1021837344,498152573,12365754,5916777
norm,6,coro-prefetch,6,10,100,40,852,2,277546,0.00814396,1,4,54,1050982825,506472575,9978999,4936435
norm,0,control,1,10,100,40,852,2,278419,0.00816957,1,4,54,1054582326,494848466,12071393,5809754
norm,5,coro-no-prefetch,6,10,100,40,852,2,270431,0.00793518,0,4,54,1024356605,498152573,11576810,6519641
norm,6,coro-prefetch,6,10,100,40,852,2,277286,0.00813633,1,4,54,1050254232,506472575,10084137,4871222
norm,0,control,1,10,100,40,852,2,278469,0.00817104,1,4,54,1054657994,494848466,12071165,5825100
norm,5,coro-no-prefetch,6,10,100,40,852,2,269791,0.0079164,0,4,54,1021846583,498152572,12363122,5938407
norm,6,coro-prefetch,6,10,100,40,852,2,277404,0.00813979,1,4,54,1050865573,506472574,9908671,4940243
norm,0,control,1,10,100,40,852,2,278490,0.00817165,1,4,54,1054240289,494848466,12071552,5863727
norm,5,coro-no-prefetch,6,10,100,40,852,2,269622,0.00791144,0,4,54,1021398698,498152572,12345272,5902440
norm,6,coro-prefetch,6,10,100,40,852,2,277356,0.00813838,1,4,54,1050279432,506472574,10070185,4900032
norm,0,control,1,10,100,40,852,2,278513,0.00817233,1,4,54,1054321054,494848465,11982445,5837534
norm,5,coro-no-prefetch,6,10,100,40,852,2,269699,0.0079137,0,4,54,1021644830,498152572,12263978,5916300
norm,6,coro-prefetch,6,10,100,40,852,2,277306,0.00813691,1,4,54,1050346288,506472574,10045736,4899471
norm,0,control,1,10,100,40,852,2,278554,0.00817353,1,4,54,1054555047,494848466,11977304,5845299
norm,5,coro-no-prefetch,6,10,100,40,852,2,269833,0.00791763,0,4,54,1021714060,498152573,12208715,5918153
norm,6,coro-prefetch,6,10,100,40,852,2,277259,0.00813553,1,4,54,1050263543,506472575,10022081,4896547
norm,0,control,1,10,100,40,852,2,278396,0.0081689,1,4,54,1054414917,494848466,12069914,5825715
norm,5,coro-no-prefetch,6,10,100,40,852,2,269705,0.00791388,0,4,54,1021590314,498152572,12345641,5913307
norm,6,coro-prefetch,6,10,100,40,852,2,277320,0.00813732,1,4,54,1050630947,506472574,10001577,4928470
norm,0,control,1,10,100,40,852,2,278502,0.00817201,1,4,54,1054706385,494848466,12070619,5830780
norm,5,coro-no-prefetch,6,10,100,40,852,2,269738,0.00791485,0,4,54,1021707265,498152572,12367076,5925061
norm,6,coro-prefetch,6,10,100,40,852,2,277269,0.00813583,1,4,54,1050435226,506472574,10003240,4903147
norm,0,control,1,10,100,40,852,2,278343,0.00816734,1,4,54,1054210386,494848465,12073506,5801284
norm,5,coro-no-prefetch,6,10,100,40,852,2,269692,0.0079135,0,4,54,1021476791,498152573,12366163,5923946
norm,6,coro-prefetch,6,10,100,40,852,2,277381,0.00813911,1,4,54,1050620710,506472575,10094016,4862994
norm,0,control,1,10,100,40,852,2,278523,0.00817262,1,4,54,1054607457,494848466,12070639,5843504
norm,5,coro-no-prefetch,6,10,100,40,852,2,269698,0.00791367,0,4,54,1021688706,498152572,12341501,5930863
norm,6,coro-prefetch,6,10,100,40,852,2,277328,0.00813756,1,4,54,1050472059,506472574,10056838,4882032
norm,0,control,1,10,100,40,852,2,278313,0.00816646,1,4,54,1054124124,494848466,12071902,5813778
norm,5,coro-no-prefetch,6,10,100,40,852,2,269755,0.00791535,0,4,54,1021788303,498152572,12345467,5924714
norm,6,coro-prefetch,6,10,100,40,852,2,277464,0.00814155,1,4,54,1051086146,506472575,10035278,4919065
norm,0,control,1,10,100,40,852,2,278484,0.00817148,1,4,54,1054883224,494848465,12070886,5819115
norm,5,coro-no-prefetch,6,10,100,40,852,2,269718,0.00791426,0,4,54,1021685223,498152573,12344654,5922094
norm,6,coro-prefetch,6,10,100,40,852,2,277237,0.00813489,1,4,54,1050216231,506472575,10081424,4875427
norm,0,control,1,10,100,40,852,2,278358,0.00816778,1,4,54,1054295883,494848466,10586092,6821846
norm,5,coro-no-prefetch,6,10,100,40,852,2,269892,0.00791937,0,4,54,1021965679,498152572,10977345,7030277
