model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,100,152,2,52170,0.00343224,1,2,5,142519518,153649405,2284998,200186
norm,5,coro-no-prefetch,4,10,100,100,152,2,34358,0.00226039,0,2,5,130017983,161428960,2342601,225512
norm,6,coro-prefetch,4,10,100,100,152,2,33971,0.00223493,1,2,5,128453214,167727744,2149925,219308
norm,0,control,1,10,100,100,152,2,37673,0.00247849,1,2,5,142598841,153649406,2589052,193444
norm,5,coro-no-prefetch,4,10,100,100,152,2,34446,0.00226618,0,2,5,130112139,161427744,2636191,192892
norm,6,coro-prefetch,4,10,100,100,152,2,33939,0.00223283,1,2,5,128458457,167727743,2295066,185900
norm,0,control,1,10,100,100,152,2,37724,0.00248184,1,2,5,142552522,153649405,2605251,188763
norm,5,coro-no-prefetch,4,10,100,100,152,2,34417,0.00226428,0,2,5,129982105,161427744,2648325,191915
norm,6,coro-prefetch,4,10,100,100,152,2,33936,0.00223263,1,2,5,128452582,167727744,2327875,182209
norm,0,control,1,10,100,100,152,2,37655,0.0024773,1,2,5,142538958,153649405,2610050,186514
norm,5,coro-no-prefetch,4,10,100,100,152,2,34354,0.00226013,0,2,5,130023108,161427744,2649580,188610
norm,6,coro-prefetch,4,10,100,100,152,2,33933,0.00223243,1,2,5,128440276,167727744,2345271,182303
norm,0,control,1,10,100,100,152,2,37650,0.00247697,1,2,5,142533498,153649405,2278317,224804
norm,5,coro-no-prefetch,4,10,100,100,152,2,34373,0.00226138,0,2,5,129960167,161427744,2333690,221087
norm,6,coro-prefetch,4,10,100,100,152,2,33985,0.00223586,1,2,5,128470563,167727744,2166535,222710
norm,0,control,1,10,100,100,152,2,37652,0.00247711,1,2,5,142516950,153649406,2277804,220057
norm,5,coro-no-prefetch,4,10,100,100,152,2,34334,0.00225882,0,2,5,129965049,161427743,2332159,221742
norm,6,coro-prefetch,4,10,100,100,152,2,34200,0.00225,1,2,5,128467634,167727743,2163655,220598
norm,0,control,1,10,100,100,152,2,37978,0.00249855,1,2,5,142544801,153649406,2277999,225210
norm,5,coro-no-prefetch,4,10,100,100,152,2,34690,0.00228224,0,2,5,130039187,161427748,2334991,225637
norm,6,coro-prefetch,4,10,100,100,152,2,33935,0.00223257,1,2,5,128438270,167727744,2162389,216615
norm,0,control,1,10,100,100,152,2,37646,0.00247671,1,2,5,142504974,153649405,2277614,220644
norm,5,coro-no-prefetch,4,10,100,100,152,2,34335,0.00225888,0,2,5,129959598,161427744,2332548,219882
norm,6,coro-prefetch,4,10,100,100,152,2,33929,0.00223217,1,2,5,128419216,167727744,2161810,220485
norm,0,control,1,10,100,100,152,2,37660,0.00247763,1,2,5,142564431,153649405,2277923,220218
norm,5,coro-no-prefetch,4,10,100,100,152,2,34335,0.00225888,0,2,5,129954381,161427744,2626544,189203
norm,6,coro-prefetch,4,10,100,100,152,2,33935,0.00223257,1,2,5,128443637,167727744,2292501,188413
norm,0,control,1,10,100,100,152,2,37680,0.00247895,1,2,5,142495748,153649405,2591101,185942
norm,5,coro-no-prefetch,4,10,100,100,152,2,34399,0.00226309,0,2,5,130036287,161427744,2627978,190817
norm,6,coro-prefetch,4,10,100,100,152,2,33932,0.00223237,1,2,5,128420032,167727744,2303682,181892
norm,0,control,1,10,100,100,152,2,37661,0.0024777,1,2,5,142534859,153649405,2595677,186219
norm,5,coro-no-prefetch,4,10,100,100,152,2,34372,0.00226132,0,2,5,129995823,161427743,2632818,190640
norm,6,coro-prefetch,4,10,100,100,152,2,33938,0.00223276,1,2,5,128450125,167727744,2321332,182851
norm,0,control,1,10,100,100,152,2,37679,0.00247888,1,2,5,142513364,153649406,2610522,187742
norm,5,coro-no-prefetch,4,10,100,100,152,2,34336,0.00225895,0,2,5,129931482,161427743,2647953,190223
norm,6,coro-prefetch,4,10,100,100,152,2,33936,0.00223263,1,2,5,128451725,167727743,2321757,184095
norm,0,control,1,10,100,100,152,2,37682,0.00247908,1,2,5,142523381,153649406,2609913,186865
norm,5,coro-no-prefetch,4,10,100,100,152,2,34368,0.00226105,0,2,5,129973362,161427743,2648754,189775
norm,6,coro-prefetch,4,10,100,100,152,2,33949,0.00223349,1,2,5,128507276,167727743,2326978,183606
norm,0,control,1,10,100,100,152,2,37649,0.00247691,1,2,5,142515634,153649406,2609484,189954
norm,5,coro-no-prefetch,4,10,100,100,152,2,34386,0.00226224,0,2,5,129976938,161427743,2650155,190260
norm,6,coro-prefetch,4,10,100,100,152,2,33924,0.00223184,1,2,5,128406926,167727743,2327438,182528
norm,0,control,1,10,100,100,152,2,37653,0.00247717,1,2,5,142480383,153649406,2609207,185360
norm,5,coro-no-prefetch,4,10,100,100,152,2,34461,0.00226717,0,2,5,129964907,161427744,2648535,189878
norm,6,coro-prefetch,4,10,100,100,152,2,33967,0.00223467,1,2,5,128446629,167727743,2327956,186277
norm,0,control,1,10,100,100,152,2,37639,0.00247625,1,2,5,142494857,153649405,2610083,185866
norm,5,coro-no-prefetch,4,10,100,100,152,2,34355,0.0022602,0,2,5,130029302,161427744,2649120,189137
