model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,200,60,2,34101,0.00284175,1,8,8,40301545,38258498,7921509,2362362
norm,5,coro-no-prefetch,4,10,100,200,60,2,11143,0.000928583,0,8,8,41997837,56477953,8128564,2518940
norm,6,coro-prefetch,4,10,100,200,60,2,9662,0.000805167,1,8,8,36409437,62476737,7390893,2442245
norm,0,control,1,10,100,200,60,2,10559,0.000879917,1,8,8,39797502,38258499,7915580,2235274
norm,5,coro-no-prefetch,4,10,100,200,60,2,10930,0.000910833,0,8,8,41214077,56476737,7999564,2498640
norm,6,coro-prefetch,4,10,100,200,60,2,9599,0.000799917,1,8,8,36177909,62476737,7414625,2409136
norm,0,control,1,10,100,200,60,2,10419,0.00086825,1,8,8,39291992,38258498,7866654,2169943
norm,5,coro-no-prefetch,4,10,100,200,60,2,10975,0.000914583,0,8,8,41284015,56476737,8009459,2508745
norm,6,coro-prefetch,4,10,100,200,60,2,9609,0.00080075,1,8,8,36214459,62476737,7420822,2402292
norm,0,control,1,10,100,200,60,2,10405,0.000867083,1,8,8,39229564,38258498,7889284,2161005
norm,5,coro-no-prefetch,4,10,100,200,60,2,10932,0.000911,0,8,8,41217094,56476738,8015972,2501966
norm,6,coro-prefetch,4,10,100,200,60,2,9606,0.0008005,1,8,8,36204935,62476737,7420137,2407929
norm,0,control,1,10,100,200,60,2,10385,0.000865417,1,8,8,39149427,38258499,8017670,2175343
norm,5,coro-no-prefetch,4,10,100,200,60,2,10923,0.00091025,0,8,8,41173122,56476738,8001255,2507181
norm,6,coro-prefetch,4,10,100,200,60,2,9581,0.000798417,1,8,8,36103938,62476738,7424308,2404820
norm,0,control,1,10,100,200,60,2,10409,0.000867417,1,8,8,39222729,38258499,7981216,2171945
norm,5,coro-no-prefetch,4,10,100,200,60,2,10936,0.000911333,0,8,8,41216655,56476738,7974727,2500899
norm,6,coro-prefetch,4,10,100,200,60,2,9594,0.0007995,1,8,8,36153028,62476737,7403806,2425501
norm,0,control,1,10,100,200,60,2,10416,0.000868,1,8,8,39260307,38258499,7797471,2209718
norm,5,coro-no-prefetch,4,10,100,200,60,2,10906,0.000908833,0,8,8,41136151,56476737,8025449,2486881
norm,6,coro-prefetch,4,10,100,200,60,2,9584,0.000798667,1,8,8,36119444,62476737,7409015,2416963
norm,0,control,1,10,100,200,60,2,10395,0.00086625,1,8,8,39194369,38258498,7619134,2369257
norm,5,coro-no-prefetch,4,10,100,200,60,2,10921,0.000910083,0,8,8,41161716,56476738,7998497,2499704
norm,6,coro-prefetch,4,10,100,200,60,2,9586,0.000798833,1,8,8,36118380,62476737,7422152,2397621
norm,0,control,1,10,100,200,60,2,10420,0.000868333,1,8,8,39279552,38258499,7984070,2174658
norm,5,coro-no-prefetch,4,10,100,200,60,2,10926,0.0009105,0,8,8,41193930,56476738,8022151,2496788
norm,6,coro-prefetch,4,10,100,200,60,2,9650,0.000804167,1,8,8,36040520,62476738,7406763,2436075
norm,0,control,1,10,100,200,60,2,10409,0.000867417,1,8,8,39227794,38258499,8008545,2176426
norm,5,coro-no-prefetch,4,10,100,200,60,2,10967,0.000913917,0,8,8,41226437,56476738,8022175,2493789
norm,6,coro-prefetch,4,10,100,200,60,2,9590,0.000799167,1,8,8,36122828,62476738,7437359,2411504
norm,0,control,1,10,100,200,60,2,10469,0.000872417,1,8,8,39304616,38258499,7963624,2181428
norm,5,coro-no-prefetch,4,10,100,200,60,2,10920,0.00091,0,8,8,41168200,56476738,7993217,2511525
norm,6,coro-prefetch,4,10,100,200,60,2,9664,0.000805333,1,8,8,36292396,62476737,7417215,2424514
norm,0,control,1,10,100,200,60,2,10397,0.000866417,1,8,8,39183864,38258499,7876797,2247752
norm,5,coro-no-prefetch,4,10,100,200,60,2,10901,0.000908417,0,8,8,41116344,56476737,8007220,2484325
norm,6,coro-prefetch,4,10,100,200,60,2,9592,0.000799333,1,8,8,36152778,62476737,7423318,2401953
norm,0,control,1,10,100,200,60,2,10365,0.00086375,1,8,8,39080231,38258498,8064716,2169373
norm,5,coro-no-prefetch,4,10,100,200,60,2,10912,0.000909333,0,8,8,41131656,56476738,8008188,2497315
norm,6,coro-prefetch,4,10,100,200,60,2,9598,0.000799833,1,8,8,36055001,62476737,7423771,2401706
norm,0,control,1,10,100,200,60,2,10401,0.00086675,1,8,8,39204649,38258499,8083607,2178628
norm,5,coro-no-prefetch,4,10,100,200,60,2,10940,0.000911667,0,8,8,41246771,56476738,8012575,2501815
norm,6,coro-prefetch,4,10,100,200,60,2,9621,0.00080175,1,8,8,36015020,62476738,7414311,2415451
norm,0,control,1,10,100,200,60,2,10447,0.000870583,1,8,8,39266097,38258499,7804094,2241288
norm,5,coro-no-prefetch,4,10,100,200,60,2,11019,0.00091825,0,8,8,41314799,56476738,8009909,2534449
norm,6,coro-prefetch,4,10,100,200,60,2,9625,0.000802083,1,8,8,36119923,62476738,7401288,2418937
norm,0,control,1,10,100,200,60,2,10426,0.000868833,1,8,8,39280851,38258499,8035445,2174423
norm,5,coro-no-prefetch,4,10,100,200,60,2,10903,0.000908583,0,8,8,41106408,56476738,8016506,2498625
norm,6,coro-prefetch,4,10,100,200,60,2,9596,0.000799667,1,8,8,36155036,62476737,7434967,2404613
norm,0,control,1,10,100,200,60,2,10442,0.000870167,1,8,8,39361431,38258499,7854408,2171645
norm,5,coro-no-prefetch,4,10,100,200,60,2,10896,0.000908,0,8,8,41097184,56476737,7997610,2496153
norm,6,coro-prefetch,4,10,100,200,60,2,9564,0.000797,1,8,8,36043972,62476737,7421998,2412112
norm,0,control,1,10,100,200,60,2,10431,0.00086925,1,8,8,39337721,38258498,7855219,2175153
